time,open,high,low,close,volume
2023-03-30,25.16,25.16,25.16,25.16,0
2023-03-31,25.16,25.16,25.16,25.16,0
2023-04-03,25.16,25.16,25.16,25.16,0
2023-04-04,25.16,25.16,25.16,25.16,0
2023-04-05,25.16,25.16,25.16,25.16,0
2023-04-06,25.16,25.16,25.16,25.16,0
2023-04-07,25.16,25.16,25.16,25.16,0
2023-04-10,25.16,25.16,25.16,25.16,0
2023-04-11,25.16,25.16,25.16,25.16,0
2023-04-12,25.16,25.16,25.16,25.16,0
2023-04-13,25.16,25.16,25.16,25.16,0
2023-04-14,25.16,25.16,25.16,25.16,0
2023-04-17,25.16,25.16,25.16,25.16,0
2023-04-18,25.16,25.16,25.16,25.16,0
2023-04-19,25.16,25.16,25.16,25.16,0
2023-04-20,25.16,25.16,25.16,25.16,0
2023-04-21,25.16,25.16,25.16,25.16,0
2023-04-24,25.16,25.16,25.16,25.16,0
2023-04-25,25.16,25.16,25.16,25.16,0
2023-04-26,25.16,25.16,25.16,25.16,2900
2023-04-27,25.16,25.16,25.16,25.16,0
2023-04-28,25.16,25.16,25.16,25.16,0
2023-05-04,25.16,25.16,25.16,25.16,0
2023-05-05,25.16,25.16,25.16,25.16,0
2023-05-08,25.16,25.16,25.16,25.16,0
2023-05-09,25.16,25.16,25.16,25.16,100
2023-05-10,27.67,27.67,27.67,27.67,100
2023-05-11,27.67,27.67,27.67,27.67,600
2023-05-12,27.67,27.67,27.67,27.67,0
2023-05-15,27.67,27.67,27.67,27.67,0
2023-05-16,27.67,27.67,27.67,27.67,0
2023-05-17,27.67,27.67,24.32,24.32,300
2023-05-18,26.58,26.58,26.58,26.58,100
2023-05-19,26.58,26.58,26.58,26.58,43
2023-05-22,26.58,26.58,26.58,26.58,2
2023-05-23,26.58,27.67,26.58,27.67,1000
2023-05-24,27.0,27.0,27.0,27.0,0
2023-05-25,27.0,27.0,27.0,27.0,800
2023-05-26,26.92,26.92,26.92,26.92,600
2023-05-29,26.0,26.0,26.0,26.0,200
2023-05-30,25.24,25.24,25.16,25.16,1000
2023-05-31,25.24,25.24,25.24,25.24,0
2023-06-01,25.24,25.24,25.24,25.24,0
2023-06-02,25.24,25.24,25.24,25.24,0
2023-06-05,25.16,25.16,24.74,24.74,400
2023-06-06,25.16,25.16,25.16,25.16,200
2023-06-07,25.16,25.16,25.16,25.16,0
2023-06-08,25.16,25.16,25.16,25.16,0
2023-06-09,25.16,25.16,25.16,25.16,400
2023-06-12,26.0,26.0,26.0,26.0,102
2023-06-13,26.0,26.0,26.0,26.0,0
2023-06-14,26.0,26.0,26.0,26.0,300
2023-06-15,26.0,26.0,26.0,26.0,0
2023-06-16,26.0,26.0,26.0,26.0,0
2023-06-19,26.0,26.0,26.0,26.0,100
2023-06-20,25.16,25.16,25.16,25.16,100
2023-06-21,25.16,25.16,25.16,25.16,0
2023-06-22,25.16,25.16,25.16,25.16,0
2023-06-23,25.16,25.16,25.16,25.16,0
2023-06-26,27.67,28.09,27.67,28.09,401
2023-06-27,28.01,28.01,28.01,28.01,3
2023-06-28,24.91,24.91,24.49,24.49,430
2023-06-29,24.65,24.65,24.65,24.65,0
2023-06-30,24.65,24.65,24.65,24.65,0
2023-07-03,24.65,24.65,24.65,24.65,2
2023-07-04,24.65,24.65,24.65,24.65,0
2023-07-05,24.65,24.65,24.65,24.65,32
2023-07-06,24.65,24.65,24.65,24.65,0
2023-07-07,24.65,24.65,24.65,24.65,0
2023-07-10,24.65,24.65,24.65,24.65,0
2023-07-11,24.65,24.65,24.65,24.65,0
2023-07-12,24.65,24.65,24.65,24.65,0
2023-07-13,24.65,24.65,24.65,24.65,0
2023-07-14,24.65,24.65,24.65,24.65,0
2023-07-17,24.65,24.65,24.65,24.49,3
2023-07-18,24.65,24.65,24.65,24.65,0
2023-07-19,24.65,24.65,24.65,24.65,0
2023-07-20,24.65,24.65,24.65,24.65,0
2023-07-21,24.65,24.65,24.65,24.65,0
2023-07-24,24.65,24.65,24.65,24.65,2
2023-07-25,24.65,24.65,24.65,24.65,0
2023-07-26,24.65,24.65,24.65,24.65,0
2023-07-27,27.67,28.01,27.67,28.01,1100
2023-07-28,31.03,31.87,31.03,31.87,3008
2023-07-31,33.54,34.38,33.54,34.38,2217
2023-08-01,33.54,33.54,33.54,33.54,100
2023-08-02,28.51,30.01,28.51,28.51,2000
2023-08-03,25.6,25.6,25.6,25.6,1100
2023-08-04,25.6,25.6,25.6,25.6,0
2023-08-07,25.6,25.6,25.6,25.6,0
2023-08-08,25.6,25.6,25.6,25.6,0
2023-08-09,25.6,25.6,25.6,25.6,13
2023-08-10,25.6,25.6,25.6,25.6,0
2023-08-11,25.6,25.6,25.6,25.6,5
2023-08-14,25.6,25.6,25.6,25.6,0
2023-08-15,25.6,25.6,25.6,25.6,0
2023-08-16,25.6,25.6,25.6,25.6,0
2023-08-17,25.6,25.6,25.6,25.6,0
2023-08-18,26.04,26.04,25.6,25.6,1405
2023-08-21,26.48,26.48,26.48,26.48,2008
2023-08-22,26.48,26.48,26.48,26.48,6
2023-08-23,26.48,26.48,26.48,26.48,0
2023-08-24,26.48,26.48,26.48,26.48,0
2023-08-25,25.86,25.86,25.77,25.77,500
2023-08-28,25.77,25.77,25.77,25.77,0
2023-08-29,26.48,26.48,26.48,26.48,200
2023-08-30,26.48,26.48,26.48,26.48,2201
2023-08-31,26.48,26.48,26.48,26.48,0
2023-09-05,29.57,29.57,26.48,26.48,300
2023-09-06,28.51,28.51,28.51,28.51,0
2023-09-07,28.24,29.66,28.24,29.66,208
2023-09-08,28.95,28.95,28.95,28.95,0
2023-09-11,28.95,28.95,28.95,28.95,0
2023-09-12,28.95,28.95,28.95,28.95,0
2023-09-13,28.24,29.13,28.24,29.13,501
2023-09-14,29.13,29.13,29.13,29.13,100
2023-09-15,29.13,29.13,29.13,29.13,5
2023-09-18,29.13,29.13,29.13,29.13,200
2023-09-19,29.13,29.13,29.13,29.13,600
2023-09-20,29.13,29.13,29.13,29.13,0
2023-09-21,29.13,29.13,29.13,29.13,0
2023-09-22,28.24,29.13,28.24,29.04,500
2023-09-25,28.86,28.86,28.86,28.86,0
2023-09-26,28.86,28.86,28.86,28.86,0
2023-09-27,28.86,28.86,28.86,28.86,0
2023-09-28,28.86,28.86,28.86,28.86,3
2023-09-29,28.86,28.86,28.86,28.86,0
