time,open,high,low,close,volume
2023-03-30,9.11,9.4,9.05,9.29,5656294
2023-03-31,9.31,9.46,9.12,9.29,1790314
2023-04-03,9.3,9.45,9.3,9.37,2728586
2023-04-04,9.4,9.46,9.31,9.4,2498360
2023-04-05,9.45,9.55,9.3,9.35,2228921
2023-04-06,9.37,9.98,9.37,9.58,7394129
2023-04-07,9.59,9.62,9.4,9.45,1926568
2023-04-10,9.6,9.8,9.23,9.45,3198980
2023-04-11,9.35,9.51,9.29,9.5,1265296
2023-04-12,9.49,9.49,9.35,9.37,1569651
2023-04-13,9.36,9.37,9.17,9.2,2150146
2023-04-14,9.22,9.32,9.17,9.2,1837582
2023-04-17,9.21,9.29,9.16,9.28,1048510
2023-04-18,9.28,9.42,9.28,9.42,1910576
2023-04-19,9.42,9.46,9.36,9.37,1988691
2023-04-20,9.38,9.51,9.38,9.45,1802470
2023-04-21,9.45,9.61,9.28,9.56,2815078
2023-04-24,9.59,9.7,9.47,9.58,1756589
2023-04-25,9.57,9.67,9.37,9.49,1836049
2023-04-26,9.42,10.15,9.4,10.15,12641085
2023-04-27,10.3,10.75,10.3,10.65,7480141
2023-04-28,10.75,11.0,10.2,10.5,7846177
2023-05-04,10.4,10.95,10.3,10.75,7137201
2023-05-05,10.8,11.1,10.5,10.75,5048769
2023-05-08,10.7,11.0,10.35,10.35,6265288
2023-05-09,10.45,10.9,10.2,10.9,6270954
2023-05-10,11.0,11.25,10.7,10.9,6858561
2023-05-11,10.95,11.2,10.7,11.0,5425510
2023-05-12,11.0,11.15,10.7,10.75,4723717
2023-05-15,10.9,11.25,10.75,11.0,8643799
2023-05-16,10.95,11.2,10.75,10.85,3234062
2023-05-17,10.85,11.1,10.65,11.05,7433306
2023-05-18,11.1,11.25,10.9,11.2,6232471
2023-05-19,11.25,11.3,10.8,11.0,5036781
2023-05-22,10.95,11.15,10.6,10.85,4596619
2023-05-23,10.8,11.0,10.7,10.8,4421309
2023-05-24,11.0,11.0,10.7,10.75,4837317
2023-05-25,10.75,11.1,10.7,10.95,8436638
2023-05-26,11.0,11.15,10.8,10.9,3995163
2023-05-29,11.0,11.15,10.85,11.05,6220062
2023-05-30,11.1,11.3,10.95,11.0,5553799
2023-05-31,11.05,11.55,10.9,11.4,10212224
2023-06-01,11.45,11.6,11.25,11.55,6610521
2023-06-02,11.6,11.9,11.4,11.7,7994853
2023-06-05,11.85,11.9,11.45,11.45,4830997
2023-06-06,11.45,11.6,11.35,11.55,6293361
2023-06-07,11.65,11.8,11.4,11.7,7129555
2023-06-08,11.7,11.8,11.45,11.45,7265343
2023-06-09,11.5,11.6,11.15,11.45,5323560
2023-06-12,11.45,11.6,11.35,11.55,5030117
2023-06-13,11.55,11.6,11.4,11.5,3989754
2023-06-14,11.55,11.65,11.2,11.2,5499557
2023-06-15,11.2,11.35,11.0,11.2,4418252
2023-06-16,11.25,11.3,10.7,10.75,8236967
2023-06-19,10.75,10.9,10.6,10.85,4763637
2023-06-20,10.85,10.95,10.65,10.95,4853921
2023-06-21,10.95,11.0,10.75,10.95,5968765
2023-06-22,10.95,11.25,10.85,11.25,7799861
2023-06-23,11.25,11.3,10.95,11.15,4100212
2023-06-26,11.1,11.25,10.85,11.0,4489633
2023-06-27,10.95,11.1,10.75,11.0,4897849
2023-06-28,11.0,11.05,10.8,11.0,4930751
2023-06-29,11.05,11.05,10.7,10.7,4314050
2023-06-30,10.7,10.9,10.65,10.8,4181101
2023-07-03,10.95,11.0,10.75,10.85,2136866
2023-07-04,10.9,10.9,10.7,10.85,3456232
2023-07-05,10.9,11.3,10.85,11.2,12596223
2023-07-06,11.25,11.5,11.15,11.4,13628262
2023-07-07,11.45,11.5,11.25,11.35,7131584
2023-07-10,11.45,11.7,11.35,11.5,11251001
2023-07-11,11.55,11.75,11.2,11.35,11637104
2023-07-12,11.3,11.5,11.15,11.25,8041456
2023-07-13,11.35,11.8,11.2,11.75,14979887
2023-07-14,11.85,11.9,11.45,11.6,8570622
2023-07-17,11.65,12.0,11.55,11.85,12312561
2023-07-18,11.85,11.9,11.55,11.7,5133566
2023-07-19,11.75,11.8,11.4,11.4,8664475
2023-07-20,11.35,11.5,11.3,11.45,7044423
2023-07-21,11.5,11.65,11.4,11.5,5640202
2023-07-24,11.65,11.8,11.45,11.8,10038423
2023-07-25,11.9,12.55,11.75,12.45,26646814
2023-07-26,12.5,12.65,12.05,12.25,11503427
2023-07-27,12.3,12.35,11.85,12.1,12923321
2023-07-28,12.1,12.35,11.9,12.35,10264037
2023-07-31,12.4,12.4,11.9,12.15,9439901
2023-08-01,12.15,12.2,11.65,11.65,9787814
2023-08-02,11.7,11.9,11.55,11.85,9589261
2023-08-03,11.85,11.95,11.7,11.75,7078824
2023-08-04,11.85,12.15,11.7,12.0,11772935
2023-08-07,12.1,12.15,11.8,11.95,9132444
2023-08-08,11.95,12.15,11.9,12.1,10579071
2023-08-09,12.05,12.45,11.95,12.15,11671547
2023-08-10,12.25,12.3,11.75,11.9,8311592
2023-08-11,11.9,12.0,11.5,11.75,8440913
2023-08-14,11.8,11.9,11.7,11.8,6993498
2023-08-15,11.85,12.15,11.8,12.0,14056635
2023-08-16,12.0,12.0,11.7,11.8,8233644
2023-08-17,11.8,11.9,11.6,11.75,8592439
2023-08-18,11.7,11.8,10.95,10.95,16349982
2023-08-21,10.85,10.95,10.2,10.35,20919515
2023-08-22,10.45,10.95,10.15,10.7,11100146
2023-08-23,10.75,10.9,10.4,10.55,5636829
