time,open,high,low,close,volume
2023-03-30,34.7,35.13,33.97,34.15,20218
2023-03-31,34.91,34.91,34.32,34.32,17675
2023-04-03,35.0,35.0,34.57,34.66,3454
2023-04-04,34.66,34.83,34.62,34.83,5615
2023-04-05,34.62,34.83,34.62,34.83,4501
2023-04-06,34.91,35.0,34.87,34.87,15286
2023-04-07,34.87,34.91,34.4,34.91,10202
2023-04-10,34.96,35.6,34.96,35.47,19606
2023-04-11,35.43,35.77,35.43,35.47,3631
2023-04-12,35.64,35.64,35.0,35.47,4900
2023-04-13,35.47,35.51,34.15,35.43,2400
2023-04-14,35.43,35.43,34.4,35.34,3156
2023-04-17,34.23,35.08,32.91,34.83,14402
2023-04-18,33.85,34.91,33.85,34.87,3323
2023-04-19,34.87,34.87,34.57,34.74,900
2023-04-20,34.23,34.7,34.02,34.7,8300
2023-04-21,33.97,34.23,33.97,34.15,2135
2023-04-24,34.15,34.4,34.15,34.4,400
2023-04-25,35.0,35.0,33.89,33.97,20646
2023-04-26,34.57,34.74,33.29,34.15,6500
2023-04-27,34.15,34.15,33.8,34.15,5502
2023-04-28,34.15,34.15,33.55,34.15,2008
2023-05-04,34.32,34.32,33.25,34.15,12265
2023-05-05,33.29,34.02,32.91,34.02,2360
2023-05-08,33.89,34.02,33.85,34.02,3600
2023-05-09,33.51,33.51,33.29,33.29,5320
2023-05-10,33.29,33.29,33.12,33.29,1600
2023-05-11,33.29,33.8,33.29,33.8,5610
2023-05-12,33.55,33.72,33.29,33.72,8116
2023-05-15,33.72,33.8,33.72,33.72,4904
2023-05-16,33.46,33.46,33.46,33.46,3104
2023-05-17,33.46,33.72,33.46,33.46,2635
2023-05-18,33.55,34.06,33.29,33.93,4300
2023-05-19,33.72,33.72,33.33,33.38,17124
2023-05-22,33.8,33.8,33.38,33.38,4053
2023-05-23,33.38,33.51,33.29,33.46,8001
2023-05-24,33.46,33.46,33.29,33.29,4710
2023-05-25,33.29,33.46,32.95,33.04,9300
2023-05-26,33.29,33.29,33.25,33.29,2610
2023-05-29,33.29,33.29,32.87,33.29,6800
2023-05-30,33.29,33.29,32.95,32.95,9100
2023-05-31,33.29,33.59,32.99,33.59,14300
2023-06-01,33.63,33.8,33.29,33.29,11300
2023-06-02,33.72,33.72,33.12,33.29,11800
2023-06-05,33.33,34.06,33.33,34.06,13511
2023-06-06,33.72,34.06,33.72,34.06,6376
2023-06-07,34.06,34.91,34.06,34.44,9400
2023-06-08,34.15,34.15,33.72,34.1,13935
2023-06-09,33.72,34.1,33.51,34.1,7005
2023-06-12,33.72,33.97,33.63,33.97,8945
2023-06-13,33.97,33.97,33.8,33.85,3640
2023-06-14,33.85,34.32,33.72,34.06,20467
2023-06-15,34.53,34.62,34.06,34.15,16895
2023-06-16,34.49,35.08,34.32,34.32,16537
2023-06-19,33.63,34.06,33.55,33.68,5800
2023-06-20,33.72,33.72,33.55,33.72,5020
2023-06-21,33.72,33.72,33.51,33.72,9118
2023-06-22,33.72,34.06,33.55,33.72,34034
2023-06-23,33.38,33.97,33.38,33.8,10251
2023-06-26,33.51,35.85,33.51,34.83,58066
2023-06-27,35.43,37.26,34.91,37.26,45325
2023-06-28,39.52,39.52,37.26,37.73,22225
2023-06-29,37.73,38.84,37.39,37.39,13624
2023-06-30,37.39,37.39,37.13,37.39,2900
2023-07-03,36.62,37.99,36.62,37.47,5301
2023-07-04,37.82,37.82,36.71,36.79,7301
2023-07-05,36.96,36.96,35.81,35.81,11422
2023-07-06,35.85,37.39,35.81,35.85,25500
2023-07-07,36.79,36.79,35.98,36.62,12351
2023-07-10,37.47,37.47,35.85,36.28,27400
2023-07-11,36.41,37.01,36.28,36.83,25567
2023-07-12,36.83,36.83,36.41,36.41,26018
2023-07-13,36.45,37.99,36.45,37.9,15585
2023-07-14,37.9,37.99,37.13,37.56,30325
2023-07-17,37.56,38.93,37.56,38.41,45356
2023-07-18,39.7,39.8,39.32,39.8,20552
2023-07-19,39.84,40.46,39.61,39.8,9035
2023-07-20,39.8,40.27,39.42,40.27,11205
2023-07-21,40.27,40.27,39.8,39.99,8108
2023-07-24,39.99,39.99,38.99,39.8,26874
2023-07-25,40.22,40.74,39.61,39.61,6282
2023-07-26,40.65,40.65,39.61,39.7,8450
2023-07-27,39.8,39.8,39.32,39.7,4028
2023-07-28,39.42,40.65,39.42,40.08,37639
2023-07-31,40.08,40.65,39.8,40.08,15729
