time,open,high,low,close,volume
2023-03-30,82.4,82.8,82.1,82.1,3300
2023-03-31,82.0,82.1,81.6,82.0,10862
2023-04-03,70.0,82.1,70.0,81.3,13921
2023-04-04,81.5,81.9,80.9,81.1,18441
2023-04-05,81.1,81.1,80.3,80.5,23426
2023-04-06,80.5,80.6,80.3,80.5,9900
2023-04-07,80.5,80.5,79.8,80.0,22120
2023-04-10,80.1,80.1,77.5,77.5,35910
2023-04-11,77.5,78.0,77.5,77.8,31304
2023-04-12,77.8,80.1,77.8,78.4,45808
2023-04-13,78.9,78.9,78.1,78.1,27400
2023-04-14,78.9,78.9,77.5,78.0,8902
2023-04-17,78.3,78.3,77.9,78.0,5900
2023-04-18,78.1,78.1,76.9,77.0,23578
2023-04-19,77.1,78.3,77.0,77.1,41341
2023-04-20,77.1,79.0,77.1,78.8,22892
2023-04-21,78.6,78.6,77.5,77.5,1713
2023-04-24,77.5,78.0,77.3,78.0,12442
2023-04-25,78.0,78.0,76.2,76.2,53901
2023-04-26,77.7,77.7,76.3,77.0,866
2023-04-27,77.0,77.0,76.3,77.0,5866
2023-04-28,78.0,78.5,77.3,78.0,24112
2023-05-04,78.0,78.0,76.4,76.4,20571
2023-05-05,76.0,77.1,76.0,77.0,35950
2023-05-08,76.3,77.9,76.3,76.9,11572
2023-05-09,77.5,77.9,77.1,77.3,19500
2023-05-10,77.5,81.8,77.3,81.8,58922
2023-05-11,80.8,81.0,79.8,80.7,32344
2023-05-12,80.6,80.9,79.1,80.7,15528
2023-05-15,80.0,80.0,79.3,79.3,4347
2023-05-16,79.5,79.5,78.7,78.7,3018
2023-05-17,78.6,79.0,78.5,79.0,18074
2023-05-18,78.9,79.0,78.7,78.8,1701
2023-05-19,78.8,79.0,78.8,78.8,2024
2023-05-22,78.9,79.0,78.8,78.9,2370
2023-05-23,78.1,78.9,78.0,78.1,6110
2023-05-24,78.3,78.3,77.8,78.0,13200
2023-05-25,77.8,78.0,77.5,77.7,11235
2023-05-26,77.6,77.7,77.6,77.6,5304
2023-05-29,78.3,78.4,77.5,77.8,7351
2023-05-30,77.6,77.7,77.5,77.5,16346
2023-05-31,78.0,78.0,77.6,77.9,6531
2023-06-01,77.7,77.7,77.5,77.5,6590
2023-06-02,77.6,78.0,77.6,77.6,7400
2023-06-05,78.0,79.8,77.7,79.4,14300
2023-06-06,80.0,80.0,77.5,77.5,19094
2023-06-07,77.5,78.0,77.5,78.0,18519
2023-06-08,77.6,77.9,77.5,77.6,14349
2023-06-09,77.6,79.0,77.6,79.0,17768
2023-06-12,77.9,78.0,77.5,77.9,5639
2023-06-13,77.8,78.3,77.7,78.0,29102
2023-06-14,78.1,78.2,78.0,78.0,4734
2023-06-15,78.0,78.0,76.0,76.0,12305
2023-06-16,77.6,78.0,77.5,78.0,11000
2023-06-19,78.0,78.0,77.5,77.5,6909
2023-06-20,77.6,77.6,77.2,77.6,15701
2023-06-21,77.6,78.0,76.8,77.9,9000
2023-06-22,77.1,77.9,77.1,77.8,3221
2023-06-23,77.6,77.7,77.6,77.6,5410
2023-06-26,77.7,77.7,77.0,77.7,2712
2023-06-27,77.3,77.7,77.3,77.5,5444
2023-06-28,77.5,77.7,75.1,75.1,84100
2023-06-29,76.2,77.5,75.0,77.0,93712
2023-06-30,77.0,77.0,73.1,73.5,246563
2023-07-03,74.0,76.0,74.0,75.5,118072
2023-07-04,76.0,76.2,75.0,76.2,111396
2023-07-05,75.6,76.1,75.4,76.0,67251
2023-07-06,76.5,76.5,76.0,76.4,48047
2023-07-07,76.9,77.6,76.0,76.4,39703
2023-07-10,77.2,77.9,77.2,77.7,97286
2023-07-11,77.8,79.1,77.8,79.0,56135
2023-07-12,79.4,82.5,78.9,82.5,104950
2023-07-13,82.0,83.0,81.0,82.9,66651
2023-07-14,82.2,83.5,82.2,82.6,79645
2023-07-17,82.6,83.5,78.5,78.5,90606
2023-07-18,79.0,82.0,78.5,79.0,46723
2023-07-19,80.8,80.8,79.3,79.4,40901
2023-07-20,79.5,79.9,79.4,79.7,61402
2023-07-21,79.7,80.8,79.7,80.8,48238
2023-07-24,81.1,81.1,80.2,80.3,27419
2023-07-25,80.0,80.5,79.5,79.5,43613
2023-07-26,80.1,80.2,79.7,80.0,23600
2023-07-27,80.1,80.2,79.6,80.0,26515
2023-07-28,79.9,80.0,79.5,79.6,15220
2023-07-31,79.6,80.4,79.6,80.4,55583
2023-08-01,80.5,82.0,80.5,80.5,26716
2023-08-02,81.0,81.8,81.0,81.7,82702
2023-08-03,81.6,82.0,80.1,82.0,41573
2023-08-04,81.1,81.8,81.1,81.2,1201
2023-08-07,81.7,81.9,81.4,81.7,17873
2023-08-08,82.0,82.0,81.0,81.1,17492
2023-08-09,81.8,82.0,81.0,81.1,6670
2023-08-10,81.5,81.8,80.6,80.6,17315
2023-08-11,80.7,80.7,79.0,79.9,48473
2023-08-14,79.9,79.9,78.1,78.5,41148
2023-08-15,79.8,79.8,77.3,77.7,80969
2023-08-16,78.5,79.4,78.5,79.2,17288
2023-08-17,79.3,79.5,79.1,79.3,16224
2023-08-18,79.1,79.1,77.6,77.8,50121
2023-08-21,77.8,78.4,77.7,78.2,13361
2023-08-22,77.7,78.5,77.7,78.0,11802
2023-08-23,78.0,78.5,77.8,78.3,84620
2023-08-24,78.2,78.2,75.5,76.5,160545
2023-08-25,76.2,77.6,76.2,77.5,16867
2023-08-28,77.1,77.1,74.9,75.5,114453
2023-08-29,75.6,76.0,75.0,75.3,74233
2023-08-30,75.5,76.0,73.9,75.8,252546
2023-08-31,75.8,76.3,74.0,75.0,156122
2023-09-05,76.1,76.1,75.0,75.0,50995
2023-09-06,75.7,76.1,75.1,76.0,172613
2023-09-07,76.3,76.3,75.4,75.6,109927
2023-09-08,75.6,75.6,74.6,75.1,129876
2023-09-11,75.5,76.0,74.6,74.8,127843
2023-09-12,75.0,75.8,74.8,75.8,47216
2023-09-13,75.5,75.8,75.1,75.1,64445
2023-09-14,75.5,75.7,74.9,75.1,88848
2023-09-15,75.3,75.4,75.0,75.3,66711
2023-09-18,75.2,76.1,75.1,76.0,87888
2023-09-19,76.0,76.7,76.0,76.7,88551
2023-09-20,76.7,78.3,76.7,78.0,96361
2023-09-21,77.5,78.0,77.5,77.9,42714
2023-09-22,77.4,77.4,76.7,77.0,110581
2023-09-25,77.1,77.3,76.9,77.2,73482
2023-09-26,77.1,77.1,75.3,75.5,98412
2023-09-27,76.1,76.1,74.7,75.5,24885
2023-09-28,75.5,75.5,74.7,75.1,53427
2023-09-29,75.1,75.1,74.8,74.9,31589
2023-10-02,74.9,75.6,74.9,75.2,19238
2023-10-03,75.0,75.2,74.3,75.2,40788
2023-10-04,74.6,74.6,74.2,74.5,27578
2023-10-05,74.7,75.0,74.4,74.6,21535
2023-10-06,74.2,74.9,74.2,74.3,21672
2023-10-09,74.0,74.6,74.0,74.4,50374
2023-10-10,74.5,74.5,74.3,74.4,20168
2023-10-11,74.7,74.7,74.0,74.4,54252
2023-10-12,74.4,74.4,73.9,74.0,58117
2023-10-13,74.0,74.1,74.0,74.1,19005
2023-10-16,73.9,74.4,73.5,74.0,20900
2023-10-17,74.1,74.3,74.0,74.3,61825
2023-10-18,74.1,74.1,73.4,73.7,31500
2023-10-19,73.8,73.8,73.1,73.3,22987
2023-10-20,73.5,74.5,73.3,74.2,48929
2023-10-23,74.2,74.2,73.5,73.7,2805
2023-10-24,74.0,74.0,73.0,73.2,21213
2023-10-25,72.8,73.2,72.6,72.8,76201
2023-10-26,74.5,74.5,71.0,71.1,45444
2023-10-27,71.0,71.6,70.0,70.4,75162
2023-10-30,70.7,71.0,70.3,70.7,57700
2023-10-31,71.1,71.1,69.6,69.8,43608
2023-11-01,69.1,70.3,69.1,69.9,60327
2023-11-02,69.7,70.7,69.7,70.2,25802
2023-11-03,70.3,71.4,70.0,70.0,23433
2023-11-06,70.0,70.2,69.8,69.8,47131
2023-11-07,70.3,72.4,70.1,72.4,104151
2023-11-08,71.5,72.4,70.7,71.9,66018
2023-11-09,71.5,71.9,70.0,70.4,95896
2023-11-10,70.4,70.4,69.9,70.0,30355
2023-11-13,70.2,70.9,69.9,70.0,17006
2023-11-14,70.6,70.9,70.4,70.6,29004
2023-11-15,70.6,71.5,70.5,71.1,64360
2023-11-16,71.1,72.6,71.1,72.5,84720
2023-11-17,72.5,73.4,71.6,73.0,20930
2023-11-20,73.0,73.0,71.6,71.7,30684
2023-11-21,71.7,72.3,71.7,71.8,20815
2023-11-22,72.1,72.1,70.8,71.7,58658
2023-11-23,71.7,71.7,69.7,69.7,165513
2023-11-24,69.9,69.9,68.8,69.0,59773
2023-11-27,69.0,69.2,68.7,68.7,42180
2023-11-28,68.7,69.0,68.2,69.0,43942
2023-11-29,72.7,72.7,68.0,68.6,149637
2023-11-30,68.1,69.3,67.9,67.9,56208
2023-12-01,68.1,68.1,67.4,67.7,35295
2023-12-04,69.3,69.4,63.0,67.2,88079
2023-12-05,67.3,68.0,67.1,67.1,32118
2023-12-06,67.0,67.8,66.9,67.7,69269
2023-12-07,67.7,67.7,66.5,66.7,56801
2023-12-08,67.0,67.0,66.0,66.3,100251
2023-12-11,66.6,66.6,66.3,66.6,18955
2023-12-12,67.0,67.0,64.6,65.8,161941
2023-12-13,66.0,66.1,64.2,64.8,110345
2023-12-14,65.0,65.0,63.7,64.5,134452
2023-12-15,64.1,64.5,63.2,64.5,97335
