time,open,high,low,close,volume
2023-03-30,10.9,10.9,10.9,10.9,0
2023-03-31,8.0,8.0,8.0,8.0,500
2023-04-03,8.0,8.0,8.0,8.0,0
2023-04-04,8.0,8.0,8.0,8.0,0
2023-04-05,8.0,8.0,8.0,8.0,0
2023-04-06,8.0,8.0,8.0,8.0,0
2023-04-07,8.0,8.0,8.0,8.0,0
2023-04-10,8.0,8.0,8.0,8.0,0
2023-04-11,8.0,8.0,8.0,8.0,0
2023-04-12,8.0,8.0,8.0,8.0,0
2023-04-13,8.0,8.0,8.0,8.0,0
2023-04-14,8.0,8.0,8.0,8.0,0
2023-04-17,8.0,8.0,8.0,8.0,0
2023-04-18,8.0,8.0,8.0,8.0,0
2023-04-19,8.0,8.0,8.0,8.0,0
2023-04-20,8.0,8.0,8.0,8.0,0
2023-04-21,8.0,8.0,8.0,8.0,0
2023-04-24,8.0,8.0,8.0,8.0,0
2023-04-25,8.0,8.0,8.0,8.0,0
2023-04-26,8.0,8.0,8.0,8.0,0
2023-04-27,8.0,8.0,8.0,8.0,0
2023-04-28,8.0,8.0,8.0,8.0,0
2023-05-04,8.0,8.0,8.0,8.0,0
2023-05-05,8.0,8.0,8.0,8.0,0
2023-05-08,8.0,8.0,8.0,8.0,0
2023-05-09,8.0,8.0,8.0,8.0,0
2023-05-10,8.0,8.0,8.0,8.0,0
2023-05-11,8.0,8.0,8.0,8.0,0
2023-05-12,8.0,8.0,8.0,8.0,0
2023-05-15,8.0,8.0,8.0,8.0,0
2023-05-16,8.0,8.0,8.0,8.0,0
2023-05-17,8.0,8.0,8.0,8.0,0
2023-05-18,8.0,8.0,8.0,8.0,0
2023-05-19,8.0,8.0,8.0,8.0,0
2023-05-22,8.0,8.0,8.0,8.0,0
2023-05-23,8.0,8.0,8.0,8.0,0
2023-05-24,8.0,8.0,8.0,8.0,0
2023-05-25,8.0,8.0,8.0,8.0,0
2023-05-26,8.0,8.0,8.0,8.0,1500
2023-05-29,8.0,8.0,8.0,8.0,0
2023-05-30,8.0,8.0,8.0,8.0,0
2023-05-31,8.0,8.0,8.0,8.0,0
2023-06-01,8.0,8.0,8.0,8.0,0
2023-06-02,8.5,9.2,8.5,9.2,1000
2023-06-05,8.9,8.9,8.9,8.9,0
2023-06-06,8.9,8.9,8.9,8.9,0
2023-06-07,8.9,8.9,8.9,8.9,0
2023-06-08,8.9,8.9,8.9,8.9,0
2023-06-09,7.6,10.2,7.6,10.0,500
2023-06-12,9.6,9.6,9.6,9.6,0
2023-06-13,9.6,9.6,9.6,9.6,0
2023-06-14,9.6,9.6,9.6,9.6,0
2023-06-15,9.6,9.6,9.6,9.6,0
2023-06-16,11.0,11.0,11.0,11.0,600
2023-06-19,11.0,11.0,11.0,11.0,0
2023-06-20,11.0,11.0,11.0,11.0,0
2023-06-21,11.0,11.0,11.0,11.0,0
2023-06-22,11.0,11.0,11.0,11.0,0
2023-06-23,11.9,12.5,11.9,12.5,2200
2023-06-26,12.0,12.0,12.0,12.0,0
2023-06-27,12.0,12.0,12.0,12.0,0
2023-06-28,12.0,12.0,12.0,12.0,0
2023-06-29,12.0,12.0,12.0,12.0,0
2023-06-30,12.9,12.9,12.0,12.9,1500
2023-07-03,12.3,12.3,12.3,12.3,0
2023-07-04,12.3,12.3,12.3,12.3,0
2023-07-05,12.3,12.3,12.3,12.3,0
2023-07-06,12.3,12.3,12.3,12.3,0
2023-07-07,14.1,14.1,14.1,14.1,300
2023-07-10,14.1,14.1,14.1,14.1,0
