time,open,high,low,close,volume
2023-03-30,8.1,8.1,8.1,8.1,0
2023-03-31,8.3,8.3,8.3,8.3,500
2023-04-03,8.3,8.3,8.3,8.3,0
2023-04-04,8.3,8.3,8.3,8.3,0
2023-04-05,9.0,9.0,9.0,9.0,150
2023-04-06,9.0,9.0,9.0,9.0,201
2023-04-07,9.0,9.0,9.0,9.0,0
2023-04-10,9.4,9.4,9.4,9.4,305
2023-04-11,9.5,9.5,9.5,9.5,5006
2023-04-12,9.5,9.5,9.5,9.5,0
2023-04-13,9.5,9.5,9.5,9.5,0
2023-04-14,8.4,8.4,8.4,8.4,100
2023-04-17,8.4,8.4,8.4,8.4,0
2023-04-18,8.4,8.4,8.4,8.4,0
2023-04-19,8.4,8.4,8.4,8.4,0
2023-04-20,8.4,8.4,8.4,8.4,0
2023-04-21,8.4,8.4,8.4,8.4,0
2023-04-24,8.4,8.4,8.4,8.4,200
2023-04-25,8.4,8.4,8.4,8.4,0
2023-04-26,8.4,8.4,8.4,8.4,1
2023-04-27,7.7,7.7,7.7,7.7,100
2023-04-28,8.8,8.8,8.8,8.8,1100
2023-05-04,8.8,8.8,8.8,8.8,5
2023-05-05,8.8,8.8,8.8,8.8,0
2023-05-08,8.4,8.4,8.4,8.4,500
2023-05-09,8.4,8.4,8.4,8.4,0
2023-05-10,8.4,8.4,8.4,8.4,0
2023-05-11,8.4,8.4,8.4,8.4,200
2023-05-12,8.5,8.5,8.5,8.5,4600
2023-05-15,8.3,8.5,8.3,8.5,1100
2023-05-16,8.5,8.5,8.5,8.5,5280
2023-05-17,8.5,8.5,8.5,8.5,0
2023-05-18,8.5,8.5,8.5,8.5,0
2023-05-19,8.8,8.8,8.8,8.8,500
2023-05-22,9.4,9.4,9.4,9.4,140
2023-05-23,8.9,8.9,8.5,8.5,1201
2023-05-24,8.6,8.6,8.6,8.6,0
2023-05-25,8.6,8.6,8.5,8.5,1400
2023-05-26,8.5,8.5,8.5,8.5,0
2023-05-29,8.5,8.5,8.5,8.5,0
2023-05-30,8.4,8.5,8.4,8.5,5000
2023-05-31,8.4,8.4,8.4,8.4,3100
2023-06-01,8.4,8.4,8.4,8.4,750
2023-06-02,8.2,8.4,8.2,8.4,500
2023-06-05,8.5,8.5,8.5,8.5,300
2023-06-06,8.5,8.5,8.5,8.5,1701
2023-06-07,8.3,8.4,8.3,8.4,2000
2023-06-08,8.2,8.4,8.2,8.4,1300
2023-06-09,8.5,8.5,8.5,8.5,2300
2023-06-12,8.5,8.5,8.5,8.5,0
2023-06-13,8.5,8.5,8.5,8.5,2000
2023-06-14,8.3,8.5,8.3,8.5,1200
2023-06-15,9.6,9.6,9.4,9.4,4803
2023-06-16,8.5,8.6,8.4,8.6,5900
2023-06-19,9.2,9.7,9.0,9.7,17807
2023-06-20,9.2,9.2,9.2,9.2,2500
2023-06-21,10.3,10.5,9.5,10.5,15310
2023-06-22,10.5,10.5,10.5,10.5,1311
2023-06-23,10.5,10.5,10.5,10.5,446
2023-06-26,9.2,10.0,9.2,9.9,1800
2023-06-27,10.9,10.9,10.0,10.0,200
2023-06-28,10.1,11.5,10.1,11.5,601
2023-06-29,10.4,10.5,10.4,10.5,300
2023-06-30,10.8,10.8,10.8,10.8,100
2023-07-03,11.0,11.0,11.0,11.0,206
2023-07-04,11.0,11.0,11.0,11.0,8500
2023-07-05,11.0,11.0,11.0,11.0,1
2023-07-06,11.0,11.0,11.0,11.0,1
2023-07-07,11.0,11.0,11.0,11.0,0
2023-07-10,11.0,11.3,11.0,11.0,17908
2023-07-11,11.3,12.5,11.3,12.5,5000
2023-07-12,13.5,13.5,13.5,13.5,1009
2023-07-13,13.5,15.3,13.5,15.3,10100
2023-07-14,15.0,15.6,14.0,14.0,1800
2023-07-17,16.0,16.1,15.2,15.9,1674700
2023-07-18,15.9,16.1,15.6,15.6,1883402
2023-07-19,15.6,15.6,15.6,15.6,908
2023-07-20,16.7,16.7,16.2,16.2,3301
2023-07-21,16.3,16.3,15.9,16.0,23000
2023-07-24,16.2,16.2,16.2,16.2,7000
2023-07-25,16.0,16.0,14.0,14.0,6400
2023-07-26,15.9,15.9,15.9,15.9,20
2023-07-27,15.9,15.9,15.9,15.9,15
2023-07-28,14.0,14.0,14.0,14.0,522
2023-07-31,13.7,13.7,13.5,13.6,1941
2023-08-01,11.7,12.0,11.7,11.8,1610
2023-08-02,12.0,12.0,12.0,12.0,1500
2023-08-03,12.0,12.0,12.0,12.0,109
2023-08-04,11.5,11.5,11.5,11.5,110
2023-08-07,11.5,11.5,10.2,10.3,21000
2023-08-08,10.3,10.3,10.3,10.3,105
2023-08-09,10.3,10.3,10.3,10.3,1700
2023-08-10,9.0,10.1,9.0,10.0,1900
2023-08-11,10.0,10.0,10.0,10.0,300
2023-08-14,10.0,10.0,10.0,10.0,0
2023-08-15,10.1,10.1,10.1,10.1,310
2023-08-16,9.2,9.2,9.2,9.2,100
2023-08-17,9.2,10.3,9.2,10.3,900
2023-08-18,9.3,9.3,9.3,9.3,0
2023-08-21,9.3,9.3,9.3,9.3,0
2023-08-22,10.0,10.0,10.0,10.0,5000
2023-08-23,9.3,10.0,9.3,10.0,1200
2023-08-24,9.4,9.4,9.4,9.4,0
2023-08-25,10.0,10.0,9.7,9.7,600
2023-08-28,10.0,10.0,10.0,10.0,100
2023-08-29,10.0,10.0,10.0,10.0,0
2023-08-30,10.0,10.0,10.0,10.0,8000
2023-08-31,10.0,10.0,10.0,10.0,9900
2023-09-05,10.0,10.0,10.0,10.0,0
2023-09-06,10.0,10.0,10.0,10.0,0
2023-09-07,9.8,9.8,9.8,9.8,200
2023-09-08,9.8,9.8,9.8,9.8,600
2023-09-11,9.8,9.8,9.8,9.8,0
2023-09-12,9.8,9.8,9.8,9.8,200
2023-09-13,9.8,9.8,9.8,9.8,1150
2023-09-14,9.8,9.8,9.8,9.8,100
2023-09-15,9.8,9.8,9.8,9.8,405
2023-09-18,9.5,9.5,9.3,9.3,1500
2023-09-19,9.4,9.4,9.4,9.4,0
2023-09-20,9.4,9.4,9.4,9.4,700
2023-09-21,9.4,9.4,9.4,9.4,401
2023-09-22,10.4,10.4,10.4,10.4,100
2023-09-25,10.4,10.4,10.0,10.0,300
2023-09-26,10.3,10.3,10.3,10.3,0
2023-09-27,10.3,10.3,10.3,10.3,0
2023-09-28,10.3,10.3,10.3,10.3,0
2023-09-29,9.9,9.9,9.9,9.9,100
2023-10-02,9.9,9.9,9.9,9.9,0
2023-10-03,9.6,9.6,9.6,9.6,100
2023-10-04,9.6,9.6,9.6,9.6,0
2023-10-05,9.8,9.8,9.8,9.8,200
2023-10-06,9.8,9.8,9.8,9.8,0
2023-10-09,9.8,9.8,9.8,9.8,1
2023-10-10,9.5,9.5,9.5,9.5,100
2023-10-11,9.4,9.4,9.4,9.4,920
2023-10-12,9.4,9.4,9.4,9.4,0
2023-10-13,9.4,9.4,9.4,9.4,0
2023-10-16,9.4,9.4,9.4,9.4,21
2023-10-17,9.4,9.4,9.4,9.4,0
2023-10-18,9.4,9.4,9.4,9.4,0
2023-10-19,9.4,9.4,9.4,9.4,0
2023-10-20,9.4,9.4,9.4,9.4,0
2023-10-23,9.4,9.4,9.4,9.4,1000
2023-10-24,9.4,9.4,9.4,9.4,400
2023-10-25,9.4,9.4,9.4,9.4,0
2023-10-26,9.5,9.5,9.5,9.5,200
2023-10-27,9.5,9.5,9.5,9.5,0
2023-10-30,9.5,9.5,9.5,9.5,0
2023-10-31,9.1,9.1,9.1,9.1,100
2023-11-01,9.1,9.1,9.1,9.1,0
2023-11-02,9.1,9.1,9.1,9.1,0
2023-11-03,9.1,9.1,9.1,9.1,0
2023-11-06,9.1,9.1,9.1,9.1,0
2023-11-07,9.1,9.1,9.1,9.1,0
2023-11-08,9.1,9.1,9.1,9.1,0
2023-11-09,9.1,9.1,9.1,9.1,130
2023-11-10,9.1,9.1,9.1,9.1,21
2023-11-13,9.1,9.1,9.1,9.1,293
2023-11-14,9.2,9.2,9.2,9.2,100
2023-11-15,9.2,9.2,9.2,9.2,0
2023-11-16,9.2,9.2,9.2,9.2,0
2023-11-17,9.2,9.2,9.2,9.2,100
2023-11-20,9.2,9.2,9.2,9.2,0
2023-11-21,9.2,9.2,9.2,9.2,0
2023-11-22,8.5,9.2,8.0,9.2,1427
2023-11-23,9.5,9.5,9.0,9.0,400
2023-11-24,9.3,9.3,9.3,9.3,0
2023-11-27,9.0,9.0,9.0,9.0,100
2023-11-28,9.4,9.4,9.4,9.4,100
2023-11-29,9.4,9.4,9.4,9.4,0
2023-11-30,9.4,9.4,9.4,9.4,0
2023-12-01,9.1,9.1,9.1,9.1,100
2023-12-04,9.1,9.1,9.1,9.1,300
2023-12-05,9.1,9.2,9.1,9.2,801
2023-12-06,9.0,9.0,8.8,8.8,3200
2023-12-07,8.9,8.9,8.9,8.9,0
2023-12-08,8.9,8.9,8.9,8.9,0
2023-12-11,8.9,8.9,8.9,8.9,1
2023-12-12,8.9,8.9,8.9,8.9,200
2023-12-13,8.0,8.5,8.0,8.3,6600
2023-12-14,8.3,8.3,8.3,8.3,70
2023-12-15,8.3,8.3,8.3,8.3,0
2023-12-18,9.3,9.3,9.3,9.3,100
2023-12-19,9.3,9.3,9.3,9.3,0
2023-12-20,9.3,9.3,9.3,9.3,0
2023-12-21,8.2,8.7,8.2,8.7,300
2023-12-22,9.4,9.4,9.4,9.4,100
2023-12-25,8.0,9.4,8.0,9.4,400
2023-12-26,9.3,9.3,7.4,7.5,2600
2023-12-27,8.3,8.3,8.3,8.3,2300
2023-12-28,8.2,8.4,8.2,8.4,5870
2023-12-29,8.3,8.3,8.3,8.3,1
2024-01-02,7.6,7.6,7.6,7.6,100
2024-01-03,7.8,7.8,7.8,7.8,1500
2024-01-04,7.9,7.9,7.9,7.9,147
2024-01-05,8.1,8.1,8.1,8.1,2100
2024-01-08,8.4,8.4,8.4,8.4,700
2024-01-09,8.5,8.5,8.5,8.5,800
2024-01-10,8.5,8.5,8.5,8.5,0
2024-01-11,8.5,8.5,8.5,8.5,100
2024-01-12,8.5,8.5,8.5,8.5,1
2024-01-15,8.5,8.5,8.5,8.5,0
2024-01-16,8.3,8.3,8.3,8.3,1200
2024-01-17,8.3,8.3,8.3,8.3,900
2024-01-18,7.7,8.0,7.7,8.0,419
2024-01-19,8.1,8.1,8.1,8.1,200
2024-01-22,8.1,8.1,8.1,8.1,80
2024-01-23,8.1,8.1,8.1,8.1,0
2024-01-24,8.0,8.1,6.9,8.1,5302
2024-01-25,8.1,8.1,8.1,8.1,501
2024-01-26,8.0,8.2,8.0,8.0,3805
2024-01-29,7.9,7.9,7.9,7.9,123
2024-01-30,8.0,8.0,8.0,8.0,100
2024-01-31,8.0,8.0,8.0,8.0,3050
2024-02-01,8.0,8.0,8.0,8.0,6
2024-02-02,8.0,8.0,8.0,8.0,0
2024-02-05,8.5,9.0,8.0,9.0,404
2024-02-06,8.6,8.6,8.6,8.6,0
2024-02-07,7.9,7.9,7.9,7.9,100
2024-02-15,7.9,9.0,7.9,9.0,200
2024-02-16,8.6,9.2,8.6,9.2,210
2024-02-19,10.2,10.2,10.1,10.1,2385
2024-02-20,10.1,11.0,9.0,10.7,11996
2024-02-21,11.4,11.4,10.5,10.8,931
2024-02-22,11.4,11.4,11.0,11.0,1500
2024-02-23,11.0,11.0,11.0,11.0,0
2024-02-26,11.0,11.0,11.0,11.0,3
2024-02-27,11.0,11.0,11.0,11.0,28
2024-02-28,11.0,11.0,11.0,11.0,10
2024-02-29,11.0,11.0,11.0,11.0,0
2024-03-01,11.0,11.0,11.0,11.0,0
2024-03-04,9.4,10.5,9.4,9.4,9535
2024-03-05,9.4,9.4,8.1,8.6,1852
2024-03-06,9.4,9.4,9.4,9.4,140
2024-03-07,9.4,9.4,9.3,9.3,900
2024-03-08,9.2,9.2,9.2,9.2,207
2024-03-11,9.2,9.2,9.2,9.2,100
2024-03-12,9.0,10.2,9.0,10.0,503
2024-03-13,10.0,10.0,10.0,10.0,234
2024-03-14,8.6,9.7,8.6,9.7,200
2024-03-15,9.8,9.9,8.0,8.0,11810
2024-03-18,8.1,8.1,7.5,7.6,3300
2024-03-19,7.8,7.8,7.8,7.8,2400
