time,open,high,low,close,volume
2023-03-30,25.64,25.91,24.73,25.41,76701
2023-03-31,24.73,25.73,24.73,25.09,73301
2023-04-03,25.09,25.27,24.54,25.09,91924
2023-04-04,24.73,25.45,24.73,24.91,23511
2023-04-05,24.68,25.45,24.68,25.45,20218
2023-04-06,25.0,25.86,25.0,25.82,68300
2023-04-07,25.45,26.09,25.45,25.82,184310
2023-04-10,25.04,27.59,25.04,27.5,73603
2023-04-11,25.82,27.73,25.59,27.45,130003
2023-04-12,25.64,27.91,25.54,27.27,467337
2023-04-13,25.64,27.27,25.41,25.5,257505
2023-04-14,25.64,25.86,25.45,25.82,101003
2023-04-17,25.27,25.82,25.18,25.18,27103
2023-04-18,25.32,25.45,24.86,25.41,39607
2023-04-19,25.32,25.77,25.27,25.27,114141
2023-04-20,25.32,25.59,25.23,25.27,29400
2023-04-21,25.18,25.5,25.18,25.45,36308
2023-04-24,25.45,25.91,25.32,25.91,33520
2023-04-25,25.45,26.36,25.45,26.23,76191
2023-04-26,25.59,26.36,25.59,26.27,32709
2023-04-27,25.73,26.54,25.68,26.54,74000
2023-04-28,25.86,26.64,25.64,26.54,52107
2023-05-04,25.68,26.54,25.54,25.54,57303
2023-05-05,25.23,26.23,25.23,25.54,2910
2023-05-08,25.45,25.77,25.45,25.64,20527
2023-05-09,24.59,25.91,24.0,25.82,79001
2023-05-10,25.5,25.86,25.45,25.86,33993
2023-05-11,25.45,26.0,25.45,25.95,71400
2023-05-12,25.59,27.27,25.59,26.77,41000
2023-05-15,26.77,26.82,25.68,26.64,84068
2023-05-16,25.86,26.82,25.0,25.0,219611
2023-05-17,26.04,26.04,25.04,25.82,9503
2023-05-18,25.45,26.64,25.45,26.32,96900
2023-05-19,25.45,26.64,25.45,26.18,219004
2023-05-22,25.77,25.86,25.77,25.77,9225
2023-05-23,25.77,26.27,25.59,25.73,56385
2023-05-24,25.64,26.23,25.64,25.91,79500
2023-05-25,25.64,25.86,25.54,25.54,18114
2023-05-26,25.59,25.82,23.77,25.64,30300
2023-05-29,25.77,26.18,25.73,26.18,212904
2023-05-30,25.91,26.18,25.59,25.91,36221
2023-05-31,25.59,26.04,25.54,25.82,81330
2023-06-01,25.5,25.86,25.5,25.5,26216
2023-06-02,25.54,25.68,23.73,25.5,77003
2023-06-05,25.59,25.59,25.27,25.45,28050
2023-06-06,25.45,25.64,25.41,25.54,34908
2023-06-07,25.54,25.68,25.41,25.68,95602
2023-06-08,25.45,25.64,25.27,25.64,64900
2023-06-09,25.59,25.82,25.18,25.82,51800
2023-06-12,25.5,25.68,25.32,25.68,6155
2023-06-13,25.5,25.73,25.41,25.68,47230
2023-06-14,25.41,25.82,25.41,25.77,65295
2023-06-15,25.45,25.91,25.45,25.82,95207
2023-06-16,25.54,27.59,25.54,26.95,206889
2023-06-19,25.73,27.27,25.41,27.23,849108
2023-06-20,27.09,29.09,26.0,28.64,290154
2023-06-21,27.73,29.09,26.64,28.54,377651
2023-06-22,26.59,29.09,26.59,28.5,921282
2023-06-23,26.54,28.36,26.54,26.54,2021588
2023-06-26,26.36,26.73,25.82,26.32,228511
2023-06-27,26.27,26.32,25.59,25.64,200454
2023-06-28,25.45,25.68,24.54,25.23,271944
2023-06-29,25.0,25.0,24.45,24.45,224963
2023-06-30,24.68,24.68,24.32,24.41,113974
2023-07-03,24.82,24.82,24.0,24.68,419610
2023-07-04,24.68,24.95,24.59,24.95,117439
2023-07-05,25.09,25.18,24.86,25.18,200935
2023-07-06,25.18,25.18,24.45,24.91,109746
2023-07-07,24.59,24.59,24.27,24.45,69105
2023-07-10,24.32,24.64,24.32,24.41,59008
2023-07-11,24.41,24.73,24.41,24.59,123003
2023-07-12,24.45,24.82,24.41,24.82,90320
2023-07-13,24.86,25.45,24.86,25.45,270924
2023-07-14,25.18,25.54,25.09,25.5,141356
2023-07-17,25.59,25.59,25.04,25.41,47019
2023-07-18,25.5,26.45,25.41,26.32,477939
2023-07-19,25.95,26.54,25.95,26.36,165510
2023-07-20,26.36,26.36,25.95,26.0,82932
2023-07-21,26.09,26.36,26.0,26.0,53851
2023-07-24,26.0,26.09,25.86,25.86,88785
2023-07-25,25.86,25.86,25.41,25.77,65099
2023-07-26,25.73,25.91,25.45,25.77,66307
2023-07-27,25.95,26.45,25.68,26.32,469308
2023-07-28,26.5,26.77,26.36,26.73,431586
2023-07-31,27.0,27.0,26.64,26.82,221740
2023-08-01,26.95,27.5,26.91,27.18,520591
2023-08-02,27.14,27.27,26.91,27.0,119538
2023-08-03,27.0,27.14,26.36,26.45,163617
2023-08-04,26.41,26.64,26.0,26.45,222130
2023-08-07,26.91,27.0,26.41,26.68,153233
2023-08-08,26.68,26.82,26.36,26.73,124839
2023-08-09,26.82,26.82,26.32,26.41,86197
2023-08-10,26.41,26.64,26.18,26.18,54408
2023-08-11,26.09,27.0,26.09,26.18,202338
2023-08-14,26.68,26.68,25.86,25.86,132310
2023-08-15,25.86,26.14,25.73,26.0,86586
2023-08-16,26.0,26.09,25.86,26.09,42308
2023-08-17,26.27,26.27,25.73,25.77,44261
2023-08-18,25.77,25.82,24.18,25.45,99156
2023-08-21,25.45,25.91,25.0,25.86,99164
2023-08-22,25.5,25.82,25.0,25.73,52963
2023-08-23,25.5,25.77,25.41,25.64,98820
2023-08-24,25.64,25.64,25.36,25.5,56100
2023-08-25,25.5,25.68,25.41,25.64,27802
2023-08-28,25.68,25.73,25.36,25.36,55527
2023-08-29,25.41,25.73,25.41,25.41,63170
2023-08-30,25.45,25.64,25.41,25.41,86643
2023-08-31,25.45,25.73,25.41,25.64,301848
2023-09-05,25.82,26.0,25.73,25.82,144819
2023-09-06,25.86,26.41,25.64,26.32,98216
2023-09-07,26.32,26.54,25.86,26.32,95228
2023-09-08,26.32,26.36,25.91,26.23,83301
2023-09-11,26.36,26.36,25.45,25.45,267415
2023-09-12,25.91,25.91,25.41,25.64,355614
2023-09-13,25.68,25.91,25.09,25.18,201300
2023-09-14,24.99,25.61,24.94,24.94,233945
2023-09-15,24.99,25.37,24.8,25.28,144522
2023-09-18,25.32,25.75,25.28,25.66,62408
2023-09-19,25.28,25.75,25.28,25.66,123586
2023-09-20,25.56,25.9,25.13,25.7,67706
2023-09-21,25.61,25.61,25.23,25.28,69502
2023-09-22,25.08,25.56,24.23,24.99,234042
2023-09-25,24.32,24.99,24.04,24.13,189300
2023-09-26,24.08,24.42,23.94,24.27,44602
2023-09-27,23.27,24.27,23.27,23.84,114756
2023-09-28,23.84,24.23,23.7,24.04,16721
2023-09-29,24.04,24.13,23.8,23.84,35646
2023-10-02,23.65,24.08,23.65,23.84,15005
2023-10-03,23.99,23.99,23.08,23.89,88914
2023-10-04,23.37,24.18,23.37,24.18,75725
2023-10-05,23.89,25.56,23.89,25.28,101901
2023-10-06,24.89,25.56,24.66,25.47,206236
2023-10-09,24.89,25.42,23.7,24.23,902201
2023-10-10,24.23,24.61,23.75,23.84,25163
2023-10-11,23.94,24.46,23.56,23.8,293270
2023-10-12,23.89,24.13,23.8,24.04,50609
2023-10-13,24.23,24.23,23.65,24.04,62401
2023-10-16,24.08,24.13,23.65,23.65,26005
2023-10-17,23.84,24.08,23.03,23.03,110380
