time,open,high,low,close,volume
2023-03-30,33.92,34.17,33.88,33.88,700455
2023-03-31,33.88,34.47,33.77,33.88,644471
2023-04-03,34.21,34.32,33.59,33.66,1264390
2023-04-04,33.66,33.84,33.51,33.73,890133
2023-04-05,33.73,33.95,33.22,33.37,1364548
2023-04-06,33.37,34.1,33.22,33.73,1515622
2023-04-07,33.55,33.73,33.37,33.48,732129
2023-04-10,33.59,33.59,32.78,32.78,1806628
2023-04-11,32.6,32.74,32.38,32.56,1229631
2023-04-12,32.63,32.85,32.41,32.56,775972
2023-04-13,32.56,33.0,32.56,32.96,779789
2023-04-14,33.0,33.0,32.6,32.6,619122
2023-04-17,32.6,33.07,32.56,33.0,716933
2023-04-18,32.85,33.0,32.49,32.71,639923
2023-04-19,32.82,32.82,32.41,32.56,452844
2023-04-20,32.52,32.71,32.38,32.71,257397
2023-04-21,32.71,32.71,32.41,32.41,354941
2023-04-24,32.41,32.41,32.05,32.05,463207
2023-04-25,31.97,32.19,31.64,31.94,539840
2023-04-26,31.9,32.49,31.68,32.34,405370
2023-04-27,32.34,32.34,31.9,32.19,163564
2023-04-28,32.23,32.34,31.9,31.9,415123
2023-05-04,31.9,32.41,31.75,32.08,376986
2023-05-05,32.12,32.16,31.86,31.86,297140
2023-05-08,31.94,33.37,31.94,32.78,1131194
2023-05-09,32.78,33.26,32.78,33.07,651505
2023-05-10,33.22,33.22,32.63,33.0,595636
2023-05-11,33.0,33.18,32.85,33.0,511109
2023-05-12,33.0,33.07,32.67,33.0,428666
2023-05-15,33.73,33.73,32.93,32.93,436362
2023-05-16,33.07,33.07,32.82,33.0,429634
2023-05-17,33.0,33.07,32.85,32.85,866435
2023-05-18,32.93,32.96,32.63,32.74,515381
2023-05-19,32.71,32.96,32.49,32.56,603859
2023-05-22,32.56,32.96,32.56,32.56,608178
2023-05-23,32.93,32.93,32.16,32.16,754393
2023-05-24,32.27,32.27,31.9,31.9,767768
2023-05-25,31.9,32.27,31.86,32.08,655685
2023-05-26,32.34,32.34,31.83,31.83,545642
2023-05-29,32.23,32.23,31.83,32.19,668852
2023-05-30,32.27,32.27,31.97,32.12,801247
2023-05-31,32.12,32.27,31.94,32.27,771388
2023-06-01,32.27,32.27,32.01,32.19,618364
2023-06-02,32.27,32.93,32.27,32.78,1203844
2023-06-05,32.93,33.26,32.78,32.78,960172
2023-06-06,33.0,33.0,32.49,32.85,846789
2023-06-07,32.85,32.93,32.52,32.52,968635
2023-06-08,32.56,32.63,32.05,32.05,1655978
2023-06-09,32.12,32.3,31.61,31.86,1290509
2023-06-12,31.97,32.01,31.53,32.01,1126107
2023-06-13,32.05,32.63,32.01,32.52,1329246
2023-06-14,32.71,32.78,32.27,32.27,1335575
2023-06-15,32.19,32.41,32.05,32.16,823999
2023-06-16,32.49,32.63,32.01,32.05,1442289
2023-06-19,32.12,32.16,31.75,31.75,796594
2023-06-20,31.86,31.9,31.64,31.9,813300
2023-06-21,31.9,32.27,31.75,31.83,813280
2023-06-22,32.05,32.3,31.83,32.23,1284588
2023-06-23,32.19,32.96,32.05,32.49,1913112
2023-06-26,32.63,32.89,32.19,32.49,1225691
2023-06-27,32.34,32.6,32.27,32.49,794604
2023-06-28,32.49,33.26,32.38,33.26,2339140
2023-06-29,33.29,33.66,32.63,32.63,1583263
2023-06-30,32.63,32.85,31.79,31.79,975505
2023-07-03,32.19,32.63,32.05,32.63,1086025
2023-07-04,32.56,32.67,32.08,32.27,1183792
2023-07-05,32.41,32.82,32.3,32.52,1295281
2023-07-06,32.41,32.74,31.97,32.23,1337633
2023-07-07,32.05,32.49,32.05,32.49,880503
2023-07-10,32.56,34.43,32.41,34.43,4624172
2023-07-11,34.61,34.76,34.1,34.14,2621966
2023-07-12,34.43,34.58,33.84,34.25,2334556
2023-07-13,34.39,34.83,34.14,34.39,1886191
2023-07-14,34.39,34.94,33.77,34.28,2607357
2023-07-17,34.28,34.54,33.88,33.88,2232487
2023-07-18,33.88,34.25,33.88,34.25,1668084
2023-07-19,34.39,34.39,33.62,33.92,2330351
2023-07-20,33.88,34.03,33.62,33.92,935257
2023-07-21,33.92,34.28,33.81,34.28,1422722
2023-07-24,34.39,34.91,34.32,34.32,1971317
2023-07-25,34.28,34.61,34.25,34.58,1623071
2023-07-26,34.58,35.24,34.58,34.72,2331102
2023-07-27,34.69,34.76,34.21,34.25,1370747
2023-07-28,34.25,34.69,34.03,34.25,1755787
2023-07-31,34.47,34.8,34.25,34.61,1874511
2023-08-01,34.87,36.3,34.61,35.35,3818310
2023-08-02,35.35,36.15,35.31,36.01,2357585
2023-08-03,36.01,36.04,35.49,35.6,2095613
2023-08-04,35.57,35.86,35.35,35.49,2197186
2023-08-07,35.71,36.26,35.53,35.82,2005942
2023-08-08,35.86,36.26,35.6,35.68,2106243
2023-08-09,35.68,35.79,35.24,35.35,1803151
2023-08-10,35.35,35.49,34.1,34.1,2613597
2023-08-11,34.1,34.39,33.44,34.25,2103722
