time,open,high,low,close,volume
2023-03-30,14.69,14.69,14.22,14.31,4505291
2023-03-31,14.59,14.59,14.22,14.5,5115215
2023-04-03,14.59,15.34,14.59,15.34,14553156
2023-04-04,15.34,15.53,15.15,15.25,6157721
2023-04-05,15.43,15.71,15.15,15.53,9130160
2023-04-06,15.25,15.62,15.06,15.06,7753897
2023-04-07,15.06,15.25,14.87,15.15,6495022
2023-04-10,15.25,15.34,14.97,15.15,5885375
2023-04-11,14.97,15.62,14.97,15.53,14687835
2023-04-12,15.53,15.81,15.43,15.53,5846946
2023-04-13,15.53,16.18,15.53,15.9,18205285
2023-04-14,15.9,16.18,15.25,15.25,7359380
2023-04-17,15.43,15.53,15.15,15.34,4866553
2023-04-18,15.25,15.43,15.06,15.43,3979152
2023-04-19,15.43,15.43,15.06,15.15,4177155
2023-04-20,15.15,15.15,14.87,14.97,6586243
2023-04-21,14.97,14.97,14.69,14.69,4440055
2023-04-24,14.78,14.87,14.5,14.69,3659216
2023-04-25,14.78,14.87,14.59,14.78,2843181
2023-04-26,14.59,15.06,14.59,15.06,3347095
2023-04-27,15.06,15.06,14.78,14.97,2674222
2023-04-28,14.87,15.06,14.78,15.06,2908254
2023-05-04,14.78,14.87,14.59,14.87,6143417
2023-05-05,14.78,14.87,14.69,14.87,3728668
2023-05-08,14.97,15.34,14.87,15.34,6196983
2023-05-09,15.25,15.62,15.25,15.34,5959853
2023-05-10,15.43,15.43,15.15,15.34,4143474
2023-05-11,15.34,15.62,15.25,15.43,6273403
2023-05-12,15.43,15.53,15.25,15.43,6239646
2023-05-15,15.43,15.71,15.34,15.53,11895542
2023-05-16,15.53,15.81,15.53,15.62,6281486
2023-05-17,15.62,15.71,15.06,15.25,7312687
2023-05-18,15.34,15.34,15.06,15.25,4598426
2023-05-19,15.25,15.71,15.15,15.53,10065315
2023-05-22,15.62,15.81,15.43,15.62,5636445
2023-05-23,15.71,15.81,15.34,15.62,7105265
2023-05-24,15.62,15.71,15.34,15.43,3761762
2023-05-25,15.43,15.62,15.25,15.53,5497821
2023-05-26,15.53,16.28,15.34,16.09,22882617
2023-05-29,16.09,16.18,15.9,16.09,6268499
2023-05-30,16.18,16.37,15.99,16.28,12352880
2023-05-31,16.28,16.28,15.9,15.9,9516048
2023-06-01,15.99,15.99,15.71,15.9,9098106
2023-06-02,15.9,16.18,15.81,16.09,11357997
2023-06-05,16.18,16.74,16.18,16.46,14978859
2023-06-06,16.46,16.56,16.18,16.46,8286969
2023-06-07,16.37,16.56,16.28,16.46,8988371
2023-06-08,16.46,16.93,16.18,16.18,14021084
2023-06-09,16.28,16.37,15.9,16.28,10746434
2023-06-12,16.28,16.28,15.81,16.09,7018889
2023-06-13,15.99,16.18,15.81,16.18,6214270
2023-06-14,16.18,16.37,15.99,16.09,8347169
2023-06-15,15.99,16.46,15.99,16.37,8865306
2023-06-16,16.37,16.56,16.09,16.18,9059923
2023-06-19,16.18,16.28,15.99,16.09,4044705
2023-06-20,16.09,16.37,15.99,16.37,6641525
2023-06-21,16.28,16.46,16.18,16.46,10600401
2023-06-22,16.56,17.02,16.46,16.74,15419443
2023-06-23,16.65,16.65,16.28,16.37,11713488
2023-06-26,16.18,16.46,16.09,16.37,8863650
2023-06-27,16.37,16.65,16.28,16.37,7186908
2023-06-28,16.46,16.46,16.18,16.37,6517794
2023-06-29,16.37,16.65,16.18,16.28,8948151
2023-06-30,16.28,16.37,16.09,16.18,6284874
2023-07-03,16.18,16.37,16.09,16.28,3766642
2023-07-04,16.28,16.65,16.18,16.56,10994578
2023-07-05,16.56,16.74,16.37,16.46,5435451
2023-07-06,16.56,16.65,16.09,16.28,8463278
2023-07-07,16.37,16.37,16.09,16.37,5783971
2023-07-10,16.37,17.02,16.37,16.93,20621394
2023-07-11,16.84,17.02,16.65,16.84,7639053
2023-07-12,16.84,17.12,16.74,17.02,12301174
2023-07-13,17.02,17.49,17.02,17.21,9425325
2023-07-14,17.3,17.4,16.84,17.02,8639519
2023-07-17,17.02,17.12,16.84,17.12,7130329
2023-07-18,17.12,17.21,16.93,17.02,5185750
2023-07-19,16.93,17.21,16.65,16.74,8500025
2023-07-20,16.74,17.02,16.65,16.93,5495687
2023-07-21,16.93,17.02,16.74,17.02,5516087
2023-07-24,16.93,17.3,16.93,17.3,8979924
2023-07-25,17.3,17.58,17.12,17.21,9060909
2023-07-26,17.3,17.3,17.02,17.12,6452574
2023-07-27,17.21,17.3,16.93,17.21,7545693
2023-07-28,17.12,17.49,17.12,17.4,9773118
2023-07-31,17.58,18.43,17.4,18.33,21688912
2023-08-01,18.05,18.71,18.05,18.15,14061966
2023-08-02,18.24,19.36,18.05,18.99,19082380
2023-08-03,18.8,19.27,18.52,18.8,13080902
2023-08-04,18.89,19.17,18.8,19.08,8214047
