time,open,high,low,close,volume
2023-03-30,46.08,46.36,46.08,46.22,114484
2023-03-31,46.27,46.41,46.17,46.22,144273
2023-04-03,46.36,46.74,46.36,46.74,275818
2023-04-04,47.03,47.03,46.5,46.93,174898
2023-04-05,46.93,47.03,46.55,46.79,182839
2023-04-06,47.12,47.12,46.27,46.27,239190
2023-04-07,46.27,46.41,46.12,46.27,192988
2023-04-10,46.41,46.74,46.22,46.65,225906
2023-04-11,46.46,46.89,46.31,46.89,155640
2023-04-12,46.98,46.98,46.27,46.27,260764
2023-04-13,46.27,46.36,46.17,46.17,222196
2023-04-14,46.27,46.31,45.79,45.79,358924
2023-04-17,45.88,45.93,45.03,45.03,439789
2023-04-18,45.79,45.79,44.74,44.84,235064
2023-04-19,44.93,44.93,44.02,44.02,365918
2023-04-20,44.26,45.17,44.26,44.84,220882
2023-04-21,45.12,45.12,44.31,44.69,236813
2023-04-24,44.74,44.74,44.22,44.26,146335
2023-04-25,44.26,44.36,43.5,43.5,277622
2023-04-26,43.5,43.79,42.93,43.74,362816
2023-04-27,43.79,44.12,42.78,42.78,556755
2023-04-28,42.83,43.36,42.78,42.83,267803
2023-05-04,42.83,43.64,42.83,43.17,297917
2023-05-05,43.17,44.12,43.17,43.79,309439
2023-05-08,43.79,44.12,43.69,43.88,298149
2023-05-09,44.22,44.22,43.83,43.88,224131
2023-05-10,44.12,44.12,43.69,43.83,319955
2023-05-11,43.88,44.12,43.5,43.6,469375
2023-05-12,43.64,43.88,42.98,43.88,627611
2023-05-15,43.88,44.31,43.36,43.4,600230
2023-05-16,43.4,43.83,43.12,43.21,277772
2023-05-17,43.21,43.31,42.98,42.98,332291
2023-05-18,43.12,43.21,42.74,42.74,625992
2023-05-19,42.88,43.31,42.26,42.26,640470
2023-05-22,42.26,42.45,41.78,41.78,1040679
2023-05-23,41.78,42.55,41.78,42.55,830449
2023-05-24,42.74,43.07,42.4,42.4,480185
2023-05-25,42.36,42.59,41.97,42.07,383590
2023-05-26,41.97,42.45,41.5,41.54,974542
2023-05-29,41.83,42.12,41.5,41.93,552562
2023-05-30,42.07,42.36,41.69,41.78,571230
2023-05-31,41.78,41.93,41.5,41.5,674593
2023-06-01,41.5,41.88,41.4,41.64,432137
2023-06-02,41.88,42.26,41.88,42.07,1094501
2023-06-05,42.64,42.98,42.4,42.45,950858
2023-06-06,42.5,43.12,42.5,42.88,1197108
2023-06-07,42.93,43.07,42.45,42.59,593195
2023-06-08,42.64,42.93,42.07,42.07,840444
2023-06-09,41.97,42.12,41.64,41.78,687605
2023-06-12,41.69,42.45,41.69,42.45,926341
2023-06-13,42.83,43.6,42.74,42.93,1767002
2023-06-14,42.98,43.4,42.45,42.55,885732
2023-06-15,42.69,42.78,42.12,42.36,855851
2023-06-16,42.59,42.98,42.02,42.02,978872
2023-06-19,41.97,42.16,41.64,41.69,717610
2023-06-20,41.69,41.97,41.5,41.97,644401
2023-06-21,42.02,42.16,41.64,42.12,661740
2023-06-22,42.4,42.4,41.88,42.12,1121911
2023-06-23,42.26,43.02,42.21,43.02,1824280
2023-06-26,43.21,43.45,42.55,43.17,1300614
2023-06-27,43.5,43.83,43.12,43.21,1276436
2023-06-28,43.07,43.69,42.98,43.07,722096
2023-06-29,43.17,43.17,42.26,42.26,1112676
2023-06-30,42.36,42.36,42.02,42.07,788215
2023-07-03,42.36,42.64,42.16,42.45,498530
2023-07-04,42.55,42.98,42.4,42.98,878726
2023-07-05,42.98,43.02,42.74,42.74,533849
2023-07-06,42.74,43.5,42.74,42.93,1983279
2023-07-07,43.17,43.26,42.74,43.17,679154
2023-07-10,43.4,43.55,43.21,43.5,1179196
2023-07-11,43.69,43.69,43.26,43.4,1394330
2023-07-12,43.5,45.22,43.45,44.69,1972370
2023-07-13,45.22,45.31,44.69,44.84,1044027
2023-07-14,44.88,45.03,44.17,44.64,1476168
2023-07-17,44.84,45.12,44.31,45.12,977361
2023-07-18,45.12,45.6,44.84,44.88,776704
2023-07-19,44.88,45.03,44.6,44.74,790170
2023-07-20,44.55,44.84,44.41,44.64,574695
2023-07-21,44.79,45.79,44.69,45.31,1429572
2023-07-24,45.5,45.65,44.93,45.07,879162
2023-07-25,45.07,45.07,44.41,44.74,1215673
2023-07-26,44.74,44.98,44.45,44.5,845138
2023-07-27,44.55,44.93,44.26,44.41,874731
2023-07-28,44.26,44.69,44.22,44.5,667084
2023-07-31,44.93,46.17,44.93,45.93,1959818
2023-08-01,46.12,46.17,45.07,45.07,1367797
2023-08-02,45.12,45.93,44.74,45.65,1144014
2023-08-03,45.65,45.79,45.03,45.12,862087
2023-08-04,45.31,45.36,44.88,44.93,1064460
2023-08-07,45.07,45.79,44.98,45.79,1314263
2023-08-08,45.98,46.03,45.31,45.36,991805
2023-08-09,45.55,45.55,45.12,45.22,675022
2023-08-10,45.5,45.69,44.84,44.84,620395
2023-08-11,44.88,44.98,44.31,44.55,1077264
2023-08-14,44.79,45.03,44.5,44.74,598128
2023-08-15,44.74,45.79,44.64,45.03,524379
2023-08-16,44.88,45.03,44.64,44.74,530552
2023-08-17,44.69,44.74,44.36,44.36,676904
2023-08-18,44.36,44.64,42.16,42.16,1903567
2023-08-21,42.16,42.98,41.93,42.55,1025940
2023-08-22,42.59,43.36,42.36,43.31,944311
2023-08-23,43.4,43.5,42.88,43.4,455885
2023-08-24,42.98,43.4,42.98,43.31,361426
2023-08-25,43.4,43.4,42.78,42.83,540990
2023-08-28,42.83,43.02,42.59,42.83,592140
2023-08-29,42.88,43.36,42.74,42.74,738196
2023-08-30,42.93,43.12,42.78,42.98,453639
2023-08-31,43.02,43.31,42.98,43.12,1098972
2023-09-05,43.21,43.79,43.21,43.36,732198
2023-09-06,43.6,43.64,43.26,43.55,581226
2023-09-07,43.69,43.88,43.4,43.64,1010831
2023-09-08,43.64,43.88,43.45,43.55,438212
2023-09-11,43.6,44.26,43.4,43.4,921661
2023-09-12,43.4,43.69,43.31,43.69,456983
2023-09-13,43.83,43.93,43.4,43.45,805707
2023-09-14,43.45,43.5,42.78,43.12,670680
2023-09-15,43.12,43.4,42.83,42.83,600696
2023-09-18,42.83,43.12,42.45,42.74,542224
2023-09-19,42.78,42.83,41.73,42.02,1740991
2023-09-20,42.12,42.74,41.93,42.55,309854
2023-09-21,42.55,42.74,42.31,42.31,300708
2023-09-22,41.97,42.07,41.02,41.59,881252
2023-09-25,41.69,41.97,40.26,40.26,749110
2023-09-26,40.07,40.88,39.78,40.07,1153842
2023-09-27,40.07,40.45,39.97,40.45,461736
2023-09-28,40.35,40.59,40.21,40.45,481448
2023-09-29,40.54,40.69,40.21,40.21,231925
2023-10-02,40.59,40.59,40.16,40.3,223773
2023-10-03,40.11,40.4,39.87,39.92,648253
2023-10-04,39.68,40.45,39.59,40.11,378597
2023-10-05,40.54,40.54,39.97,39.97,175030
2023-10-06,39.97,40.21,39.59,39.97,245246
2023-10-09,40.07,40.35,39.92,40.26,222933
2023-10-10,40.49,40.78,40.3,40.59,258802
2023-10-11,40.45,40.73,40.45,40.64,121795
2023-10-12,40.73,40.83,40.59,40.69,240083
2023-10-13,40.64,40.64,40.07,40.35,210615
2023-10-16,40.35,40.35,39.4,39.73,331417
2023-10-17,39.83,40.11,39.64,39.64,173813
2023-10-18,39.64,39.68,38.63,38.97,467392
2023-10-19,38.73,39.02,38.35,38.35,342348
2023-10-20,38.4,39.25,38.3,39.11,210953
2023-10-23,39.11,39.11,38.44,38.63,202217
2023-10-24,38.87,38.92,38.44,38.87,128663
2023-10-25,38.87,39.21,38.87,38.97,154197
2023-10-26,38.44,38.63,37.01,37.25,646665
2023-10-27,37.3,37.78,37.2,37.68,460835
2023-10-30,37.68,37.87,37.2,37.35,155593
2023-10-31,37.68,37.78,37.11,37.11,373910
2023-11-01,37.2,37.68,36.82,37.2,256178
2023-11-02,37.54,38.73,37.3,38.73,488255
2023-11-03,38.73,38.87,38.35,38.54,196946
2023-11-06,38.63,38.97,38.54,38.83,192102
2023-11-07,38.73,38.78,38.44,38.54,162450
2023-11-08,38.54,39.11,38.16,39.11,352744
2023-11-09,39.16,39.59,39.11,39.11,394373
2023-11-10,39.02,39.06,38.73,38.73,247263
2023-11-13,38.73,38.92,38.54,38.68,143612
2023-11-14,38.78,39.11,38.59,38.92,296241
2023-11-15,39.45,39.59,38.92,39.02,556735
2023-11-16,39.02,39.78,39.02,39.4,483924
2023-11-17,39.78,39.92,38.97,38.97,408380
2023-11-20,38.54,39.16,38.54,38.92,246447
2023-11-21,39.11,39.11,38.87,38.92,212261
2023-11-22,38.92,39.06,38.63,38.97,242786
2023-11-23,39.11,39.25,38.63,38.63,293050
2023-11-24,38.63,38.78,37.97,38.4,413825
2023-11-27,38.5,38.89,37.91,37.96,315352
2023-11-28,37.96,38.69,37.96,38.69,249049
2023-11-29,38.69,39.04,38.6,38.79,269511
2023-11-30,38.69,39.23,38.11,38.11,386960
2023-12-01,38.74,39.08,38.45,38.79,211485
2023-12-04,39.04,39.33,38.84,39.08,399866
2023-12-05,39.28,39.28,38.74,38.89,293178
