time,open,high,low,close,volume
2023-03-30,36.93,37.1,36.33,36.33,70438
2023-03-31,36.67,36.76,36.42,36.42,26838
2023-04-03,36.67,36.85,36.5,36.5,53715
2023-04-04,36.59,36.85,36.5,36.55,22755
2023-04-05,36.55,36.93,36.55,36.59,65800
2023-04-06,36.67,36.76,36.5,36.59,37681
2023-04-07,36.59,36.63,36.46,36.5,16305
2023-04-10,36.42,36.76,36.33,36.5,36701
2023-04-11,36.5,36.59,36.33,36.55,26199
2023-04-12,36.5,36.93,36.5,36.93,86904
2023-04-13,36.85,36.97,36.67,36.93,35410
2023-04-14,36.76,36.93,36.67,36.8,45342
2023-04-17,36.93,36.93,36.55,36.59,38342
2023-04-18,36.33,36.63,36.33,36.5,12737
2023-04-19,36.72,37.7,36.67,37.4,155331
2023-04-20,37.4,37.53,36.85,37.36,37831
2023-04-21,37.19,39.23,37.19,38.3,217040
2023-04-24,38.3,38.76,37.7,38.3,53711
2023-04-25,38.38,38.72,37.1,38.3,131405
2023-04-26,38.3,38.42,37.91,37.91,61411
2023-04-27,38.38,38.38,37.78,38.38,96041
2023-04-28,38.72,38.72,36.67,36.67,67284
2023-05-04,36.76,38.38,36.76,38.21,92500
2023-05-05,38.21,38.25,37.53,38.25,84300
2023-05-08,38.25,38.81,38.25,38.81,237805
2023-05-09,38.98,39.23,38.72,39.23,109611
2023-05-10,39.49,40.09,39.06,40.09,144866
2023-05-11,40.34,40.34,39.75,40.0,52545
2023-05-12,40.0,40.04,39.57,40.0,51401
2023-05-15,40.0,40.26,39.19,40.04,97215
2023-05-16,40.04,40.09,39.4,39.92,143415
2023-05-17,39.45,40.09,39.45,40.09,87005
2023-05-18,40.04,40.09,39.83,40.04,197572
2023-05-19,40.09,40.09,39.23,39.66,40311
2023-05-22,40.0,40.0,38.47,39.75,23900
2023-05-23,39.66,39.79,38.81,39.57,28702
2023-05-24,39.57,39.75,38.89,38.89,87103
2023-05-25,38.42,39.49,38.38,38.68,37916
2023-05-26,38.68,38.68,38.08,38.38,85900
2023-05-29,39.19,39.19,38.3,38.38,72204
2023-05-30,38.38,38.38,38.12,38.3,130900
2023-05-31,38.3,38.38,38.08,38.34,95500
2023-06-01,38.34,38.42,38.17,38.3,47101
2023-06-02,38.38,38.38,37.78,37.78,122872
2023-06-05,37.95,38.38,37.49,37.7,160114
2023-06-06,37.74,37.87,37.49,37.49,145800
2023-06-07,37.49,37.7,36.76,37.14,218200
2023-06-08,37.19,38.12,37.19,37.78,163300
2023-06-09,38.08,38.34,37.87,38.3,107320
2023-06-12,38.3,38.81,38.3,38.76,107131
2023-06-13,38.81,38.81,37.95,38.08,136253
2023-06-14,38.08,38.12,37.83,37.95,77163
2023-06-15,37.91,38.55,37.87,38.21,75868
2023-06-16,38.3,38.38,38.04,38.21,66231
