time,open,high,low,close,volume
2023-03-30,21.52,21.52,21.52,21.52,100
2023-03-31,21.52,21.52,21.52,21.52,0
2023-04-03,21.36,21.36,21.36,21.36,1001
2023-04-04,21.36,21.44,21.36,21.44,1340
2023-04-05,21.36,21.36,21.36,21.36,0
2023-04-06,21.36,21.36,21.36,21.36,0
2023-04-07,21.36,21.36,21.36,21.36,0
2023-04-10,21.44,21.44,21.44,21.44,525
2023-04-11,20.82,20.82,20.82,20.82,100
2023-04-12,20.82,20.82,20.82,20.82,0
2023-04-13,20.82,20.82,20.82,20.82,0
2023-04-14,20.82,20.82,20.82,20.82,0
2023-04-17,20.97,20.97,20.97,20.97,100
2023-04-18,22.14,22.53,22.14,22.14,400
2023-04-19,21.21,21.36,21.21,21.21,1450
2023-04-20,21.28,21.28,21.28,21.28,400
2023-04-21,21.21,21.21,20.58,20.58,400
2023-04-24,20.97,21.36,20.97,21.36,1000
2023-04-25,21.21,21.21,21.21,21.21,23
2023-04-26,21.75,21.75,21.36,21.36,1500
2023-04-27,21.44,21.44,21.44,21.44,0
2023-04-28,21.05,21.13,20.97,20.97,18900
2023-05-04,20.97,20.97,20.97,20.97,18
2023-05-05,20.97,20.97,20.97,20.97,1031
2023-05-08,20.97,21.13,20.97,21.13,1600
2023-05-09,21.05,21.05,21.05,21.05,0
2023-05-10,21.05,21.13,21.05,21.13,5100
2023-05-11,21.28,21.28,21.28,21.28,1501
2023-05-12,21.28,21.28,21.28,21.28,4200
2023-05-15,21.28,21.28,21.28,21.28,400
2023-05-16,21.28,21.28,21.28,21.28,61
2023-05-17,21.28,21.36,21.28,21.28,3570
2023-05-18,21.28,21.28,21.28,21.28,1
2023-05-19,21.28,21.28,21.28,21.28,3000
2023-05-22,21.28,21.28,21.13,21.13,1500
2023-05-23,20.97,20.97,20.97,20.97,1400
2023-05-24,21.28,21.28,21.28,21.28,6700
2023-05-25,21.13,22.45,20.97,22.45,7500
2023-05-26,21.28,24.08,21.28,24.08,2800
2023-05-29,22.92,22.92,22.92,22.92,1061
2023-05-30,24.08,24.08,21.75,21.75,2925
2023-05-31,22.14,22.14,22.14,22.14,300
2023-06-01,22.14,22.14,22.14,22.14,0
2023-06-02,22.14,22.14,22.14,22.14,0
2023-06-05,22.14,22.14,22.14,22.14,6000
2023-06-06,21.59,22.06,21.36,21.36,7300
2023-06-07,21.52,21.52,21.52,21.52,1000
2023-06-08,21.36,21.36,21.36,21.36,3200
2023-06-09,20.35,20.58,20.35,20.58,370
2023-06-12,22.14,22.14,22.14,22.14,100
2023-06-13,21.36,21.36,21.36,21.36,500
2023-06-14,20.97,20.97,20.97,20.97,305
2023-06-15,22.06,22.06,22.06,22.06,200
2023-06-16,22.06,22.06,22.06,22.06,0
2023-06-19,21.05,21.05,21.05,21.05,300
2023-06-20,21.13,21.13,20.2,20.27,2300
2023-06-21,20.97,20.97,20.97,20.97,400
2023-06-22,21.36,21.36,21.36,21.36,700
2023-06-23,21.36,21.36,21.36,21.36,0
2023-06-26,21.05,21.05,21.05,21.05,122
2023-06-27,21.05,21.05,21.05,21.05,200
2023-06-28,21.13,21.36,21.13,21.36,316
2023-06-29,21.05,21.05,21.05,21.05,250
2023-06-30,21.75,21.75,21.59,21.59,800
2023-07-03,21.75,21.75,21.75,21.75,300
2023-07-04,21.75,21.75,21.75,21.75,100
2023-07-05,21.83,21.83,21.83,21.83,300
2023-07-06,21.83,21.83,21.83,21.83,500
2023-07-07,21.52,21.83,21.52,21.83,400
2023-07-10,21.67,21.67,21.67,21.67,0
2023-07-11,22.08,22.08,20.86,22.08,400
2023-07-12,21.51,21.51,21.51,21.51,0
2023-07-13,22.08,22.08,22.08,22.08,4600
2023-07-14,22.08,22.08,22.08,22.08,0
2023-07-17,21.67,22.49,21.67,22.08,18810
2023-07-18,22.25,22.25,22.25,22.25,200
2023-07-19,22.08,22.74,22.08,22.74,304
2023-07-20,22.08,22.08,22.08,22.08,1000
2023-07-21,22.49,22.9,22.49,22.9,9806
2023-07-24,22.49,22.9,22.49,22.9,316
2023-07-25,22.49,22.49,22.08,22.08,300
2023-07-26,22.9,22.9,22.9,22.9,302
2023-07-27,22.25,22.25,22.25,22.25,200
2023-07-28,22.08,22.25,22.08,22.25,323
2023-07-31,22.16,22.16,22.16,22.16,1
2023-08-01,22.16,22.16,22.16,22.16,0
2023-08-02,22.16,22.16,22.16,22.16,5
2023-08-03,22.16,22.16,22.16,22.16,4
2023-08-04,22.08,22.08,22.08,22.08,518
2023-08-07,22.08,22.08,22.08,22.08,700
