time,open,high,low,close,volume
2023-03-30,11.69,11.88,11.69,11.78,50000
2023-03-31,11.78,11.88,11.69,11.78,32400
2023-04-03,11.88,12.16,11.88,12.07,361117
2023-04-04,12.16,12.16,11.88,11.97,89510
2023-04-05,11.97,12.16,11.97,12.16,125650
2023-04-06,12.16,12.73,12.16,12.26,215853
2023-04-07,12.44,12.44,11.97,12.16,58030
2023-04-10,12.16,12.16,11.97,11.97,133610
2023-04-11,12.07,12.16,11.97,12.16,32621
2023-04-12,12.26,12.35,12.07,12.26,137500
2023-04-13,12.26,12.73,12.26,12.63,211833
2023-04-14,12.54,12.54,12.16,12.16,99316
2023-04-17,12.26,12.35,12.07,12.16,43022
2023-04-18,12.16,12.35,12.16,12.35,23918
2023-04-19,12.44,12.54,12.35,12.44,122940
2023-04-20,12.44,12.82,12.35,12.63,157400
2023-04-21,12.63,12.73,12.35,12.44,75000
2023-04-24,12.63,12.63,12.26,12.35,41400
2023-04-25,12.44,12.54,12.35,12.44,117700
2023-04-26,12.44,12.44,12.16,12.44,68700
2023-04-27,12.54,12.63,12.35,12.63,79301
2023-04-28,12.63,12.63,12.35,12.54,71513
2023-05-04,12.63,12.63,12.26,12.54,161801
2023-05-05,12.35,12.54,12.26,12.44,154609
2023-05-08,12.44,12.63,12.44,12.54,112900
2023-05-09,12.63,13.48,12.63,13.39,636482
2023-05-10,13.39,13.76,13.29,13.67,224098
2023-05-11,13.48,14.61,13.48,13.86,250941
2023-05-12,14.05,14.05,13.58,13.76,115650
2023-05-15,14.05,14.14,13.39,13.39,149914
2023-05-16,13.2,13.67,13.2,13.58,99800
2023-05-17,13.48,13.58,13.39,13.39,79500
2023-05-18,13.39,13.67,13.39,13.67,70301
2023-05-19,13.48,13.86,13.48,13.76,74072
2023-05-22,13.76,14.05,13.76,14.05,123499
2023-05-23,14.14,14.42,13.95,14.05,205492
2023-05-24,14.14,14.14,13.95,13.95,108400
2023-05-25,13.95,13.95,13.67,13.76,95400
2023-05-26,13.76,14.33,13.76,14.05,148800
2023-05-29,13.95,14.42,13.95,14.33,121126
2023-05-30,14.52,14.52,14.14,14.24,107220
2023-05-31,14.42,14.61,14.33,14.61,255100
2023-06-01,14.42,14.99,14.42,14.61,135268
2023-06-02,14.61,14.8,14.42,14.52,121770
2023-06-05,14.52,14.61,14.24,14.33,70310
2023-06-06,14.33,14.33,13.95,14.14,140700
2023-06-07,14.14,14.61,14.14,14.52,143700
2023-06-08,14.61,14.8,14.33,14.33,228510
2023-06-09,14.42,14.42,14.05,14.24,110200
2023-06-12,14.33,14.33,14.05,14.14,147800
2023-06-13,14.14,14.42,14.14,14.24,59900
2023-06-14,14.24,14.24,13.95,13.95,125520
2023-06-15,14.14,14.14,13.67,14.05,333700
2023-06-16,13.95,14.24,13.95,13.95,85200
2023-06-19,14.05,14.05,13.76,13.95,139300
2023-06-20,14.05,14.14,13.86,14.14,97600
2023-06-21,14.14,14.42,14.14,14.33,53700
2023-06-22,14.24,14.52,14.14,14.42,142200
2023-06-23,14.42,14.52,14.24,14.52,125800
2023-06-26,14.52,14.52,14.14,14.42,113500
2023-06-27,14.24,14.52,14.24,14.42,61005
2023-06-28,14.42,14.52,14.24,14.52,118901
2023-06-29,14.52,14.52,14.23,14.23,150100
2023-06-30,14.33,14.33,14.04,14.14,79210
2023-07-03,13.95,14.33,13.95,14.33,16600
2023-07-04,14.33,14.33,14.14,14.33,141600
2023-07-05,14.23,14.33,14.23,14.33,38419
2023-07-06,14.33,14.43,14.14,14.33,96300
2023-07-07,14.14,14.43,14.14,14.43,72902
2023-07-10,14.43,15.29,14.33,14.91,323411
2023-07-11,14.91,14.91,14.72,14.81,79700
2023-07-12,14.81,14.81,14.52,14.62,75701
2023-07-13,14.72,14.91,14.52,14.72,100702
2023-07-14,14.72,14.72,14.52,14.62,118000
2023-07-17,14.62,15.1,14.62,14.81,117700
2023-07-18,14.81,14.81,14.72,14.81,77201
2023-07-19,15.0,15.0,14.72,14.72,90200
2023-07-20,14.62,14.91,14.52,14.91,90802
2023-07-21,14.72,15.1,14.72,15.0,102500
2023-07-24,15.1,15.1,14.72,14.91,83100
2023-07-25,15.1,15.39,14.91,15.29,351400
2023-07-26,15.39,15.39,15.0,15.1,77325
2023-07-27,14.91,15.2,14.43,15.0,122100
