time,open,high,low,close,volume
2023-03-30,27.92,28.2,27.92,28.17,16515
2023-03-31,28.27,28.34,27.81,28.13,43237
2023-04-03,28.13,28.8,27.85,28.62,65025
2023-04-04,27.99,28.59,27.99,28.59,35486
2023-04-05,28.77,29.54,28.34,29.54,155186
2023-04-06,29.61,29.61,28.62,29.22,18504
2023-04-07,29.26,29.54,28.31,29.33,29534
2023-04-10,29.47,29.61,28.91,29.33,21943
2023-04-11,29.44,29.44,28.55,29.44,9062
2023-04-12,28.77,29.61,28.77,29.26,158555
2023-04-13,29.61,29.61,28.98,29.51,28455
2023-04-14,29.54,29.54,29.08,29.51,12203
2023-04-17,29.54,29.54,29.01,29.51,28935
2023-04-18,29.4,29.47,29.05,29.47,9555
2023-04-19,29.01,29.47,29.01,29.47,46396
2023-04-20,29.61,29.93,29.05,29.37,36600
2023-04-21,29.33,29.58,29.05,29.37,14953
2023-04-24,29.96,29.96,29.05,29.26,19900
2023-04-25,29.58,29.58,28.34,29.12,47450
2023-04-26,29.08,29.19,28.48,29.19,18442
2023-04-27,29.19,29.26,28.34,29.26,77837
2023-04-28,28.98,29.33,28.94,29.33,15311
2023-05-04,29.33,29.33,28.59,29.29,10623
2023-05-05,28.7,29.26,28.7,29.26,6346
2023-05-08,29.26,29.26,28.87,29.26,28102
2023-05-09,28.91,29.22,28.91,29.22,26738
2023-05-10,29.26,29.26,28.91,29.22,22123
2023-05-11,29.22,29.26,28.8,29.22,37273
2023-05-12,29.22,29.22,28.2,29.19,40529
2023-05-15,29.19,29.19,28.7,29.19,18704
2023-05-16,29.4,29.4,28.38,29.08,45770
2023-05-17,29.08,29.08,28.77,28.91,29519
2023-05-18,28.91,29.12,28.66,28.91,17320
2023-05-19,29.19,29.19,28.48,28.84,43214
2023-05-22,28.55,28.77,28.45,28.77,21462
2023-05-23,28.45,28.66,28.45,28.55,28245
2023-05-24,28.7,28.73,28.2,28.73,177493
2023-05-25,28.41,28.7,28.34,28.7,17565
2023-05-26,28.87,28.87,28.34,28.55,66720
2023-05-29,28.55,29.12,28.38,29.01,103986
2023-05-30,28.7,29.12,28.59,28.91,67758
2023-05-31,29.12,29.12,28.77,28.8,26047
2023-06-01,28.77,28.91,28.55,28.91,43573
2023-06-02,28.91,29.05,28.77,29.05,61164
2023-06-05,29.05,31.06,29.05,31.06,207562
2023-06-06,32.78,32.78,30.99,32.22,50366
2023-06-07,31.16,32.43,30.74,32.08,24591
2023-06-08,31.09,31.66,30.74,31.37,25099
2023-06-09,30.81,32.08,30.32,32.08,89437
2023-06-12,32.29,32.29,31.2,32.08,26516
2023-06-13,32.08,32.08,31.3,31.66,37240
2023-06-14,31.73,32.01,31.02,31.59,17885
2023-06-15,31.59,31.73,30.74,31.73,47810
2023-06-16,31.73,32.08,31.3,32.08,51928
2023-06-19,32.08,32.08,31.73,31.97,24448
2023-06-20,31.73,32.43,31.44,32.43,33456
2023-06-21,32.43,32.43,31.37,32.29,115284
2023-06-22,32.15,32.4,31.37,32.08,24336
2023-06-23,32.04,32.04,31.44,31.94,6573
2023-06-26,31.23,34.09,31.02,34.09,46891
2023-06-27,32.15,33.52,32.15,33.52,28977
2023-06-28,32.15,33.49,32.15,33.14,44152
2023-06-29,33.14,33.14,32.43,32.75,18022
2023-06-30,32.93,32.93,32.43,32.57,29498
2023-07-03,33.0,33.0,32.29,32.71,33001
2023-07-04,32.71,32.93,32.43,32.93,33707
2023-07-05,33.35,33.35,32.43,33.1,110115
2023-07-06,33.49,33.49,32.43,33.0,45628
2023-07-07,32.5,33.07,32.43,33.07,27438
2023-07-10,33.45,33.45,32.43,33.0,120055
2023-07-11,32.86,33.49,32.86,33.31,105134
2023-07-12,33.52,33.84,32.78,33.63,121591
2023-07-13,32.89,34.19,32.89,33.95,74313
2023-07-14,33.91,33.91,33.49,33.84,22043
2023-07-17,34.19,34.19,33.49,33.98,39265
2023-07-18,33.91,34.19,32.5,34.19,84552
2023-07-19,34.16,34.19,33.35,34.16,39576
2023-07-20,33.84,34.05,33.56,33.91,23882
2023-07-21,33.91,33.91,33.28,33.77,75609
2023-07-24,33.77,34.19,33.38,33.74,102404
2023-07-25,33.77,33.84,33.42,33.42,93743
2023-07-26,33.42,33.45,33.14,33.28,72951
2023-07-27,33.49,33.84,33.28,33.7,295576
2023-07-28,33.84,34.05,32.71,34.05,171291
2023-07-31,34.19,34.62,33.84,34.58,161111
2023-08-01,34.9,34.9,34.19,34.58,182807
2023-08-02,34.58,34.97,33.42,34.9,193656
2023-08-03,34.05,34.72,33.95,34.55,143690
2023-08-04,34.76,34.76,34.16,34.69,103211
2023-08-07,34.9,35.11,33.91,34.83,210129
2023-08-08,34.3,34.97,34.12,34.69,44781
2023-08-09,34.19,34.69,33.14,34.55,64165
2023-08-10,34.48,34.48,33.84,34.48,54611
2023-08-11,34.19,34.55,34.12,34.55,34594
2023-08-14,34.19,34.55,34.12,34.41,55429
2023-08-15,34.51,34.55,34.05,34.51,76444
2023-08-16,34.51,34.62,34.16,34.58,75969
2023-08-17,34.72,34.72,34.19,34.19,134539
2023-08-18,34.02,34.09,32.86,33.84,135894
2023-08-21,32.64,34.19,32.64,34.19,55516
2023-08-22,34.19,34.76,33.0,34.76,40665
2023-08-23,34.19,34.51,33.84,34.51,74861
2023-08-24,34.05,35.53,33.49,34.9,254082
2023-08-25,34.55,35.25,33.98,35.18,111730
2023-08-28,35.04,35.6,35.04,35.39,284167
2023-08-29,35.46,36.03,35.39,35.53,223083
2023-08-30,35.46,35.6,33.84,35.6,260229
2023-08-31,35.68,35.75,35.25,35.68,170903
2023-09-05,35.68,35.96,34.55,35.82,128993
2023-09-06,35.96,35.96,35.04,35.75,159153
2023-09-07,35.75,35.75,35.11,35.32,78875
2023-09-08,35.32,35.89,33.98,35.6,199890
2023-09-11,35.6,35.82,34.83,35.32,52219
2023-09-12,34.93,35.68,33.84,35.68,476552
2023-09-13,35.68,35.68,35.11,35.11,53723
2023-09-14,35.11,35.25,33.84,34.9,502846
2023-09-15,34.93,35.11,34.41,35.11,36198
2023-09-18,34.62,34.62,34.19,34.41,14112
2023-09-19,33.95,34.86,33.88,34.86,92502
2023-09-20,36.31,36.31,34.19,34.48,60961
2023-09-21,34.48,34.48,34.12,34.41,47143
2023-09-22,34.41,34.69,33.14,34.55,216932
2023-09-25,34.55,34.72,33.88,34.27,63503
2023-09-26,33.84,34.41,33.84,33.91,21768
2023-09-27,33.91,34.41,33.28,34.41,29342
2023-09-28,33.42,34.37,33.24,33.84,93251
2023-09-29,33.56,33.91,33.14,33.7,35797
2023-10-02,33.88,34.05,33.14,33.7,66965
2023-10-03,33.7,33.7,32.78,33.21,93731
2023-10-04,32.43,33.49,31.37,33.49,264036
2023-10-05,34.05,34.05,32.5,33.28,17727
2023-10-06,33.07,33.49,32.78,33.49,28235
2023-10-09,33.31,34.09,33.14,33.98,65658
2023-10-10,33.56,34.55,32.78,34.44,124242
2023-10-11,33.63,34.76,33.63,34.55,45907
2023-10-12,34.69,35.53,33.77,35.53,151094
2023-10-13,35.25,35.25,34.23,35.22,47509
2023-10-16,34.55,35.22,33.14,34.19,94836
2023-10-17,34.55,34.55,33.6,34.19,34316
2023-10-18,34.19,34.19,32.08,33.77,112630
2023-10-19,33.63,33.84,32.71,33.77,66652
2023-10-20,33.77,33.77,32.86,33.63,22348
2023-10-23,33.14,33.14,32.64,33.14,92099
2023-10-24,32.57,33.14,31.73,32.43,167734
2023-10-25,33.38,33.38,32.43,32.86,20042
2023-10-26,32.11,32.33,31.02,31.06,228927
2023-10-27,31.09,31.94,31.09,31.66,14239
2023-10-30,31.09,31.73,31.09,31.55,121921
2023-10-31,30.67,31.37,30.25,30.67,111964
2023-11-01,30.32,30.67,28.84,30.67,75313
2023-11-02,30.7,31.34,30.46,31.34,96601
2023-11-03,31.09,31.55,31.02,31.55,129886
2023-11-06,32.08,32.08,31.16,31.73,32005
2023-11-07,31.8,32.43,31.8,32.43,60921
2023-11-08,32.47,33.0,32.43,32.78,42441
2023-11-09,33.17,33.17,32.57,32.93,43265
2023-11-10,33.14,33.14,32.15,32.75,121605
2023-11-13,32.57,33.0,32.57,32.61,173029
2023-11-14,32.61,33.42,32.43,33.42,229059
2023-11-15,33.84,33.84,33.35,33.35,115814
2023-11-16,33.63,33.63,33.17,33.49,101885
2023-11-17,33.56,33.84,33.17,33.45,35765
2023-11-20,33.35,33.84,33.21,33.35,58992
2023-11-21,33.81,34.9,32.78,34.9,367010
2023-11-22,34.9,35.11,34.55,34.86,43614
2023-11-23,35.01,35.01,33.77,33.88,77485
2023-11-24,33.88,34.41,33.52,34.41,67429
2023-11-27,34.41,34.41,33.88,34.34,80100
2023-11-28,34.51,34.51,33.98,34.37,64055
2023-11-29,34.55,34.69,33.98,34.51,644234
2023-11-30,34.69,34.69,32.78,34.48,200468
2023-12-01,34.48,34.48,33.84,34.41,78338
2023-12-04,34.37,34.41,33.77,34.12,186101
2023-12-05,34.14,34.68,33.83,34.46,87931
2023-12-06,34.46,35.27,34.46,35.14,151145
2023-12-07,35.14,35.36,34.14,34.77,320803
2023-12-08,35.05,35.09,34.28,35.09,229812
2023-12-11,34.55,35.09,34.5,35.0,44619
2023-12-12,34.5,35.14,34.5,35.14,340290
2023-12-13,35.18,35.18,33.33,35.05,265959
2023-12-14,34.59,35.14,34.55,35.05,148093
2023-12-15,35.05,35.14,34.77,35.14,326011
2023-12-18,35.14,35.23,34.77,35.23,83786
2023-12-19,35.05,35.05,34.37,35.05,26108
2023-12-20,35.09,35.14,34.5,35.05,12903
2023-12-21,34.86,35.32,34.68,35.27,36623
2023-12-22,35.27,36.04,33.33,35.68,254245
