time,open,high,low,close,volume
2023-03-30,19.28,19.84,19.28,19.67,28020
2023-03-31,19.38,19.7,19.35,19.42,35810
2023-04-03,19.77,19.84,19.56,19.56,96830
2023-04-04,19.49,19.81,19.49,19.49,54309
2023-04-05,19.45,19.77,19.45,19.56,38400
2023-04-06,19.77,19.84,19.56,19.63,94010
2023-04-07,19.7,19.7,19.6,19.63,28911
2023-04-10,19.7,20.3,19.56,20.27,270574
2023-04-11,20.55,20.55,20.23,20.41,71406
2023-04-12,20.16,20.66,19.88,20.02,138900
2023-04-13,19.98,20.06,19.63,20.06,211301
2023-04-14,20.13,20.34,19.77,19.77,115713
2023-04-17,20.27,20.27,19.49,19.74,75800
2023-04-18,20.02,20.16,19.77,20.16,61201
2023-04-19,19.95,20.2,19.95,20.2,66804
2023-04-20,20.2,20.84,20.13,20.76,143216
2023-04-21,20.91,20.91,20.55,20.76,41227
2023-04-24,20.73,20.76,20.34,20.66,44710
2023-04-25,20.66,20.69,19.98,20.55,64100
2023-04-26,20.37,20.59,20.06,20.59,45731
2023-04-27,20.76,20.76,20.2,20.76,62944
2023-04-28,20.52,20.76,20.52,20.76,21800
2023-05-04,20.55,20.73,19.98,20.34,177600
2023-05-05,20.55,20.55,20.13,20.41,11316
2023-05-08,20.62,20.62,20.45,20.45,100307
2023-05-09,20.76,20.76,20.27,20.27,14309
2023-05-10,20.27,20.48,20.23,20.48,28414
2023-05-11,20.48,20.55,20.23,20.48,20020
2023-05-12,20.45,20.69,20.45,20.69,94204
2023-05-15,20.94,20.98,20.41,20.55,41363
2023-05-16,20.41,20.91,20.41,20.69,54940
2023-05-17,20.55,21.15,20.55,20.98,83800
2023-05-18,21.23,21.61,21.05,21.61,114101
2023-05-19,21.76,21.93,21.47,21.83,72152
2023-05-22,21.97,22.25,21.65,22.25,55276
2023-05-23,22.25,22.32,21.97,22.18,57600
2023-05-24,22.29,22.29,21.9,22.11,46027
2023-05-25,22.18,22.32,21.93,22.32,60600
2023-05-26,22.32,22.68,22.32,22.64,26600
2023-05-29,22.64,22.96,22.32,22.61,34190
2023-05-30,22.61,23.03,22.61,23.03,45600
2023-05-31,23.03,23.24,22.75,23.17,60625
2023-06-01,23.17,23.24,22.96,23.17,26901
2023-06-02,23.24,23.74,22.96,23.74,120800
2023-06-05,23.95,23.95,23.07,23.71,21400
2023-06-06,23.92,23.92,23.24,23.67,14719
2023-06-07,23.6,23.71,23.39,23.63,109500
2023-06-08,23.63,24.17,23.63,23.92,45600
2023-06-09,24.1,24.1,23.39,23.85,21907
2023-06-12,23.88,24.02,23.6,23.99,118202
2023-06-13,24.02,24.24,23.78,23.88,19921
2023-06-14,24.1,24.1,23.53,23.74,72600
2023-06-15,23.6,24.17,23.6,23.88,120400
2023-06-16,24.24,24.24,23.85,24.02,24671
2023-06-19,23.88,24.02,23.81,23.88,84030
2023-06-20,23.74,24.8,23.74,24.8,253824
2023-06-21,25.37,25.48,24.95,25.16,283260
2023-06-22,25.37,26.22,25.37,25.51,196468
2023-06-23,25.8,26.58,25.51,26.19,211302
2023-06-26,26.36,27.0,26.12,26.58,243511
2023-06-27,26.72,27.0,26.65,26.93,156901
2023-06-28,27.14,27.57,27.11,27.25,168493
2023-06-29,27.28,27.71,27.21,27.5,154530
2023-06-30,27.67,27.67,27.28,27.36,93290
2023-07-03,27.36,27.6,25.87,27.18,96445
2023-07-04,27.5,27.71,27.18,27.67,196400
2023-07-05,27.71,27.92,27.5,27.71,114273
2023-07-06,27.92,27.92,27.43,27.43,98199
2023-07-07,27.64,27.92,27.5,27.92,140886
2023-07-10,28.35,29.41,28.21,29.34,243399
2023-07-11,29.69,29.69,29.3,29.69,180762
2023-07-12,29.73,30.47,29.66,30.19,236373
2023-07-13,31.56,31.56,30.45,30.79,196065
2023-07-14,30.93,30.93,29.82,29.97,239312
2023-07-17,29.48,29.68,28.23,28.61,351682
2023-07-18,28.61,29.68,28.57,29.39,98758
2023-07-19,29.48,29.48,28.52,28.61,135921
2023-07-20,28.52,28.52,27.74,28.03,207053
2023-07-21,27.99,28.37,27.79,27.84,103061
2023-07-24,27.84,27.84,27.07,27.07,212010
2023-07-25,27.07,27.16,26.39,26.44,227344
2023-07-26,26.87,26.92,26.44,26.58,109619
2023-07-27,26.92,27.65,26.73,27.65,109200
2023-07-28,27.94,28.03,27.31,27.41,147819
2023-07-31,27.5,27.65,27.07,27.07,139269
2023-08-01,27.07,27.41,26.58,26.58,130156
2023-08-02,26.68,27.55,26.68,27.21,68317
2023-08-03,27.26,27.31,26.83,26.83,102053
2023-08-04,26.63,27.07,26.63,27.07,89044
2023-08-07,27.26,27.45,26.92,26.97,80601
2023-08-08,27.07,28.86,27.07,28.81,309744
2023-08-09,28.81,28.81,28.13,28.23,111631
2023-08-10,28.95,28.95,28.08,28.37,123477
2023-08-11,28.08,28.13,27.5,27.94,93110
2023-08-14,27.94,27.94,26.29,27.5,107912
2023-08-15,27.5,27.6,27.07,27.6,96968
2023-08-16,27.55,27.74,27.31,27.31,75012
2023-08-17,27.31,27.36,27.07,27.12,73128
2023-08-18,27.12,27.12,25.28,25.86,253664
2023-08-21,25.81,26.0,25.57,26.0,84277
2023-08-22,26.2,26.49,25.52,26.05,54101
2023-08-23,26.1,26.49,26.1,26.39,29204
2023-08-24,26.49,26.83,26.39,26.83,29870
2023-08-25,26.83,26.83,26.44,26.68,31000
2023-08-28,26.39,26.87,26.39,26.68,31701
2023-08-29,26.97,26.97,26.39,26.68,36646
2023-08-30,26.68,26.83,26.29,26.83,43176
2023-08-31,26.63,28.61,26.49,28.52,465170
2023-09-05,29.68,30.5,29.0,30.5,608838
2023-09-06,30.45,31.32,29.58,30.5,225548
2023-09-07,31.03,31.03,29.48,29.97,184391
2023-09-08,29.48,29.97,29.39,29.58,280961
2023-09-11,30.45,30.45,29.19,29.29,276717
2023-09-12,28.81,29.48,28.81,29.44,159129
2023-09-13,29.92,31.47,29.24,31.47,650998
2023-09-14,31.47,31.47,30.45,30.93,245859
2023-09-15,31.8,33.06,31.42,33.06,902264
2023-09-18,33.74,34.7,32.92,33.64,421155
2023-09-19,34.41,34.41,32.38,33.5,244194
2023-09-20,33.5,33.64,32.63,33.4,315679
2023-09-21,33.45,35.38,32.87,32.87,325468
2023-09-22,32.77,32.77,30.93,32.58,390653
2023-09-25,33.16,33.16,30.31,30.31,394098
2023-09-26,30.26,30.4,28.23,28.23,548513
2023-09-27,28.18,30.16,27.7,30.16,241960
2023-09-28,30.79,30.79,29.0,29.24,456635
2023-09-29,29.29,30.4,29.29,29.63,205801
2023-10-02,29.19,30.31,29.19,29.82,138177
2023-10-03,29.24,29.39,27.74,28.03,320553
2023-10-04,27.16,29.0,27.16,28.9,176814
2023-10-05,28.9,29.0,28.23,28.61,145858
2023-10-06,28.42,29.0,28.23,28.95,124493
2023-10-09,29.97,30.4,29.19,29.63,294003
2023-10-10,29.87,29.97,29.48,29.63,150935
2023-10-11,29.63,30.55,29.48,29.97,182302
2023-10-12,29.87,29.87,29.34,29.39,241658
2023-10-13,29.39,29.97,29.19,29.97,242547
2023-10-16,30.84,30.89,29.58,29.97,337132
2023-10-17,30.21,30.21,28.57,28.61,297402
2023-10-18,29.15,29.15,27.12,28.9,319783
2023-10-19,28.95,28.95,27.74,27.79,121235
2023-10-20,28.42,28.42,27.55,28.23,158571
2023-10-23,28.03,28.18,27.84,28.18,44209
2023-10-24,28.42,28.42,27.55,28.18,60738
2023-10-25,28.32,28.32,27.26,27.99,82383
2023-10-26,27.55,27.94,26.05,26.05,331314
2023-10-27,26.05,26.58,24.26,26.49,139037
2023-10-30,26.58,26.58,25.18,26.05,64210
2023-10-31,25.91,26.05,24.84,24.84,97462
2023-11-01,24.84,25.33,24.46,25.28,93710
2023-11-02,25.91,26.68,25.62,26.44,171172
2023-11-03,26.87,26.87,25.91,26.0,82596
2023-11-06,26.0,26.39,25.71,26.39,125100
2023-11-07,26.39,27.55,26.05,27.26,162353
2023-11-08,26.87,28.42,26.58,28.42,196758
2023-11-09,28.42,28.47,27.79,27.94,135415
2023-11-10,27.94,28.08,27.26,27.79,131437
2023-11-13,27.79,27.94,27.55,27.84,49224
2023-11-14,27.84,28.32,27.55,27.84,92595
2023-11-15,28.08,28.86,27.89,28.23,131726
2023-11-16,28.23,28.23,27.55,28.03,91329
2023-11-17,28.03,28.03,27.36,27.65,149610
2023-11-20,27.36,27.55,27.07,27.21,107639
2023-11-21,27.21,27.74,27.21,27.5,79712
2023-11-22,27.65,27.65,26.97,27.45,81610
2023-11-23,27.65,27.94,27.36,27.36,120876
2023-11-24,27.26,27.26,26.29,27.07,154830
2023-11-27,26.73,27.16,26.34,26.97,70500
2023-11-28,26.92,26.92,26.1,26.78,56912
2023-11-29,26.78,27.21,26.73,27.07,78324
2023-11-30,27.31,27.31,26.78,26.97,67374
2023-12-01,27.07,27.07,26.54,27.07,68450
2023-12-04,27.07,27.55,27.02,27.07,210488
2023-12-05,27.12,27.6,27.07,27.36,157311
2023-12-06,27.55,27.7,27.21,27.5,138123
2023-12-07,27.79,27.79,26.87,27.36,137990
2023-12-08,27.36,27.36,26.87,27.07,93830
2023-12-11,27.36,27.36,26.87,27.02,30014
2023-12-12,27.07,27.26,26.92,27.02,60588
2023-12-13,26.97,27.26,26.39,26.49,191478
2023-12-14,26.92,26.97,26.54,26.87,88453
2023-12-15,26.83,26.83,26.1,26.83,56700
2023-12-18,26.83,26.83,26.2,26.49,84775
2023-12-19,26.68,26.68,26.25,26.58,22935
2023-12-20,26.58,26.83,26.39,26.73,57600
2023-12-21,26.68,26.68,26.34,26.49,28001
2023-12-22,26.68,26.78,26.39,26.39,23937
2023-12-25,26.68,26.78,26.54,26.73,75126
2023-12-26,26.87,26.87,26.54,26.78,24840
2023-12-27,26.87,26.87,26.58,26.78,47815
