time,open,high,low,close,volume
2023-03-30,18.69,18.86,18.52,18.52,79610
2023-03-31,18.52,18.52,17.58,17.84,321470
2023-04-03,17.84,18.01,17.07,17.75,728980
2023-04-04,17.92,18.26,17.75,18.01,137409
2023-04-05,18.01,18.18,17.75,18.09,219300
2023-04-06,18.18,18.6,18.01,18.26,196851
2023-04-07,18.09,18.26,17.75,17.92,99405
2023-04-10,17.92,18.18,17.67,17.84,441466
2023-04-11,17.67,17.92,17.58,17.84,146818
2023-04-12,17.75,18.26,17.75,18.01,212445
2023-04-13,18.18,18.18,17.75,17.84,63710
2023-04-14,17.75,17.84,17.49,17.49,255934
2023-04-17,17.49,17.84,17.41,17.84,141810
2023-04-18,17.58,18.01,17.58,17.67,189900
2023-04-19,17.75,19.12,17.67,18.35,862399
2023-04-20,18.43,19.97,18.18,19.54,1059571
2023-04-21,19.2,19.46,18.09,18.26,844142
2023-04-24,18.18,18.35,17.67,17.75,431891
2023-04-25,18.01,18.01,17.67,17.75,299725
2023-04-26,17.75,18.01,17.58,17.84,233730
2023-04-27,17.92,18.01,17.24,17.41,442785
2023-04-28,17.58,17.58,16.81,16.98,669517
2023-05-04,17.07,17.07,16.56,16.9,248645
2023-05-05,16.81,16.98,16.64,16.81,80610
2023-05-08,16.98,17.41,16.98,17.41,234255
2023-05-09,17.49,17.58,17.15,17.32,130731
2023-05-10,17.49,17.49,17.15,17.24,231019
2023-05-11,17.32,17.41,17.07,17.24,274911
2023-05-12,17.32,18.35,17.24,17.58,433025
2023-05-15,17.58,17.84,17.24,17.41,83161
2023-05-16,17.41,17.49,17.07,17.41,180472
2023-05-17,17.41,17.58,17.32,17.49,206400
2023-05-18,17.49,17.67,17.32,17.49,118237
2023-05-19,17.67,18.35,17.67,18.26,570031
2023-05-22,18.26,18.52,18.01,18.18,296903
2023-05-23,18.26,18.26,17.84,17.92,214451
2023-05-24,18.01,18.01,17.75,17.92,310265
2023-05-25,17.92,18.09,17.75,17.92,235424
2023-05-26,18.2,18.2,17.55,17.83,174355
2023-05-29,17.92,17.92,17.37,17.65,239266
2023-05-30,17.55,17.55,17.28,17.37,229413
2023-05-31,17.37,17.92,17.37,17.65,245129
2023-06-01,17.74,17.74,17.37,17.55,138899
2023-06-02,17.46,17.65,17.46,17.65,264498
2023-06-05,17.65,18.47,17.65,18.11,496390
2023-06-06,18.11,18.2,17.92,18.11,283887
2023-06-07,18.2,18.2,17.74,17.92,377919
2023-06-08,17.92,17.92,17.65,17.65,184225
2023-06-09,17.55,17.65,17.37,17.55,189909
2023-06-12,17.83,18.2,17.65,17.92,313479
2023-06-13,18.01,18.11,17.74,17.83,265617
2023-06-14,17.92,18.01,17.65,17.74,195392
2023-06-15,17.83,17.83,17.55,17.74,139498
2023-06-16,17.74,17.83,17.46,17.83,246950
2023-06-19,17.74,17.83,17.46,17.55,155117
2023-06-20,17.55,17.65,17.37,17.55,123962
2023-06-21,17.65,17.65,17.46,17.55,124152
2023-06-22,17.65,17.74,17.37,17.65,136800
2023-06-23,17.55,17.65,17.37,17.55,153900
2023-06-26,17.46,18.11,17.46,18.01,353620
2023-06-27,18.2,18.66,18.01,18.2,424770
2023-06-28,18.38,18.38,17.92,18.01,190642
2023-06-29,18.11,18.11,17.65,17.83,163060
2023-06-30,17.92,17.92,17.55,17.74,84181
2023-07-03,17.65,17.92,17.55,17.83,158903
2023-07-04,17.92,18.01,17.65,17.74,113313
2023-07-05,17.74,17.83,17.65,17.74,172722
2023-07-06,17.65,17.65,17.28,17.37,285801
2023-07-07,17.28,17.55,17.28,17.46,109021
2023-07-10,17.65,17.74,17.55,17.55,115852
2023-07-11,17.65,17.74,17.37,17.55,109802
2023-07-12,17.46,17.65,17.28,17.46,202234
2023-07-13,17.46,17.92,17.46,17.83,326028
2023-07-14,17.92,18.01,17.65,17.83,194119
2023-07-17,17.83,18.01,17.65,17.65,305967
2023-07-18,17.74,17.83,17.55,17.74,106701
2023-07-19,17.74,18.47,17.74,18.2,491405
2023-07-20,18.38,19.12,18.01,18.38,1130084
2023-07-21,18.38,18.47,17.65,17.74,535229
2023-07-24,17.65,17.74,17.0,17.28,869905
2023-07-25,17.19,17.28,17.1,17.28,211669
2023-07-26,17.19,17.37,17.1,17.37,144531
2023-07-27,17.28,17.37,17.0,17.0,295627
2023-07-28,17.1,17.1,16.64,16.73,417710
2023-07-31,16.73,17.0,16.73,17.0,132630
2023-08-01,16.91,17.1,16.91,16.91,108803
2023-08-02,16.91,17.1,16.91,17.0,118402
2023-08-03,16.91,16.91,16.73,16.73,151570
2023-08-04,16.73,16.82,16.64,16.82,149303
2023-08-07,17.0,17.92,17.0,17.37,380467
2023-08-08,17.46,17.55,17.1,17.28,111811
2023-08-09,17.19,17.19,16.91,16.91,314557
2023-08-10,17.19,17.19,16.91,17.0,206900
2023-08-11,17.0,17.0,16.73,16.91,115312
2023-08-14,16.91,17.0,16.73,16.82,125888
2023-08-15,16.91,16.91,16.73,16.82,79788
2023-08-16,16.82,16.82,16.64,16.73,113911
2023-08-17,16.82,16.82,16.64,16.73,65900
2023-08-18,16.64,16.64,15.17,15.62,309300
2023-08-21,15.81,15.81,15.17,15.26,302502
2023-08-22,15.07,15.35,15.07,15.35,126869
2023-08-23,15.35,15.53,15.26,15.26,35910
2023-08-24,15.26,15.53,15.26,15.44,61804
2023-08-25,15.44,15.44,15.26,15.35,45100
2023-08-28,15.35,15.62,15.35,15.62,29500
2023-08-29,15.53,15.81,15.53,15.72,83619
2023-08-30,15.62,15.72,15.62,15.72,43108
2023-08-31,15.62,15.81,15.53,15.72,179512
2023-09-05,15.72,15.9,15.72,15.9,69117
2023-09-06,15.81,15.9,15.53,15.72,114601
2023-09-07,15.81,15.9,15.72,15.81,62806
2023-09-08,15.81,15.9,15.81,15.81,58610
2023-09-11,15.9,16.36,15.9,15.99,165750
2023-09-12,16.18,16.18,15.9,15.99,16851
2023-09-13,16.18,16.18,15.72,15.81,64020
2023-09-14,15.81,16.08,15.72,15.99,70300
2023-09-15,15.99,15.99,15.81,15.9,60800
2023-09-18,15.9,15.99,15.62,15.81,28501
2023-09-19,15.81,15.9,15.62,15.81,40107
