time,open,high,low,close,volume
2023-03-30,26.04,26.13,25.77,25.95,1447763
2023-03-31,25.86,26.13,25.68,26.13,2333437
2023-04-03,26.4,26.89,26.31,26.8,3735478
2023-04-04,26.8,26.8,26.44,26.53,2221636
2023-04-05,26.53,26.94,26.27,26.85,3441306
2023-04-06,26.85,26.85,26.44,26.44,1931940
2023-04-07,26.4,26.44,26.22,26.4,1542797
2023-04-10,26.4,26.58,26.22,26.27,1850563
2023-04-11,26.35,26.49,26.13,26.49,1160962
2023-04-12,26.58,26.58,26.31,26.4,1373980
2023-04-13,26.31,26.4,26.04,26.31,1311892
2023-04-14,26.35,26.4,26.04,26.04,1513285
2023-04-17,26.04,26.22,25.77,26.13,1299472
2023-04-18,26.13,26.22,25.95,26.04,1177773
2023-04-19,26.0,26.09,25.64,25.68,1613921
2023-04-20,25.64,25.73,25.42,25.73,1329341
2023-04-21,25.5,25.73,25.5,25.59,936695
2023-04-24,25.55,26.13,25.24,25.86,2653872
2023-04-25,25.95,25.95,25.5,25.5,1281278
2023-04-26,25.5,25.77,25.01,25.42,3782499
2023-04-27,25.42,25.68,25.37,25.37,1979047
2023-04-28,25.5,25.82,25.5,25.82,4376501
2023-05-04,25.59,25.59,25.24,25.28,2095919
2023-05-05,25.28,25.33,24.88,24.92,3721599
2023-05-08,25.06,25.1,24.92,24.97,3293287
2023-05-09,25.1,25.28,25.06,25.06,2870130
2023-05-10,25.1,25.28,25.01,25.28,5546456
2023-05-11,25.42,25.46,25.28,25.37,2980098
2023-05-12,25.37,25.42,25.19,25.42,3866917
2023-05-15,25.5,25.64,25.15,25.15,6833807
2023-05-16,25.24,25.28,25.01,25.01,3039051
2023-05-17,25.06,25.15,24.61,24.61,5243829
2023-05-18,24.79,24.97,24.61,24.83,4645794
2023-05-19,24.97,25.24,24.74,25.06,2086777
2023-05-22,25.06,25.24,25.01,25.01,3068553
2023-05-23,25.15,25.15,24.79,24.97,4050115
2023-05-24,25.06,25.06,24.7,24.83,3822796
2023-05-25,24.74,24.88,24.65,24.7,3101011
2023-05-26,24.7,24.88,24.61,24.88,1783072
2023-05-29,24.88,25.19,24.88,25.06,2862153
2023-05-30,25.15,25.19,24.97,25.1,2949345
2023-05-31,25.1,25.1,24.88,25.06,2716043
2023-06-01,25.06,25.15,24.92,25.01,2396673
2023-06-02,25.1,25.73,25.06,25.64,8934824
2023-06-05,25.86,26.0,25.64,25.73,4447666
2023-06-06,25.82,25.95,25.59,25.68,5308070
2023-06-07,25.82,26.13,25.73,25.86,6348782
2023-06-08,25.86,25.95,25.55,25.55,5167037
2023-06-09,25.55,25.64,25.15,25.37,6112269
2023-06-12,25.42,25.46,24.92,25.42,5635970
2023-06-13,25.37,25.46,25.24,25.33,3214516
2023-06-14,25.46,26.13,25.46,25.68,8424703
2023-06-15,25.68,26.27,25.68,25.95,7185208
2023-06-16,26.0,26.13,25.5,25.5,7434285
2023-06-19,25.55,25.82,25.55,25.59,3406150
2023-06-20,25.64,26.13,25.55,26.13,2783392
2023-06-21,26.04,26.22,25.82,26.09,4571451
2023-06-22,26.22,26.53,26.13,26.35,5104324
2023-06-23,26.4,26.44,26.09,26.18,4985186
2023-06-26,26.0,26.35,25.86,26.18,6463941
2023-06-27,26.22,26.27,25.95,26.27,3657266
2023-06-28,26.31,27.03,26.27,26.85,8637020
2023-06-29,26.85,26.94,26.4,26.76,5202703
2023-06-30,26.58,26.62,26.27,26.4,5603643
2023-07-03,26.4,26.49,26.13,26.18,3180364
2023-07-04,26.09,26.4,26.0,26.35,5107172
2023-07-05,26.44,26.58,26.27,26.44,3598086
2023-07-06,26.44,26.49,25.82,26.27,6345224
2023-07-07,26.18,26.49,26.0,26.49,3914991
2023-07-10,26.62,26.67,26.4,26.58,6964420
2023-07-11,26.8,27.38,26.8,27.12,14514445
2023-07-12,27.12,27.2,26.67,26.85,6315315
2023-07-13,27.03,27.03,26.71,26.85,5304323
2023-07-14,26.85,27.03,26.31,26.76,7968944
2023-07-17,26.76,26.8,26.44,26.58,6583684
2023-07-18,26.58,26.85,26.58,26.71,4572957
2023-07-19,26.85,26.89,26.4,26.76,6742255
2023-07-20,26.76,26.76,26.44,26.53,4595217
2023-07-21,26.53,26.67,26.4,26.58,5538734
2023-07-24,26.76,26.94,26.62,26.71,5166290
2023-07-25,26.8,27.12,26.71,26.76,6094320
2023-07-26,26.8,26.89,26.58,26.67,5545452
2023-07-27,26.71,26.76,26.22,26.27,7923509
2023-07-28,26.31,26.4,26.22,26.4,5221775
2023-07-31,26.76,26.85,26.49,26.85,5768191
2023-08-01,27.03,27.56,26.94,27.2,14248647
2023-08-02,27.29,27.88,27.29,27.79,13343539
2023-08-03,27.7,27.83,27.47,27.65,8080317
2023-08-04,27.74,27.74,27.43,27.74,7559740
2023-08-07,28.14,29.17,27.97,29.17,13007937
2023-08-08,29.4,29.4,28.91,29.17,8768967
2023-08-09,29.08,29.17,28.68,29.08,8016166
2023-08-10,29.08,29.22,28.28,28.32,7998425
2023-08-11,28.41,28.77,28.01,28.73,6911318
2023-08-14,28.73,28.99,28.37,28.91,6372525
2023-08-15,28.91,28.99,28.68,28.99,5242861
2023-08-16,28.82,29.26,28.55,28.95,6374442
2023-08-17,28.99,29.44,28.86,29.17,9766151
2023-08-18,28.91,29.04,27.47,27.47,13698381
2023-08-21,27.65,28.91,27.38,28.64,9916310
2023-08-22,28.64,28.68,27.65,28.23,5796823
2023-08-23,28.32,28.41,27.79,28.01,4378511
2023-08-24,28.19,28.55,27.83,28.41,5038548
2023-08-25,28.41,28.41,27.79,27.88,8628361
2023-08-28,27.79,28.01,27.74,27.88,5413322
2023-08-29,28.1,28.46,27.97,27.97,3728336
2023-08-30,28.14,28.73,28.14,28.73,7398062
2023-08-31,28.77,29.17,28.77,29.04,5275544
2023-09-05,29.08,29.53,29.08,29.22,5971062
2023-09-06,29.26,29.31,28.86,29.22,4466605
2023-09-07,29.26,29.8,29.22,29.22,7778425
2023-09-08,29.26,29.26,28.91,28.91,3676521
2023-09-11,29.08,29.31,28.46,28.55,7494721
2023-09-12,28.64,28.91,28.41,28.91,3930800
2023-09-13,28.91,29.31,28.59,29.13,8001734
2023-09-14,29.31,30.11,29.31,29.71,14129974
2023-09-15,29.62,29.98,29.22,29.31,6486980
2023-09-18,29.31,29.31,28.46,28.68,8700976
2023-09-19,28.68,28.86,28.23,28.73,4885401
2023-09-20,28.73,28.95,28.41,28.68,6671506
2023-09-21,28.73,28.77,28.37,28.37,5998968
2023-09-22,28.19,28.41,27.74,28.32,8223938
2023-09-25,28.14,28.37,26.67,26.67,6722807
