time,open,high,low,close,volume
2023-03-30,30.44,30.6,30.44,30.6,21030
2023-03-31,30.64,30.76,30.64,30.64,45511
2023-04-03,30.72,31.16,30.72,31.04,52319
2023-04-04,30.88,31.2,30.8,31.2,31485
2023-04-05,31.2,31.52,31.08,31.36,69423
2023-04-06,31.56,31.56,31.2,31.28,108000
2023-04-07,31.28,31.28,31.0,31.12,30000
2023-04-10,31.12,31.84,31.12,31.44,73854
2023-04-11,31.36,31.48,31.2,31.36,30603
2023-04-12,31.2,31.56,31.2,31.52,64860
2023-04-13,31.52,32.4,31.32,32.4,173756
2023-04-14,32.08,32.88,32.08,32.72,51515
2023-04-17,32.72,32.72,32.24,32.64,142815
2023-04-18,32.56,32.6,32.08,32.56,73242
2023-04-19,32.8,33.0,32.08,32.48,150170
2023-04-20,32.48,32.56,32.24,32.56,37353
2023-04-21,32.56,33.32,32.56,33.2,272934
2023-04-24,33.4,34.72,33.4,34.6,89318
2023-04-25,34.6,34.84,33.6,34.4,182839
2023-04-26,34.4,34.4,33.8,34.4,45620
2023-04-27,34.2,34.72,34.16,34.48,150309
2023-04-28,34.24,34.64,33.96,34.56,93200
2023-05-04,34.52,36.72,34.2,36.72,76614
2023-05-05,36.64,36.64,35.52,35.6,154623
2023-05-08,35.6,36.8,35.56,35.88,105583
2023-05-09,35.88,35.88,35.12,35.12,221101
2023-05-10,35.04,35.2,34.4,35.2,44168
2023-05-11,35.2,35.6,34.92,35.36,49077
2023-05-12,35.08,35.92,35.08,35.12,35252
2023-05-15,34.88,35.64,34.8,35.56,41820
2023-05-16,35.12,35.56,35.04,35.36,28441
2023-05-17,34.88,35.52,34.88,35.52,10794
2023-05-18,35.2,35.48,34.92,35.4,46290
2023-05-19,34.92,35.92,34.88,35.92,74810
2023-05-22,35.92,35.92,35.24,35.84,29725
2023-05-23,35.52,35.76,35.24,35.68,33665
2023-05-24,35.32,35.92,35.28,35.84,52815
2023-05-25,35.28,37.2,35.28,36.8,161638
2023-05-26,36.8,37.24,36.8,36.88,75169
2023-05-29,37.04,37.04,36.8,36.88,25002
2023-05-30,36.12,36.88,36.12,36.88,70700
2023-05-31,36.8,36.8,36.64,36.8,30810
2023-06-01,36.64,36.88,35.32,35.32,77820
2023-06-02,35.6,36.64,35.6,36.64,38618
