time,open,high,low,close,volume
2023-03-30,33.12,33.12,33.12,33.12,0
2023-03-31,33.12,33.12,33.12,33.12,0
2023-04-03,33.12,33.12,33.12,33.12,0
2023-04-04,33.12,33.12,33.12,33.12,0
2023-04-05,28.18,28.18,28.18,28.18,120
2023-04-06,24.23,24.23,24.23,24.23,300
2023-04-07,27.82,27.82,27.82,27.82,100
2023-04-10,27.82,27.82,27.82,27.82,0
2023-04-11,27.82,27.82,27.82,27.82,0
2023-04-12,31.86,31.86,31.86,31.86,100
2023-04-13,31.86,31.86,31.86,31.86,0
2023-04-14,31.86,31.86,31.86,31.86,0
2023-04-17,31.86,31.86,31.86,31.86,0
2023-04-18,31.86,31.86,31.86,31.86,0
2023-04-19,31.86,31.86,31.86,31.86,0
2023-04-20,31.86,31.86,31.86,31.86,0
2023-04-21,31.86,31.86,31.86,31.86,0
2023-04-24,31.86,31.86,31.86,31.86,0
2023-04-25,31.86,31.86,31.86,31.86,0
2023-04-26,31.86,31.86,31.86,31.86,0
2023-04-27,31.86,31.86,31.86,31.86,1000
2023-04-28,31.86,31.86,31.86,31.86,0
2023-05-04,31.86,31.86,31.86,31.86,0
2023-05-05,27.1,27.1,27.1,27.1,200
2023-05-08,31.14,31.14,31.14,31.14,100
2023-05-09,31.14,31.14,31.14,31.14,0
2023-05-10,31.14,31.14,31.14,31.14,0
2023-05-11,31.14,31.14,31.14,31.14,0
2023-05-12,31.14,31.14,31.14,31.14,0
2023-05-15,31.14,31.14,31.14,31.14,0
2023-05-16,31.14,31.14,31.14,31.14,0
2023-05-17,31.14,31.14,31.14,31.14,0
2023-05-18,31.14,31.14,31.14,31.14,0
2023-05-19,31.14,31.14,31.14,31.14,0
2023-05-22,31.14,31.14,31.14,31.14,0
2023-05-23,31.14,31.14,31.14,31.14,0
2023-05-24,31.14,31.14,31.14,31.14,0
2023-05-25,31.14,31.14,31.14,31.14,0
2023-05-26,31.14,31.14,31.14,31.14,0
2023-05-29,31.14,31.14,31.14,31.14,1
2023-05-30,31.14,31.14,31.14,31.14,101
2023-05-31,31.14,31.14,31.14,31.14,0
2023-06-01,31.14,31.14,31.14,31.14,1
2023-06-02,31.14,31.14,31.14,31.14,0
2023-06-05,31.14,31.14,31.14,31.14,3
2023-06-06,31.14,31.14,31.14,31.14,0
2023-06-07,31.14,31.14,31.14,31.14,0
2023-06-08,31.14,31.14,31.14,31.14,0
2023-06-09,31.14,31.14,31.14,31.14,10
2023-06-12,31.14,31.14,31.14,31.14,0
2023-06-13,31.14,31.14,31.14,31.14,0
2023-06-14,31.14,31.14,31.14,31.14,0
2023-06-15,31.14,31.14,31.14,31.14,0
2023-06-16,31.14,31.14,31.14,31.14,0
2023-06-19,31.14,31.14,31.14,31.14,0
2023-06-20,31.14,31.14,31.14,31.14,0
2023-06-21,31.14,31.14,31.14,31.14,0
2023-06-22,26.52,33.03,26.52,26.52,2384
2023-06-23,32.09,32.09,32.09,32.09,100
2023-06-26,32.09,32.09,32.09,32.09,0
2023-06-27,32.09,32.09,32.09,32.09,0
2023-06-28,32.09,32.09,32.09,32.09,1
2023-06-29,32.09,32.09,32.09,32.09,0
2023-06-30,32.09,32.09,32.09,32.09,83
2023-07-03,32.09,32.09,32.09,32.09,0
2023-07-04,32.09,32.09,32.09,32.09,0
2023-07-05,32.09,32.09,32.09,32.09,0
2023-07-06,32.09,32.09,32.09,32.09,0
2023-07-07,32.09,32.09,32.09,32.09,0
2023-07-10,32.09,32.09,32.09,32.09,0
2023-07-11,27.27,27.27,27.27,27.27,300
2023-07-12,31.33,31.33,23.59,23.59,510
2023-07-13,30.1,30.1,24.63,24.63,201
2023-07-14,31.43,31.43,26.42,26.42,1218
2023-07-17,27.93,27.93,27.93,27.93,302
2023-07-18,24.54,24.54,24.54,24.54,100
2023-07-19,27.93,27.93,27.93,27.93,101
2023-07-20,26.42,26.42,26.42,26.42,103
2023-07-21,30.2,30.2,30.2,30.2,100
2023-07-24,30.2,30.2,30.2,30.2,76
2023-07-25,30.2,30.2,30.2,30.2,9
2023-07-26,30.2,30.2,30.2,30.2,0
2023-07-27,26.52,26.52,26.42,26.42,300
2023-07-28,30.2,30.39,30.2,30.39,319
2023-07-31,34.82,34.82,33.03,33.97,414
2023-08-01,33.97,33.97,33.97,33.97,1
2023-08-02,29.25,29.25,28.88,28.88,1100
2023-08-03,33.41,33.41,33.41,33.41,110
2023-08-04,33.41,33.41,33.41,33.41,0
2023-08-07,29.73,29.73,29.73,29.73,500
2023-08-08,26.05,26.05,26.05,26.05,303
2023-08-09,26.05,26.05,26.05,26.05,0
2023-08-10,29.92,29.92,29.92,29.92,100
2023-08-11,27.37,27.37,27.37,27.37,100
2023-08-14,31.33,31.33,31.33,31.33,100
2023-08-15,28.31,28.31,28.31,28.31,200
2023-08-16,28.31,28.31,28.31,28.31,0
2023-08-17,31.14,31.14,31.14,31.14,100
2023-08-18,31.14,31.14,31.14,31.14,0
2023-08-21,31.14,31.14,31.14,31.14,0
2023-08-22,28.31,28.31,28.31,28.31,200
2023-08-23,32.09,32.09,32.09,32.09,100
2023-08-24,32.09,32.09,32.09,32.09,0
2023-08-25,32.09,32.09,32.09,32.09,0
2023-08-28,32.09,32.09,32.09,32.09,0
2023-08-29,32.09,32.09,32.09,32.09,15
2023-08-30,32.09,32.09,32.09,32.09,0
2023-08-31,31.05,31.05,30.1,30.1,300
2023-09-05,30.39,30.39,30.39,30.39,0
2023-09-06,34.92,34.92,34.92,34.92,100
2023-09-07,34.92,34.92,34.92,34.92,0
2023-09-08,34.92,34.92,34.92,34.92,0
2023-09-11,29.73,29.73,29.73,29.73,100
2023-09-12,29.73,29.73,29.73,29.73,0
2023-09-13,34.16,34.16,34.16,34.16,117
2023-09-14,34.16,34.16,34.16,34.16,0
2023-09-15,34.16,34.16,34.16,34.16,0
2023-09-18,34.16,34.16,34.16,34.16,0
2023-09-19,34.16,34.16,34.16,34.16,0
2023-09-20,34.16,34.16,34.16,34.16,0
2023-09-21,29.73,29.73,29.07,29.07,804
2023-09-22,33.5,33.5,33.5,33.5,100
2023-09-25,28.5,28.5,28.5,28.5,200
2023-09-26,32.75,32.75,32.75,32.75,102
2023-09-27,31.14,31.14,31.14,31.14,100
2023-09-28,34.92,34.92,34.92,34.92,101
2023-09-29,34.92,34.92,34.92,34.92,0
2023-10-02,29.73,29.73,29.73,29.73,400
2023-10-03,29.73,29.73,29.73,29.73,6
2023-10-04,25.95,25.95,25.95,25.95,200
2023-10-05,29.82,29.82,29.82,29.82,700
2023-10-06,29.82,29.82,29.82,29.82,1
2023-10-09,33.6,33.6,33.6,33.6,125
2023-10-10,33.6,33.6,33.6,33.6,0
2023-10-11,28.59,28.59,28.59,28.59,500
