time,open,high,low,close,volume
2023-03-30,35.67,36.03,35.45,35.81,114926
2023-03-31,35.94,35.94,34.96,35.76,75029
2023-04-03,35.94,35.94,35.36,35.72,199431
2023-04-04,35.72,35.94,35.45,35.67,146378
2023-04-05,36.12,36.12,34.78,35.41,182236
2023-04-06,35.81,35.85,35.23,35.27,227764
2023-04-07,35.58,35.58,34.96,35.0,96222
2023-04-10,35.23,35.9,34.78,35.27,245370
2023-04-11,35.23,35.63,35.23,35.5,108740
2023-04-12,35.5,36.07,35.36,35.94,258048
2023-04-13,36.12,37.28,36.12,36.92,387110
2023-04-14,36.83,36.83,35.67,35.76,262207
2023-04-17,35.76,36.83,35.41,36.83,185403
2023-04-18,36.83,36.88,36.12,36.57,187708
2023-04-19,36.92,36.92,36.16,36.16,97754
2023-04-20,36.21,36.74,35.94,36.43,252732
2023-04-21,36.43,36.48,35.85,36.48,104657
2023-04-24,36.48,36.52,36.03,36.03,110363
2023-04-25,36.03,36.3,35.36,35.94,85960
2023-04-26,34.96,35.63,34.96,35.18,87071
2023-04-27,35.58,36.21,35.14,36.12,95769
2023-04-28,36.07,36.57,35.76,35.76,81490
2023-05-04,35.67,36.34,34.96,35.14,93482
2023-05-05,35.72,35.72,34.96,35.63,46372
2023-05-08,35.14,35.9,35.14,35.58,114390
2023-05-09,35.67,35.67,34.6,35.54,163080
2023-05-10,35.45,35.54,35.14,35.23,31663
2023-05-11,35.58,35.58,34.6,34.92,468947
2023-05-12,35.45,35.45,34.78,34.87,198472
2023-05-15,34.92,35.23,34.69,34.69,179627
2023-05-16,34.51,35.14,34.51,34.6,133625
2023-05-17,35.05,35.23,34.6,35.05,106410
2023-05-18,35.14,35.5,35.09,35.41,153004
2023-05-19,35.36,35.5,35.18,35.45,103139
2023-05-22,35.41,35.67,35.36,35.63,110018
2023-05-23,35.63,36.03,35.54,35.99,64790
2023-05-24,36.3,36.3,35.72,35.99,63959
2023-05-25,36.49,36.49,35.67,36.31,44166
2023-05-26,36.31,36.58,35.94,36.49,145340
2023-05-29,36.58,36.85,36.4,36.76,304988
2023-05-30,37.13,37.13,35.67,37.08,180580
2023-05-31,36.63,37.22,36.63,37.22,127591
2023-06-01,37.31,38.96,37.22,38.23,211029
2023-06-02,38.32,38.73,37.86,38.41,100973
2023-06-05,39.0,39.0,38.36,38.55,108708
2023-06-06,38.64,39.46,38.59,39.23,268552
2023-06-07,39.78,39.78,38.78,39.14,139615
2023-06-08,39.28,39.28,38.14,38.87,269241
2023-06-09,38.87,38.87,37.95,38.5,109270
2023-06-12,38.32,39.28,38.04,39.14,255507
2023-06-13,39.32,39.32,38.78,38.78,59488
2023-06-14,39.32,39.32,38.59,38.82,22006
2023-06-15,38.41,39.23,38.41,38.55,40360
2023-06-16,39.0,39.1,38.55,38.59,70214
2023-06-19,39.0,39.0,38.55,38.87,104154
2023-06-20,39.23,39.23,38.59,38.87,11497
2023-06-21,38.87,38.87,38.59,38.87,30504
2023-06-22,38.91,39.05,38.41,38.87,94093
2023-06-23,38.82,38.91,38.46,38.87,440434
2023-06-26,38.78,38.91,38.04,38.87,91709
2023-06-27,38.55,38.59,38.14,38.36,68186
2023-06-28,38.32,38.41,38.04,38.41,77362
2023-06-29,38.23,38.41,37.04,37.31,176764
2023-06-30,37.91,37.91,36.76,37.4,53300
2023-07-03,37.86,37.86,36.99,37.08,33904
2023-07-04,37.08,37.13,36.95,37.04,178224
2023-07-05,37.04,37.13,36.95,37.04,63847
2023-07-06,37.5,37.5,35.94,36.58,134988
2023-07-07,36.85,37.04,36.31,37.04,174545
2023-07-10,37.04,37.22,35.94,36.99,410087
2023-07-11,36.99,37.22,36.85,37.04,155536
2023-07-12,37.13,38.5,37.04,38.23,442070
2023-07-13,38.41,38.64,38.14,38.23,124640
2023-07-14,38.32,39.46,38.18,39.05,406659
2023-07-17,38.68,39.78,37.91,39.05,543130
2023-07-18,39.14,39.19,38.68,39.05,139150
2023-07-19,39.28,39.28,38.59,38.73,107390
2023-07-20,38.23,38.91,38.14,38.87,148063
2023-07-21,38.59,38.82,38.27,38.64,157125
2023-07-24,39.05,39.19,38.68,38.78,185978
2023-07-25,38.78,38.91,38.23,38.68,123637
2023-07-26,38.23,38.68,38.0,38.41,167664
2023-07-27,38.68,38.68,37.27,38.41,293569
2023-07-28,38.55,38.55,37.68,38.23,305031
2023-07-31,37.82,38.41,37.82,37.95,200212
2023-08-01,38.32,38.32,37.72,37.77,142204
2023-08-02,37.77,37.77,37.5,37.5,185370
2023-08-03,37.5,37.68,36.44,36.44,204519
2023-08-04,36.9,37.5,36.9,37.18,202768
2023-08-07,37.22,37.31,37.18,37.31,71258
2023-08-08,37.31,37.82,37.31,37.77,112834
2023-08-09,37.86,37.86,37.04,37.31,125626
2023-08-10,37.63,37.63,37.18,37.27,167864
2023-08-11,37.5,37.5,37.08,37.5,143714
2023-08-14,37.54,37.68,37.22,37.54,74415
2023-08-15,37.5,37.54,37.4,37.54,76514
2023-08-16,37.68,37.68,37.18,37.22,97355
2023-08-17,37.04,37.31,37.04,37.13,76710
2023-08-18,37.08,37.36,35.67,35.67,190502
2023-08-21,35.21,35.94,34.93,35.94,207024
2023-08-22,35.67,36.81,34.84,36.58,194805
2023-08-23,36.67,36.85,36.17,36.44,93626
2023-08-24,36.17,36.58,36.17,36.49,48268
2023-08-25,36.72,37.09,36.63,36.95,149949
2023-08-28,37.09,37.09,36.72,36.95,42063
2023-08-29,37.09,37.14,36.53,37.0,94755
2023-08-30,37.0,37.92,36.72,37.51,272433
2023-08-31,37.78,38.39,37.51,37.97,170992
2023-09-05,38.02,38.34,37.88,38.15,116320
2023-09-06,38.15,40.79,37.88,40.79,2242338
2023-09-07,41.67,43.62,41.21,43.2,959959
2023-09-08,43.2,44.45,42.18,42.6,446164
2023-09-11,42.6,43.9,42.14,42.14,835642
2023-09-12,42.6,42.97,41.54,41.77,483562
2023-09-13,42.18,44.27,41.91,43.29,807412
2023-09-14,43.29,43.53,42.32,42.88,251355
2023-09-15,43.06,43.06,41.95,42.69,299909
2023-09-18,42.88,45.33,42.23,43.9,480624
2023-09-19,44.08,44.27,42.69,43.9,262731
2023-09-20,43.99,45.33,43.99,44.68,442556
2023-09-21,44.78,44.82,43.53,43.57,225764
2023-09-22,42.69,43.43,41.72,43.34,506984
2023-09-25,43.34,43.34,40.38,40.56,757860
2023-09-26,40.28,41.67,40.28,40.38,361805
2023-09-27,38.15,41.58,38.11,41.49,240236
2023-09-28,40.79,42.32,40.75,42.32,219677
2023-09-29,42.37,43.16,41.72,42.04,238405
2023-10-02,43.06,43.06,40.93,41.95,145006
2023-10-03,41.21,41.3,39.91,40.75,318689
2023-10-04,39.96,41.67,39.96,41.67,277720
2023-10-05,42.18,42.18,41.03,41.21,142260
2023-10-06,40.75,41.16,40.28,40.93,126135
2023-10-09,40.79,41.44,40.79,41.21,385666
2023-10-10,42.14,42.14,41.12,41.26,486776
2023-10-11,41.21,41.86,41.21,41.67,508207
2023-10-12,41.86,43.43,41.77,43.34,1003305
2023-10-13,42.88,43.9,42.88,43.8,538682
2023-10-16,43.8,43.9,42.23,42.32,388625
2023-10-17,42.79,42.79,39.45,39.45,648695
2023-10-18,39.82,40.56,38.43,38.94,659187
2023-10-19,39.64,39.82,38.71,38.9,246696
2023-10-20,38.76,39.82,38.34,39.82,250949
2023-10-23,39.82,39.82,38.62,39.08,233061
2023-10-24,38.8,39.64,38.71,39.27,136865
2023-10-25,39.5,39.59,38.43,38.94,153694
2023-10-26,38.57,38.57,37.04,37.51,465978
2023-10-27,37.51,38.25,36.67,36.72,225326
2023-10-30,36.86,37.83,36.12,36.12,125095
2023-10-31,36.02,36.3,35.01,35.33,412451
2023-11-01,35.38,35.7,35.19,35.56,85590
2023-11-02,36.12,37.04,35.38,36.4,144368
2023-11-03,37.04,38.48,36.4,38.48,905784
2023-11-06,38.9,38.9,37.88,38.43,142278
2023-11-07,38.02,38.25,37.88,38.06,133608
2023-11-08,38.06,38.9,37.09,38.85,105911
2023-11-09,38.9,38.99,37.78,38.71,257187
2023-11-10,38.71,38.71,38.15,38.2,89666
2023-11-13,38.25,38.29,37.69,37.69,96653
2023-11-14,37.78,38.57,37.78,38.57,205080
