time,open,high,low,close,volume
2023-03-30,81.43,82.3,81.08,81.16,6016
2023-03-31,81.08,81.43,80.81,81.16,14112
2023-04-03,81.16,81.43,81.16,81.25,2610
2023-04-04,80.99,80.99,80.55,80.9,14203
2023-04-05,80.9,80.99,80.55,80.73,3243
2023-04-06,81.16,81.16,79.94,80.81,8673
2023-04-07,81.43,81.43,80.11,80.11,2121
2023-04-10,79.85,80.9,79.85,80.9,8470
2023-04-11,80.73,80.99,79.94,80.55,9220
2023-04-12,80.55,80.64,80.11,80.64,1300
2023-04-13,80.64,80.64,80.03,80.64,7521
2023-04-14,81.08,81.86,81.08,81.78,5620
2023-04-17,81.78,82.3,81.51,81.51,9915
2023-04-18,81.6,81.6,81.51,81.51,3126
2023-04-19,81.51,81.51,80.11,80.46,10640
2023-04-20,80.46,82.3,80.38,80.99,9670
2023-04-21,86.59,86.59,86.59,86.59,42981
2023-04-24,91.58,91.58,88.96,91.23,175034
2023-04-25,90.97,90.97,89.39,90.18,18853
2023-04-26,90.18,93.68,88.52,92.46,89826
2023-04-27,92.55,92.55,91.06,92.46,33123
2023-04-28,92.37,93.33,91.58,92.63,37309
2023-05-04,92.02,99.03,92.02,99.03,154602
2023-05-05,99.03,103.49,99.03,101.56,99551
2023-05-08,101.56,103.23,99.81,100.69,63170
2023-05-09,100.69,101.39,98.15,99.73,51010
2023-05-10,99.36,101.98,98.46,98.46,24350
2023-05-11,96.38,99.36,96.38,99.36,86804
2023-05-12,98.64,99.18,97.83,97.83,37101
2023-05-15,97.83,102.07,97.74,99.09,76943
2023-05-16,98.64,99.9,98.55,99.45,13102
2023-05-17,99.45,99.72,97.28,99.27,34252
2023-05-18,99.0,100.72,99.0,100.27,17384
2023-05-19,100.27,100.99,99.36,99.45,20921
2023-05-22,99.45,100.27,99.0,99.9,5649
2023-05-23,100.81,100.81,99.18,100.27,23941
2023-05-24,99.36,100.27,98.91,100.17,26139
2023-05-25,100.17,106.59,99.81,103.07,210236
2023-05-26,103.88,103.88,96.56,101.17,66319
2023-05-29,100.72,100.72,98.01,98.46,46884
2023-05-30,102.07,102.07,98.46,101.35,47804
2023-05-31,99.9,101.17,98.91,99.45,71552
2023-06-01,99.45,102.07,98.46,102.07,56321
2023-06-02,102.07,102.25,101.17,101.17,49639
2023-06-05,101.17,101.98,99.36,99.63,62876
2023-06-06,101.17,101.35,100.54,101.35,17891
2023-06-07,101.71,101.71,100.27,101.35,16084
2023-06-08,101.35,108.39,101.35,106.59,175768
2023-06-09,106.59,114.0,106.5,114.0,128102
2023-06-12,114.0,117.16,111.38,114.63,63094
2023-06-13,113.0,114.54,108.39,113.63,37029
2023-06-14,111.1,113.81,111.1,112.01,10803
2023-06-15,112.01,113.54,109.75,113.54,25917
2023-06-16,113.36,113.45,111.56,112.01,59023
2023-06-19,113.36,113.36,110.2,112.01,15314
2023-06-20,111.92,116.98,111.92,114.72,35218
2023-06-21,113.54,113.54,111.1,111.1,27196
2023-06-22,111.1,113.36,110.2,110.74,32195
2023-06-23,110.29,112.82,110.29,111.74,14048
2023-06-26,111.74,116.98,110.74,116.52,44743
2023-06-27,116.52,121.76,113.18,120.41,64089
2023-06-28,120.05,121.04,117.43,119.05,17199
2023-06-29,119.05,119.05,116.07,116.07,30040
2023-06-30,116.52,118.33,115.62,116.07,43763
2023-07-03,116.07,120.86,116.07,120.86,38661
2023-07-04,119.23,120.59,116.98,117.43,41294
2023-07-05,120.32,120.32,118.15,119.78,11438
2023-07-06,117.61,119.69,116.52,118.24,50309
2023-07-07,118.15,122.49,117.88,121.85,48863
2023-07-10,123.12,123.75,119.32,121.94,38094
2023-07-11,122.12,122.31,120.77,121.04,25275
2023-07-12,121.04,121.76,119.23,119.69,15537
2023-07-13,120.95,121.85,119.23,119.32,30059
2023-07-14,119.23,119.23,116.61,117.43,69809
2023-07-17,117.34,117.34,114.72,114.72,70998
2023-07-18,114.72,117.43,114.72,117.25,93116
2023-07-19,117.25,125.38,117.25,125.38,219578
2023-07-20,124.65,126.46,123.75,126.1,57046
2023-07-21,117.43,119.23,117.34,117.34,243054
2023-07-24,112.1,115.62,110.65,112.64,272671
2023-07-25,112.91,114.54,112.01,112.1,100972
2023-07-26,112.37,113.0,112.01,112.91,52710
2023-07-27,112.46,112.73,106.77,107.58,203450
2023-07-28,108.3,108.3,104.33,105.69,131902
2023-07-31,105.78,111.1,105.69,111.1,42562
2023-08-01,109.39,111.47,107.49,107.49,90232
2023-08-02,109.66,109.66,107.4,108.12,20721
2023-08-03,108.12,109.75,108.12,108.67,42411
2023-08-04,109.3,109.3,107.85,108.12,19370
2023-08-07,108.21,108.21,106.59,107.4,35454
2023-08-08,107.4,107.4,105.5,106.5,72058
2023-08-09,106.5,108.3,105.78,105.78,28560
2023-08-10,105.78,106.59,104.78,104.78,40169
2023-08-11,104.78,105.23,103.88,104.78,24890
2023-08-14,105.69,105.69,104.06,104.78,23322
2023-08-15,104.78,108.3,104.78,108.3,54049
2023-08-16,107.94,107.94,105.87,105.96,16292
2023-08-17,105.96,105.96,103.88,103.88,102171
