time,open,high,low,close,volume
2023-03-30,13.89,13.89,13.72,13.82,7746
2023-03-31,13.65,13.79,13.58,13.79,6800
2023-04-03,14.24,14.24,13.65,13.79,10200
2023-04-04,13.79,14.0,13.72,13.93,23300
2023-04-05,13.89,14.07,13.89,13.96,20900
2023-04-06,14.0,14.07,13.89,13.89,6900
2023-04-07,14.45,14.59,13.55,13.86,24312
2023-04-10,13.93,14.07,13.72,13.86,30400
2023-04-11,13.86,14.07,13.68,13.89,6300
2023-04-12,14.07,14.07,13.72,13.89,11300
2023-04-13,14.0,14.0,13.65,13.86,11200
2023-04-14,13.86,13.86,13.48,13.79,17900
2023-04-17,13.89,13.89,13.48,13.55,8700
2023-04-18,13.79,13.86,13.62,13.62,14403
2023-04-19,13.75,13.75,13.65,13.75,2900
2023-04-20,13.75,14.0,13.65,13.75,19000
2023-04-21,13.75,14.94,13.75,14.41,142800
2023-04-24,14.8,15.6,14.59,15.35,116903
2023-04-25,15.46,15.98,14.94,15.14,61706
2023-04-26,15.14,15.21,14.94,15.18,40200
2023-04-27,15.63,15.63,15.04,15.18,39200
2023-04-28,15.28,15.28,14.94,15.14,27402
2023-05-04,15.21,15.91,15.14,15.84,100670
2023-05-05,15.91,16.43,15.87,16.12,61730
2023-05-08,16.32,16.71,16.15,16.64,59136
2023-05-09,16.67,16.67,16.26,16.46,37840
2023-05-10,16.67,16.67,16.32,16.46,66800
2023-05-11,16.67,16.67,15.98,16.05,42204
2023-05-12,15.84,16.5,15.04,16.01,42244
2023-05-15,16.01,16.32,15.7,16.01,30506
2023-05-16,16.15,16.26,15.66,15.98,18600
2023-05-17,15.98,16.22,15.7,15.7,22508
2023-05-18,15.98,16.29,15.73,16.19,39300
2023-05-19,16.29,16.29,15.77,15.77,25700
2023-05-22,16.15,16.15,15.77,15.91,12600
2023-05-23,15.98,15.98,15.73,15.91,7683
2023-05-24,16.12,16.12,15.66,15.66,27000
2023-05-25,15.8,15.98,15.39,15.8,51570
2023-05-26,15.84,15.84,15.63,15.84,28200
2023-05-29,15.87,16.22,15.77,16.15,87603
2023-05-30,16.26,17.3,16.12,17.02,102200
2023-05-31,17.37,17.68,17.02,17.37,102576
2023-06-01,17.37,17.68,17.05,17.33,119910
2023-06-02,17.23,18.03,17.12,17.71,114335
2023-06-05,17.99,17.99,17.61,17.71,48401
2023-06-06,18.06,18.51,17.89,18.41,331151
2023-06-07,18.58,19.38,18.41,19.35,208454
2023-06-08,19.62,21.26,19.45,20.91,479188
2023-06-09,21.53,21.6,20.32,20.49,214034
2023-06-12,20.84,21.53,20.46,20.84,96189
2023-06-13,21.36,21.36,20.42,20.49,141317
2023-06-14,20.49,20.84,19.97,20.49,107029
2023-06-15,20.49,20.49,19.8,20.08,54408
2023-06-16,20.08,20.35,19.8,20.32,117702
2023-06-19,20.67,21.36,20.42,20.67,237654
2023-06-20,21.01,21.01,20.63,20.74,152445
2023-06-21,20.84,21.01,20.6,20.7,146548
2023-06-22,20.77,21.36,20.6,21.12,207274
2023-06-23,23.15,23.15,22.66,23.15,413151
2023-06-26,20.91,25.39,20.91,25.39,151034
2023-06-27,27.82,27.91,27.72,27.91,119615
2023-06-28,30.64,30.64,27.91,28.6,576675
2023-06-29,31.12,31.12,26.75,26.84,168745
2023-06-30,25.87,26.94,25.29,26.84,229515
2023-07-03,27.23,27.53,25.78,26.26,117772
2023-07-04,26.26,26.26,25.48,25.58,118020
2023-07-05,25.58,26.16,25.19,25.58,103905
2023-07-06,25.58,25.78,24.32,24.32,196235
2023-07-07,22.37,26.16,22.37,25.39,288573
2023-07-10,25.48,26.26,24.8,25.78,123716
2023-07-11,26.16,26.65,25.58,25.97,135961
2023-07-12,25.97,26.16,25.39,25.39,111975
2023-07-13,25.58,27.91,25.29,27.33,394002
2023-07-14,27.23,27.23,26.46,26.84,76460
2023-07-17,26.94,27.23,26.46,26.84,68157
2023-07-18,27.14,27.14,26.46,26.75,30900
2023-07-19,26.36,27.04,24.61,26.75,53444
2023-07-20,26.94,26.94,26.36,26.75,56568
2023-07-21,26.55,27.14,26.07,26.94,131500
2023-07-24,27.23,28.21,26.46,28.21,162702
2023-07-25,28.21,28.21,27.14,27.62,110235
2023-07-26,28.01,28.01,27.04,27.62,230840
2023-07-27,28.01,28.01,27.04,27.62,64315
2023-07-28,27.72,27.72,27.04,27.23,45212
2023-07-31,27.62,27.62,26.94,27.23,64139
2023-08-01,27.23,27.23,26.75,26.75,37896
2023-08-02,26.75,27.72,26.26,27.43,76439
2023-08-03,27.72,27.72,27.04,27.23,40846
2023-08-04,27.62,27.62,27.04,27.23,53030
2023-08-07,27.23,27.23,26.55,27.14,108710
2023-08-08,26.84,27.14,26.55,26.65,61136
2023-08-09,26.65,27.14,26.65,26.94,36802
2023-08-10,27.33,29.47,26.94,27.33,79078
2023-08-11,27.23,27.82,26.75,27.04,24467
2023-08-14,27.04,27.53,26.55,26.94,54520
2023-08-15,27.23,27.23,26.36,26.36,43715
2023-08-16,27.23,27.23,24.71,24.8,574580
2023-08-17,24.8,24.8,23.34,23.83,347878
2023-08-18,23.83,23.83,22.37,22.47,335888
2023-08-21,23.83,23.83,21.88,22.37,90532
2023-08-22,22.76,22.76,21.79,22.18,75886
2023-08-23,22.27,22.27,21.59,21.59,97326
2023-08-24,21.59,21.69,21.2,21.59,69963
2023-08-25,21.59,21.88,21.4,21.59,82975
2023-08-28,21.88,23.34,21.4,22.76,209213
2023-08-29,23.25,23.34,22.47,22.66,61347
2023-08-30,22.76,22.76,21.88,21.98,70456
2023-08-31,22.27,22.76,21.98,22.37,90276
2023-09-05,22.57,23.25,22.27,22.47,57680
2023-09-06,22.57,22.57,22.27,22.57,102836
2023-09-07,22.66,22.66,22.18,22.37,120508
2023-09-08,22.66,22.66,22.27,22.37,62901
2023-09-11,22.66,22.66,21.79,22.08,98090
2023-09-12,21.98,22.08,21.69,21.88,96228
2023-09-13,21.88,22.08,21.5,21.5,111546
2023-09-14,21.88,21.88,21.4,21.5,70523
2023-09-15,21.79,21.79,21.11,21.11,68047
2023-09-18,21.3,21.3,20.91,21.11,104345
2023-09-19,21.4,21.4,20.62,20.91,66819
2023-09-20,21.4,21.4,20.62,21.11,80477
2023-09-21,20.91,21.2,20.91,21.2,29191
2023-09-22,21.2,21.2,20.52,20.52,67115
2023-09-25,21.11,21.11,19.26,20.13,66661
2023-09-26,20.13,20.13,18.97,19.55,87285
2023-09-27,19.65,19.65,18.67,19.06,92559
2023-09-28,19.06,19.06,18.67,18.87,62540
2023-09-29,18.87,20.72,18.48,20.62,158059
2023-10-02,21.01,21.88,19.94,20.43,50638
2023-10-03,20.13,20.43,18.38,19.84,344779
2023-10-04,19.84,19.84,18.87,19.16,91120
2023-10-05,19.45,19.94,18.97,19.16,70202
2023-10-06,19.16,19.74,18.87,19.16,50810
2023-10-09,19.16,19.36,18.77,19.36,109895
2023-10-10,19.36,21.2,19.36,21.01,438092
2023-10-11,21.2,21.2,20.43,20.81,70198
2023-10-12,21.11,21.11,20.43,20.62,101213
2023-10-13,20.91,21.98,20.91,21.88,332435
2023-10-16,22.18,22.37,21.79,21.98,139260
2023-10-17,21.98,22.18,21.01,21.01,139500
2023-10-18,21.01,21.69,19.84,20.33,148161
2023-10-19,20.04,20.33,19.65,20.04,75237
2023-10-20,20.33,20.33,19.45,20.13,80123
2023-10-23,20.33,20.33,19.65,19.84,40345
2023-10-24,19.84,20.43,19.45,19.94,88188
2023-10-25,19.94,20.23,19.74,20.23,35117
2023-10-26,20.04,20.04,18.29,19.74,439142
2023-10-27,19.84,21.4,19.65,20.91,144772
2023-10-30,20.91,20.91,20.13,20.62,48492
2023-10-31,20.23,20.62,19.84,20.43,66998
2023-11-01,20.04,20.81,19.94,20.52,40702
2023-11-02,20.72,21.59,20.72,21.2,125876
2023-11-03,21.5,21.5,20.81,21.2,53000
2023-11-06,21.2,21.88,20.91,21.5,161897
2023-11-07,21.4,22.08,21.2,21.88,233460
2023-11-08,21.88,22.37,21.69,22.08,150039
2023-11-09,22.08,23.15,21.88,22.57,215806
2023-11-10,22.47,22.76,22.08,22.66,136462
2023-11-13,22.66,22.86,21.98,21.98,82917
2023-11-14,22.47,22.57,21.79,22.27,197979
2023-11-15,22.57,22.86,21.88,22.27,100189
2023-11-16,22.08,22.57,21.88,22.37,30002
2023-11-17,22.37,22.57,21.79,22.27,58928
2023-11-20,22.27,22.37,21.79,22.27,58274
2023-11-21,21.98,22.37,20.52,22.27,154880
2023-11-22,22.27,23.15,21.98,22.27,167952
2023-11-23,22.37,23.05,22.08,22.27,83078
2023-11-24,22.27,22.37,21.98,22.37,49500
2023-11-27,22.47,22.76,22.27,22.47,23555
2023-11-28,22.18,22.47,22.08,22.37,34201
2023-11-29,22.08,22.47,21.98,22.37,53420
2023-11-30,22.27,22.37,22.08,22.37,23105
2023-12-01,22.08,22.37,21.98,22.37,60892
2023-12-04,22.37,22.66,22.18,22.37,89448
2023-12-05,22.37,22.57,22.27,22.27,28178
2023-12-06,22.37,22.47,22.18,22.37,36193
2023-12-07,22.37,22.57,22.08,22.37,50134
2023-12-08,22.27,22.37,21.98,22.18,80664
2023-12-11,22.18,22.47,22.08,22.37,43151
2023-12-12,22.18,22.37,22.18,22.27,19711
2023-12-13,22.27,22.27,21.88,22.08,101877
2023-12-14,22.27,22.37,21.69,21.88,76300
2023-12-15,21.01,21.69,20.23,21.59,127548
2023-12-18,21.88,21.88,21.11,21.5,79862
2023-12-19,21.2,22.27,21.2,22.27,19522
2023-12-20,22.18,22.27,21.79,22.18,27320
2023-12-21,21.79,22.18,21.79,22.18,66090
2023-12-22,22.37,22.37,21.98,22.37,75925
2023-12-25,22.37,22.37,21.88,22.27,24330
2023-12-26,21.98,22.27,21.98,22.18,20707
2023-12-27,22.27,22.27,21.98,22.27,46133
2023-12-28,22.27,22.27,22.08,22.27,54455
2023-12-29,22.08,22.37,22.08,22.37,131908
2024-01-02,22.37,22.57,22.27,22.47,60134
2024-01-03,22.37,22.47,22.27,22.47,39889
2024-01-04,22.57,23.93,22.37,23.64,411832
2024-01-05,23.64,23.83,23.25,23.64,80463
2024-01-08,23.93,23.93,23.25,23.64,115687
2024-01-09,23.64,24.02,23.34,23.83,139606
2024-01-10,24.8,24.8,23.34,23.54,103092
2024-01-11,23.54,24.12,23.34,23.54,45036
2024-01-12,23.44,23.73,23.05,23.54,134101
2024-01-15,23.25,23.73,23.25,23.34,34807
2024-01-16,23.25,23.64,23.15,23.54,86100
2024-01-17,23.54,24.32,23.54,23.83,75200
2024-01-18,23.64,24.02,23.54,23.83,155988
2024-01-19,24.43,24.43,23.83,24.33,277236
2024-01-22,24.43,24.62,24.33,24.52,116324
2024-01-23,24.33,25.02,24.33,24.72,97950
2024-01-24,24.72,24.82,24.43,24.72,122116
2024-01-25,24.43,24.92,24.43,24.82,135514
2024-01-26,24.62,25.22,24.62,25.22,82813
2024-01-29,25.22,25.32,25.12,25.32,85571
2024-01-30,25.32,25.52,25.22,25.52,88907
2024-01-31,25.42,25.82,25.42,25.72,144026
2024-02-01,25.72,26.61,25.62,26.61,205077
2024-02-02,26.61,27.5,26.41,26.91,254531
2024-02-05,27.01,27.21,25.91,26.71,87615
2024-02-06,26.61,26.91,26.41,26.81,106900
2024-02-07,26.51,26.91,26.41,26.91,83617
2024-02-15,26.91,27.3,26.61,26.81,62129
2024-02-16,26.81,26.81,26.41,26.71,33225
2024-02-19,26.71,26.81,26.01,26.41,247410
2024-02-20,26.31,26.51,25.82,26.41,212821
2024-02-21,26.11,27.21,26.01,27.21,355067
2024-02-22,26.91,29.29,26.31,26.71,70968
2024-02-23,26.61,26.61,26.01,26.31,80324
2024-02-26,26.61,26.81,26.31,26.61,51441
2024-02-27,26.71,27.7,26.71,27.5,263936
2024-02-28,27.5,27.8,27.3,27.7,168248
2024-02-29,27.5,27.8,27.4,27.5,327716
2024-03-01,27.4,27.7,27.4,27.6,255738
2024-03-04,27.4,27.7,26.61,26.91,621587
2024-03-05,26.91,26.91,26.31,26.31,318424
2024-03-06,28.79,28.79,25.42,25.82,200928
2024-03-07,25.82,26.41,25.42,25.91,262634
2024-03-08,25.91,25.91,25.32,25.32,95065
2024-03-11,25.91,26.21,25.02,25.42,90933
2024-03-12,24.82,25.62,24.82,25.52,81773
2024-03-13,25.52,25.52,25.32,25.42,66552
2024-03-14,25.42,25.72,25.32,25.32,73753
2024-03-15,25.22,25.52,25.12,25.22,38889
2024-03-18,25.22,25.52,24.43,25.42,137614
2024-03-19,25.32,25.62,23.83,24.92,25832
2024-03-20,24.82,25.72,24.82,25.32,37700
2024-03-21,25.12,25.82,25.12,25.82,382607
2024-03-22,25.82,26.21,25.52,25.91,171052
2024-03-25,26.01,26.11,25.42,25.82,121401
2024-03-26,26.11,26.31,25.72,25.72,51740
2024-03-27,25.72,26.21,24.82,25.91,54403
2024-03-28,25.82,26.31,25.82,26.11,118111
2024-03-29,26.01,27.8,26.01,26.71,144603
2024-04-01,26.51,27.5,26.51,27.3,179879
2024-04-02,27.3,27.8,27.01,27.3,213865
2024-04-03,27.11,27.5,27.11,27.21,60430
2024-04-04,27.11,27.5,26.61,27.11,155522
2024-04-05,27.01,27.11,24.43,26.61,173170
2024-04-08,26.61,26.91,26.31,26.71,23602
2024-04-09,26.11,27.01,26.11,26.51,45802
2024-04-10,26.61,26.71,26.31,26.41,27067
2024-04-11,26.31,26.81,25.91,26.31,56400
2024-04-12,26.61,27.01,26.31,26.71,29562
2024-04-15,26.71,27.21,26.31,26.61,51170
2024-04-16,26.11,26.61,25.91,26.21,69693
2024-04-17,26.41,27.01,26.31,26.51,104912
2024-04-19,26.51,27.4,26.41,27.11,183181
2024-04-22,26.81,27.6,26.71,27.11,57145
2024-04-23,26.91,27.11,26.91,27.11,32227
2024-04-24,27.21,28.79,27.11,28.5,290652
2024-04-25,28.5,29.79,28.2,28.69,161234
2024-04-26,29.19,29.19,28.0,28.1,101998
2024-05-02,28.0,28.2,27.5,27.8,82155
2024-05-03,26.81,28.0,26.81,27.7,45358
2024-05-06,27.7,28.6,27.21,28.0,64215
2024-05-07,27.8,28.1,27.8,28.0,64400
2024-05-08,27.9,28.79,27.9,28.79,123020
2024-05-09,28.79,29.69,28.5,28.5,84050
2024-05-10,28.5,29.79,28.5,29.79,226613
2024-05-13,29.59,32.77,29.59,32.27,397184
2024-05-14,31.77,35.45,31.77,35.45,478410
2024-05-15,35.45,37.04,35.45,35.55,161341
2024-05-16,34.95,36.34,33.66,33.76,375846
2024-05-17,34.75,34.95,33.86,34.35,124165
