time,open,high,low,close,volume
2023-03-30,18.9,21.0,18.9,21.0,800
2023-03-31,18.9,18.9,18.9,18.9,500
2023-04-03,18.9,18.9,18.9,18.9,0
2023-04-04,20.7,20.7,20.7,20.7,111
2023-04-05,20.7,20.7,20.7,20.7,0
2023-04-06,18.7,20.7,18.7,20.7,702
2023-04-07,18.7,18.7,18.7,18.7,100
2023-04-10,19.5,19.5,19.5,19.5,100
2023-04-11,21.4,21.4,21.3,21.3,200
2023-04-12,21.3,21.3,21.3,21.3,0
2023-04-13,21.3,21.3,21.3,21.3,0
2023-04-14,21.2,21.2,21.2,21.2,905
2023-04-17,21.2,21.2,21.2,21.2,0
2023-04-18,21.2,21.2,21.2,21.2,0
2023-04-19,21.2,21.2,21.2,21.2,3000
2023-04-20,21.2,21.2,21.2,21.2,0
2023-04-21,21.2,21.2,21.2,21.2,55
2023-04-24,19.2,19.3,19.2,19.2,1205
2023-04-25,17.5,17.5,17.5,17.5,500
2023-04-26,16.0,16.0,16.0,16.0,500
2023-04-27,14.9,14.9,14.9,14.9,210
2023-04-28,14.9,14.9,14.1,14.1,700
2023-05-04,13.3,15.0,13.2,13.3,3000
2023-05-05,13.4,13.4,13.3,13.3,200
2023-05-08,13.3,13.3,13.3,13.3,1800
2023-05-09,13.3,13.3,13.3,13.3,300
2023-05-10,13.3,13.3,13.3,13.3,500
2023-05-11,13.3,13.3,13.3,13.3,2200
2023-05-12,13.3,13.3,13.3,13.3,0
2023-05-15,14.4,14.4,14.4,14.4,140
2023-05-16,14.3,15.4,13.1,15.4,5900
2023-05-17,15.4,15.4,15.4,15.4,0
2023-05-18,16.8,16.8,16.8,16.8,100
2023-05-19,16.8,16.8,16.8,16.8,0
2023-05-22,16.8,16.8,16.8,16.8,0
2023-05-23,15.2,16.4,15.2,16.4,1700
2023-05-24,16.4,16.4,16.4,16.4,0
2023-05-25,16.4,16.4,16.4,16.4,0
2023-05-26,16.4,16.4,16.4,16.4,0
2023-05-29,16.4,16.4,16.4,16.4,0
2023-05-30,16.4,16.4,16.4,16.4,0
2023-05-31,16.4,16.4,16.4,16.4,0
2023-06-01,16.4,16.4,16.4,16.4,0
2023-06-02,16.4,16.4,16.4,16.4,200
2023-06-05,16.4,16.4,16.4,16.4,0
2023-06-06,16.4,16.4,16.4,16.4,0
2023-06-07,16.4,16.4,16.4,16.4,0
2023-06-08,16.4,16.4,16.4,16.4,0
2023-06-09,17.9,17.9,17.2,17.2,200
2023-06-12,17.2,17.2,17.2,17.2,0
2023-06-13,17.2,17.2,17.2,17.2,0
2023-06-14,17.2,17.2,17.2,17.2,0
2023-06-15,17.2,17.2,17.2,17.2,0
2023-06-16,18.9,18.9,17.0,18.3,317
2023-06-19,18.3,18.3,18.3,18.3,0
2023-06-20,18.3,18.3,18.3,18.3,0
2023-06-21,18.3,18.3,18.3,18.3,0
2023-06-22,18.3,18.3,18.3,18.3,0
2023-06-23,18.3,18.3,18.3,18.3,0
2023-06-26,18.3,18.3,18.3,18.3,0
2023-06-27,18.3,18.3,18.3,18.3,0
2023-06-28,18.3,18.3,18.3,18.3,0
2023-06-29,18.3,18.3,18.3,18.3,0
2023-06-30,18.3,18.3,18.3,18.3,3
2023-07-03,18.3,18.3,18.3,18.3,0
2023-07-04,18.3,18.3,18.3,18.3,0
