time,open,high,low,close,volume
2023-03-30,23.3,23.3,23.3,23.3,20
2023-03-31,23.1,23.1,23.0,23.0,2800
2023-04-03,22.8,23.5,22.8,23.5,4712
2023-04-04,23.5,23.5,23.5,23.5,2
2023-04-05,23.0,23.4,22.8,23.0,1801
2023-04-06,22.7,23.0,22.7,23.0,1008
2023-04-07,23.0,23.0,23.0,23.0,2
2023-04-10,23.0,23.0,23.0,23.0,1401
2023-04-11,22.6,23.0,22.6,23.0,401
2023-04-12,22.9,23.0,22.8,23.0,1986
2023-04-13,22.9,23.0,22.9,23.0,2500
2023-04-14,21.7,22.9,21.7,22.9,201
2023-04-17,24.0,24.0,24.0,24.0,567
2023-04-18,23.8,23.8,23.7,23.8,800
2023-04-19,23.8,23.8,23.8,23.8,300
2023-04-20,23.8,23.8,23.8,23.8,30
2023-04-21,23.8,23.8,23.8,23.8,78
2023-04-24,23.8,23.8,23.8,23.8,0
2023-04-25,23.5,23.5,23.5,23.5,200
2023-04-26,23.4,23.4,23.4,23.4,401
2023-04-27,23.3,23.3,23.0,23.3,500
2023-04-28,23.3,23.3,23.3,23.3,0
2023-05-04,23.3,23.3,23.3,23.3,0
2023-05-05,22.8,22.8,22.8,22.8,100
2023-05-08,23.3,23.3,23.3,23.3,106
2023-05-09,22.5,23.3,22.5,23.3,600
2023-05-10,23.0,23.2,23.0,23.2,600
2023-05-11,23.2,23.2,23.2,23.2,200
2023-05-12,23.2,23.2,23.2,23.2,8
2023-05-15,22.9,23.3,22.9,23.3,201
2023-05-16,23.3,23.3,23.3,23.3,0
2023-05-17,23.3,23.3,23.3,23.3,300
2023-05-18,23.7,23.7,23.7,23.7,100
2023-05-19,24.1,24.1,24.1,24.1,100
2023-05-22,22.9,23.9,22.9,23.9,700
2023-05-23,22.9,23.8,22.0,23.8,2083
2023-05-24,23.6,23.6,23.6,23.6,200
2023-05-25,22.6,23.2,22.6,23.2,900
2023-05-26,23.2,23.2,23.2,23.2,1400
2023-05-29,23.2,23.2,23.2,23.2,401
2023-05-30,22.9,23.2,22.9,23.2,1400
2023-05-31,23.2,23.2,23.2,23.2,200
2023-06-01,23.2,23.2,23.2,23.2,510
2023-06-02,23.2,23.2,23.2,23.2,0
2023-06-05,22.8,23.5,22.8,23.5,532
2023-06-06,23.3,23.3,23.3,23.3,200
2023-06-07,23.3,23.3,23.3,23.3,805
2023-06-08,23.3,23.3,23.3,23.3,62
2023-06-09,22.9,23.2,22.9,23.2,610
2023-06-12,22.9,23.2,22.9,23.2,605
2023-06-13,22.9,23.1,22.8,23.1,1900
2023-06-14,23.0,23.2,23.0,23.2,700
2023-06-15,23.2,23.2,23.2,23.2,1005
2023-06-16,22.8,23.0,22.8,23.0,600
2023-06-19,23.2,23.2,22.8,23.0,510
2023-06-20,23.0,25.0,23.0,25.0,16603
2023-06-21,24.8,26.4,24.8,26.4,6100
2023-06-22,26.4,26.4,26.4,26.4,10
2023-06-23,26.9,26.9,26.6,26.6,249
2023-06-26,26.8,29.0,26.8,27.5,7220
2023-06-27,24.8,28.0,24.8,28.0,1200
2023-06-28,29.7,29.7,29.7,29.7,10800
2023-06-29,28.2,31.5,28.2,31.5,67900
2023-06-30,30.0,30.0,29.0,29.0,11600
2023-07-03,29.9,29.9,26.2,26.2,3006
2023-07-04,26.2,26.2,26.2,26.2,200
2023-07-05,24.7,24.9,24.7,24.9,820
2023-07-06,25.0,25.0,25.0,25.0,100
2023-07-07,25.0,25.0,25.0,25.0,500
2023-07-10,26.3,26.9,26.0,26.0,1205
2023-07-11,27.2,27.2,27.2,27.2,100
2023-07-12,28.4,28.4,28.4,28.4,100
2023-07-13,26.3,26.6,26.3,26.6,648
2023-07-14,27.4,27.4,27.4,27.4,400
2023-07-17,27.2,27.2,27.2,27.2,1500
2023-07-18,25.8,26.4,25.8,26.4,800
2023-07-19,27.4,27.4,24.5,24.5,6401
2023-07-20,24.2,24.3,24.2,24.3,600
2023-07-21,24.2,25.0,24.2,25.0,2200
2023-07-24,24.8,24.8,23.3,23.3,1000
2023-07-25,23.3,24.9,23.3,24.9,8000
2023-07-26,24.9,24.9,24.9,24.9,700
2023-07-27,25.9,25.9,23.7,24.6,6500
2023-07-28,24.6,24.6,23.6,24.5,5700
2023-07-31,25.4,25.4,23.6,23.6,3813
2023-08-01,23.1,23.6,23.1,23.1,3500
2023-08-02,24.1,24.6,23.5,23.5,7100
2023-08-03,23.5,23.5,23.2,23.3,12501
2023-08-04,24.0,24.5,23.3,23.4,10600
2023-08-07,24.0,24.0,23.5,23.5,4300
2023-08-08,23.6,23.9,23.6,23.7,7084
2023-08-09,23.5,23.8,23.3,23.8,2183
2023-08-10,23.4,23.5,23.4,23.5,500
2023-08-11,23.5,23.5,23.5,23.5,1000
2023-08-14,23.5,23.5,23.5,23.5,0
2023-08-15,23.1,23.1,23.1,23.1,3000
2023-08-16,23.2,25.1,23.2,25.1,4882
2023-08-17,24.8,25.0,24.0,25.0,6729
2023-08-18,23.6,23.6,23.1,23.1,4700
2023-08-21,23.1,25.0,23.1,25.0,8200
2023-08-22,23.7,24.2,23.6,24.2,7700
2023-08-23,24.0,25.0,24.0,25.0,8200
2023-08-24,24.0,25.0,24.0,25.0,1300
2023-08-25,24.3,24.3,24.1,24.1,4700
2023-08-28,23.7,24.7,23.6,24.7,443
