time,open,high,low,close,volume
2023-03-30,24.56,24.56,24.56,24.56,614
2023-03-31,24.56,24.56,24.56,24.56,600
2023-04-03,24.56,24.56,24.56,24.56,3001
2023-04-04,24.56,24.56,24.56,24.56,1200
2023-04-05,24.1,24.1,24.1,24.1,800
2023-04-06,24.2,24.2,24.2,24.2,120
2023-04-07,24.47,24.47,24.47,24.47,101
2023-04-10,24.56,24.56,24.29,24.56,800
2023-04-11,24.56,24.56,24.56,24.56,201
2023-04-12,24.56,24.56,24.56,24.56,0
2023-04-13,24.1,24.56,24.1,24.29,3015
2023-04-14,24.47,24.47,24.47,24.47,200
2023-04-17,24.1,24.1,22.92,23.1,5500
2023-04-18,24.1,24.1,24.1,24.1,400
2023-04-19,23.29,24.47,23.29,24.47,1108
2023-04-20,24.47,24.56,24.47,24.47,6007
2023-04-21,24.1,24.1,24.1,24.1,300
2023-04-24,24.1,24.1,24.1,24.1,0
2023-04-25,23.92,23.92,23.1,23.74,3007
2023-04-26,24.1,24.1,23.38,23.47,6708
2023-04-27,23.47,23.47,23.47,23.47,4
2023-04-28,23.47,23.47,23.47,23.47,7
2023-05-04,23.38,24.1,22.83,24.01,6000
2023-05-05,23.38,24.47,23.38,24.47,3001
2023-05-08,23.65,25.92,23.65,24.56,12403
2023-05-09,25.01,25.38,24.83,25.01,18401
2023-05-10,25.01,25.01,24.92,24.92,1000
2023-05-11,24.65,24.65,24.65,24.65,1000
2023-05-12,24.65,25.29,24.65,25.11,3201
2023-05-15,25.2,25.2,25.2,25.2,0
2023-05-16,24.56,24.56,24.56,24.56,5600
2023-05-17,24.56,24.56,24.56,24.56,400
2023-05-18,24.56,25.29,24.56,24.92,2110
2023-05-19,24.92,24.92,24.92,24.92,0
2023-05-22,24.92,24.92,24.83,24.83,1707
2023-05-23,24.83,24.83,24.83,24.83,3
2023-05-24,24.74,24.74,24.74,24.74,600
2023-05-25,24.56,24.56,24.56,24.56,5600
2023-05-26,24.56,24.56,24.56,24.56,0
2023-05-29,25.29,25.29,25.01,25.01,1300
2023-05-30,25.2,25.2,25.2,25.2,0
2023-05-31,24.83,24.83,24.56,24.65,2500
2023-06-01,24.65,24.65,24.65,24.65,0
2023-06-02,25.38,25.38,25.29,25.29,750
2023-06-05,25.29,25.29,25.29,25.29,0
2023-06-06,24.56,24.56,24.56,24.56,2700
2023-06-07,24.56,24.56,24.56,24.56,0
2023-06-08,24.56,25.01,24.1,24.92,18300
2023-06-09,24.1,24.56,23.83,24.56,12127
2023-06-12,25.01,25.01,24.2,24.2,600
2023-06-13,24.1,25.01,24.1,25.01,500
2023-06-14,24.2,24.2,24.2,24.2,500
2023-06-15,24.29,24.29,24.2,24.2,300
2023-06-16,24.38,24.56,24.38,24.56,2810
2023-06-19,24.92,24.92,24.92,24.92,300
2023-06-20,24.2,24.2,23.74,23.74,2100
2023-06-21,24.1,24.56,24.1,24.47,4020
2023-06-22,24.38,26.83,24.38,25.65,35201
2023-06-23,24.74,24.74,24.65,24.65,2200
2023-06-26,24.56,24.56,24.38,24.38,2000
2023-06-27,24.47,24.47,24.47,24.47,0
2023-06-28,24.47,24.47,24.47,24.47,0
2023-06-29,24.92,25.11,24.83,25.11,20600
2023-06-30,24.56,24.56,24.56,24.56,2010
2023-07-03,24.56,24.56,24.56,24.56,0
2023-07-04,24.74,25.11,24.74,25.11,6202
2023-07-05,25.01,25.2,25.01,25.2,7300
2023-07-06,25.2,25.2,25.2,25.2,1
2023-07-07,25.01,25.11,25.01,25.11,1509
2023-07-10,24.56,25.11,24.56,25.11,6080
2023-07-11,25.2,25.2,25.11,25.2,5420
2023-07-12,25.01,25.2,25.01,25.2,5300
2023-07-13,24.74,24.83,24.74,24.83,2600
2023-07-14,24.74,24.74,24.74,24.74,0
