time,open,high,low,close,volume
2023-03-30,29.62,29.8,29.45,29.49,886716
2023-03-31,29.49,29.62,29.05,29.19,1229048
2023-04-03,29.36,30.06,29.36,30.02,2313641
2023-04-04,30.06,30.94,29.89,30.46,2701213
2023-04-05,30.41,30.94,30.28,30.76,1957384
2023-04-06,30.76,32.91,30.76,32.43,6151821
2023-04-07,31.64,32.34,31.11,31.46,2916768
2023-04-10,31.55,31.73,29.8,30.37,3714065
2023-04-11,30.68,30.68,29.97,30.41,1761759
2023-04-12,30.59,31.07,30.37,30.46,1852432
2023-04-13,30.68,30.98,30.5,30.81,2416849
2023-04-14,30.94,31.38,30.06,30.06,2142524
2023-04-17,29.8,30.24,29.8,29.97,1157884
2023-04-18,29.97,30.15,29.8,30.06,935672
2023-04-19,30.06,30.24,29.8,30.06,1159550
2023-04-20,30.06,30.24,29.89,29.89,806495
2023-04-21,29.97,30.06,29.45,29.54,1815803
2023-04-24,29.71,29.71,29.05,29.05,1268368
2023-04-25,29.05,29.36,28.92,29.01,1292717
2023-04-26,28.92,29.01,28.18,28.48,1779603
2023-04-27,28.88,29.89,28.57,29.49,1375521
2023-04-28,29.49,29.71,29.45,29.45,1187117
2023-05-04,29.36,29.49,28.75,28.75,1489869
2023-05-05,28.57,28.92,28.57,28.66,733949
2023-05-08,28.7,29.32,28.57,28.88,1490910
2023-05-09,29.19,29.19,28.88,28.92,668053
2023-05-10,29.19,29.19,28.83,28.88,1394351
2023-05-11,28.92,29.67,28.92,29.27,2279200
2023-05-12,29.49,29.49,29.01,29.19,1509602
2023-05-15,29.36,29.45,28.92,29.01,1240560
2023-05-16,29.05,29.1,28.53,28.66,2604177
2023-05-17,28.66,29.05,28.57,28.92,1749038
2023-05-18,28.97,29.01,28.66,28.75,799613
2023-05-19,28.66,28.79,28.18,28.18,2566769
2023-05-22,27.87,27.96,27.26,27.43,4564248
2023-05-23,27.83,28.35,27.7,27.91,2601416
2023-05-24,28.13,28.13,27.43,27.43,2035516
2023-05-25,27.43,27.56,27.21,27.34,1787642
2023-05-26,27.43,27.91,27.43,27.61,1122986
2023-05-29,27.65,27.87,27.48,27.48,2424939
2023-05-30,27.48,28.13,27.48,28.05,2617867
2023-05-31,28.13,28.22,27.87,27.96,1838402
2023-06-01,27.91,28.05,27.61,27.7,1934497
2023-06-02,27.87,28.35,27.7,28.27,4360201
2023-06-05,28.66,29.27,28.53,29.01,3295004
2023-06-06,29.05,29.36,28.66,28.75,2527619
2023-06-07,29.01,29.36,28.83,29.1,3420688
2023-06-08,29.54,29.67,28.83,28.83,3551712
2023-06-09,28.66,29.23,28.66,29.19,2694706
2023-06-12,29.58,29.62,28.97,29.27,2402838
2023-06-13,29.49,29.58,29.01,29.19,2403881
2023-06-14,29.45,29.45,28.92,28.92,2045308
2023-06-15,28.92,29.1,28.53,28.57,2918187
2023-06-16,28.79,29.1,28.53,28.57,3073038
2023-06-19,28.57,28.97,28.57,28.66,1628025
2023-06-20,28.66,28.88,28.66,28.88,901755
2023-06-21,28.92,29.32,28.83,29.1,1950886
2023-06-22,29.36,30.11,29.1,30.11,5592518
2023-06-23,30.15,30.19,29.67,30.11,3081757
2023-06-26,30.24,30.98,30.11,30.76,5797833
2023-06-27,30.94,31.03,30.54,30.76,2911895
2023-06-28,31.03,31.55,30.68,31.2,3619436
2023-06-29,31.38,31.38,30.54,30.54,3816093
2023-06-30,30.5,30.76,30.37,30.46,1941929
2023-07-03,31.55,31.9,31.16,31.24,3608880
2023-07-04,31.24,31.33,30.85,30.98,2706133
2023-07-05,31.11,31.6,31.11,31.2,2758539
2023-07-06,31.29,31.38,30.54,30.72,3046584
2023-07-07,30.68,31.29,30.59,31.11,2256902
2023-07-10,31.42,32.25,31.29,31.9,5529233
2023-07-11,32.25,32.52,31.9,31.99,2815565
2023-07-12,32.3,32.69,31.86,32.38,4664539
2023-07-13,32.56,33.0,32.43,32.52,2534403
2023-07-14,32.52,32.69,31.9,32.34,3577892
2023-07-17,32.34,32.47,31.99,32.12,2595024
2023-07-18,32.43,32.73,32.17,32.47,2982542
2023-07-19,32.87,32.87,32.17,32.17,2569529
2023-07-20,32.21,32.34,32.12,32.17,2218597
2023-07-21,32.21,32.87,32.21,32.78,2830056
2023-07-24,32.87,32.95,32.52,32.78,2647059
2023-07-25,32.82,33.61,32.69,33.17,3950022
2023-07-26,33.35,33.57,33.13,33.26,2357136
2023-07-27,33.44,33.48,32.69,32.95,3055903
2023-07-28,33.17,33.83,32.87,33.83,4677665
2023-07-31,34.66,35.01,34.4,34.62,5360831
2023-08-01,34.88,35.01,34.31,34.31,3580922
2023-08-02,34.31,34.44,33.92,34.31,2820244
2023-08-03,34.09,34.44,33.83,33.83,3359887
2023-08-04,33.92,35.01,33.92,34.44,2574497
2023-08-07,34.44,34.71,34.01,34.18,2591957
2023-08-08,34.18,34.79,34.14,34.66,3367740
2023-08-09,34.66,34.79,34.14,34.18,2135076
2023-08-10,34.27,34.62,34.09,34.22,2156183
2023-08-11,34.58,35.01,34.27,34.97,3592490
2023-08-14,35.28,36.59,35.06,35.93,4455223
2023-08-15,36.02,36.81,36.02,36.37,2702829
2023-08-16,36.59,36.59,35.93,36.37,2986522
2023-08-17,36.37,36.37,35.93,35.93,3235361
2023-08-18,35.93,35.93,33.74,34.22,5648918
2023-08-21,34.27,35.06,34.09,35.01,4000678
2023-08-22,35.16,35.53,32.88,34.45,2656174
2023-08-23,34.78,34.78,33.31,33.36,3000309
2023-08-24,33.45,33.73,33.02,33.73,3369336
2023-08-25,33.73,33.92,33.21,33.26,4246393
2023-08-28,33.64,34.82,33.55,34.35,4770503
2023-08-29,34.63,34.63,33.73,34.07,3970671
2023-08-30,34.21,34.49,33.88,34.26,3383865
2023-08-31,34.4,35.25,34.26,35.01,5563414
2023-09-05,35.39,35.68,35.16,35.39,2538033
2023-09-06,36.01,36.34,35.72,35.87,4787764
2023-09-07,36.06,36.53,35.63,35.87,5369952
2023-09-08,37.71,38.33,37.43,38.33,5631555
2023-09-11,38.85,39.61,38.33,38.33,7151100
2023-09-12,38.28,38.33,37.48,38.09,5949965
2023-09-13,38.33,38.85,36.77,37.19,6268316
2023-09-14,37.05,37.9,36.91,37.19,4679079
2023-09-15,37.34,37.9,36.96,37.1,2736513
2023-09-18,37.15,37.29,36.2,36.44,3222594
2023-09-19,36.86,37.43,36.01,37.05,3305024
2023-09-20,37.29,38.0,37.19,37.43,2834115
2023-09-21,37.48,37.67,36.72,36.72,3409229
2023-09-22,36.1,36.53,35.06,35.49,5139640
2023-09-25,35.63,36.1,33.73,34.07,3338419
2023-09-26,34.21,34.82,33.64,34.11,3065403
2023-09-27,34.11,34.87,33.73,34.87,2600187
2023-09-28,35.06,35.35,34.78,35.06,2699705
2023-09-29,35.58,35.63,34.82,34.97,2484816
2023-10-02,35.53,36.15,35.44,35.82,2759406
2023-10-03,35.35,36.48,34.97,36.01,4374869
2023-10-04,35.35,38.19,35.35,37.24,6666951
2023-10-05,37.43,37.86,36.58,36.58,2706133
2023-10-06,36.96,36.96,35.44,36.06,4005782
2023-10-09,36.06,37.95,36.06,37.43,4739811
2023-10-10,37.86,37.86,36.44,36.67,4361615
2023-10-11,36.67,37.24,36.39,37.24,3649980
2023-10-12,37.29,37.57,36.67,36.91,2948767
2023-10-13,36.77,37.52,36.53,37.52,4012205
2023-10-16,37.71,38.85,37.29,38.19,6843572
2023-10-17,38.33,38.38,36.2,36.2,3905130
2023-10-18,36.39,36.48,33.92,34.11,7042431
2023-10-19,34.11,34.63,33.64,33.83,2540509
2023-10-20,33.73,34.4,32.98,34.4,2610295
2023-10-23,34.4,34.4,33.17,33.4,1866321
2023-10-24,33.83,33.83,32.27,32.98,3269030
2023-10-25,32.69,32.88,31.93,31.93,4400636
2023-10-26,31.56,31.65,29.71,29.94,5468535
2023-10-27,29.9,31.08,28.95,30.23,2894465
2023-10-30,30.23,30.32,28.9,28.9,1327028
2023-10-31,28.9,29.09,26.91,26.91,3831760
2023-11-01,27.43,27.91,26.96,27.34,2235682
2023-11-02,28.19,29.23,27.95,29.23,2456018
2023-11-03,30.28,30.61,29.66,29.94,4041973
2023-11-06,30.28,30.32,29.71,30.13,1451703
2023-11-07,30.13,30.89,29.38,29.71,3862706
2023-11-08,29.66,31.37,29.57,31.13,2655941
2023-11-09,31.27,31.84,31.03,31.13,2763451
2023-11-10,30.61,31.22,30.51,30.61,2777067
2023-11-13,30.65,31.03,30.23,30.42,2208736
2023-11-14,30.94,30.99,30.51,30.84,1420753
2023-11-15,31.27,31.46,30.84,31.08,2381760
2023-11-16,31.08,32.22,30.8,32.12,3769728
2023-11-17,32.31,32.31,31.08,31.27,2895017
2023-11-20,30.7,31.32,30.7,31.18,1907504
2023-11-21,31.46,31.65,31.22,31.65,1158148
2023-11-22,31.65,32.12,31.46,31.79,1688461
2023-11-23,32.22,32.22,30.8,30.8,2714303
2023-11-24,30.8,31.08,29.94,31.08,2426710
2023-11-27,31.08,31.27,30.61,30.94,946294
2023-11-28,30.94,30.94,30.23,30.61,1323980
2023-11-29,31.08,31.08,30.65,30.89,1001594
2023-11-30,31.08,31.22,30.7,31.22,1388310
2023-12-01,31.22,31.6,31.03,31.46,1681163
2023-12-04,31.46,32.36,31.46,32.22,3150534
2023-12-05,32.6,32.6,31.7,31.84,2162858
2023-12-06,32.03,32.22,31.84,32.22,1845800
2023-12-07,32.31,32.46,31.51,31.84,2421246
2023-12-08,31.84,32.17,31.74,31.93,1305417
2023-12-11,31.93,31.98,31.65,31.98,811721
2023-12-12,32.08,32.36,31.98,32.31,2037775
2023-12-13,32.6,32.69,31.84,31.84,1919958
2023-12-14,32.12,32.12,31.37,31.46,902267
2023-12-15,31.46,31.7,31.03,31.03,1538334
2023-12-18,31.08,31.32,30.8,31.08,803253
2023-12-19,31.13,31.32,30.89,31.08,710032
2023-12-20,31.27,31.32,30.99,30.99,948771
2023-12-21,31.08,31.13,30.94,31.03,689367
2023-12-22,31.22,31.22,30.8,30.84,1527543
2023-12-25,30.8,31.22,30.8,31.18,789907
2023-12-26,31.13,31.56,31.13,31.37,876905
2023-12-27,31.56,31.65,31.37,31.65,1512941
2023-12-28,31.65,31.7,31.41,31.41,964365
2023-12-29,31.41,31.7,31.41,31.56,1052274
2024-01-02,31.46,32.41,31.46,32.22,3944780
2024-01-03,32.17,32.27,31.93,32.17,1530666
2024-01-04,32.22,32.83,32.12,32.12,3035298
2024-01-05,32.12,32.27,31.6,32.08,1618642
2024-01-08,32.08,32.27,31.84,31.84,2177255
2024-01-09,31.84,32.5,31.41,32.12,4028079
2024-01-10,32.36,32.46,31.7,31.79,2351903
2024-01-11,32.03,32.22,31.65,31.79,1764398
2024-01-12,31.51,31.7,30.89,31.03,3698549
2024-01-15,30.99,31.37,30.99,30.99,644710
2024-01-16,31.03,31.27,30.89,31.27,960615
2024-01-17,31.37,31.51,31.27,31.51,1062663
2024-01-18,31.6,31.7,31.41,31.51,982706
2024-01-19,31.56,31.74,31.27,31.32,1705235
2024-01-22,31.41,31.46,31.08,31.13,1200988
2024-01-23,31.18,31.22,30.8,30.99,1940755
2024-01-24,31.03,31.27,30.89,30.94,1110455
2024-01-25,30.99,30.99,30.56,30.65,1609440
2024-01-26,30.65,31.22,30.65,30.99,1200865
2024-01-29,31.41,32.22,31.41,31.79,2586209
2024-01-30,31.84,31.93,31.56,31.74,879642
2024-01-31,31.74,31.74,31.03,31.03,1779124
2024-02-01,30.99,31.46,30.8,31.37,1018546
2024-02-02,31.37,31.74,31.27,31.27,1295823
2024-02-05,31.27,31.6,31.18,31.56,1228413
2024-02-06,31.56,31.98,31.51,31.56,1630232
2024-02-07,31.74,32.46,31.74,32.12,2706935
2024-02-15,32.31,32.5,32.12,32.22,2085097
