time,open,high,low,close,volume
2023-03-30,23.53,23.62,23.39,23.48,12302
2023-03-31,23.39,23.57,23.34,23.57,23200
2023-04-03,23.67,23.94,23.53,23.81,60703
2023-04-04,23.94,23.99,23.81,23.94,22100
2023-04-05,24.08,24.45,23.81,24.04,44200
2023-04-06,24.41,24.41,23.99,23.99,13500
2023-04-07,23.99,24.04,23.57,23.62,25162
2023-04-10,23.67,24.04,23.67,23.81,16010
2023-04-11,23.81,23.85,23.62,23.81,14276
2023-04-12,23.81,24.73,23.71,24.17,72504
2023-04-13,24.17,24.5,24.17,24.31,28807
2023-04-14,24.45,24.45,23.9,23.9,16701
2023-04-17,23.9,24.04,23.71,23.76,9700
2023-04-18,23.76,23.9,23.62,23.9,24306
2023-04-19,23.9,24.04,23.81,23.81,55300
2023-04-20,23.81,23.9,23.71,23.81,9900
2023-04-21,23.9,25.1,23.9,24.08,232210
2023-04-24,24.5,24.68,24.27,24.36,81118
2023-04-25,24.54,24.68,24.08,24.08,64900
2023-04-26,24.08,24.17,23.9,23.94,48100
2023-04-27,24.27,24.31,24.08,24.08,20600
2023-04-28,24.08,24.17,23.81,23.81,51200
2023-05-04,23.67,24.04,23.62,23.85,32401
2023-05-05,23.71,23.85,23.62,23.85,36028
2023-05-08,23.85,23.94,23.57,23.9,89924
2023-05-09,24.04,24.22,23.99,24.17,85466
2023-05-10,24.13,25.05,23.99,25.05,158302
2023-05-11,24.73,24.96,24.5,24.64,46400
2023-05-12,24.5,24.96,24.41,24.64,114200
2023-05-15,24.82,25.42,24.64,25.19,133508
2023-05-16,25.19,25.42,24.96,24.96,52757
2023-05-17,24.82,25.05,24.64,24.91,41718
2023-05-18,24.96,25.52,24.82,25.15,77100
2023-05-19,25.01,25.56,25.01,25.33,96702
2023-05-22,25.56,26.07,25.56,25.98,138309
2023-05-23,26.21,26.21,25.42,25.47,88068
2023-05-24,25.56,25.61,25.28,25.61,79685
2023-05-25,25.52,26.12,25.47,25.89,134224
2023-05-26,26.21,26.21,25.79,26.02,80611
2023-05-29,26.12,26.49,26.07,26.21,135146
2023-05-30,26.35,26.35,25.89,26.12,60402
2023-05-31,26.07,26.44,25.98,25.98,83716
2023-06-01,26.07,26.12,25.7,25.89,68807
2023-06-02,25.98,26.21,25.79,26.16,93954
2023-06-05,26.35,27.92,26.35,27.92,176403
2023-06-06,27.97,27.97,27.04,27.73,198452
2023-06-07,28.2,28.29,27.5,27.73,243215
2023-06-08,27.6,27.73,27.04,27.04,162146
2023-06-09,27.04,27.36,26.9,27.04,161245
2023-06-12,27.46,27.5,26.99,27.27,87872
2023-06-13,27.13,27.36,26.76,26.86,183541
2023-06-14,26.9,26.9,26.49,26.49,77570
2023-06-15,26.81,26.81,26.35,26.67,41200
2023-06-16,26.67,27.18,26.62,26.67,183701
2023-06-19,26.62,26.81,26.35,26.62,71155
2023-06-20,26.58,26.95,26.58,26.86,57500
2023-06-21,26.9,27.46,26.9,27.36,137531
2023-06-22,27.6,27.6,27.13,27.13,78781
2023-06-23,27.18,27.18,26.9,26.95,93600
2023-06-26,26.99,27.5,26.9,27.5,100629
2023-06-27,27.5,28.29,27.27,27.55,205420
2023-06-28,27.69,27.69,27.09,27.18,78656
2023-06-29,27.18,27.32,26.44,26.44,183050
2023-06-30,26.44,26.81,26.44,26.81,130018
2023-07-03,27.09,27.09,26.62,26.99,71550
2023-07-04,26.99,27.36,26.76,27.27,119736
2023-07-05,27.46,27.46,27.18,27.18,115744
2023-07-06,27.27,27.27,26.95,27.18,110438
2023-07-07,27.18,28.1,27.18,28.06,327530
2023-07-10,28.29,28.43,28.01,28.29,104284
2023-07-11,28.38,28.61,28.01,28.24,164619
2023-07-12,28.34,28.43,27.78,27.78,130052
2023-07-13,27.92,28.15,27.64,27.73,196826
2023-07-14,27.87,28.29,27.73,28.29,99354
2023-07-17,28.29,29.17,28.29,28.89,274445
2023-07-18,28.89,28.94,28.47,28.61,147723
2023-07-19,28.8,28.89,28.24,28.38,93159
2023-07-20,28.2,28.57,28.01,28.57,161107
2023-07-21,28.43,28.43,28.06,28.24,284712
2023-07-24,28.34,28.75,28.2,28.43,177001
2023-07-25,28.43,28.52,28.2,28.24,116204
2023-07-26,28.34,28.8,28.34,28.43,118850
2023-07-27,28.38,28.52,28.2,28.43,111551
2023-07-28,28.43,28.61,28.2,28.24,70804
2023-07-31,28.43,28.43,28.1,28.43,108402
2023-08-01,28.43,29.4,28.29,29.07,419344
2023-08-02,29.12,29.35,28.66,28.8,104563
2023-08-03,29.03,29.86,28.75,29.26,227855
2023-08-04,29.26,29.58,29.17,29.49,71400
2023-08-07,29.49,29.58,29.12,29.21,220253
2023-08-08,29.21,29.4,28.89,28.89,94039
2023-08-09,28.75,29.03,28.43,28.66,196002
2023-08-10,28.89,28.89,28.2,28.29,87224
