time,open,high,low,close,volume
2023-03-30,16.45,16.55,16.35,16.55,10500
2023-03-31,16.45,16.65,16.45,16.45,5600
2023-04-03,16.45,16.84,16.35,16.84,78006
2023-04-04,16.55,16.55,16.45,16.45,12200
2023-04-05,16.45,16.45,16.35,16.35,11900
2023-04-06,16.35,16.84,16.35,16.84,184906
2023-04-07,16.45,16.55,16.45,16.55,10200
2023-04-10,16.65,16.65,16.45,16.55,1806
2023-04-11,16.55,16.55,16.45,16.45,2000
2023-04-12,16.45,16.55,16.45,16.45,2301
2023-04-13,16.45,16.74,16.35,16.74,30600
2023-04-14,16.45,16.55,16.45,16.45,700
2023-04-17,16.84,16.94,16.35,16.84,41930
2023-04-18,16.45,16.65,16.45,16.55,2400
2023-04-19,16.45,16.65,16.45,16.55,15233
2023-04-20,16.45,16.65,16.45,16.55,7900
2023-04-21,16.45,17.52,16.45,16.84,47903
2023-04-24,16.94,17.04,16.84,16.94,17100
2023-04-25,16.94,17.23,16.55,16.65,34100
2023-04-26,16.55,16.65,16.35,16.65,61867
2023-04-27,16.35,16.55,16.35,16.35,12600
2023-04-28,16.35,16.45,16.35,16.35,7400
2023-05-04,16.16,17.13,16.16,17.04,119600
2023-05-05,16.55,17.33,16.55,17.04,75682
2023-05-08,17.33,17.33,16.94,17.04,47206
2023-05-09,17.13,17.13,16.84,16.84,16400
2023-05-10,16.84,16.94,16.65,16.65,25902
2023-05-11,16.74,16.84,16.74,16.84,13801
2023-05-12,16.65,16.84,16.65,16.74,16600
2023-05-15,16.65,16.84,16.65,16.74,21905
2023-05-16,16.65,16.94,16.65,16.94,9200
2023-05-17,16.84,16.94,16.55,16.55,36306
2023-05-18,16.65,16.84,16.65,16.65,14900
2023-05-19,16.65,16.84,16.55,16.84,36600
2023-05-22,16.84,16.84,16.45,16.55,48000
2023-05-23,16.55,16.65,16.45,16.45,25100
2023-05-24,16.55,16.84,16.45,16.84,57703
2023-05-25,16.65,17.23,16.65,17.04,100405
2023-05-26,16.94,17.04,16.94,17.04,19516
2023-05-29,16.65,17.13,16.65,17.04,48000
2023-05-30,16.84,17.04,16.84,16.94,29600
2023-05-31,16.94,17.04,16.74,16.94,20108
2023-06-01,16.84,18.4,16.84,18.3,180123
2023-06-02,18.3,18.3,17.72,17.82,21100
2023-06-05,18.01,18.11,17.43,17.72,44170
2023-06-06,17.72,18.3,17.72,18.2,83300
2023-06-07,18.4,18.69,18.2,18.4,45200
2023-06-08,18.3,18.5,18.11,18.11,53700
2023-06-09,18.11,18.59,18.01,18.5,72401
2023-06-12,18.5,19.28,18.3,18.69,84202
2023-06-13,18.79,18.98,18.3,18.5,48000
2023-06-14,18.59,18.89,18.11,18.5,78200
2023-06-15,18.11,18.4,17.91,18.3,15200
2023-06-16,18.01,18.5,18.01,18.3,439316
2023-06-19,18.11,18.2,18.11,18.2,326400
2023-06-20,18.2,18.5,18.11,18.4,12600
2023-06-21,18.4,18.4,18.11,18.11,25400
2023-06-22,18.4,18.59,18.3,18.5,356943
2023-06-23,18.4,18.59,18.2,18.5,26900
2023-06-26,18.4,18.4,18.11,18.2,26632
2023-06-27,18.3,19.28,18.2,18.79,116700
2023-06-28,18.98,19.28,18.69,18.89,43900
2023-06-29,18.89,18.89,17.82,17.82,89800
2023-06-30,18.11,18.4,18.11,18.4,86400
2023-07-03,18.4,18.79,18.2,18.2,22600
2023-07-04,18.4,18.4,17.91,18.01,54700
2023-07-05,18.11,18.2,17.82,18.11,41500
