time,open,high,low,close,volume
2023-03-30,7.82,8.36,7.82,8.36,1167963
2023-03-31,8.42,8.61,8.26,8.54,413718
2023-04-03,8.7,8.76,8.51,8.7,517188
2023-04-04,8.61,8.7,8.48,8.67,308063
2023-04-05,8.64,8.67,8.51,8.61,258430
2023-04-06,8.76,8.76,8.51,8.61,484780
2023-04-07,8.51,8.61,8.42,8.61,210212
2023-04-10,8.76,8.95,8.48,8.64,638142
2023-04-11,8.64,8.64,8.42,8.61,178458
2023-04-12,8.64,8.64,8.48,8.54,238790
2023-04-13,8.54,8.54,8.36,8.39,174149
2023-04-14,8.39,8.45,8.11,8.17,405858
2023-04-17,8.01,8.23,7.89,7.89,353298
2023-04-18,7.98,8.07,7.92,8.07,194870
2023-04-19,8.14,8.14,8.04,8.14,296710
2023-04-20,8.14,8.64,8.11,8.42,274721
2023-04-21,8.51,8.51,8.33,8.48,275851
2023-04-24,8.61,8.61,8.29,8.39,141985
2023-04-25,8.42,8.42,8.07,8.14,250803
2023-04-26,8.14,8.29,8.04,8.29,253467
2023-04-27,8.29,8.33,8.14,8.23,291395
2023-04-28,8.23,8.36,8.2,8.26,275195
2023-05-04,8.33,8.83,8.33,8.83,552360
2023-05-05,9.01,9.08,8.7,8.83,495388
2023-05-08,8.86,9.39,8.83,8.89,494084
2023-05-09,8.89,8.95,8.7,8.89,261640
2023-05-10,8.86,8.95,8.73,8.89,307055
2023-05-11,9.14,9.23,8.89,8.92,411197
2023-05-12,8.89,8.89,8.7,8.83,259903
2023-05-15,8.83,8.89,8.48,8.48,520071
2023-05-16,8.48,8.54,8.39,8.42,350885
2023-05-17,8.45,8.7,8.39,8.67,259490
2023-05-18,8.64,8.92,8.61,8.92,438056
2023-05-19,8.92,8.95,8.73,8.89,245666
2023-05-22,9.01,9.01,8.7,8.83,236363
2023-05-23,8.83,8.86,8.73,8.86,288695
2023-05-24,9.08,9.08,8.86,8.86,528335
2023-05-25,8.86,8.86,8.7,8.79,275990
2023-05-26,8.79,8.86,8.64,8.76,245245
2023-05-29,8.83,9.04,8.7,8.86,243879
2023-05-30,8.86,9.01,8.7,8.76,254244
2023-05-31,8.73,8.76,8.64,8.64,527536
2023-06-01,8.7,8.7,8.54,8.64,188201
2023-06-02,8.7,8.76,8.51,8.67,325430
2023-06-05,8.79,8.79,8.61,8.76,585473
2023-06-06,8.67,8.79,8.67,8.76,229858
2023-06-07,8.76,8.79,8.45,8.45,930141
2023-06-08,8.45,8.58,8.14,8.14,544968
2023-06-09,8.14,8.26,8.01,8.2,416019
2023-06-12,8.2,8.51,8.2,8.45,469628
2023-06-13,8.54,8.58,8.42,8.45,321309
2023-06-14,8.45,8.51,8.26,8.36,307448
2023-06-15,8.36,8.39,8.23,8.36,184163
2023-06-16,8.36,8.36,8.2,8.2,407409
2023-06-19,8.33,8.33,8.14,8.26,150511
2023-06-20,8.14,8.36,8.14,8.26,128428
2023-06-21,8.26,8.39,8.23,8.36,302156
2023-06-22,8.45,8.48,8.36,8.39,283544
2023-06-23,8.36,8.45,8.26,8.45,208856
2023-06-26,8.39,8.7,8.33,8.7,424376
2023-06-27,8.73,8.73,8.58,8.58,300639
2023-06-28,8.54,8.67,8.51,8.61,244672
2023-06-29,8.58,8.64,8.39,8.42,307669
2023-06-30,8.42,8.51,8.29,8.42,81991
2023-07-03,8.42,8.48,8.33,8.33,141026
2023-07-04,8.45,8.45,8.29,8.36,206531
2023-07-05,8.39,8.7,8.39,8.64,704572
2023-07-06,8.64,8.83,8.64,8.7,859236
2023-07-07,8.76,8.76,8.61,8.7,310712
2023-07-10,8.76,8.92,8.7,8.92,633442
2023-07-11,9.04,9.23,8.92,9.23,975429
2023-07-12,9.23,9.26,9.08,9.14,452711
2023-07-13,9.14,9.45,9.08,9.45,706531
2023-07-14,9.51,9.61,9.39,9.61,712128
2023-07-17,9.61,9.73,9.55,9.61,500089
2023-07-18,9.58,9.64,9.48,9.51,369714
2023-07-19,9.58,9.58,9.36,9.39,270929
2023-07-20,9.39,9.39,9.2,9.33,279863
2023-07-21,9.33,9.64,9.33,9.58,586529
2023-07-24,9.58,9.7,9.51,9.55,313468
2023-07-25,9.58,9.64,9.39,9.55,265864
2023-07-26,9.64,9.64,9.33,9.36,367912
2023-07-27,9.45,9.45,9.26,9.45,300843
2023-07-28,9.45,9.7,9.42,9.7,592700
2023-07-31,9.83,10.36,9.8,10.36,1142414
2023-08-01,10.45,10.89,10.45,10.77,948939
2023-08-02,10.77,10.95,10.55,10.95,1539954
2023-08-03,11.14,11.27,10.95,11.27,587120
2023-08-04,11.27,12.02,11.27,12.02,567922
2023-08-07,12.02,12.21,11.64,11.83,419555
2023-08-08,11.83,12.27,11.83,12.27,468482
2023-08-09,12.49,12.83,12.33,12.83,612038
2023-08-10,12.58,12.83,12.36,12.52,440454
2023-08-11,12.46,12.86,12.39,12.86,611864
2023-08-14,12.96,13.05,12.52,13.02,397642
2023-08-15,13.11,13.11,12.89,13.08,215568
2023-08-16,12.83,13.21,12.58,13.18,344367
2023-08-17,13.14,13.21,12.89,13.18,379307
2023-08-18,13.18,13.58,12.96,13.27,662354
2023-08-21,13.14,13.9,13.14,13.8,500301
2023-08-22,13.77,14.74,13.77,14.74,727012
2023-08-23,14.77,15.62,14.77,15.52,627381
2023-08-24,15.65,15.65,14.9,15.59,629474
2023-08-25,15.46,15.49,15.09,15.12,282357
2023-08-28,15.21,15.34,14.96,15.34,327445
2023-08-29,15.4,15.52,15.09,15.09,229895
2023-08-30,15.3,15.46,15.02,15.46,376532
2023-08-31,15.68,16.02,15.65,15.81,400268
2023-09-05,15.93,15.93,15.18,15.59,346122
2023-09-06,15.55,15.59,15.02,15.21,454074
2023-09-07,15.37,15.37,14.46,14.65,749677
2023-09-08,14.71,15.09,14.65,15.05,498529
2023-09-11,15.12,15.46,14.74,15.05,362946
2023-09-12,15.15,15.27,14.77,15.27,341234
2023-09-13,15.9,15.9,15.27,15.74,601501
2023-09-14,15.74,15.84,15.24,15.62,345393
2023-09-15,15.59,15.59,15.09,15.3,289215
2023-09-18,14.77,15.02,14.52,15.02,278350
2023-09-19,15.02,15.02,14.58,15.02,79936
2023-09-20,15.21,15.4,14.77,15.09,195832
2023-09-21,15.09,15.09,14.77,14.93,168319
2023-09-22,14.68,14.99,14.46,14.52,268377
2023-09-25,14.46,14.46,13.71,13.96,384499
2023-09-26,13.52,14.08,13.52,13.99,147831
2023-09-27,13.86,14.58,13.65,14.58,169663
2023-09-28,14.4,14.65,13.96,14.46,149569
2023-09-29,14.02,14.65,14.02,14.55,73054
2023-10-02,14.55,14.65,14.24,14.65,62669
2023-10-03,14.21,14.52,13.9,14.27,124268
2023-10-04,14.02,14.33,13.83,14.27,92528
2023-10-05,14.27,14.4,13.83,14.24,107550
2023-10-06,14.21,14.33,13.83,14.33,99583
2023-10-09,14.33,14.4,14.08,14.24,242110
2023-10-10,14.27,14.37,14.21,14.37,210013
2023-10-11,14.37,15.37,14.37,15.37,1010423
2023-10-12,15.65,16.18,15.46,15.77,533970
2023-10-13,15.77,15.84,15.15,15.71,358671
2023-10-16,15.71,16.21,15.71,16.02,597497
2023-10-17,16.15,16.15,14.93,14.93,434783
2023-10-18,15.96,15.96,13.9,14.83,702813
2023-10-19,14.4,14.52,13.9,14.52,345623
2023-10-20,14.08,14.71,14.08,14.71,170964
2023-10-23,14.4,14.46,14.02,14.33,142256
2023-10-24,13.96,14.4,13.96,14.37,71309
2023-10-25,14.43,14.65,14.08,14.21,160050
2023-10-26,13.93,13.96,13.24,13.24,327712
2023-10-27,13.24,13.43,12.33,13.24,146385
2023-10-30,12.58,13.14,12.33,12.33,240628
2023-10-31,12.33,12.46,11.89,12.33,233079
2023-11-01,12.27,13.18,12.21,13.18,194344
2023-11-02,13.46,14.08,13.27,14.08,172691
2023-11-03,14.58,14.58,13.93,14.4,219250
2023-11-06,14.37,14.62,14.24,14.62,181460
2023-11-07,14.62,14.71,14.4,14.65,142996
2023-11-08,14.65,15.09,14.49,15.02,224915
2023-11-09,15.02,15.27,14.71,15.02,403316
2023-11-10,14.71,15.02,14.71,14.83,120266
2023-11-13,14.52,14.83,14.4,14.58,161669
2023-11-14,14.58,14.77,14.4,14.62,108428
2023-11-15,14.71,14.96,14.58,14.62,149822
2023-11-16,14.65,15.62,14.55,15.62,944098
2023-11-17,15.77,15.93,15.4,15.65,529143
2023-11-20,15.59,16.74,15.37,16.49,992129
2023-11-21,16.59,16.62,16.31,16.52,527846
2023-11-22,16.62,17.34,16.62,17.09,879660
2023-11-23,17.34,17.34,15.9,15.9,728490
2023-11-24,15.9,16.15,15.21,16.15,1285737
2023-11-27,16.34,16.9,16.18,16.4,766036
2023-11-28,16.43,16.43,15.84,16.31,559604
2023-11-29,16.34,16.37,15.84,16.06,645183
2023-11-30,16.15,16.49,16.15,16.34,801396
2023-12-01,16.31,16.31,15.84,16.12,524792
2023-12-04,16.02,16.21,15.96,16.09,1053566
2023-12-05,16.18,16.18,16.02,16.06,939792
2023-12-06,16.65,17.13,16.43,17.13,1173765
2023-12-07,17.35,17.35,16.69,17.18,833293
2023-12-08,17.44,17.53,16.96,17.09,484074
2023-12-11,17.35,17.35,16.87,16.96,284246
2023-12-12,17.0,17.13,16.74,16.96,336318
2023-12-13,17.0,17.0,16.47,16.56,667706
2023-12-14,16.65,17.0,16.52,16.78,487520
2023-12-15,16.65,16.87,16.47,16.47,291765
2023-12-18,16.65,16.65,16.34,16.34,294998
2023-12-19,16.3,16.56,16.21,16.43,198823
2023-12-20,16.43,16.74,16.43,16.61,222611
2023-12-21,16.61,16.65,16.39,16.65,151135
2023-12-22,16.82,17.48,16.82,17.26,793258
2023-12-25,17.31,17.44,17.18,17.44,395723
2023-12-26,17.53,18.4,17.53,18.14,737099
2023-12-27,18.36,18.36,17.75,18.01,670225
