time,open,high,low,close,volume
2023-03-30,14.74,14.74,13.69,14.37,268821
2023-03-31,13.87,14.37,13.83,13.83,126103
2023-04-03,13.83,14.01,13.37,13.46,140406
2023-04-04,13.33,13.64,13.19,13.37,127447
2023-04-05,13.28,13.6,13.01,13.01,203007
2023-04-06,12.92,13.46,12.73,13.14,393347
2023-04-07,12.92,13.64,12.64,13.64,800537
2023-04-10,12.87,14.28,12.87,13.83,786337
2023-04-11,13.05,13.92,13.01,13.55,316039
2023-04-12,13.51,13.64,13.37,13.51,68424
2023-04-13,13.51,13.51,13.1,13.33,149601
2023-04-14,13.28,13.46,13.1,13.46,212379
2023-04-17,13.23,13.6,13.23,13.55,263946
2023-04-18,13.51,13.74,13.51,13.69,224850
2023-04-19,13.55,13.83,13.55,13.83,328900
2023-04-20,13.64,13.83,13.55,13.74,245216
2023-04-21,13.64,13.78,13.51,13.51,117721
2023-04-24,13.55,13.55,13.23,13.51,98791
2023-04-25,13.28,13.51,13.23,13.51,127400
2023-04-26,13.14,13.6,13.14,13.6,281246
2023-04-27,13.19,13.83,13.19,13.83,494034
2023-04-28,13.28,14.46,13.28,13.83,727509
2023-05-04,13.51,13.64,13.28,13.37,149717
2023-05-05,13.23,13.6,13.23,13.51,370360
2023-05-08,13.37,13.55,13.37,13.42,198800
2023-05-09,13.33,13.6,13.28,13.51,888830
2023-05-10,13.33,13.55,13.33,13.46,320649
2023-05-11,13.42,13.74,13.37,13.69,454636
2023-05-12,13.74,14.64,13.74,14.51,731927
2023-05-15,13.83,15.01,13.74,14.64,1990151
2023-05-16,14.69,14.69,14.28,14.28,456896
2023-05-17,14.28,14.64,14.24,14.28,431402
2023-05-18,14.28,15.1,14.19,15.1,1210633
2023-05-19,14.74,16.15,14.74,16.15,1834501
2023-05-22,17.24,17.24,16.46,17.24,2553670
2023-05-23,17.33,17.46,16.6,17.24,1329418
2023-05-24,16.96,17.78,16.96,17.51,1020561
2023-05-25,17.65,17.83,17.1,17.51,1025891
2023-05-26,18.23,18.23,17.56,17.85,1115826
2023-05-29,17.61,17.99,17.27,17.94,1383315
2023-05-30,17.85,17.94,17.32,17.46,719552
2023-05-31,17.7,17.9,17.46,17.85,624615
2023-06-01,17.9,17.94,17.46,17.51,565190
2023-06-02,17.85,17.85,17.46,17.51,569124
2023-06-05,17.56,17.61,16.45,16.59,1512952
2023-06-06,16.59,16.98,16.26,16.93,700395
2023-06-07,16.79,17.08,16.4,16.69,765091
2023-06-08,16.69,16.69,15.92,15.92,1245970
2023-06-09,15.82,16.3,15.82,16.26,822626
2023-06-12,16.26,16.88,16.26,16.79,663902
2023-06-13,16.98,17.27,16.4,16.98,661203
2023-06-14,16.98,17.17,16.4,16.4,531166
2023-06-15,16.5,16.88,16.4,16.74,956320
2023-06-16,16.83,17.17,16.74,16.79,618910
2023-06-19,16.69,16.88,16.45,16.5,479596
2023-06-20,16.79,16.79,16.5,16.74,175265
2023-06-21,16.69,17.75,16.69,17.56,1410412
2023-06-22,17.75,17.75,17.36,17.65,620694
2023-06-23,17.7,17.75,17.22,17.36,705904
2023-06-26,17.36,17.56,17.03,17.36,533809
2023-06-27,17.36,17.36,17.17,17.36,282272
2023-06-28,17.27,17.8,17.27,17.36,782045
2023-06-29,17.27,17.36,16.59,16.88,674086
2023-06-30,16.88,16.88,16.59,16.64,236631
2023-07-03,17.03,17.08,16.69,17.08,281345
2023-07-04,17.08,17.17,16.93,17.12,162959
2023-07-05,17.36,17.56,17.12,17.27,447187
2023-07-06,16.98,17.36,16.88,17.08,358595
2023-07-07,17.08,17.22,16.69,17.08,264778
2023-07-10,17.56,18.23,17.56,18.23,1049402
2023-07-11,18.72,18.81,18.14,18.43,848962
