time,open,high,low,close,volume
2023-03-30,24.37,24.37,24.37,24.37,5000
2023-03-31,24.37,24.37,24.37,24.37,0
2023-04-03,24.37,24.37,24.37,24.37,0
2023-04-04,24.37,24.37,24.37,24.37,0
2023-04-05,24.37,24.37,24.37,24.37,0
2023-04-06,24.37,24.37,24.37,24.37,0
2023-04-07,27.87,27.87,20.78,27.3,5900
2023-04-10,27.11,27.11,27.11,27.11,0
2023-04-11,30.14,30.14,30.14,30.14,5000
2023-04-12,30.14,30.14,30.14,30.14,0
2023-04-13,30.14,30.14,30.14,30.14,0
2023-04-14,34.58,34.58,32.88,32.88,8000
2023-04-17,33.92,33.92,33.92,33.92,0
2023-04-18,33.92,33.92,33.92,33.92,0
2023-04-19,38.55,38.55,33.82,34.01,6000
2023-04-20,37.79,37.79,37.79,37.79,0
2023-04-21,37.79,37.79,37.79,37.79,0
2023-04-24,37.79,37.79,37.79,37.79,0
2023-04-25,37.79,37.79,37.79,37.79,0
2023-04-26,37.79,37.79,37.79,37.79,0
2023-04-27,37.79,37.79,37.79,37.79,0
2023-04-28,37.79,37.79,37.79,37.79,0
2023-05-04,37.79,37.79,37.79,37.79,0
2023-05-05,37.79,37.79,37.79,37.79,0
2023-05-08,37.79,37.79,37.79,37.79,0
2023-05-09,37.79,37.79,37.79,37.79,0
2023-05-10,37.79,37.79,37.79,37.79,0
2023-05-11,37.79,37.79,37.79,37.79,0
2023-05-12,37.79,37.79,37.79,37.79,0
2023-05-15,32.12,37.69,32.12,32.12,13716
2023-05-16,37.51,37.51,37.51,37.51,1
2023-05-17,37.51,37.51,37.51,37.51,0
2023-05-18,31.93,37.69,31.93,37.69,5500
2023-05-19,37.13,37.13,37.13,37.13,0
2023-05-22,37.13,37.13,37.13,37.13,0
2023-05-23,37.13,37.13,37.13,37.13,0
2023-05-24,35.9,35.9,35.9,35.9,9000
2023-05-25,35.9,35.9,35.9,35.9,0
2023-05-26,35.9,35.9,35.9,35.9,0
2023-05-29,36.38,36.38,36.38,36.38,100
2023-05-30,36.38,36.38,36.38,36.38,0
2023-05-31,35.52,35.52,35.52,35.52,4500
2023-06-01,30.24,30.24,30.24,30.24,200
2023-06-02,25.73,25.73,25.73,25.73,3301
