time,open,high,low,close,volume
2023-03-30,97.65,97.74,97.65,97.74,1700
2023-03-31,97.74,97.74,97.65,97.65,1013
2023-04-03,97.28,97.74,97.28,97.74,1000
2023-04-04,97.38,97.47,97.38,97.47,800
2023-04-05,97.74,97.74,97.47,97.47,501
2023-04-06,97.56,97.56,97.56,97.56,175
2023-04-07,97.56,97.56,97.56,97.56,500
2023-04-10,97.38,97.74,97.28,97.74,3104
2023-04-11,97.74,97.84,96.91,97.74,5501
2023-04-12,97.74,97.74,97.74,97.74,4500
2023-04-13,97.56,97.74,97.56,97.74,350
2023-04-14,97.74,97.74,97.56,97.65,4101
2023-04-17,97.74,97.74,97.56,97.56,2200
2023-04-18,97.56,97.56,97.28,97.28,1700
2023-04-19,97.47,97.74,97.28,97.74,4901
2023-04-20,96.73,96.73,92.21,92.21,13068
2023-04-21,91.29,91.29,84.83,84.83,8300
2023-04-24,86.68,88.61,82.99,82.99,7410
2023-04-25,85.02,85.02,78.38,78.38,3903
2023-04-26,81.7,81.7,80.04,80.22,1300
2023-04-27,77.55,79.3,77.0,79.3,5114
2023-04-28,79.76,81.15,78.38,81.15,12803
2023-05-04,79.67,79.67,78.01,79.3,3300
2023-05-05,79.03,79.21,73.77,73.77,12503
2023-05-08,74.78,74.78,71.92,73.12,7300
2023-05-09,70.73,71.92,70.08,71.92,2500
2023-05-10,75.61,76.07,74.88,74.88,2250
2023-05-11,75.89,75.89,74.88,75.43,700
2023-05-12,74.69,74.69,74.69,74.69,100
2023-05-15,74.6,74.6,72.48,73.22,3204
2023-05-16,74.6,74.69,73.77,73.77,3848
2023-05-17,74.23,74.23,72.85,72.85,2701
2023-05-18,72.85,73.77,72.85,73.77,3202
2023-05-19,73.03,73.03,73.03,73.03,100
2023-05-22,73.12,75.61,73.12,74.69,5632
2023-05-23,73.49,73.49,73.4,73.4,1700
2023-05-24,74.69,74.69,74.69,74.69,600
2023-05-25,76.07,76.35,75.8,75.8,4300
2023-05-26,75.61,76.54,75.61,76.35,2100
2023-05-29,76.35,78.29,76.35,77.27,13900
2023-05-30,78.29,78.29,77.92,78.1,6400
2023-05-31,78.38,79.58,78.01,78.84,18600
2023-06-01,78.47,78.84,78.38,78.38,3101
2023-06-02,78.84,80.22,78.84,80.22,74600
2023-06-05,82.07,82.99,81.98,82.53,14300
2023-06-06,82.53,82.53,82.07,82.25,16167
2023-06-07,82.34,84.37,82.16,82.25,11505
2023-06-08,82.99,82.99,81.63,81.63,8051
2023-06-09,82.51,82.6,82.51,82.6,907
2023-06-12,82.51,82.51,82.21,82.31,4307
2023-06-13,82.02,82.02,81.63,81.63,3300
2023-06-14,82.02,82.02,81.72,81.72,2400
2023-06-15,81.72,81.82,81.72,81.82,500
2023-06-16,81.82,82.02,81.04,81.63,8010
2023-06-19,81.04,81.53,80.26,80.55,7610
2023-06-20,80.75,81.04,80.75,81.04,4120
2023-06-21,80.85,81.04,80.85,81.04,1301
2023-06-22,81.04,82.02,81.04,82.02,2908
2023-06-23,81.43,82.51,81.24,82.51,1700
2023-06-26,81.24,81.24,81.14,81.24,700
2023-06-27,81.24,82.51,81.24,82.51,1502
2023-06-28,81.53,81.53,81.24,81.24,500
2023-06-29,82.41,82.9,81.33,81.33,4801
2023-06-30,81.33,82.31,81.33,82.31,1310
2023-07-03,81.53,81.53,81.53,81.53,47
2023-07-04,81.63,82.41,81.63,82.02,1000
2023-07-05,82.99,82.99,82.02,82.02,6900
2023-07-06,81.53,81.53,81.53,81.53,500
2023-07-07,82.02,82.02,82.02,82.02,100
2023-07-10,82.02,82.02,82.02,82.02,1701
2023-07-11,82.02,82.02,81.53,81.53,1201
2023-07-12,81.82,81.82,81.82,81.82,101
2023-07-13,81.04,81.92,81.04,81.92,1210
2023-07-14,82.02,82.9,81.04,82.9,601
2023-07-17,82.9,82.99,82.02,82.51,4106
2023-07-18,82.99,82.99,82.31,82.31,500
2023-07-19,82.21,82.21,81.92,82.02,2105
2023-07-20,82.02,82.02,82.02,82.02,2100
2023-07-21,82.02,82.02,81.72,82.02,401
2023-07-24,80.06,80.06,74.4,77.53,19400
2023-07-25,76.16,88.75,76.16,82.02,20202
2023-07-26,82.02,82.02,77.62,77.72,701
2023-07-27,80.65,80.65,78.11,78.11,2000
2023-07-28,79.58,79.67,79.09,79.09,3501
2023-07-31,80.55,80.94,78.21,78.21,1012
2023-08-01,77.62,79.09,77.62,78.11,8002
2023-08-02,78.31,79.09,76.94,79.09,4401
2023-08-03,78.11,79.09,77.82,77.82,900
2023-08-04,78.21,78.99,76.26,78.99,1900
2023-08-07,77.72,77.72,77.72,77.72,310
2023-08-08,77.72,77.82,77.62,77.62,2711
2023-08-09,77.62,77.62,75.77,75.77,1500
2023-08-10,78.99,79.09,77.62,77.62,700
2023-08-11,75.96,78.11,75.96,76.35,1100
2023-08-14,78.8,78.8,78.8,78.8,100
2023-08-15,78.8,79.09,78.11,78.11,2800
2023-08-16,78.11,78.21,78.11,78.11,1700
2023-08-17,79.09,79.09,78.01,78.01,901
2023-08-18,78.11,78.11,76.16,76.16,1205
2023-08-21,77.14,77.14,77.14,77.14,100
2023-08-22,76.26,78.7,75.96,78.7,2005
2023-08-23,76.65,76.65,76.65,76.65,442
2023-08-24,76.65,78.5,76.65,78.11,1101
2023-08-25,77.14,77.14,76.16,77.14,901
2023-08-28,78.6,78.7,76.75,76.75,1107
2023-08-29,78.5,78.5,78.5,78.5,2
2023-08-30,78.5,78.5,77.72,77.72,614
2023-08-31,78.8,78.8,78.8,78.8,200
2023-09-05,79.09,79.09,78.11,78.11,1300
2023-09-06,78.6,78.6,78.01,78.01,3200
2023-09-07,78.99,78.99,78.01,78.01,1107
2023-09-08,78.01,78.11,77.72,78.11,8000
2023-09-11,78.01,78.11,78.01,78.11,747
2023-09-12,78.11,78.11,78.11,78.11,555
2023-09-13,77.43,78.6,77.43,78.5,601
2023-09-14,78.11,78.11,78.11,78.11,211
2023-09-15,78.6,78.6,78.11,78.11,400
2023-09-18,78.6,78.6,78.6,78.6,1186
2023-09-19,78.11,78.11,78.11,78.11,2000
2023-09-20,78.11,78.11,77.62,77.62,816
2023-09-21,78.11,78.11,77.92,77.92,1621
2023-09-22,77.72,77.72,76.16,77.14,1200
2023-09-25,76.26,76.35,76.16,76.16,3100
2023-09-26,76.16,77.14,76.16,77.04,4303
2023-09-27,76.16,77.92,76.16,77.92,808
2023-09-28,78.01,78.01,78.01,78.01,300
2023-09-29,76.65,76.65,76.65,76.65,140
2023-10-02,77.14,77.14,76.65,76.65,603
2023-10-03,76.94,78.11,76.16,76.94,1800
2023-10-04,76.16,77.14,76.16,77.14,3200
2023-10-05,76.26,76.26,76.26,76.26,200
2023-10-06,76.26,76.26,76.26,76.26,500
2023-10-09,76.26,76.65,76.16,76.65,2903
2023-10-10,76.65,77.82,76.65,77.82,2211
2023-10-11,77.43,77.43,77.43,77.43,203
2023-10-12,77.43,77.43,76.35,76.35,401
2023-10-13,77.14,77.14,76.16,76.16,1200
2023-10-16,77.14,77.14,76.35,76.65,6242
2023-10-17,76.65,77.04,76.35,76.65,1700
2023-10-18,76.65,77.04,76.16,76.16,6015
2023-10-19,76.35,76.35,75.18,76.16,1500
2023-10-20,75.96,76.65,75.28,75.28,2500
2023-10-23,77.04,77.04,76.06,76.06,200
2023-10-24,76.55,76.55,76.55,76.55,20
2023-10-25,76.45,76.45,76.45,76.45,101
2023-10-26,75.18,76.16,74.21,76.16,845
2023-10-27,74.69,74.69,74.21,74.21,2745
2023-10-30,74.4,74.4,73.23,73.72,1901
2023-10-31,73.23,73.23,72.74,73.23,1701
2023-11-01,72.94,73.23,72.25,72.25,400
2023-11-02,72.35,73.23,72.25,73.13,4700
2023-11-03,72.84,72.84,71.77,71.77,2162
2023-11-06,71.37,71.77,71.28,71.28,7300
2023-11-07,73.13,73.13,70.3,70.3,3100
2023-11-08,70.4,71.37,69.91,69.91,2300
2023-11-09,70.2,71.18,70.11,70.11,5100
2023-11-10,70.01,70.3,70.01,70.3,200
2023-11-13,70.3,70.3,70.2,70.2,700
2023-11-14,71.47,71.47,70.79,70.79,2014
2023-11-15,71.96,71.96,70.69,70.69,1100
2023-11-16,71.08,71.08,70.3,70.3,6600
2023-11-17,70.59,70.59,68.35,69.52,6418
2023-11-20,68.35,68.93,60.54,68.93,1300
2023-11-21,68.45,68.45,60.54,64.93,17215
2023-11-22,73.91,73.91,54.78,64.34,34600
2023-11-23,66.98,66.98,61.51,63.47,8204
2023-11-24,62.68,63.47,62.59,63.47,3305
2023-11-27,65.81,65.81,64.44,64.44,822
2023-11-28,64.83,65.13,63.95,65.13,9878
2023-11-29,65.13,65.13,63.47,63.47,1700
2023-11-30,64.05,64.93,64.05,64.15,1700
2023-12-01,64.74,64.74,64.74,64.74,130
2023-12-04,64.74,65.03,64.44,65.03,4140
2023-12-05,65.03,65.03,64.44,64.44,4220
2023-12-06,64.44,64.83,64.44,64.74,1001
2023-12-07,64.83,64.83,64.44,64.83,702
2023-12-08,64.54,64.93,64.44,64.64,1400
2023-12-11,65.52,66.49,65.42,65.42,808
2023-12-12,65.42,65.42,65.42,65.42,100
2023-12-13,67.86,67.96,67.86,67.96,403
2023-12-14,67.96,67.96,67.27,67.27,1253
2023-12-15,67.86,67.86,66.3,66.3,800
2023-12-18,67.66,67.66,64.25,64.25,9041
2023-12-19,64.83,65.22,64.83,65.22,400
2023-12-20,65.13,65.13,65.03,65.13,4700
2023-12-21,65.42,65.61,65.32,65.61,8400
2023-12-22,65.42,65.42,65.42,65.42,100
