time,open,high,low,close,volume
2023-03-30,34.21,34.21,34.21,34.21,3044
2023-03-31,34.7,34.7,34.21,34.46,6300
2023-04-03,35.37,35.37,34.52,34.58,11612
2023-04-04,34.76,34.76,34.46,34.46,12107
2023-04-05,34.52,35.13,34.52,35.07,26302
2023-04-06,34.82,35.44,34.82,34.82,16418
2023-04-07,34.82,35.92,34.82,35.25,11906
2023-04-10,37.27,37.88,37.27,37.51,4045
2023-04-11,36.05,37.45,36.05,37.45,1355
2023-04-12,38.49,38.49,37.27,37.27,2110
2023-04-13,37.76,37.82,36.47,36.66,2918
2023-04-14,36.66,36.66,35.86,36.05,9221
2023-04-17,36.29,36.29,36.29,36.29,14
2023-04-18,35.56,36.05,35.56,36.05,4703
2023-04-19,36.05,36.35,36.05,36.05,5210
2023-04-20,36.23,36.6,36.23,36.35,13700
2023-04-21,36.47,36.47,36.05,36.05,12203
2023-04-24,36.23,36.23,35.99,36.05,7232
2023-04-25,36.05,36.11,35.5,36.11,15706
2023-04-26,36.05,36.05,35.8,35.8,7241
2023-04-27,35.92,36.54,35.92,36.54,4908
2023-04-28,36.29,36.35,35.86,36.05,2800
2023-05-04,36.41,36.54,36.17,36.23,4220
2023-05-05,36.23,36.35,36.23,36.35,4261
2023-05-08,36.35,36.54,36.05,36.35,9119
2023-05-09,36.05,36.35,36.05,36.29,1300
2023-05-10,36.05,36.29,36.05,36.05,8838
2023-05-11,36.05,36.17,35.86,35.86,22109
2023-05-12,35.62,35.99,35.62,35.62,4105
2023-05-15,35.74,36.05,35.44,35.44,22560
2023-05-16,35.5,35.8,34.82,35.44,16025
2023-05-17,35.68,35.68,35.44,35.44,3601
2023-05-18,35.62,35.62,35.13,35.13,5426
2023-05-19,35.31,35.44,35.31,35.31,3718
2023-05-22,35.62,35.74,35.44,35.74,9807
2023-05-23,35.44,35.92,35.44,35.74,8000
2023-05-24,35.56,35.56,35.44,35.44,5901
2023-05-25,35.86,35.86,35.8,35.8,500
2023-05-26,35.86,35.86,35.86,35.86,100
2023-05-29,36.05,36.11,35.86,35.99,19403
2023-05-30,36.35,36.35,36.05,36.11,7740
2023-05-31,36.17,36.47,36.17,36.23,24080
2023-06-01,36.35,36.47,36.23,36.47,9100
2023-06-02,36.47,36.66,36.35,36.41,23810
2023-06-05,36.66,36.96,36.54,36.66,15403
2023-06-06,36.66,36.84,36.54,36.84,2946
2023-06-07,36.78,36.84,36.6,36.72,17593
2023-06-08,36.78,36.78,36.02,36.34,6707
2023-06-09,36.02,36.34,36.02,36.34,8100
2023-06-12,36.34,36.53,36.34,36.53,4069
2023-06-13,36.85,36.85,36.53,36.53,3530
2023-06-14,36.59,36.78,36.59,36.59,6010
2023-06-15,36.66,36.66,36.66,36.66,2452
2023-06-16,36.66,36.66,36.66,36.66,4916
2023-06-19,36.97,36.97,36.34,36.66,10300
2023-06-20,36.47,36.47,36.47,36.47,300
2023-06-21,36.72,36.97,36.66,36.97,6309
2023-06-22,37.22,37.22,36.66,36.91,10106
2023-06-23,36.85,37.22,36.78,36.97,3906
2023-06-26,36.97,36.97,36.66,36.66,12661
2023-06-27,36.66,37.29,36.66,37.29,8348
2023-06-28,37.16,37.92,37.1,37.92,6306
2023-06-29,37.35,37.41,37.29,37.41,2228
2023-06-30,37.79,37.79,37.67,37.67,531
2023-07-03,37.67,37.73,37.67,37.73,1806
2023-07-04,37.6,37.67,37.29,37.54,1709
2023-07-05,37.29,37.29,37.29,37.29,9000
2023-07-06,37.29,37.29,36.66,36.66,18253
2023-07-07,36.78,36.78,36.66,36.66,23521
2023-07-10,36.78,37.67,36.72,37.67,7345
