time,open,high,low,close,volume
2023-03-30,54.88,55.23,52.64,53.24,1596618
2023-03-31,53.24,53.93,52.64,52.64,858909
2023-04-03,53.76,53.76,52.64,53.07,1274375
2023-04-04,53.15,56.09,53.15,56.09,1711238
2023-04-05,56.09,56.52,55.4,55.74,609867
2023-04-06,55.74,56.43,55.14,55.23,1147066
2023-04-07,55.23,55.48,54.54,54.71,507211
2023-04-10,55.23,58.16,55.14,56.95,2272714
2023-04-11,56.95,57.21,56.09,56.52,733842
2023-04-12,56.52,57.21,56.09,56.09,687216
2023-04-13,56.43,57.81,56.0,57.56,1578757
2023-04-14,57.73,58.25,56.09,56.09,1035373
2023-04-17,56.35,57.73,55.74,56.52,650516
2023-04-18,57.64,57.64,56.78,56.95,754588
2023-04-19,57.04,59.54,57.04,58.33,2111857
2023-04-20,58.5,58.85,57.56,57.56,592005
2023-04-21,57.99,57.99,56.09,56.61,999636
2023-04-24,56.69,56.95,54.79,55.05,946119
2023-04-25,55.23,55.57,54.1,54.36,759422
2023-04-26,54.02,55.4,53.76,55.31,597527
2023-04-27,55.74,55.74,54.88,54.97,299073
2023-04-28,55.48,55.74,54.79,55.05,517203
2023-05-04,54.28,55.83,54.28,55.31,471522
2023-05-05,55.31,55.66,55.05,55.23,254891
2023-05-08,55.23,55.4,54.79,54.79,527666
2023-05-09,54.88,55.57,54.36,54.79,324506
2023-05-10,55.14,55.57,54.97,55.23,421590
2023-05-11,55.4,56.43,55.23,55.48,551465
2023-05-12,55.23,55.66,55.14,55.31,546706
2023-05-15,55.4,55.66,54.97,54.97,602449
2023-05-16,55.14,55.23,54.28,54.54,578119
2023-05-17,54.54,54.54,53.5,53.5,1041272
2023-05-18,53.5,53.93,53.24,53.93,363223
2023-05-19,53.5,54.28,53.41,53.76,305499
2023-05-22,53.76,54.62,53.76,54.36,338044
2023-05-23,54.71,54.71,54.1,54.1,416343
2023-05-24,54.1,54.36,54.1,54.19,308704
2023-05-25,54.19,54.28,53.5,54.19,434626
2023-05-26,54.36,54.79,53.93,54.36,388342
2023-05-29,54.97,54.97,54.36,54.54,418190
2023-05-30,54.62,56.35,54.62,56.0,1244554
2023-05-31,56.0,56.26,54.97,54.97,559389
2023-06-01,55.23,56.0,54.97,56.0,704919
2023-06-02,56.09,57.38,55.66,56.95,1381873
2023-06-05,58.25,58.25,56.61,56.61,1030609
2023-06-06,57.3,58.6,57.0,57.3,1130372
2023-06-07,57.7,57.9,56.7,57.5,756274
2023-06-08,57.5,57.9,57.1,57.2,1042733
2023-06-09,57.4,58.1,56.6,58.1,941537
2023-06-12,58.3,62.1,58.2,62.1,2637990
2023-06-13,62.7,63.1,61.7,61.9,1075179
2023-06-14,62.2,62.4,61.0,61.7,1235158
2023-06-15,61.4,63.2,61.4,62.5,1088964
2023-06-16,63.0,64.0,61.8,62.0,1289772
2023-06-19,62.3,63.5,61.8,62.8,887168
2023-06-20,62.4,64.3,62.4,64.2,861115
2023-06-21,64.2,67.2,64.2,66.7,1551335
2023-06-22,66.6,66.9,66.0,66.5,619460
