time,open,high,low,close,volume
2023-03-30,22.54,22.74,22.34,22.7,36168
2023-03-31,22.62,22.78,22.38,22.7,31876
2023-04-03,22.66,22.74,22.58,22.58,25717
2023-04-04,22.46,22.66,22.46,22.66,18214
2023-04-05,22.58,22.7,22.58,22.7,25823
2023-04-06,22.78,23.05,22.7,23.01,30280
2023-04-07,23.17,24.27,23.17,23.56,20931
2023-04-10,23.95,24.07,23.21,23.56,20012
2023-04-11,23.25,23.76,23.25,23.64,13524
2023-04-12,24.35,24.35,23.37,23.64,19397
2023-04-13,23.68,23.88,22.02,23.56,56443
2023-04-14,23.72,24.53,23.6,24.37,128173
2023-04-17,24.21,24.78,24.05,24.29,25859
2023-04-18,24.29,24.29,23.8,24.13,35111
2023-04-19,23.44,24.05,23.44,23.96,39748
2023-04-20,23.56,24.41,23.56,24.21,48929
2023-04-21,23.64,24.29,23.64,23.96,41917
2023-04-24,23.56,24.37,22.79,24.21,56294
2023-04-25,23.72,25.18,23.72,25.1,104613
2023-04-26,24.05,25.1,24.05,24.94,52746
2023-04-27,24.29,25.1,24.13,25.1,67257
2023-04-28,24.37,25.14,24.13,25.1,37272
2023-05-04,24.37,24.78,24.05,24.78,25527
2023-05-05,23.8,24.74,23.8,23.96,6237
2023-05-08,23.92,23.92,23.76,23.8,12897
2023-05-09,23.32,24.29,23.32,23.8,19537
2023-05-10,23.88,24.37,23.6,24.37,13199
2023-05-11,23.84,24.74,23.84,24.25,3991
2023-05-12,23.8,24.33,23.8,24.25,5511
2023-05-15,24.25,24.25,23.96,24.21,5200
2023-05-16,23.84,24.74,23.52,24.09,71120
2023-05-17,24.09,24.17,23.52,24.17,40900
2023-05-18,24.05,25.83,23.56,24.78,84561
2023-05-19,24.7,25.51,23.96,25.18,50567
2023-05-22,24.09,25.1,24.09,24.9,20400
2023-05-23,24.9,25.02,24.29,24.74,22915
2023-05-24,24.78,24.78,23.56,24.78,72041
2023-05-25,24.61,24.61,23.72,24.13,45008
2023-05-26,23.68,25.79,23.56,24.01,123951
2023-05-29,23.88,24.53,23.88,24.45,34500
2023-05-30,24.01,24.7,23.68,24.25,47464
2023-05-31,24.33,24.96,24.25,24.71,28585
2023-06-01,24.71,24.75,24.33,24.75,31417
2023-06-02,24.71,25.09,24.33,25.09,120601
2023-06-05,25.09,25.09,24.71,25.01,8944
2023-06-06,25.01,25.01,24.38,25.01,97533
2023-06-07,24.96,25.13,24.33,25.05,76968
2023-06-08,25.05,25.22,24.71,24.75,12536
2023-06-09,24.42,24.8,24.38,24.75,24805
2023-06-12,24.42,24.75,24.42,24.54,26505
2023-06-13,24.38,24.8,24.38,24.54,26007
2023-06-14,24.54,24.88,24.33,24.38,72534
2023-06-15,24.38,24.67,24.33,24.63,39604
2023-06-16,24.38,24.67,24.0,24.54,61638
2023-06-19,24.54,24.54,24.12,24.29,33950
2023-06-20,24.29,24.29,23.96,24.21,33808
2023-06-21,24.38,24.38,23.96,24.29,46100
2023-06-22,24.29,24.63,24.29,24.46,39145
2023-06-23,24.25,24.59,24.25,24.59,58393
2023-06-26,24.59,24.59,24.33,24.38,87256
2023-06-27,24.63,24.63,24.29,24.54,38270
2023-06-28,24.54,25.17,24.38,25.17,130905
2023-06-29,24.92,25.89,24.71,25.26,122400
2023-06-30,24.96,25.97,24.96,25.64,81752
2023-07-03,25.22,26.22,25.05,25.47,163244
2023-07-04,25.22,25.22,23.79,23.79,490112
2023-07-05,23.96,24.59,23.96,23.96,100620
2023-07-06,24.38,24.38,22.74,22.74,304320
2023-07-07,22.9,23.37,22.9,23.2,81801
2023-07-10,23.58,23.58,23.2,23.24,51404
2023-07-11,23.24,23.83,23.24,23.7,39121
