time,open,high,low,close,volume
2023-03-30,20.82,22.95,20.82,22.68,12020
2023-03-31,21.71,23.66,21.71,22.68,53600
2023-04-03,23.21,23.21,23.12,23.21,30500
2023-04-04,23.21,23.21,23.21,23.21,500
2023-04-05,22.33,23.48,22.33,23.48,17720
2023-04-06,22.42,23.21,22.33,23.21,9109
2023-04-07,23.21,23.21,23.04,23.04,17200
2023-04-10,23.21,23.21,23.21,23.21,0
2023-04-11,23.12,23.48,23.12,23.48,15324
2023-04-12,23.48,23.66,23.48,23.66,7206
2023-04-13,22.24,22.42,22.24,22.24,6000
2023-04-14,22.24,23.48,22.24,23.48,53300
2023-04-17,22.59,22.59,22.24,22.24,26600
2023-04-18,22.24,22.86,22.24,22.77,85706
2023-04-19,22.59,22.86,22.5,22.59,34206
2023-04-20,22.68,22.68,22.15,22.59,7104
2023-04-21,22.42,22.5,22.15,22.15,29000
2023-04-24,22.24,22.24,22.24,22.24,0
2023-04-25,20.82,22.24,20.82,22.24,10610
2023-04-26,19.67,22.42,19.67,22.42,300
2023-04-27,22.42,22.42,22.42,22.42,1800
2023-04-28,22.06,22.15,21.97,22.06,5900
2023-05-04,22.77,22.95,22.77,22.95,6010
2023-05-05,22.86,22.95,22.24,22.24,7306
2023-05-08,22.59,23.3,22.59,23.3,32600
2023-05-09,22.68,22.68,22.59,22.59,1207
2023-05-10,22.68,22.77,22.68,22.77,500
2023-05-11,22.68,22.95,22.68,22.86,6800
2023-05-12,22.86,23.21,22.86,23.21,45000
2023-05-15,19.76,23.48,19.76,23.48,30800
2023-05-16,21.0,23.83,21.0,23.83,20900
2023-05-17,22.59,22.59,22.59,22.59,2100
2023-05-18,20.2,24.72,20.2,24.72,1108
2023-05-19,23.66,23.66,22.77,22.77,20000
2023-05-22,23.92,23.92,22.77,23.04,3900
2023-05-23,23.21,23.3,23.04,23.04,331800
2023-05-24,23.3,23.3,23.3,23.3,4400
2023-05-25,23.3,23.92,23.04,23.04,175000
2023-05-26,23.83,23.92,22.24,23.92,2100
2023-05-29,24.36,24.36,22.5,24.28,3700
2023-05-30,24.72,24.81,24.36,24.81,24800
2023-05-31,25.07,25.07,23.74,23.74,1600
2023-06-01,24.36,25.69,24.36,25.69,5504
2023-06-02,24.54,24.99,24.54,24.63,15404
2023-06-05,24.63,24.81,24.63,24.63,1200
2023-06-06,24.63,25.25,24.63,25.16,200200
2023-06-07,24.36,24.45,23.92,23.92,908604
2023-06-08,23.92,26.14,23.92,24.45,1325046
2023-06-09,25.69,25.69,24.81,24.9,121109
2023-06-12,25.07,25.07,24.1,24.1,2403
2023-06-13,24.63,24.63,24.01,24.01,10316
2023-06-14,24.54,24.81,24.01,24.72,23400
2023-06-15,23.12,24.19,23.12,24.1,25300
2023-06-16,23.74,24.63,23.48,23.57,3300
2023-06-19,23.21,23.48,23.21,23.48,8000
2023-06-20,24.63,24.63,24.28,24.36,2630
2023-06-21,24.36,24.36,24.36,24.36,0
2023-06-22,24.81,24.81,24.01,24.01,11700
2023-06-23,24.1,24.1,23.3,23.3,2900
2023-06-26,23.74,23.74,23.39,23.57,12705
2023-06-27,23.66,23.92,23.66,23.92,19700
2023-06-28,23.92,23.92,23.92,23.92,0
2023-06-29,23.92,23.92,23.92,23.92,4801
2023-06-30,23.92,23.92,23.92,23.92,2
2023-07-03,23.92,23.92,23.92,23.92,800
2023-07-04,23.04,23.04,22.68,23.04,9101
2023-07-05,23.3,23.74,23.3,23.74,626
2023-07-06,23.74,23.74,23.04,23.04,2800
2023-07-07,23.04,23.04,22.77,23.04,2200
2023-07-10,23.04,23.04,22.77,22.77,15520
2023-07-11,22.86,22.86,22.59,22.68,17100
2023-07-12,22.59,22.95,22.59,22.95,8900
2023-07-13,22.68,23.04,22.68,23.04,8100
2023-07-14,22.77,22.77,22.77,22.77,4200
2023-07-17,22.86,23.12,22.77,23.12,1000
2023-07-18,23.04,23.21,22.77,23.04,6400
2023-07-19,22.95,23.12,22.95,23.12,2300
2023-07-20,23.3,23.74,23.3,23.3,13200
2023-07-21,23.48,23.48,23.3,23.39,1900
2023-07-24,23.57,23.57,23.39,23.57,3500
2023-07-25,23.84,23.93,23.84,23.93,3200
2023-07-26,23.93,24.2,23.48,24.02,1500
2023-07-27,23.57,23.93,23.57,23.93,7700
2023-07-28,24.11,24.2,23.12,24.2,4502
2023-07-31,24.02,24.02,24.02,24.02,701
2023-08-01,24.2,24.2,24.02,24.02,1604
2023-08-02,24.11,24.11,23.39,23.66,2610
2023-08-03,23.84,24.11,23.66,23.66,7101
2023-08-04,23.93,24.2,23.66,24.2,20200
2023-08-07,23.93,24.11,23.84,24.11,2215
2023-08-08,24.02,24.11,23.66,23.66,6615
2023-08-09,24.2,24.2,23.66,23.66,7100
2023-08-10,23.93,24.02,23.66,23.84,14100
2023-08-11,23.66,23.93,23.48,23.93,53400
2023-08-14,23.93,24.11,23.3,23.93,29600
2023-08-15,23.57,23.57,23.48,23.57,9700
2023-08-16,23.66,23.66,23.48,23.48,700
2023-08-17,23.84,24.39,23.75,24.11,24311
2023-08-18,23.75,24.2,23.48,23.48,13600
2023-08-21,23.75,23.75,23.12,23.75,14900
2023-08-22,23.75,23.75,22.76,23.03,49100
2023-08-23,22.85,23.39,22.85,23.03,49500
2023-08-24,23.84,23.84,23.84,23.84,100
2023-08-25,23.84,23.84,23.03,23.75,12431
2023-08-28,23.48,23.48,23.21,23.48,31600
2023-08-29,23.39,23.48,23.03,23.48,26201
2023-08-30,22.94,22.94,22.85,22.85,10001
2023-08-31,23.03,23.48,22.85,23.48,23900
2023-09-05,23.93,24.29,23.03,23.48,147100
2023-09-06,23.57,24.2,23.48,23.57,40301
2023-09-07,23.75,23.75,23.66,23.66,4508
2023-09-08,23.66,23.84,23.03,23.75,179007
2023-09-11,23.84,24.11,23.3,23.48,144300
2023-09-12,23.48,24.11,23.48,23.84,38304
2023-09-13,23.93,24.11,23.48,23.48,40708
2023-09-14,24.14,24.14,23.48,23.57,11504
2023-09-15,23.67,23.76,23.48,23.48,42500
2023-09-18,23.48,23.85,22.73,23.76,367300
2023-09-19,23.2,23.67,23.01,23.01,6400
2023-09-20,23.57,23.57,23.2,23.2,35300
2023-09-21,23.48,23.57,22.91,23.57,13600
2023-09-22,23.48,23.48,20.75,23.29,150500
2023-09-25,23.01,23.01,21.41,22.54,254300
2023-09-26,22.26,23.48,22.26,22.35,100700
2023-09-27,23.29,23.38,22.07,23.1,12300
2023-09-28,22.82,23.01,22.63,23.01,86700
2023-09-29,23.1,23.57,23.01,23.48,61600
2023-10-02,23.29,24.42,23.29,24.42,2526400
2023-10-03,24.42,24.61,23.01,23.48,248900
2023-10-04,24.04,26.77,24.04,24.7,208001
2023-10-05,26.67,26.67,24.42,24.42,11104
2023-10-06,24.42,25.45,24.04,24.79,6202
2023-10-09,24.79,24.79,23.48,23.85,5400
2023-10-10,24.14,24.14,23.48,24.04,10102
2023-10-11,23.95,25.36,23.95,25.36,2300
2023-10-12,25.17,25.17,23.95,24.42,1333
2023-10-13,24.79,24.79,24.79,24.79,100
2023-10-16,24.79,26.2,24.42,24.42,17600
2023-10-17,24.7,25.17,24.42,24.42,23700
2023-10-18,24.61,24.61,24.42,24.42,68400
2023-10-19,24.42,24.42,24.32,24.42,1800
2023-10-20,24.42,24.42,24.42,24.42,18800
2023-10-23,24.51,24.89,24.51,24.51,16402
2023-10-24,24.7,24.7,24.7,24.7,4500
2023-10-25,24.7,24.79,24.7,24.79,6900
2023-10-26,24.42,24.61,24.42,24.42,74800
2023-10-27,24.51,24.61,24.51,24.61,200
2023-10-30,24.89,24.89,24.42,24.42,7500
2023-10-31,24.42,24.79,24.42,24.42,6700
2023-11-01,24.61,27.99,24.61,25.36,118000
2023-11-02,26.3,30.43,25.64,28.08,839912
2023-11-03,30.43,31.27,28.17,28.17,1052333
2023-11-06,29.77,30.43,28.36,29.58,1100407
2023-11-07,29.58,29.96,28.46,29.11,1095742
2023-11-08,28.93,29.39,28.36,28.36,7370
2023-11-09,28.36,28.36,27.52,28.17,16421
2023-11-10,29.11,29.11,27.99,27.99,103405
2023-11-13,28.17,29.02,27.7,27.7,1600
2023-11-14,28.17,28.17,25.64,27.61,28400
2023-11-15,26.95,27.23,26.95,27.05,8710
2023-11-16,26.77,26.77,26.67,26.67,4202
2023-11-17,26.67,26.77,25.92,26.77,4800
2023-11-20,25.92,27.7,25.83,27.7,150600
2023-11-21,27.7,27.7,26.95,27.61,3602
2023-11-22,27.61,27.7,27.33,27.33,3910
2023-11-23,27.33,27.61,26.77,27.23,7800
2023-11-24,27.14,27.14,25.92,26.58,7300
2023-11-27,26.3,26.3,25.36,25.83,2700
2023-11-28,25.92,26.3,25.36,25.45,9421
2023-11-29,25.92,26.3,25.83,25.92,3510
2023-11-30,27.23,27.7,26.2,26.2,4121
2023-12-01,25.92,25.92,25.92,25.92,1000
2023-12-04,25.92,26.11,25.92,26.11,11600
