time,open,high,low,close,volume
2023-03-30,41.58,41.58,41.02,41.26,565244
2023-03-31,41.42,42.14,41.26,41.42,938969
2023-04-03,42.22,42.55,41.42,42.14,1103614
2023-04-04,42.38,43.43,42.06,42.95,1138216
2023-04-05,42.95,43.19,42.55,42.79,661506
2023-04-06,42.79,42.87,41.66,41.82,676359
2023-04-07,41.82,42.38,41.66,42.22,471001
2023-04-10,42.3,42.46,41.66,41.82,608581
2023-04-11,42.22,42.95,41.98,42.63,1128741
2023-04-12,42.63,42.87,42.38,42.63,393502
2023-04-13,42.55,44.23,42.55,43.83,1435975
2023-04-14,43.99,44.15,43.19,43.27,533020
2023-04-17,43.43,43.67,43.03,43.43,344310
2023-04-18,43.51,43.51,42.22,42.63,591646
2023-04-19,42.63,42.95,42.22,42.38,461824
2023-04-20,43.19,43.35,42.38,42.55,944273
2023-04-21,42.55,42.63,42.14,42.55,353234
2023-04-24,42.22,43.11,42.14,42.14,523718
2023-04-25,42.22,43.27,42.14,42.46,1264363
2023-04-26,42.63,42.79,42.22,42.63,339707
2023-04-27,42.79,43.35,42.3,43.35,697256
2023-04-28,43.35,43.35,42.3,42.3,1744466
2023-05-04,42.46,42.55,40.78,40.78,1490353
2023-05-05,40.78,41.18,40.21,40.21,548758
2023-05-08,40.21,40.7,40.13,40.61,379170
2023-05-09,40.86,40.86,40.29,40.78,249921
2023-05-10,41.02,41.02,40.45,40.53,926766
2023-05-11,40.61,40.78,39.81,39.81,1165736
2023-05-12,39.97,40.53,39.45,39.49,892999
2023-05-15,39.97,40.53,39.77,40.17,969241
2023-05-16,40.21,40.53,40.17,40.29,972831
2023-05-17,39.89,40.53,39.89,40.13,415623
2023-05-18,40.29,41.18,40.21,41.1,1342764
2023-05-19,41.34,41.34,40.45,40.53,225427
2023-05-22,40.94,40.94,39.77,39.97,499697
2023-05-23,40.05,40.13,39.81,39.89,313837
2023-05-24,40.01,40.7,39.89,40.37,456416
2023-05-25,40.21,40.53,40.05,40.05,191202
2023-05-26,40.17,40.29,39.89,39.89,368067
