time,open,high,low,close,volume
2023-03-30,14.6,14.6,14.31,14.31,1527041
2023-03-31,14.31,15.09,14.26,15.09,5445097
2023-04-03,15.33,15.53,15.18,15.53,3792289
2023-04-04,15.48,15.53,15.28,15.53,2975933
2023-04-05,15.48,15.91,15.38,15.77,3493402
2023-04-06,15.87,15.96,15.18,15.18,4859467
2023-04-07,15.28,15.48,15.09,15.48,2323859
2023-04-10,15.67,15.87,15.48,15.48,3130634
2023-04-11,15.48,15.82,15.28,15.82,2590794
2023-04-12,16.11,16.35,15.87,15.91,4955606
2023-04-13,15.96,16.01,15.53,15.53,2229457
2023-04-14,15.57,15.62,14.89,14.89,4568242
2023-04-17,14.89,15.09,14.8,14.99,1376296
2023-04-18,15.09,15.18,14.89,15.09,1661235
2023-04-19,15.18,15.23,14.6,14.65,1690681
2023-04-20,14.45,14.89,14.45,14.75,1198876
2023-04-21,14.7,14.94,14.7,14.7,1201899
2023-04-24,14.75,14.89,14.55,14.89,758310
2023-04-25,14.94,15.09,14.65,14.7,1300439
2023-04-26,14.7,14.94,14.6,14.94,1124824
2023-04-27,15.04,15.38,14.94,15.04,2552525
2023-04-28,15.14,15.28,15.09,15.14,1442282
2023-05-04,14.99,15.38,14.99,15.28,2126902
2023-05-05,15.28,15.33,15.04,15.09,1471044
2023-05-08,15.14,15.82,15.14,15.77,4532918
2023-05-09,15.87,16.06,15.72,15.72,3003650
2023-05-10,15.82,16.4,15.82,16.4,7680764
2023-05-11,16.45,16.5,16.21,16.26,3501262
2023-05-12,16.21,16.84,16.11,16.35,4278619
2023-05-15,16.55,16.55,15.72,15.72,4436417
2023-05-16,15.77,15.87,15.33,15.57,4175626
2023-05-17,15.72,15.77,15.43,15.43,2517642
2023-05-18,15.48,15.67,15.38,15.43,2303863
2023-05-19,15.48,15.82,15.43,15.82,2491687
2023-05-22,15.87,16.21,15.82,16.06,2542534
2023-05-23,16.11,16.16,15.82,15.96,2721414
2023-05-24,16.06,16.06,15.67,15.67,2388897
2023-05-25,15.62,16.4,15.62,16.3,5278322
2023-05-26,16.55,16.94,16.4,16.74,5413047
2023-05-29,16.74,17.72,16.6,17.72,6082897
2023-05-30,17.81,18.01,17.37,17.91,4575927
2023-05-31,17.96,17.96,17.52,17.72,3138011
2023-06-01,17.86,18.4,17.62,18.3,4253773
2023-06-02,18.45,18.49,18.1,18.4,2718094
2023-06-05,18.3,18.4,17.72,17.86,5242682
2023-06-06,17.72,18.3,17.62,18.25,2652837
2023-06-07,18.4,18.4,17.96,18.06,3305239
2023-06-08,18.2,18.79,17.52,17.52,6662740
2023-06-09,17.57,17.76,17.13,17.57,3482808
2023-06-12,17.62,17.72,17.23,17.67,3929322
2023-06-13,17.76,17.91,17.57,17.91,2888187
2023-06-14,18.01,18.15,17.42,17.42,3037737
2023-06-15,17.47,17.72,17.33,17.57,2114167
2023-06-16,17.76,18.06,17.33,17.33,4287569
2023-06-19,17.37,17.67,17.23,17.42,1976746
2023-06-20,17.52,18.3,17.52,18.3,3514721
2023-06-21,18.4,18.98,18.15,18.98,7491888
2023-06-22,19.13,19.13,18.69,18.83,2913150
2023-06-23,18.83,18.98,18.45,18.49,3352488
2023-06-26,18.49,19.08,18.01,19.08,4849821
2023-06-27,19.18,19.37,18.93,19.08,3249798
2023-06-28,19.08,19.27,18.64,18.79,2681900
2023-06-29,18.59,18.88,18.45,18.54,2832257
2023-06-30,18.64,18.88,18.35,18.88,3109014
2023-07-03,19.03,19.61,18.93,19.61,5805807
2023-07-04,19.56,19.76,19.42,19.76,2822469
2023-07-05,19.81,20.15,19.56,19.56,5029729
2023-07-06,19.56,20.2,19.42,20.15,4825362
2023-07-07,20.05,20.73,19.86,20.68,3954540
2023-07-10,20.68,21.02,20.49,20.68,4115941
2023-07-11,20.83,21.12,20.68,20.93,3499014
2023-07-12,21.02,21.02,20.64,21.02,3023086
2023-07-13,20.93,21.12,20.83,21.07,2505400
2023-07-14,21.12,21.12,20.78,21.02,2386637
2023-07-17,20.93,21.71,20.88,21.41,2699195
2023-07-18,21.51,21.51,21.12,21.27,1472994
2023-07-19,21.22,21.71,21.12,21.12,3177695
2023-07-20,21.12,21.22,20.49,20.93,3170221
2023-07-21,21.02,21.66,20.78,21.41,2070748
2023-07-24,21.61,21.9,21.32,21.61,1993405
2023-07-25,21.61,21.71,21.22,21.22,2336673
2023-07-26,21.22,21.32,20.93,21.02,2299821
2023-07-27,20.98,21.22,20.88,21.12,2588108
2023-07-28,21.17,21.56,20.98,21.41,3956235
2023-07-31,21.71,22.0,21.41,21.75,2666234
2023-08-01,21.8,21.95,21.37,21.41,3020641
2023-08-02,21.22,21.41,21.12,21.32,2040633
2023-08-03,21.32,21.75,21.12,21.22,1908215
2023-08-04,21.32,21.41,21.07,21.32,2348220
2023-08-07,21.41,22.19,21.41,22.1,4318394
2023-08-08,22.19,22.24,21.75,22.0,2682817
2023-08-09,21.9,22.1,21.56,21.56,2607167
2023-08-10,21.46,21.66,20.88,20.88,3054230
2023-08-11,20.88,21.07,19.95,20.54,3907310
2023-08-14,20.83,21.07,20.59,20.98,2159423
2023-08-15,21.02,21.27,20.88,20.88,2437392
2023-08-16,20.78,21.07,20.78,20.78,2035917
2023-08-17,20.93,21.12,20.68,20.73,2629784
2023-08-18,20.68,20.73,19.32,19.32,4870113
2023-08-21,18.98,19.03,18.35,18.79,3049842
2023-08-22,18.59,18.98,17.72,18.54,2987559
2023-08-23,18.98,19.08,18.64,18.69,1001652
2023-08-24,18.69,19.32,18.64,19.27,1837707
2023-08-25,19.27,19.42,19.08,19.13,1643485
2023-08-28,19.27,19.71,19.13,19.66,2408126
2023-08-29,19.91,20.29,19.81,20.1,2320360
2023-08-30,20.1,20.29,19.66,20.15,2165064
2023-08-31,20.29,21.27,20.2,21.27,5977340
2023-09-05,21.66,21.75,21.27,21.41,3269992
2023-09-06,21.56,21.61,21.07,21.41,3422885
2023-09-07,21.61,22.24,21.61,21.8,5153171
2023-09-08,21.56,22.58,21.56,22.1,3405303
2023-09-11,22.63,22.63,21.17,21.17,4407696
2023-09-12,21.32,22.1,21.07,22.1,2385856
2023-09-13,22.19,22.58,21.61,21.71,5667562
2023-09-14,21.85,21.9,21.37,21.41,2619325
2023-09-15,21.71,22.39,21.32,22.0,3131372
2023-09-18,22.14,22.19,20.98,21.56,4331747
2023-09-19,21.46,21.71,21.12,21.71,2540947
2023-09-20,21.85,22.48,21.61,22.48,6507179
2023-09-21,22.68,23.07,22.44,22.58,4685217
2023-09-22,22.29,22.29,21.27,21.27,5376967
2023-09-25,21.22,21.8,19.81,19.81,4891590
2023-09-26,19.76,20.25,18.45,18.45,7148840
2023-09-27,18.59,19.32,18.06,19.32,4360241
2023-09-28,19.32,19.32,18.88,19.08,2073689
2023-09-29,19.37,19.61,18.98,18.98,1956612
2023-10-02,19.18,19.86,18.98,19.86,2741282
2023-10-03,19.47,19.61,18.49,18.49,3931917
2023-10-04,18.54,19.22,18.3,18.98,2047354
2023-10-05,19.18,19.76,19.13,19.27,4017096
2023-10-06,19.27,19.81,18.93,19.66,2400329
2023-10-09,19.86,20.1,19.52,19.86,2436722
2023-10-10,20.1,20.1,19.52,19.52,3351018
2023-10-11,19.56,20.15,19.52,20.15,2187608
2023-10-12,20.2,20.59,20.2,20.29,3523396
2023-10-13,20.1,20.88,20.05,20.83,4294356
2023-10-16,20.88,21.37,20.73,20.88,3659405
2023-10-17,21.07,21.32,19.66,19.66,3993122
2023-10-18,20.05,20.44,18.98,19.47,3601228
2023-10-19,19.32,19.95,19.18,19.47,3131399
2023-10-20,19.56,20.15,18.93,19.95,2896796
2023-10-23,20.0,20.05,19.03,19.22,2483134
2023-10-24,19.37,19.95,19.18,19.91,1732473
2023-10-25,20.0,20.34,19.95,19.95,2487317
2023-10-26,19.47,19.76,18.59,18.59,4304203
2023-10-27,18.98,18.98,17.81,18.79,1472355
2023-10-30,18.79,18.79,17.52,17.52,2345732
2023-10-31,17.72,17.72,16.4,16.45,2314022
2023-11-01,16.45,16.94,16.01,16.84,1479989
2023-11-02,17.08,18.01,17.08,18.01,2148977
2023-11-03,18.15,18.2,17.72,18.01,1245921
2023-11-06,18.1,18.3,17.76,18.01,939545
2023-11-07,17.86,18.45,17.67,17.96,1632416
2023-11-08,18.01,19.18,17.86,19.18,2533465
2023-11-09,19.37,19.66,19.08,19.18,2562806
2023-11-10,18.79,19.42,18.79,18.83,2241643
2023-11-13,18.98,19.13,18.64,18.93,1634086
2023-11-14,19.27,19.27,18.83,19.18,1361626
2023-11-15,19.91,19.91,19.32,19.32,2589671
2023-11-16,19.52,19.52,19.22,19.52,936719
2023-11-17,19.62,20.16,18.92,19.27,3492775
2023-11-20,19.02,19.92,18.83,19.82,2993351
2023-11-21,20.11,20.11,19.67,19.87,1339010
2023-11-22,19.92,20.01,19.62,19.96,3150811
2023-11-23,20.16,20.16,19.12,19.12,2777357
2023-11-24,19.12,19.37,18.58,19.37,2201679
2023-11-27,19.42,19.62,19.12,19.12,1345519
2023-11-28,19.22,19.42,18.73,19.42,1256509
2023-11-29,19.52,19.72,19.37,19.67,1370165
2023-11-30,19.62,20.21,19.62,19.82,3409592
2023-12-01,19.82,20.01,19.62,19.96,1180241
2023-12-04,20.16,20.66,20.11,20.41,3142349
2023-12-05,20.46,20.66,20.26,20.41,2610430
2023-12-06,20.51,20.61,20.31,20.61,1854398
2023-12-07,20.61,20.61,19.77,20.01,3410614
2023-12-08,20.01,20.21,19.82,19.87,1284664
2023-12-11,19.96,20.16,19.82,20.16,1128982
2023-12-12,20.26,20.51,20.16,20.16,1283996
2023-12-13,20.16,20.36,19.77,19.77,1918512
2023-12-14,19.96,20.01,19.62,19.67,1055474
2023-12-15,19.67,19.92,19.47,19.72,961930
2023-12-18,19.72,19.72,19.27,19.27,1003737
2023-12-19,19.27,19.42,19.02,19.42,1244340
2023-12-20,19.47,19.67,19.32,19.57,789545
2023-12-21,19.52,19.77,19.47,19.72,958317
2023-12-22,19.87,20.06,19.72,20.06,1996294
2023-12-25,20.11,20.21,19.87,20.01,1477756
2023-12-26,20.06,20.31,20.01,20.11,1790753
2023-12-27,20.11,20.31,20.01,20.06,1276099
2023-12-28,20.16,20.31,19.96,20.11,1830464
2023-12-29,20.26,21.1,20.26,21.0,7485872
2024-01-02,21.25,21.25,20.71,20.76,2681890
2024-01-03,20.71,21.7,20.61,21.4,4321988
2024-01-04,21.3,21.55,21.2,21.2,2913195
2024-01-05,21.3,21.75,21.25,21.6,2869417
2024-01-08,21.8,21.8,21.3,21.3,1879255
2024-01-09,21.45,21.45,20.81,21.2,3127599
2024-01-10,21.15,21.4,20.91,21.4,1653803
2024-01-11,21.4,21.45,20.96,21.0,1700122
2024-01-12,20.81,21.0,20.11,20.21,3547100
2024-01-15,20.36,20.71,20.21,20.36,2018225
2024-01-16,20.31,20.76,20.31,20.76,1320362
2024-01-17,20.76,21.25,20.71,21.0,2064038
2024-01-18,21.0,21.2,20.76,20.91,1785284
2024-01-19,20.91,21.45,20.91,21.1,2035242
2024-01-22,21.25,21.25,20.66,20.86,2143545
2024-01-23,20.76,20.86,20.61,20.71,1485782
2024-01-24,20.66,21.1,20.66,20.71,1074604
2024-01-25,20.71,20.81,20.61,20.71,664267
2024-01-26,20.81,21.25,20.76,21.25,2436649
2024-01-29,21.4,22.49,21.4,22.29,6730869
2024-01-30,22.29,23.09,22.05,22.74,3699669
2024-01-31,22.89,22.89,21.8,22.19,4075054
2024-02-01,22.24,23.73,22.24,23.73,5951322
2024-02-02,24.27,24.67,24.03,24.37,5670173
2024-02-05,24.57,25.12,24.08,24.82,5142493
2024-02-06,24.82,25.31,24.57,24.97,2649482
2024-02-07,24.97,25.17,24.72,25.12,2758053
2024-02-15,25.17,25.31,24.52,24.72,4640893
2024-02-16,24.67,26.4,24.62,26.4,7575594
2024-02-19,26.7,27.94,26.55,26.55,5354890
2024-02-20,26.65,27.94,26.11,27.94,5441175
2024-02-21,27.99,28.24,27.45,27.89,3978147
2024-02-22,27.84,28.04,27.49,27.69,2742218
2024-02-23,27.84,28.04,26.55,27.3,5828216
2024-02-26,27.25,28.83,27.05,28.54,7031061
2024-02-27,28.63,29.13,28.39,28.63,3319996
2024-02-28,28.63,29.62,28.19,28.63,5554165
2024-02-29,28.63,28.63,27.89,28.34,4999963
2024-03-01,28.34,28.98,27.74,28.88,4189691
2024-03-04,29.38,30.47,29.18,29.53,6029394
2024-03-05,29.23,29.67,29.08,29.43,2288960
2024-03-06,29.28,29.38,28.54,28.63,3516363
2024-03-07,28.58,28.93,28.39,28.83,3416035
2024-03-08,29.33,29.53,28.24,28.73,5531822
2024-03-11,28.73,30.07,28.73,29.28,5769843
2024-03-12,29.28,31.31,29.23,31.31,9494505
2024-03-13,31.9,32.7,31.51,32.0,3677330
2024-03-14,32.0,32.85,31.51,32.5,4829823
2024-03-15,32.5,34.28,32.1,34.28,5680581
2024-03-18,34.28,35.47,31.9,32.25,13921542
2024-03-19,32.45,33.59,31.61,32.25,5440927
2024-03-20,32.35,32.7,31.9,32.5,4026589
2024-03-21,32.99,33.09,32.3,32.94,4066537
2024-03-22,33.09,33.39,32.45,32.94,5649200
2024-03-25,32.5,32.89,31.31,31.61,6123029
2024-03-26,31.61,33.74,31.56,33.59,5041959
2024-03-27,33.59,33.59,32.7,33.09,2582849
2024-03-28,33.24,33.29,32.7,32.75,3196256
2024-03-29,32.7,33.39,32.6,32.85,3229674
2024-04-01,32.85,33.04,32.35,32.65,3764524
2024-04-02,32.5,34.93,32.45,34.93,10184749
2024-04-03,34.73,34.88,33.93,33.93,3902337
