time,open,high,low,close,volume
2023-03-30,81.45,81.45,81.45,81.45,200
2023-03-31,81.45,81.45,81.45,81.45,0
2023-04-03,80.74,80.74,80.74,80.74,2000
2023-04-04,80.74,80.74,80.74,80.74,3000
2023-04-05,80.74,80.74,80.74,80.74,0
2023-04-06,80.74,80.74,80.74,80.74,0
2023-04-07,80.74,80.74,80.74,80.74,0
2023-04-10,80.74,80.74,80.74,80.74,0
2023-04-11,80.74,80.74,80.74,80.74,0
2023-04-12,80.74,80.74,80.74,80.74,0
2023-04-13,80.74,80.74,80.74,80.74,0
2023-04-14,80.74,80.74,80.74,80.74,0
2023-04-17,80.74,80.74,80.74,80.74,0
2023-04-18,80.74,80.74,80.74,80.74,0
2023-04-19,80.74,80.74,80.74,80.74,0
2023-04-20,80.74,80.74,80.74,80.74,0
2023-04-21,80.74,80.74,80.74,80.74,0
2023-04-24,80.74,80.74,80.74,80.74,0
2023-04-25,80.74,80.74,80.74,80.74,0
2023-04-26,80.74,80.74,80.74,80.74,0
2023-04-27,80.74,80.74,80.74,80.74,0
2023-04-28,80.74,80.74,80.74,80.74,0
2023-05-04,80.74,80.74,80.74,80.74,0
2023-05-05,80.74,80.74,80.74,80.74,0
2023-05-08,75.42,76.3,75.42,75.42,9200
2023-05-09,75.5,75.5,75.5,75.5,0
2023-05-10,76.3,76.3,76.3,76.3,1000
2023-05-11,76.3,76.3,76.3,76.3,0
2023-05-12,76.39,76.39,76.3,76.3,1500
2023-05-15,76.3,76.3,76.3,76.3,3000
2023-05-16,76.3,76.3,76.3,76.3,0
2023-05-17,76.3,76.3,76.3,76.3,0
2023-05-18,76.3,76.3,76.3,76.3,0
2023-05-19,76.3,76.3,76.3,76.3,0
2023-05-22,76.3,76.3,76.3,76.3,0
2023-05-23,76.3,76.3,76.3,76.3,0
2023-05-24,76.3,76.3,76.3,76.3,0
2023-05-25,76.3,76.3,76.3,76.3,0
2023-05-26,75.42,75.42,73.64,73.64,200
2023-05-29,74.53,74.53,74.53,74.53,0
2023-05-30,63.53,63.53,63.53,63.53,100
2023-05-31,64.95,64.95,64.95,64.95,200
2023-06-01,74.62,74.62,74.62,74.62,100
2023-06-02,73.64,73.64,72.75,72.75,1100
2023-06-05,73.55,73.55,73.55,73.55,0
2023-06-06,73.55,74.09,73.55,74.09,1400
2023-06-07,74.09,74.09,74.09,74.09,100
