time,open,high,low,close,volume
2023-03-30,22.89,22.98,22.89,22.98,2201
2023-03-31,22.89,22.89,22.89,22.89,0
2023-04-03,22.89,22.89,22.89,22.89,20
2023-04-04,22.89,22.89,22.89,22.89,0
2023-04-05,22.89,22.89,22.89,22.89,2000
2023-04-06,22.89,22.89,22.89,22.89,10
2023-04-07,22.89,22.89,22.89,22.89,0
2023-04-10,22.89,22.89,22.89,22.89,0
2023-04-11,22.89,22.89,22.89,22.89,0
2023-04-12,22.89,22.89,22.89,22.89,48
2023-04-13,22.89,22.89,22.89,22.89,0
2023-04-14,22.89,22.89,22.89,22.89,0
2023-04-17,22.89,22.89,22.89,22.89,0
2023-04-18,22.89,22.89,22.89,22.89,119
2023-04-19,22.89,22.89,22.89,22.89,0
2023-04-20,23.26,23.26,23.26,23.26,100
2023-04-21,23.26,23.26,23.26,23.26,0
2023-04-24,23.26,23.26,23.26,23.26,0
2023-04-25,24.19,24.19,24.19,24.19,1000
2023-04-26,24.19,24.19,24.19,24.19,1500
2023-04-27,24.19,24.19,24.19,24.19,1500
2023-04-28,24.19,24.19,24.19,24.19,1500
2023-05-04,24.19,24.19,24.19,24.19,1501
2023-05-05,24.19,24.19,24.19,24.19,1500
2023-05-08,24.19,24.19,24.19,24.19,1600
2023-05-09,24.19,24.19,24.19,24.19,0
2023-05-10,24.19,24.19,24.19,24.19,0
2023-05-11,24.19,24.19,24.19,24.19,0
2023-05-12,24.19,24.19,24.19,24.19,0
2023-05-15,24.19,24.19,24.19,24.19,0
2023-05-16,23.73,23.73,23.73,23.73,100
2023-05-17,23.73,23.73,23.73,23.73,0
2023-05-18,23.26,23.26,23.26,23.26,2000
2023-05-19,23.26,23.26,23.26,23.26,0
2023-05-22,23.26,23.26,23.26,23.26,0
2023-05-23,23.26,23.26,23.26,23.26,0
2023-05-24,23.26,23.26,23.26,23.26,0
2023-05-25,23.26,23.26,23.26,23.26,0
2023-05-26,23.26,23.26,23.26,23.26,0
2023-05-29,23.26,23.26,23.26,23.26,0
2023-05-30,23.26,23.26,23.26,23.26,0
2023-05-31,23.26,23.26,23.26,23.26,0
2023-06-01,23.26,23.26,23.26,23.26,0
2023-06-02,23.26,23.26,23.26,23.26,0
2023-06-05,23.26,23.26,23.26,23.26,0
2023-06-06,23.26,23.26,23.26,23.26,0
2023-06-07,23.26,23.26,23.26,23.26,0
2023-06-08,23.26,23.26,23.26,23.26,0
2023-06-09,23.26,23.26,23.26,23.26,0
2023-06-12,23.26,23.26,23.26,23.26,0
2023-06-13,23.26,23.26,23.26,23.26,0
2023-06-14,23.26,23.26,23.26,23.26,0
2023-06-15,23.26,23.26,23.26,23.26,0
2023-06-16,23.26,23.26,23.26,23.26,0
2023-06-19,23.26,23.26,23.26,23.26,0
2023-06-20,23.26,23.26,23.26,23.26,0
2023-06-21,23.26,23.26,23.26,23.26,0
2023-06-22,23.26,23.26,23.26,23.26,0
2023-06-23,23.26,23.26,23.26,23.26,0
2023-06-26,23.26,23.26,23.26,23.26,0
2023-06-27,23.26,23.26,23.26,23.26,0
2023-06-28,23.26,23.26,23.26,23.26,0
2023-06-29,23.26,23.26,23.26,23.26,0
2023-06-30,23.26,23.26,23.26,23.26,0
2023-07-03,23.26,23.26,23.26,23.26,0
2023-07-04,23.26,23.26,23.26,23.26,0
2023-07-05,23.26,23.26,23.26,23.26,0
2023-07-06,23.36,23.36,23.36,23.36,2000
2023-07-07,23.36,23.36,23.36,23.36,0
2023-07-10,23.36,23.36,23.36,23.36,0
2023-07-11,23.36,23.36,23.36,23.36,0
2023-07-12,23.36,23.36,23.36,23.36,0
2023-07-13,23.36,23.36,23.36,23.36,0
2023-07-14,23.36,23.36,23.36,23.36,0
2023-07-17,23.36,23.36,23.36,23.36,0
2023-07-18,23.36,23.36,23.36,23.36,0
2023-07-19,23.36,23.36,23.36,23.36,0
2023-07-20,23.36,23.36,23.36,23.36,0
2023-07-21,23.36,23.36,23.36,23.36,0
2023-07-24,23.36,23.36,23.36,23.36,0
2023-07-25,23.36,23.36,23.36,23.36,0
2023-07-26,24.66,24.66,24.66,24.66,200
2023-07-27,24.66,24.66,24.66,24.66,0
2023-07-28,24.66,24.66,24.66,24.66,0
2023-07-31,24.56,24.56,24.56,24.56,300
2023-08-01,23.36,24.19,23.36,24.19,800
2023-08-02,23.63,23.63,23.63,23.63,0
2023-08-03,23.73,23.73,23.73,23.73,300
2023-08-04,23.73,23.73,23.73,23.73,0
2023-08-07,23.73,23.73,23.73,23.73,0
2023-08-08,23.73,23.73,23.73,23.73,0
2023-08-09,23.73,23.73,23.73,23.73,0
2023-08-10,23.73,23.73,23.73,23.73,2000
2023-08-11,23.73,23.73,23.73,23.73,0
2023-08-14,23.73,23.73,23.73,23.73,200
2023-08-15,23.73,23.73,23.73,23.73,0
2023-08-16,23.73,23.73,23.73,23.73,0
2023-08-17,23.73,23.73,23.73,23.73,0
2023-08-18,23.73,23.73,23.73,23.73,0
2023-08-21,23.73,23.73,23.73,23.73,0
2023-08-22,23.73,23.73,23.73,23.73,0
2023-08-23,23.73,23.73,23.73,23.73,0
2023-08-24,23.73,23.73,23.73,23.73,0
2023-08-25,23.73,23.73,23.73,23.73,300
2023-08-28,23.73,23.73,23.73,23.73,9301
2023-08-29,24.01,25.59,24.01,25.59,28350
2023-08-30,24.1,24.1,24.1,24.1,0
2023-08-31,24.1,24.1,24.1,24.1,0
2023-09-05,23.45,23.45,23.45,23.45,500
2023-09-06,23.45,23.45,23.45,23.45,0
2023-09-07,23.45,23.45,23.45,23.45,0
2023-09-08,23.45,23.45,23.45,23.45,0
2023-09-11,23.45,23.45,23.45,23.45,0
2023-09-12,23.45,23.45,23.45,23.45,5000
2023-09-13,23.45,23.45,23.45,23.45,0
2023-09-14,23.45,23.45,23.45,23.45,0
2023-09-15,23.45,23.45,23.45,23.45,0
2023-09-18,25.59,25.59,25.59,25.59,300
2023-09-19,24.66,24.66,24.66,24.66,500
2023-09-20,24.66,24.66,24.66,24.66,0
2023-09-21,24.66,24.66,24.66,24.66,0
2023-09-22,23.54,23.54,23.54,23.54,1000
2023-09-25,23.54,23.54,23.54,23.54,0
2023-09-26,23.54,23.54,23.54,23.54,0
2023-09-27,24.66,24.66,24.66,24.66,1100
2023-09-28,24.66,24.66,24.66,24.66,2000
2023-09-29,24.66,24.66,24.66,24.66,200
2023-10-02,24.66,24.66,24.66,24.66,0
2023-10-03,24.66,24.66,24.66,24.66,2100
2023-10-04,24.66,24.66,24.66,24.66,0
2023-10-05,24.66,24.66,24.66,24.66,0
2023-10-06,24.66,24.66,24.66,24.66,0
2023-10-09,24.66,24.66,24.66,24.66,0
2023-10-10,21.4,21.4,21.4,21.4,2100
2023-10-11,23.73,24.19,23.73,24.19,1500
2023-10-12,22.52,22.52,22.52,22.52,1300
2023-10-13,22.52,22.52,22.52,22.52,0
2023-10-16,22.52,22.52,22.52,22.52,0
2023-10-17,22.33,22.52,19.17,22.52,11000
2023-10-18,23.17,23.17,23.17,23.17,500
2023-10-19,23.17,23.17,23.17,23.17,7000
2023-10-20,23.17,23.17,23.17,23.17,0
2023-10-23,23.17,23.17,23.17,23.17,2400
2023-10-24,23.26,23.26,23.26,23.26,2300
2023-10-25,23.26,23.26,23.26,23.26,0
2023-10-26,23.26,23.26,23.26,23.26,0
2023-10-27,23.26,23.26,23.26,23.26,0
2023-10-30,23.26,23.26,23.26,23.26,100
2023-10-31,23.26,23.63,23.26,23.63,9500
2023-11-01,23.36,23.36,23.36,23.36,0
2023-11-02,23.36,23.36,23.36,23.36,0
2023-11-03,23.36,23.36,23.36,23.36,0
2023-11-06,23.36,23.36,23.36,23.36,0
2023-11-07,23.36,23.73,23.36,23.73,800
2023-11-08,23.26,23.26,23.26,23.26,131
2023-11-09,24.19,24.38,24.19,24.38,2100
2023-11-10,24.29,24.29,24.29,24.29,6501
2023-11-13,24.19,24.19,24.19,24.19,6000
2023-11-14,24.19,24.19,24.19,24.19,500
2023-11-15,24.19,24.19,24.19,24.19,4000
2023-11-16,24.19,24.19,24.19,24.19,0
2023-11-17,24.19,24.66,24.19,24.66,7100
2023-11-20,24.29,24.29,24.29,24.29,0
2023-11-21,24.29,24.29,24.29,24.29,0
2023-11-22,24.47,24.47,24.47,24.47,3000
2023-11-23,24.47,24.47,24.47,24.47,500
