time,open,high,low,close,volume
2023-03-30,19.84,19.84,19.84,19.84,0
2023-03-31,18.81,21.8,18.81,19.32,35600
2023-04-03,19.84,19.84,19.84,19.84,500
2023-04-04,21.8,21.8,21.8,21.8,1900
2023-04-05,22.23,23.08,21.8,21.8,10000
2023-04-06,21.8,21.8,21.8,21.8,0
2023-04-07,21.8,21.8,21.8,21.8,0
2023-04-10,21.37,21.37,21.37,21.37,200
2023-04-11,23.08,23.51,21.37,21.37,1600
2023-04-12,23.08,23.51,23.08,23.51,1600
2023-04-13,23.51,23.51,23.51,23.51,0
2023-04-14,23.51,23.51,23.51,23.51,0
2023-04-17,23.08,23.51,23.08,23.51,700
2023-04-18,23.51,23.51,23.51,23.51,0
2023-04-19,23.94,23.94,22.66,22.66,3100
2023-04-20,22.66,23.51,22.66,23.51,65700
2023-04-21,23.51,23.51,23.08,23.08,2800
2023-04-24,23.08,23.08,23.08,23.08,2000
2023-04-25,23.08,23.08,23.0,23.0,26600
2023-04-26,22.74,23.08,22.66,23.08,3600
2023-04-27,22.4,23.08,22.4,23.08,300
2023-04-28,22.66,23.0,22.32,22.74,12900
2023-05-04,23.0,23.0,23.0,23.0,200
2023-05-05,23.0,23.0,22.23,22.91,5500
2023-05-08,22.23,23.08,22.23,23.08,9300
2023-05-09,22.23,22.66,22.23,22.66,11600
2023-05-10,22.66,22.66,22.23,22.23,7200
2023-05-11,22.23,22.23,22.23,22.23,9400
2023-05-12,22.23,22.23,22.23,22.23,1300
2023-05-15,22.23,22.23,21.8,22.23,6800
2023-05-16,21.8,22.4,21.8,22.4,12200
2023-05-17,22.23,22.23,22.23,22.23,8500
2023-05-18,22.23,22.23,22.23,22.23,13200
2023-05-19,22.14,22.23,22.14,22.23,2700
2023-05-22,22.23,22.23,21.8,22.23,4400
2023-05-23,22.06,22.06,21.46,22.06,5500
2023-05-24,21.55,21.8,21.37,21.8,16700
2023-05-25,21.37,21.37,21.37,21.37,44500
2023-05-26,21.37,21.37,21.37,21.37,1600
2023-05-29,21.37,21.37,21.37,21.37,5100
2023-05-30,21.37,21.37,21.37,21.37,15300
2023-05-31,21.37,21.63,21.37,21.63,35200
2023-06-01,21.63,21.63,21.63,21.63,3000
2023-06-02,21.63,22.4,21.63,22.32,4900
2023-06-05,22.23,22.4,22.23,22.4,2000
