time,open,high,low,close,volume
2023-03-30,16.31,16.31,15.82,15.86,5244808
2023-03-31,15.92,16.63,15.6,16.37,10987004
2023-04-03,16.79,16.85,16.66,16.76,9074865
2023-04-04,16.69,17.33,16.56,17.14,12039724
2023-04-05,17.01,17.17,16.76,17.17,6865743
2023-04-06,17.14,17.3,16.5,16.53,10034484
2023-04-07,16.59,16.92,16.43,16.82,7639980
2023-04-10,17.08,17.14,16.43,16.43,7636456
2023-04-11,16.43,16.69,16.15,16.63,6596493
2023-04-12,16.66,16.66,16.21,16.24,5448885
2023-04-13,16.27,16.69,16.18,16.5,7001017
2023-04-14,16.63,16.72,16.21,16.21,5381301
2023-04-17,16.34,16.43,16.15,16.4,2821343
2023-04-18,16.5,16.98,16.37,16.92,7319390
2023-04-19,16.85,16.98,16.43,16.43,5981094
2023-04-20,16.43,16.53,16.24,16.27,3359571
2023-04-21,16.37,16.85,16.24,16.43,5438254
2023-04-24,16.37,16.66,16.24,16.27,2689199
2023-04-25,16.4,16.4,15.57,15.79,6944778
2023-04-26,15.7,15.99,15.47,15.99,4907284
2023-04-27,15.95,16.11,15.73,15.73,2343704
2023-04-28,15.92,16.05,15.73,16.02,3117756
2023-05-04,15.92,16.34,15.89,16.31,4301830
2023-05-05,16.24,16.31,16.02,16.02,2416790
2023-05-08,16.15,16.43,16.11,16.37,4563847
2023-05-09,16.5,16.5,16.18,16.37,2358202
2023-05-10,16.43,16.53,16.34,16.4,3965202
2023-05-11,16.43,16.56,16.31,16.4,3583945
2023-05-12,16.4,16.79,16.31,16.72,5274161
2023-05-15,16.85,16.92,16.43,16.47,4039460
2023-05-16,16.47,16.59,16.34,16.47,3343012
2023-05-17,16.37,16.47,16.15,16.18,4133445
2023-05-18,16.24,16.76,16.15,16.47,5762675
2023-05-19,16.5,16.76,16.37,16.53,5674279
2023-05-22,16.66,16.95,16.66,16.82,4792500
2023-05-23,16.88,17.49,16.88,17.11,13482156
2023-05-24,17.27,17.33,16.88,16.88,6168781
2023-05-25,16.79,16.98,16.63,16.69,5439069
2023-05-26,16.72,17.11,16.69,16.95,3762892
2023-05-29,17.17,17.46,17.01,17.46,6370289
2023-05-30,17.46,17.62,17.27,17.49,6030291
2023-05-31,17.56,17.69,17.27,17.4,6244201
2023-06-01,17.33,17.59,17.2,17.59,5117957
2023-06-02,17.85,17.91,17.59,17.59,6622275
2023-06-05,17.81,17.81,17.24,17.24,8472744
2023-06-06,17.24,17.78,17.17,17.78,8087376
2023-06-07,17.85,17.85,17.53,17.69,6349674
2023-06-08,17.78,17.78,17.0,17.06,11882058
2023-06-09,17.2,17.39,16.93,17.39,5210221
2023-06-12,17.46,17.46,17.0,17.26,4709932
2023-06-13,17.36,17.39,17.1,17.1,5284432
2023-06-14,17.23,17.42,17.0,17.06,5747041
2023-06-15,17.1,17.39,17.0,17.23,5327460
2023-06-16,17.33,18.14,17.33,17.55,16678968
2023-06-19,17.59,17.85,17.39,17.72,5268473
2023-06-20,17.75,17.85,17.55,17.85,4005333
2023-06-21,17.91,18.67,17.88,18.63,11824744
2023-06-22,18.73,19.03,18.54,18.89,6073966
2023-06-23,18.96,19.06,18.54,18.76,7128402
2023-06-26,18.89,18.89,18.18,18.63,6254357
2023-06-27,18.76,18.83,18.57,18.83,4240002
2023-06-28,18.96,19.19,18.76,18.99,4762379
2023-06-29,19.06,19.09,18.31,18.31,5767286
2023-06-30,18.31,18.57,18.24,18.4,4014850
2023-07-03,18.47,18.67,18.37,18.44,3166242
2023-07-04,18.57,19.48,18.44,19.48,13302776
2023-07-05,19.48,19.55,19.09,19.32,5101300
2023-07-06,19.22,19.78,18.89,19.35,10665687
2023-07-07,19.16,19.48,18.93,19.48,4717434
2023-07-10,19.68,20.01,19.65,19.65,6483405
2023-07-11,19.71,19.97,19.61,19.74,6366745
2023-07-12,19.74,19.97,19.29,19.48,6585302
2023-07-13,19.68,19.88,19.58,19.81,3597768
2023-07-14,19.88,19.97,19.35,19.84,4901972
2023-07-17,19.88,20.46,19.81,20.24,6679330
2023-07-18,20.1,20.37,20.04,20.17,3723998
2023-07-19,20.2,20.27,19.81,19.81,4673802
2023-07-20,19.81,19.88,19.35,19.55,5132455
2023-07-21,19.42,19.91,19.42,19.91,4539807
2023-07-24,20.14,20.17,19.74,19.94,3289719
2023-07-25,19.94,20.24,19.78,19.81,4837676
2023-07-26,19.81,19.91,19.61,19.78,3368855
2023-07-27,19.81,20.1,19.68,19.91,5038712
2023-07-28,19.94,20.37,19.84,20.17,6337749
2023-07-31,20.37,20.4,20.07,20.14,4243868
2023-08-01,20.14,20.17,19.61,19.61,6332666
2023-08-02,19.65,19.94,19.58,19.74,3466649
2023-08-03,19.74,19.81,19.42,19.42,3801163
2023-08-04,19.61,19.81,19.39,19.81,3917992
2023-08-07,20.04,20.46,19.94,20.46,6837235
2023-08-08,20.59,20.89,20.37,20.4,5763999
2023-08-09,20.33,20.46,19.97,19.97,4931477
2023-08-10,20.01,20.07,19.52,19.52,5269070
2023-08-11,19.58,19.61,19.03,19.29,6799171
2023-08-14,19.55,20.17,19.29,20.04,8767480
2023-08-15,20.07,20.17,19.65,19.71,3846592
2023-08-16,19.71,19.88,19.55,19.81,3122329
2023-08-17,19.94,20.53,19.91,19.94,9452495
2023-08-18,19.88,19.94,18.57,18.57,9042250
2023-08-21,18.76,18.93,18.34,18.63,5738728
2023-08-22,18.67,19.09,17.72,19.09,7546870
2023-08-23,19.29,19.29,18.73,18.86,3203904
2023-08-24,18.86,19.45,18.73,19.45,5738377
2023-08-25,19.42,19.91,19.32,19.55,5319872
2023-08-28,19.78,19.81,19.52,19.74,6372897
2023-08-29,19.91,20.27,19.74,20.01,7377044
2023-08-30,20.17,21.38,20.01,21.38,13796065
2023-08-31,21.58,21.87,21.35,21.38,7649651
2023-09-05,21.54,22.2,21.38,21.9,14787115
2023-09-06,21.9,22.85,21.67,22.26,8500320
2023-09-07,22.36,22.39,21.84,21.94,9411634
2023-09-08,21.9,22.49,21.84,22.23,7061066
2023-09-11,22.43,22.75,22.13,22.2,10503891
2023-09-12,22.23,23.47,22.13,23.44,10657358
2023-09-13,23.47,23.63,22.88,23.14,7668280
2023-09-14,23.18,23.37,22.39,22.39,9380919
2023-09-15,22.56,22.79,22.23,22.52,6457026
2023-09-18,22.43,22.82,22.23,22.62,5658837
2023-09-19,22.85,22.85,22.36,22.65,6550619
2023-09-20,22.82,23.21,22.75,23.08,6013246
2023-09-21,23.08,23.08,22.36,22.36,10240885
2023-09-22,21.58,21.77,20.82,20.82,12457431
2023-09-25,20.92,20.99,19.39,19.39,10371798
2023-09-26,19.39,20.5,19.35,19.61,6858995
2023-09-27,19.94,20.59,19.58,20.59,5810322
2023-09-28,20.53,20.59,20.01,20.17,4610664
2023-09-29,20.43,20.59,19.74,19.97,4030556
2023-10-02,19.88,20.43,19.88,20.33,3579658
2023-10-03,20.07,20.1,18.96,18.96,8449731
2023-10-04,18.83,20.01,18.7,19.42,5672376
2023-10-05,19.58,19.78,18.96,18.96,3238820
2023-10-06,18.96,19.52,18.6,19.52,4050283
2023-10-09,19.52,19.94,19.39,19.94,3183009
2023-10-10,20.14,20.27,19.61,19.74,3502889
2023-10-11,19.74,20.37,19.65,20.37,4230091
2023-10-12,20.53,20.99,20.4,20.59,5450499
2023-10-13,20.33,20.66,19.97,20.53,3970138
2023-10-16,20.4,20.5,19.71,19.71,4658956
2023-10-17,19.88,20.1,18.34,18.34,2897068
2023-10-18,18.7,18.96,17.13,18.31,8073643
2023-10-19,18.31,18.44,17.65,17.69,4017591
2023-10-20,17.75,18.89,17.65,18.89,6818890
2023-10-23,18.89,19.29,18.67,18.93,4350479
2023-10-24,18.93,19.39,18.93,19.29,3710232
2023-10-25,19.32,19.42,18.73,18.76,3306719
2023-10-26,18.31,18.34,17.46,17.52,12015738
2023-10-27,17.85,18.24,17.26,17.98,4308307
2023-10-30,17.72,18.04,17.0,17.0,2921889
2023-10-31,17.2,17.2,15.89,15.95,7251705
2023-11-01,16.02,17.03,15.85,17.0,5612312
2023-11-02,17.33,18.11,17.23,17.91,6024185
2023-11-03,18.01,18.04,17.49,17.65,5563983
2023-11-06,17.85,18.01,17.72,17.91,3628740
2023-11-07,17.85,18.11,17.62,17.62,4494983
2023-11-08,17.65,18.83,17.59,18.83,7073263
2023-11-09,18.96,19.48,18.83,18.96,8146138
2023-11-10,18.76,19.48,18.63,18.89,5685130
2023-11-13,18.83,19.16,18.57,19.09,4697657
2023-11-14,19.35,19.45,18.99,19.22,4707296
2023-11-15,19.71,19.81,19.19,19.25,5784904
2023-11-16,19.22,19.35,18.93,19.35,4275482
2023-11-17,19.42,19.55,18.7,18.76,6901542
2023-11-20,18.37,19.35,18.27,19.19,6049139
2023-11-21,19.42,19.45,19.16,19.29,3706176
2023-11-22,19.25,19.91,19.25,19.81,8342285
2023-11-23,20.01,20.14,18.7,18.7,7056848
2023-11-24,19.03,19.22,18.37,19.22,6116799
2023-11-27,19.22,19.29,18.7,18.76,2847657
2023-11-28,18.76,19.12,18.34,19.09,4495083
2023-11-29,19.06,19.35,19.06,19.16,3957332
2023-11-30,19.22,19.45,19.12,19.12,4346402
2023-12-01,19.42,19.55,19.06,19.29,3729760
2023-12-04,19.65,20.59,19.58,20.27,8620869
2023-12-05,20.37,20.4,20.04,20.1,4905204
2023-12-06,20.27,20.66,20.14,20.59,7048110
2023-12-07,20.76,20.79,19.68,20.17,11276675
2023-12-08,20.27,20.46,20.1,20.27,5497980
2023-12-11,20.46,21.12,20.37,20.92,10666585
2023-12-12,20.95,21.15,20.69,20.73,4313967
2023-12-13,20.92,21.02,20.27,20.3,8545641
2023-12-14,20.56,20.59,19.94,20.1,6610097
2023-12-15,20.14,20.63,20.01,20.59,5961036
2023-12-18,20.66,20.73,20.27,20.27,5241596
2023-12-19,20.27,20.59,20.14,20.59,6423868
2023-12-20,20.63,21.64,20.63,21.35,13421708
2023-12-21,21.31,21.64,21.15,21.38,7527013
2023-12-22,21.44,21.64,21.12,21.18,6223078
2023-12-25,21.31,21.58,21.09,21.44,6885430
2023-12-26,21.51,21.61,21.38,21.41,8980324
2023-12-27,21.51,22.23,21.48,21.84,14382766
2023-12-28,22.1,22.23,21.9,22.23,9419776
2023-12-29,22.23,22.43,22.13,22.36,13837033
2024-01-02,23.9,23.9,23.2,23.25,17261005
2024-01-03,23.25,23.43,23.1,23.34,6660953
2024-01-04,23.25,23.62,23.25,23.25,10112536
2024-01-05,23.29,23.34,22.82,23.15,8873628
2024-01-08,23.25,23.39,23.1,23.15,3774027
2024-01-09,23.25,23.25,22.82,22.92,5654008
2024-01-10,22.96,23.01,22.63,22.73,4240311
2024-01-11,22.78,23.2,22.73,22.92,4012772
2024-01-12,22.87,23.25,22.35,23.1,8533429
2024-01-15,23.25,23.39,22.82,22.82,2122362
2024-01-16,22.78,23.25,22.59,23.25,4262650
2024-01-17,23.34,23.9,23.06,23.39,9169841
2024-01-18,23.43,23.53,23.15,23.15,3963453
2024-01-19,23.34,23.39,22.96,22.96,4684791
2024-01-22,23.1,23.39,22.68,23.39,5570848
2024-01-23,23.43,23.67,23.25,23.62,9886487
2024-01-24,23.62,25.22,23.62,24.66,19155393
2024-01-25,24.89,25.13,24.56,24.75,5423536
2024-01-26,24.8,25.79,24.75,25.27,8665823
2024-01-29,25.41,25.55,24.75,24.89,6312743
2024-01-30,24.89,25.46,24.8,25.36,4982435
2024-01-31,25.5,25.98,24.94,24.94,10407879
2024-02-01,24.99,25.41,24.89,25.13,3362604
2024-02-02,25.27,25.55,25.08,25.22,5013778
2024-02-05,25.13,25.5,24.85,25.36,5627321
2024-02-06,25.41,26.16,25.41,25.69,5539729
2024-02-07,25.83,26.02,25.65,25.69,4696585
2024-02-15,25.88,25.88,25.27,25.41,6292925
2024-02-16,25.46,25.69,25.27,25.36,6883635
2024-02-19,25.36,25.41,24.94,25.22,10755421
2024-02-20,25.41,25.6,25.13,25.22,7356966
