time,open,high,low,close,volume
2023-03-30,3.68,3.71,3.64,3.67,2357887
2023-03-31,3.67,3.69,3.57,3.62,1633137
2023-04-03,3.7,3.76,3.67,3.76,2479868
2023-04-04,3.76,3.82,3.71,3.82,2353995
2023-04-05,3.81,3.87,3.78,3.83,2090945
2023-04-06,3.85,4.09,3.84,3.86,7475992
2023-04-07,3.88,3.92,3.79,3.88,2381745
2023-04-10,3.97,3.97,3.83,3.86,2956023
2023-04-11,3.84,3.86,3.68,3.86,2172192
2023-04-12,3.85,3.91,3.82,3.84,2040794
2023-04-13,3.87,3.9,3.79,3.84,1201439
2023-04-14,3.84,3.84,3.68,3.68,1832199
2023-04-17,3.69,3.73,3.66,3.69,897676
2023-04-18,3.72,3.75,3.65,3.73,838743
2023-04-19,3.74,3.74,3.66,3.67,842869
2023-04-20,3.69,3.69,3.63,3.63,679853
2023-04-21,3.65,3.69,3.62,3.63,593856
2023-04-24,3.66,3.73,3.63,3.67,844257
2023-04-25,3.67,3.71,3.63,3.64,1117323
2023-04-26,3.64,3.69,3.63,3.65,512080
2023-04-27,3.68,3.75,3.68,3.72,1026830
2023-04-28,3.76,3.84,3.76,3.82,1933869
2023-05-04,3.82,3.94,3.82,3.87,2195800
2023-05-05,3.87,3.9,3.8,3.86,1629193
2023-05-08,3.87,3.96,3.82,3.95,3147141
2023-05-09,3.97,3.97,3.9,3.9,1369269
2023-05-10,3.93,4.05,3.92,3.97,3707944
2023-05-11,3.99,4.09,3.99,4.01,4206109
2023-05-12,4.02,4.05,3.94,4.0,2070464
2023-05-15,4.04,4.11,3.97,4.01,2323598
2023-05-16,4.01,4.02,3.9,3.93,2142787
2023-05-17,4.02,4.2,3.97,4.2,10484130
2023-05-18,4.28,4.28,4.18,4.18,4409115
2023-05-19,4.2,4.2,3.98,4.04,5576704
2023-05-22,4.14,4.16,4.04,4.12,2198501
2023-05-23,4.11,4.18,4.06,4.09,1643561
2023-05-24,4.1,4.22,4.1,4.15,2515190
2023-05-25,4.15,4.17,4.11,4.11,1798562
2023-05-26,4.17,4.27,4.12,4.24,2813805
2023-05-29,4.27,4.44,4.27,4.41,3336011
2023-05-30,4.46,4.46,4.28,4.31,3359407
2023-05-31,4.34,4.44,4.32,4.37,3393527
2023-06-01,4.39,4.57,4.39,4.47,3537237
2023-06-02,4.54,4.56,4.39,4.39,3831722
2023-06-05,4.46,4.47,4.38,4.39,1787277
2023-06-06,4.38,4.49,4.38,4.46,2571497
2023-06-07,4.5,4.62,4.46,4.56,3183671
2023-06-08,4.57,4.79,4.57,4.65,4344196
2023-06-09,4.67,4.67,4.5,4.62,2400556
2023-06-12,4.7,4.72,4.63,4.72,2680828
2023-06-13,4.76,4.76,4.67,4.7,2222336
2023-06-14,4.74,4.75,4.59,4.6,1990763
2023-06-15,4.62,4.62,4.51,4.53,1588758
2023-06-16,4.56,4.6,4.47,4.51,2375973
2023-06-19,4.47,4.51,4.41,4.46,2091246
2023-06-20,4.46,4.54,4.46,4.54,760951
2023-06-21,4.54,4.6,4.53,4.6,1183920
2023-06-22,4.61,4.71,4.6,4.69,2338184
2023-06-23,4.67,4.7,4.6,4.63,1789273
2023-06-26,4.63,4.66,4.53,4.53,2718681
2023-06-27,4.6,4.6,4.51,4.53,1835844
2023-06-28,4.54,4.59,4.53,4.55,2993148
2023-06-29,4.55,4.57,4.5,4.53,2248253
2023-06-30,4.61,4.61,4.48,4.51,1815570
2023-07-03,4.57,4.57,4.42,4.45,1677429
2023-07-04,4.44,4.55,4.42,4.49,1147948
2023-07-05,4.53,4.55,4.51,4.53,2071790
2023-07-06,4.54,4.65,4.49,4.57,2483146
2023-07-07,4.58,4.62,4.52,4.56,1399225
2023-07-10,4.55,4.6,4.55,4.59,1857735
2023-07-11,4.62,4.81,4.61,4.77,6469328
2023-07-12,4.81,4.86,4.73,4.75,1848612
2023-07-13,4.8,4.8,4.73,4.75,1700882
2023-07-14,4.77,4.81,4.72,4.75,3057912
2023-07-17,4.77,4.88,4.77,4.83,3875237
2023-07-18,4.82,4.84,4.76,4.79,1660964
2023-07-19,4.79,4.81,4.7,4.7,2789520
2023-07-20,4.62,4.71,4.62,4.71,1336505
2023-07-21,4.72,4.76,4.69,4.74,1267116
2023-07-24,4.75,4.85,4.72,4.81,2658752
2023-07-25,4.84,4.86,4.76,4.81,2345258
2023-07-26,4.81,4.95,4.81,4.87,5077476
2023-07-27,4.88,4.97,4.86,4.97,3479546
2023-07-28,5.12,5.17,5.01,5.13,5382674
2023-07-31,5.27,5.47,5.16,5.39,4888652
2023-08-01,5.45,5.45,5.13,5.13,6417612
2023-08-02,5.11,5.3,5.09,5.3,3547448
