time,open,high,low,close,volume
2023-03-30,19.09,19.23,18.86,18.91,20964474
2023-03-31,18.91,19.0,18.5,18.91,23777566
2023-04-03,19.14,19.18,18.95,19.09,21377967
2023-04-04,19.23,19.27,19.05,19.18,19873334
2023-04-05,19.18,19.55,19.05,19.55,25532123
2023-04-06,19.59,19.91,19.45,19.55,27853049
2023-04-07,19.55,19.64,19.18,19.27,18568535
2023-04-10,19.32,19.41,18.73,18.82,26557356
2023-04-11,18.82,18.95,18.73,18.91,14422264
2023-04-12,19.0,19.0,18.77,18.86,10644466
2023-04-13,18.91,18.91,18.5,18.59,14719996
2023-04-14,18.68,18.95,18.64,18.77,13612910
2023-04-17,18.73,19.0,18.73,18.95,9280313
2023-04-18,19.0,19.09,18.91,19.05,11576052
2023-04-19,19.14,19.14,18.91,18.91,10483969
2023-04-20,18.91,19.0,18.86,18.91,6553528
2023-04-21,18.91,18.95,18.82,18.82,11148137
2023-04-24,18.82,18.91,18.68,18.77,10579651
2023-04-25,18.91,19.32,18.82,19.14,18470293
2023-04-26,19.14,20.0,19.0,20.0,26830205
2023-04-27,20.0,20.0,19.64,19.73,17145094
2023-04-28,19.73,19.82,19.45,19.68,15758312
2023-05-04,19.5,19.64,19.27,19.36,16549829
2023-05-05,19.36,19.73,19.27,19.5,10793513
2023-05-08,19.59,19.77,19.5,19.64,10458125
2023-05-09,19.64,20.14,19.64,19.82,22423012
2023-05-10,19.82,19.91,19.68,19.73,8746008
2023-05-11,19.82,19.95,19.64,19.77,13648978
2023-05-12,19.77,20.45,19.64,20.32,45123846
2023-05-15,20.41,20.55,20.09,20.09,17703594
2023-05-16,20.09,20.27,19.91,20.0,17812801
2023-05-17,20.0,20.09,19.77,19.82,26005532
2023-05-18,19.91,20.18,19.82,19.95,18617797
2023-05-19,20.0,20.09,19.68,19.82,11520435
2023-05-22,19.82,20.09,19.77,19.91,14875470
2023-05-23,19.95,20.05,19.64,19.73,13626699
2023-05-24,19.91,19.91,19.36,19.36,20282151
2023-05-25,19.36,19.5,19.27,19.27,13265005
2023-05-26,19.36,19.45,18.95,19.18,16099796
2023-05-29,19.36,19.5,19.27,19.5,11099584
2023-05-30,19.55,19.64,19.32,19.41,13466138
2023-05-31,19.45,19.5,19.23,19.27,13094089
2023-06-01,19.23,19.45,19.14,19.45,10843625
2023-06-02,19.55,19.82,19.5,19.64,18876879
2023-06-05,19.82,20.05,19.64,19.68,20053288
2023-06-06,19.73,19.86,19.59,19.77,11807137
2023-06-07,20.0,20.73,20.0,20.55,55534195
2023-06-08,20.64,21.05,20.64,20.73,42538792
2023-06-09,20.73,20.82,20.45,20.82,23882045
2023-06-12,21.0,21.05,20.45,20.86,22228815
2023-06-13,20.91,21.32,20.82,21.27,36962266
2023-06-14,21.32,21.32,21.0,21.0,23485754
2023-06-15,20.91,21.14,20.91,21.05,17479766
2023-06-16,21.14,21.64,21.05,21.32,33028134
2023-06-19,21.32,21.36,21.18,21.23,13187994
2023-06-20,21.23,21.5,21.18,21.5,14615348
2023-06-21,21.55,22.41,21.36,22.36,35625023
2023-06-22,22.45,22.68,22.14,22.59,23051612
2023-06-23,22.59,23.23,22.5,23.09,29173843
2023-06-26,23.09,23.18,22.45,22.91,20413189
2023-06-27,23.05,23.45,22.82,23.45,19957295
2023-06-28,23.64,24.27,23.55,24.18,30336920
2023-06-29,24.23,24.27,23.45,23.45,36818245
2023-06-30,23.36,23.82,23.32,23.77,23081616
2023-07-03,23.82,24.05,23.55,23.82,17066212
2023-07-04,23.77,23.86,23.55,23.86,19737741
2023-07-05,24.0,24.73,23.86,24.5,31821993
