time,open,high,low,close,volume
2023-03-30,15.89,15.99,15.33,15.37,18941121
2023-03-31,15.37,15.52,14.76,15.23,25689413
2023-04-03,15.47,15.52,15.18,15.33,12705669
2023-04-04,15.42,15.61,15.33,15.56,14289397
2023-04-05,15.52,15.85,15.42,15.8,15567358
2023-04-06,15.89,16.18,15.52,15.52,21577269
2023-04-07,15.52,15.66,15.09,15.33,14897226
2023-04-10,15.33,15.47,14.76,14.76,22751302
2023-04-11,14.66,15.04,14.62,14.95,9982144
2023-04-12,14.95,15.09,14.71,14.71,8426485
2023-04-13,14.76,14.85,14.19,14.29,12677382
2023-04-14,14.47,14.81,14.38,14.52,10683829
2023-04-17,14.52,14.9,14.52,14.76,5011849
2023-04-18,14.85,14.95,14.76,14.85,6044476
2023-04-19,14.9,14.95,14.47,14.47,5746013
2023-04-20,14.47,14.66,14.43,14.47,3332921
2023-04-21,14.57,14.57,13.95,14.14,8656583
2023-04-24,14.1,14.24,13.62,13.81,8292061
2023-04-25,13.91,14.38,13.91,14.14,6778050
2023-04-26,14.14,14.85,14.0,14.85,13613170
2023-04-27,14.9,14.95,14.43,14.47,10649910
2023-04-28,14.66,14.76,14.43,14.66,8183873
2023-05-04,14.66,14.95,14.52,14.66,9119479
2023-05-05,14.57,14.95,14.47,14.71,11246337
2023-05-08,14.85,14.9,14.62,14.76,8159191
2023-05-09,14.85,15.37,14.81,15.09,18281024
2023-05-10,15.14,15.23,14.95,15.09,9282213
2023-05-11,15.09,15.52,15.04,15.23,16681579
2023-05-12,15.23,15.7,15.18,15.42,15282318
2023-05-15,15.61,15.61,15.04,15.04,18120892
2023-05-16,15.14,15.23,14.85,14.95,8322121
2023-05-17,14.9,14.99,14.66,14.66,12034165
2023-05-18,14.76,14.85,14.62,14.62,8698326
2023-05-19,14.66,14.9,14.57,14.71,6169996
2023-05-22,14.76,15.42,14.76,15.28,20025337
2023-05-23,15.28,15.42,14.99,15.09,14915940
2023-05-24,15.14,15.23,14.76,14.76,16143847
2023-05-25,14.66,14.9,14.57,14.66,13642487
2023-05-26,14.76,14.76,14.38,14.52,14896704
2023-05-29,14.66,14.85,14.52,14.85,9599149
2023-05-30,14.95,15.14,14.76,14.99,13350506
2023-05-31,14.95,14.99,14.38,14.57,36233940
2023-06-01,14.47,14.52,14.14,14.38,15037972
2023-06-02,14.43,14.85,14.43,14.66,15493322
2023-06-05,14.85,15.14,14.76,14.99,24921732
2023-06-06,15.04,15.33,14.85,15.23,18960501
2023-06-07,15.52,15.99,15.52,15.85,28565155
2023-06-08,15.85,15.99,15.47,15.47,22250685
2023-06-09,15.42,15.7,15.37,15.66,14872927
2023-06-12,15.66,15.75,15.23,15.61,16537068
2023-06-13,15.7,16.37,15.52,16.27,28865571
2023-06-14,16.32,16.32,15.89,15.89,14694295
2023-06-15,15.85,15.94,15.47,15.66,19522620
2023-06-16,15.8,16.08,15.61,15.61,22533271
2023-06-19,15.61,15.66,15.37,15.37,8024700
2023-06-20,15.37,15.7,15.37,15.7,6196780
2023-06-21,15.75,16.22,15.56,16.22,20381518
2023-06-22,16.32,16.6,16.08,16.46,24485001
2023-06-23,16.51,16.7,16.32,16.41,18819809
2023-06-26,16.66,16.76,16.08,16.52,12394902
2023-06-27,16.56,16.61,16.18,16.47,14969673
2023-06-28,16.47,16.66,16.27,16.37,13763631
2023-06-29,16.47,16.52,15.98,15.98,12397835
2023-06-30,15.98,16.13,15.88,16.03,7426369
2023-07-03,16.13,16.18,15.98,15.98,5945909
2023-07-04,15.98,16.18,15.88,16.18,9864445
2023-07-05,16.27,16.47,16.08,16.27,18846205
2023-07-06,16.13,16.32,15.79,15.98,10551750
2023-07-07,15.93,16.76,15.83,16.76,22976136
2023-07-10,16.76,17.05,16.66,17.0,18061227
2023-07-11,17.0,17.1,16.86,17.0,15902532
2023-07-12,17.05,17.05,16.76,17.0,9274411
2023-07-13,17.15,17.34,17.0,17.05,9872968
2023-07-14,17.1,17.54,17.05,17.3,17410244
2023-07-17,17.44,17.49,17.05,17.2,8730737
2023-07-18,17.15,17.15,16.76,16.81,15203254
2023-07-19,16.86,17.05,16.76,16.91,13947771
2023-07-20,16.81,17.15,16.81,17.1,11027616
2023-07-21,17.2,17.83,17.1,17.73,19970289
2023-07-24,17.88,18.08,17.64,17.83,12684132
2023-07-25,17.83,18.22,17.69,17.83,15193924
2023-07-26,17.93,18.37,17.88,18.22,14437762
2023-07-27,18.22,18.32,17.78,18.27,16731778
2023-07-28,18.27,18.81,18.12,18.81,21351182
2023-07-31,18.61,18.76,18.03,18.76,23813736
2023-08-01,18.71,18.71,18.12,18.12,15403181
2023-08-02,17.93,18.42,17.88,18.32,11550691
2023-08-03,18.32,18.32,17.83,18.22,15608905
2023-08-04,18.27,18.42,18.03,18.42,9855365
2023-08-07,18.66,18.71,18.32,18.51,11924518
2023-08-08,18.61,18.81,18.17,18.22,13526991
2023-08-09,18.12,18.71,17.98,18.61,18038259
2023-08-10,18.51,18.71,18.27,18.32,7966311
2023-08-11,18.37,19.39,18.17,19.34,25059716
2023-08-14,19.44,19.83,19.44,19.59,11501799
2023-08-15,19.68,20.17,19.39,20.07,15173781
2023-08-16,20.07,20.07,19.68,19.88,7055097
2023-08-17,19.98,20.22,19.49,19.49,15625273
2023-08-18,19.34,19.39,18.12,18.12,28249901
2023-08-21,18.12,18.37,17.49,17.98,11841403
2023-08-22,18.32,18.32,17.05,17.93,10249912
2023-08-23,18.17,18.17,17.83,17.83,5150099
2023-08-24,17.83,18.27,17.59,18.27,8285714
2023-08-25,18.32,18.42,18.08,18.12,10096029
2023-08-28,18.17,18.81,18.17,18.71,13025442
2023-08-29,18.81,19.0,18.42,18.61,7688256
2023-08-30,18.66,19.29,18.56,19.2,10681090
2023-08-31,19.44,19.68,19.2,19.49,11680605
2023-09-05,19.63,19.98,19.24,19.44,9758864
2023-09-06,19.44,20.75,19.1,20.75,24113296
2023-09-07,21.0,21.24,20.8,20.95,14752743
2023-09-08,20.95,21.73,20.9,21.44,17264088
2023-09-11,21.73,21.73,20.75,20.75,15973989
2023-09-12,20.66,21.29,20.36,21.29,15993963
2023-09-13,21.44,22.27,21.05,21.44,16812350
2023-09-14,21.44,21.44,20.46,20.75,13609494
2023-09-15,20.85,21.44,20.46,20.85,10747549
2023-09-18,20.85,21.53,20.85,21.24,12485702
2023-09-19,21.44,22.41,20.85,22.41,18403921
2023-09-20,22.41,22.65,22.27,22.56,8294633
2023-09-21,22.41,23.29,22.31,22.56,17864023
2023-09-22,21.88,22.02,21.0,21.0,34507339
2023-09-25,20.66,21.05,19.54,19.54,17109422
2023-09-26,19.39,19.68,18.51,18.51,20330067
2023-09-27,18.61,19.49,18.22,19.49,11850674
2023-09-28,19.2,19.93,18.9,19.78,11071877
2023-09-29,19.98,20.02,19.34,19.49,8450985
2023-10-02,19.63,19.98,19.39,19.59,6928728
2023-10-03,19.1,19.2,18.22,18.22,18613271
2023-10-04,17.54,19.1,17.54,18.61,12351069
2023-10-05,18.71,18.81,17.88,17.88,7023350
2023-10-06,17.88,18.51,17.44,18.27,7738669
2023-10-09,18.22,19.0,18.22,18.85,7876770
2023-10-10,19.1,19.29,18.81,18.81,6960085
2023-10-11,18.85,19.2,18.66,19.2,6702903
2023-10-12,19.39,19.73,18.9,19.2,6721234
2023-10-13,18.85,19.2,18.56,19.15,5774356
2023-10-16,19.15,19.24,18.32,18.32,7206184
2023-10-17,18.42,18.81,17.54,17.54,6705616
2023-10-18,17.73,17.78,16.32,16.56,19489683
2023-10-19,16.56,16.86,15.69,16.56,10219043
2023-10-20,16.56,17.34,16.52,17.34,7575836
2023-10-23,17.34,17.64,16.91,17.25,7798976
2023-10-24,17.3,17.44,16.81,17.25,4602392
2023-10-25,17.39,17.83,17.3,17.34,6120193
2023-10-26,16.91,16.95,16.18,16.18,13918250
2023-10-27,16.27,17.2,15.83,17.2,9355219
2023-10-30,17.15,17.59,16.76,16.76,6750865
2023-10-31,17.15,17.2,16.37,16.56,7861163
2023-11-01,16.52,17.25,16.42,17.25,6066740
2023-11-02,17.64,18.42,17.39,18.42,14510256
2023-11-03,18.51,19.0,18.17,18.95,14974385
2023-11-06,19.05,19.49,18.85,19.49,13700896
2023-11-07,19.29,19.59,19.1,19.24,11772022
2023-11-08,19.15,20.56,19.1,20.56,17846175
2023-11-09,20.75,20.95,20.27,20.27,13857038
2023-11-10,20.02,20.9,19.98,20.12,15621891
2023-11-13,20.12,21.34,20.12,20.95,20401542
2023-11-14,21.24,21.34,20.51,21.14,13585287
