time,open,high,low,close,volume
2023-03-30,35.14,35.14,35.14,35.14,100
2023-03-31,33.78,34.78,33.78,34.78,6209
2023-04-03,33.78,34.69,33.78,34.69,32800
2023-04-04,34.32,34.59,34.14,34.14,2500
2023-04-05,34.14,34.23,33.87,34.23,5631
2023-04-06,33.78,34.32,33.78,34.32,501
2023-04-07,33.87,34.78,33.87,34.5,8367
2023-04-10,34.32,34.5,34.32,34.32,10500
2023-04-11,33.78,33.96,33.78,33.96,19800
2023-04-12,33.96,34.32,33.96,33.96,3813
2023-04-13,33.96,34.14,33.87,34.14,5500
2023-04-14,34.14,34.23,33.87,34.23,4243
2023-04-17,34.23,34.23,34.14,34.14,2300
2023-04-18,33.96,34.14,33.96,34.14,4700
2023-04-19,33.6,34.14,33.6,34.14,6400
2023-04-20,34.14,34.32,34.14,34.32,1300
2023-04-21,34.69,34.69,34.59,34.59,200
2023-04-24,34.59,34.78,33.78,34.23,9900
2023-04-25,34.23,34.23,34.23,34.23,0
2023-04-26,35.59,35.59,34.32,35.41,300
2023-04-27,35.14,35.14,33.6,34.14,2300
2023-04-28,34.96,34.96,33.6,34.32,3500
2023-05-04,35.14,35.14,33.87,34.32,350
2023-05-05,34.32,34.32,33.87,34.32,1500
2023-05-08,34.32,35.23,34.32,34.59,3544
2023-05-09,36.22,36.22,34.5,35.14,550
2023-05-10,35.95,35.95,34.78,34.78,1750
2023-05-11,36.4,36.4,34.78,35.14,2204
2023-05-12,35.05,36.04,33.87,35.59,3834
2023-05-15,35.68,36.04,34.5,35.95,13310
2023-05-16,35.68,35.68,35.23,35.59,9204
2023-05-17,36.07,36.07,35.3,35.49,2001
2023-05-18,35.49,35.49,35.21,35.21,6600
2023-05-19,35.11,35.21,34.35,35.21,700
2023-05-22,35.21,35.21,35.02,35.11,9800
2023-05-23,35.02,35.21,34.73,35.11,7220
2023-05-24,34.92,34.92,34.73,34.73,900
2023-05-25,34.64,34.73,34.07,34.73,6420
2023-05-26,34.26,34.64,33.78,34.64,5033
2023-05-29,33.97,34.64,33.78,34.54,6200
2023-05-30,34.45,34.45,34.45,34.45,4200
2023-05-31,34.35,34.45,33.31,34.45,25800
2023-06-01,33.78,34.35,33.31,34.07,9600
2023-06-02,33.69,34.26,33.31,34.26,34733
2023-06-05,34.26,34.26,33.78,34.26,7800
2023-06-06,33.97,34.16,33.59,33.97,8800
2023-06-07,34.07,34.07,33.5,33.97,2600
2023-06-08,33.88,34.26,33.69,33.97,11400
2023-06-09,33.97,34.26,33.78,33.97,4800
2023-06-12,34.16,34.16,33.69,33.97,3300
2023-06-13,33.78,34.26,33.78,34.07,700
2023-06-14,34.07,34.26,33.78,34.07,7100
2023-06-15,33.78,33.97,33.31,33.97,15500
2023-06-16,33.4,33.88,33.4,33.88,3220
2023-06-19,33.31,33.69,32.35,33.69,22200
2023-06-20,33.69,33.69,33.31,33.31,1100
2023-06-21,33.31,34.26,33.31,34.26,20300
2023-06-22,34.16,34.26,33.31,34.16,10000
2023-06-23,33.4,33.97,33.4,33.97,2800
2023-06-26,33.78,33.78,33.78,33.78,1900
2023-06-27,33.31,33.4,32.45,33.02,19300
2023-06-28,33.12,33.59,33.02,33.59,11700
2023-06-29,33.59,33.59,33.59,33.59,400
2023-06-30,33.59,33.59,33.59,33.59,0
2023-07-03,33.31,33.59,33.31,33.59,4700
2023-07-04,33.69,33.69,32.64,33.59,5300
2023-07-05,33.78,33.88,33.78,33.78,13500
2023-07-06,33.78,34.07,33.31,34.07,21500
2023-07-07,34.07,34.07,33.31,34.07,6400
2023-07-10,34.16,35.02,33.31,35.02,114700
