time,open,high,low,close,volume
2023-03-30,2.67,2.67,2.67,2.67,2300
2023-03-31,2.76,2.76,2.67,2.67,3600
2023-04-03,2.67,2.67,2.67,2.67,7500
2023-04-04,2.47,2.57,2.47,2.57,24535
2023-04-05,2.67,2.67,2.57,2.67,3285
2023-04-06,2.76,2.95,2.67,2.67,15500
2023-04-07,2.76,2.86,2.76,2.76,2700
2023-04-10,2.76,2.86,2.57,2.57,8300
2023-04-11,2.76,2.76,2.67,2.67,5829
2023-04-12,2.76,2.76,2.57,2.67,2155
2023-04-13,2.76,2.76,2.67,2.67,900
2023-04-14,2.76,2.76,2.67,2.67,13400
2023-04-17,2.76,2.76,2.67,2.67,300
2023-04-18,2.76,2.76,2.67,2.67,1655
2023-04-19,2.76,2.76,2.57,2.67,12200
2023-04-20,2.76,2.95,2.67,2.76,6250
2023-04-21,2.76,2.76,2.67,2.67,20900
2023-04-24,2.76,2.86,2.76,2.76,66877
2023-04-25,2.86,2.86,2.76,2.76,1477
2023-04-26,2.76,2.86,2.76,2.86,715
2023-04-27,2.86,2.95,2.76,2.76,11618
2023-04-28,2.76,2.86,2.67,2.76,4300
2023-05-04,2.67,2.76,2.67,2.76,19301
2023-05-05,2.76,2.76,2.76,2.76,2000
2023-05-08,2.76,2.86,2.76,2.76,6605
2023-05-09,2.76,2.86,2.67,2.67,36348
2023-05-10,2.67,2.76,2.57,2.76,28100
2023-05-11,2.67,2.86,2.57,2.86,19931
2023-05-12,2.76,2.76,2.76,2.76,3250
2023-05-15,2.86,2.86,2.76,2.76,24051
2023-05-16,2.86,2.86,2.76,2.76,9700
2023-05-17,2.76,2.95,2.76,2.95,20520
2023-05-18,2.86,2.95,2.86,2.95,900
2023-05-19,2.86,3.24,2.86,3.24,135229
2023-05-22,3.24,3.71,3.24,3.71,94019
2023-05-23,3.71,3.71,3.24,3.52,46471
2023-05-24,3.52,3.62,3.33,3.33,31700
2023-05-25,3.33,3.33,3.14,3.24,39069
2023-05-26,3.33,3.33,3.14,3.24,27800
2023-05-29,3.24,3.43,3.24,3.33,21700
2023-05-30,3.43,3.43,3.33,3.33,3301
2023-05-31,3.33,3.62,3.33,3.43,33217
2023-06-01,3.71,3.71,3.62,3.62,21354
2023-06-02,3.62,3.62,3.43,3.52,12600
2023-06-05,3.71,3.71,3.43,3.43,18600
2023-06-06,3.43,3.62,3.43,3.62,52260
2023-06-07,3.62,4.0,3.62,4.0,56723
2023-06-08,4.0,4.47,4.0,4.38,172015
2023-06-09,4.57,5.14,4.47,4.85,96200
2023-06-12,4.85,5.05,4.66,4.85,32319
2023-06-13,5.05,5.43,4.95,5.43,94542
2023-06-14,5.71,6.0,5.24,5.62,96400
2023-06-15,5.33,5.43,4.76,5.33,223555
2023-06-16,5.52,5.52,4.95,5.14,26400
2023-06-19,5.05,5.05,4.76,4.76,8100
2023-06-20,4.85,4.95,4.47,4.76,44600
2023-06-21,4.76,4.85,4.66,4.85,34000
2023-06-22,4.38,4.85,4.38,4.76,22900
2023-06-23,4.57,4.76,4.47,4.47,19900
2023-06-26,4.66,4.66,3.81,4.47,25300
2023-06-27,4.0,4.19,3.9,4.19,9600
2023-06-28,4.19,4.19,3.9,4.0,25405
2023-06-29,3.9,4.0,3.9,4.0,4000
2023-06-30,3.81,4.0,3.71,3.81,38408
2023-07-03,3.81,4.0,3.81,3.9,2400
2023-07-04,4.0,4.19,3.9,4.19,12803
2023-07-05,4.19,4.19,4.0,4.0,5524
2023-07-06,4.28,4.28,4.09,4.09,200
2023-07-07,4.19,4.19,3.9,4.19,900
2023-07-10,4.19,4.19,4.09,4.19,12535
2023-07-11,4.28,4.66,4.28,4.57,45013
2023-07-12,4.57,4.57,4.09,4.47,6086
2023-07-13,4.28,4.95,4.28,4.76,21800
2023-07-14,4.76,4.76,4.28,4.66,3252
2023-07-17,4.47,4.57,4.38,4.38,19401
2023-07-18,4.38,4.47,4.19,4.38,63119
2023-07-19,4.19,4.38,4.19,4.19,43442
2023-07-20,4.19,4.38,4.09,4.28,11000
2023-07-21,4.38,4.38,4.28,4.28,6552
2023-07-24,4.38,4.38,3.81,4.09,59520
2023-07-25,4.0,4.19,4.0,4.09,13652
2023-07-26,4.09,4.09,4.09,4.09,12323
2023-07-27,4.09,4.09,4.0,4.09,20505
2023-07-28,4.0,4.09,3.9,4.09,16900
2023-07-31,4.09,4.19,4.0,4.09,32638
2023-08-01,4.09,4.19,4.09,4.09,12813
2023-08-02,4.09,4.28,4.09,4.09,8800
2023-08-03,4.09,4.09,4.0,4.0,13705
2023-08-04,4.0,4.09,3.81,4.09,30300
2023-08-07,3.9,4.09,3.9,4.09,13141
2023-08-08,4.0,4.28,3.9,4.28,37801
2023-08-09,4.09,4.28,4.09,4.28,9778
2023-08-10,4.28,4.28,4.09,4.19,51810
2023-08-11,4.19,4.19,4.09,4.19,12500
2023-08-14,4.19,4.19,4.09,4.19,8340
2023-08-15,4.09,4.28,4.09,4.19,18110
2023-08-16,4.19,4.19,4.19,4.19,17200
2023-08-17,4.09,4.19,4.09,4.19,32745
2023-08-18,4.19,4.19,4.0,4.09,58800
2023-08-21,4.0,4.0,3.9,4.0,15100
2023-08-22,4.0,4.0,3.9,3.9,10900
2023-08-23,4.0,4.09,4.0,4.09,14964
2023-08-24,4.09,4.19,4.09,4.19,37300
2023-08-25,4.19,4.28,4.19,4.19,11900
2023-08-28,4.19,4.19,4.19,4.19,10000
2023-08-29,4.19,4.28,4.19,4.19,30210
2023-08-30,4.19,4.19,4.09,4.19,7700
2023-08-31,4.19,4.19,4.09,4.09,4000
2023-09-05,4.19,4.19,4.19,4.19,1502
2023-09-06,4.19,4.38,4.19,4.38,19451
2023-09-07,4.38,4.47,4.28,4.38,28000
