time,open,high,low,close,volume
2023-03-30,3.17,3.18,3.13,3.14,491152
2023-03-31,3.17,3.17,3.11,3.12,503600
2023-04-03,3.15,3.19,3.14,3.16,624388
2023-04-04,3.19,3.3,3.18,3.27,1223738
2023-04-05,3.28,3.35,3.26,3.35,1464119
2023-04-06,3.39,3.45,3.23,3.23,1432491
2023-04-07,3.28,3.39,3.21,3.3,1119519
2023-04-10,3.35,3.39,3.22,3.25,887122
2023-04-11,3.2,3.26,3.17,3.25,572799
2023-04-12,3.27,3.31,3.23,3.24,910878
2023-04-13,3.25,3.46,3.24,3.46,2570125
2023-04-14,3.7,3.7,3.45,3.47,4127924
2023-04-17,3.46,3.46,3.29,3.36,1572499
2023-04-18,3.38,3.39,3.28,3.32,1063875
2023-04-19,3.35,3.4,3.31,3.33,977914
2023-04-20,3.36,3.56,3.34,3.48,2390994
2023-04-21,3.5,3.57,3.42,3.42,1386439
2023-04-24,3.44,3.55,3.44,3.55,1704164
2023-04-25,3.55,3.69,3.43,3.47,1736266
2023-04-26,3.5,3.58,3.45,3.53,768314
2023-04-27,3.62,3.77,3.52,3.71,3230214
2023-04-28,3.7,3.76,3.62,3.65,1093893
2023-05-04,3.72,3.72,3.6,3.62,1639446
2023-05-05,3.62,3.87,3.6,3.84,3695572
2023-05-08,3.82,4.07,3.82,3.9,2438329
2023-05-09,3.93,3.93,3.68,3.7,2291206
2023-05-10,3.8,3.85,3.72,3.8,1418396
2023-05-11,3.87,3.99,3.77,3.86,2941419
2023-05-12,3.86,3.91,3.81,3.88,1142962
2023-05-15,3.91,4.08,3.88,3.93,2229139
2023-05-16,3.95,4.2,3.93,4.01,2144187
2023-05-17,4.05,4.05,3.95,3.98,1486752
2023-05-18,3.99,4.18,3.96,4.02,1540590
2023-05-19,4.0,4.04,3.85,3.94,1443584
2023-05-22,3.94,4.09,3.88,3.99,868182
2023-05-23,3.99,4.05,3.94,3.97,1052770
2023-05-24,3.96,4.1,3.93,3.95,1873526
2023-05-25,3.95,3.99,3.93,3.93,740889
2023-05-26,3.93,4.0,3.91,3.95,1271684
2023-05-29,4.01,4.08,3.96,4.06,2614872
2023-05-30,4.08,4.16,4.03,4.08,1769519
2023-05-31,4.08,4.17,4.05,4.12,1910718
2023-06-01,4.13,4.4,4.13,4.4,5154020
2023-06-02,4.5,4.51,4.2,4.28,2315982
2023-06-05,4.31,4.34,4.1,4.1,2282574
2023-06-06,4.14,4.26,4.12,4.25,1176334
2023-06-07,4.3,4.3,4.22,4.25,1494956
2023-06-08,4.3,4.4,4.17,4.17,2667282
2023-06-09,4.17,4.21,4.12,4.16,1511422
2023-06-12,4.2,4.42,4.2,4.34,2062255
2023-06-13,4.4,4.42,4.3,4.33,1681025
2023-06-14,4.37,4.37,4.18,4.2,2266272
2023-06-15,4.15,4.23,4.12,4.14,1379826
2023-06-16,4.24,4.24,4.1,4.12,1251721
2023-06-19,4.11,4.12,3.96,3.98,1901532
2023-06-20,3.96,4.1,3.96,4.06,550443
2023-06-21,4.15,4.15,4.06,4.11,531109
2023-06-22,4.09,4.17,4.09,4.14,651806
2023-06-23,4.15,4.18,4.1,4.1,816035
2023-06-26,4.09,4.14,3.95,4.07,842115
2023-06-27,4.07,4.08,4.03,4.07,701985
2023-06-28,4.07,4.08,4.04,4.06,572180
2023-06-29,4.07,4.2,4.03,4.07,878207
2023-06-30,4.1,4.1,4.04,4.07,290720
2023-07-03,4.15,4.15,4.04,4.06,494045
2023-07-04,4.08,4.09,4.0,4.07,638611
2023-07-05,4.09,4.09,4.04,4.07,483864
2023-07-06,4.07,4.1,4.0,4.01,749780
2023-07-07,4.01,4.04,3.98,4.01,809323
2023-07-10,4.02,4.06,4.01,4.05,632160
2023-07-11,4.07,4.17,4.04,4.13,1192805
2023-07-12,4.13,4.19,4.06,4.1,575804
2023-07-13,4.09,4.13,4.08,4.12,911173
2023-07-14,4.16,4.16,4.07,4.12,949031
2023-07-17,4.13,4.32,4.12,4.25,1752944
2023-07-18,4.26,4.3,4.16,4.18,780920
2023-07-19,4.24,4.24,4.06,4.06,1029532
2023-07-20,4.06,4.12,4.06,4.11,580791
2023-07-21,4.15,4.15,4.07,4.11,700851
2023-07-24,4.15,4.24,4.11,4.22,1318811
2023-07-25,4.25,4.3,4.16,4.19,2034494
2023-07-26,4.21,4.27,4.15,4.19,941362
2023-07-27,4.22,4.22,4.1,4.14,1072247
2023-07-28,4.14,4.18,4.13,4.18,1370510
2023-07-31,4.3,4.3,4.22,4.25,1942029
2023-08-01,4.29,4.33,4.22,4.22,3208175
2023-08-02,4.18,4.23,4.15,4.22,950403
2023-08-03,4.22,4.4,4.19,4.3,2973954
2023-08-04,4.31,4.34,4.26,4.3,1482416
2023-08-07,4.35,4.4,4.28,4.3,1665626
2023-08-08,4.31,4.45,4.3,4.39,3184358
2023-08-09,4.45,4.69,4.39,4.69,5303607
2023-08-10,4.75,4.81,4.48,4.51,3268461
2023-08-11,4.6,4.6,4.35,4.45,2116078
2023-08-14,4.57,4.57,4.4,4.52,1940034
2023-08-15,4.52,4.65,4.47,4.48,1503793
2023-08-16,4.51,4.51,4.4,4.4,1212951
2023-08-17,4.4,4.52,4.33,4.33,1643689
2023-08-18,4.33,4.34,4.03,4.03,2821652
2023-08-21,4.0,4.03,3.8,3.99,1249800
2023-08-22,4.0,4.05,3.8,4.0,1256750
2023-08-23,4.04,4.05,3.91,3.91,747629
2023-08-24,4.0,4.02,3.93,4.02,435548
2023-08-25,4.02,4.04,4.0,4.0,824175
2023-08-28,4.01,4.06,3.99,4.06,681485
2023-08-29,4.13,4.13,4.04,4.06,387032
2023-08-30,4.07,4.1,4.04,4.06,542165
2023-08-31,4.12,4.12,4.06,4.08,710827
2023-09-05,4.12,4.18,4.08,4.14,956040
2023-09-06,4.15,4.35,4.0,4.3,2113487
2023-09-07,4.3,4.3,4.18,4.19,1703782
2023-09-08,4.21,4.25,4.17,4.18,1065773
2023-09-11,4.23,4.23,4.09,4.1,1444385
2023-09-12,4.15,4.15,4.08,4.13,887278
2023-09-13,4.13,4.17,4.04,4.09,962941
2023-09-14,4.07,4.09,4.0,4.05,976906
2023-09-15,4.05,4.07,4.02,4.03,668952
2023-09-18,4.05,4.11,3.99,3.99,506516
2023-09-19,4.0,4.03,3.81,3.95,571148
2023-09-20,3.96,4.05,3.96,4.03,316202
2023-09-21,4.03,4.08,4.0,4.02,446300
2023-09-22,4.01,4.01,3.82,3.88,595259
2023-09-25,3.9,3.97,3.61,3.61,809861
2023-09-26,3.65,3.65,3.57,3.59,552730
2023-09-27,3.65,3.65,3.5,3.59,439348
2023-09-28,3.66,3.66,3.56,3.56,452961
2023-09-29,3.57,3.63,3.57,3.58,419677
2023-10-02,3.58,3.71,3.58,3.64,283773
2023-10-03,3.63,3.63,3.43,3.44,810304
2023-10-04,3.24,3.46,3.24,3.45,388807
2023-10-05,3.45,3.54,3.4,3.45,270845
2023-10-06,3.46,3.49,3.4,3.46,224647
2023-10-09,3.46,3.5,3.43,3.45,329041
2023-10-10,3.49,3.55,3.4,3.47,526582
2023-10-11,3.5,3.54,3.46,3.51,224091
2023-10-12,3.56,3.59,3.53,3.54,257514
2023-10-13,3.54,3.54,3.48,3.52,307574
2023-10-16,3.55,3.55,3.41,3.43,473620
2023-10-17,3.45,3.5,3.4,3.4,238073
2023-10-18,3.4,3.41,3.2,3.25,391631
2023-10-19,3.29,3.29,3.21,3.21,284953
2023-10-20,3.35,3.35,3.2,3.3,190250
2023-10-23,3.3,3.35,3.28,3.28,172850
2023-10-24,3.37,3.37,3.27,3.3,111149
2023-10-25,3.32,3.37,3.3,3.3,214991
2023-10-26,3.3,3.3,3.09,3.09,681591
2023-10-27,3.19,3.21,3.05,3.11,358727
2023-10-30,3.15,3.15,3.08,3.08,135924
2023-10-31,3.1,3.15,2.95,2.95,369621
2023-11-01,2.95,2.99,2.85,2.96,453223
2023-11-02,3.01,3.16,3.0,3.16,627342
2023-11-03,3.25,3.25,3.11,3.18,330926
2023-11-06,3.36,3.39,3.2,3.24,321486
2023-11-07,3.21,3.25,3.16,3.17,419458
2023-11-08,3.2,3.27,3.16,3.24,297653
2023-11-09,3.28,3.35,3.25,3.28,708912
2023-11-10,3.28,3.29,3.2,3.23,354731
2023-11-13,3.24,3.26,3.2,3.23,387653
2023-11-14,3.28,3.28,3.23,3.25,149910
2023-11-15,3.29,3.33,3.28,3.3,649010
2023-11-16,3.33,3.33,3.28,3.3,211446
2023-11-17,3.3,3.45,3.3,3.34,984342
2023-11-20,3.3,3.33,3.28,3.3,378352
2023-11-21,3.31,3.4,3.3,3.33,326799
2023-11-22,3.34,3.36,3.3,3.35,322128
2023-11-23,3.36,3.44,3.34,3.35,847695
2023-11-24,3.35,3.35,3.22,3.33,617202
2023-11-27,3.33,3.35,3.25,3.25,661601
2023-11-28,3.25,3.25,3.17,3.24,248108
2023-11-29,3.24,3.3,3.22,3.25,187642
2023-11-30,3.27,3.27,3.19,3.19,324565
2023-12-01,3.2,3.24,3.18,3.2,649525
2023-12-04,3.25,3.28,3.22,3.26,353891
2023-12-05,3.3,3.32,3.25,3.27,446591
2023-12-06,3.27,3.38,3.26,3.37,601291
2023-12-07,3.4,3.43,3.34,3.39,804728
2023-12-08,3.41,3.45,3.36,3.39,451156
2023-12-11,3.5,3.5,3.36,3.4,460092
2023-12-12,3.4,3.47,3.36,3.42,442883
2023-12-13,3.48,3.49,3.42,3.43,723012
2023-12-14,3.43,3.46,3.4,3.4,239300
2023-12-15,3.43,3.44,3.36,3.36,385824
2023-12-18,3.45,3.55,3.36,3.46,775300
2023-12-19,3.5,3.5,3.35,3.36,612685
2023-12-20,3.35,3.4,3.35,3.39,131963
2023-12-21,3.36,3.38,3.3,3.33,224524
2023-12-22,3.33,3.39,3.33,3.36,193527
2023-12-25,3.38,3.43,3.35,3.36,272401
