time,open,high,low,close,volume
2023-03-30,59.23,59.23,58.36,59.23,1233046
2023-03-31,59.23,59.43,58.94,59.23,1111077
2023-04-03,59.23,59.33,58.65,59.23,1157148
2023-04-04,59.13,59.23,58.65,59.23,1078387
2023-04-05,59.33,59.43,58.36,58.74,1080331
2023-04-06,59.13,59.33,58.45,58.84,931144
2023-04-07,59.13,60.79,58.55,58.94,1030559
2023-04-10,59.13,59.81,59.04,59.52,1128872
2023-04-11,59.81,60.01,59.04,59.62,918787
2023-04-12,59.81,59.81,59.23,59.62,890872
2023-04-13,59.81,60.11,59.43,59.81,856701
2023-04-14,59.91,60.59,59.52,60.3,915866
2023-04-17,60.69,60.88,60.2,60.4,811416
2023-04-18,60.49,60.59,59.91,60.4,1038152
2023-04-19,60.49,60.69,60.2,60.4,1011744
2023-04-20,62.25,62.44,60.4,60.79,1104326
2023-04-21,62.05,62.15,59.81,61.27,928707
2023-04-24,62.15,62.25,60.59,61.27,839654
2023-04-25,61.86,61.95,60.69,61.27,876026
2023-04-26,61.47,61.76,60.49,61.76,991152
2023-04-27,62.15,62.54,61.18,61.76,1111757
2023-04-28,62.25,62.25,61.76,62.15,952856
2023-05-04,63.22,63.41,60.79,62.54,875118
2023-05-05,63.02,63.32,61.86,62.73,880607
2023-05-08,63.22,63.41,62.15,63.02,887136
2023-05-09,63.22,63.32,61.95,63.02,851861
2023-05-10,63.02,63.12,62.34,62.83,1049112
2023-05-11,62.83,63.02,62.25,63.02,902350
2023-05-12,63.02,63.12,62.54,62.93,843693
2023-05-15,63.32,63.51,62.73,63.12,865921
2023-05-16,63.22,63.41,62.54,63.12,1077153
2023-05-17,63.41,63.41,62.54,63.02,958537
2023-05-18,63.02,63.12,62.73,63.02,886007
2023-05-19,63.02,63.22,62.44,62.93,826037
2023-05-22,62.63,63.22,62.05,62.73,867488
2023-05-23,62.73,63.02,61.47,62.63,912247
2023-05-24,62.73,62.93,61.66,62.44,860988
2023-05-25,62.54,62.63,61.56,62.34,868006
2023-05-26,62.34,62.34,61.47,62.34,889805
2023-05-29,62.44,62.44,61.76,62.25,1070027
2023-05-30,62.15,62.15,61.47,62.15,1050900
2023-05-31,62.15,62.54,62.05,62.25,1085801
2023-06-01,62.25,62.34,61.66,62.25,1083089
2023-06-02,62.25,62.34,61.76,62.34,1129515
2023-06-05,62.34,63.61,62.05,62.73,1445524
2023-06-06,63.22,63.22,62.44,63.02,1255083
2023-06-07,63.02,63.12,62.44,63.02,1103119
2023-06-08,63.02,63.12,62.54,63.02,958779
2023-06-09,63.12,63.12,62.34,63.02,796689
2023-06-12,63.02,63.32,62.63,63.12,1003687
2023-06-13,63.12,63.22,62.73,63.12,948479
2023-06-14,63.41,63.41,62.44,62.93,951994
2023-06-15,62.93,62.93,61.95,62.83,1030347
2023-06-16,62.83,62.93,61.47,62.73,1078239
2023-06-19,62.83,62.83,62.05,62.63,996675
2023-06-20,62.54,62.63,61.37,62.34,961338
2023-06-21,62.54,62.63,60.88,62.15,1059586
2023-06-22,62.25,62.25,60.79,62.05,841913
2023-06-23,62.05,62.05,61.08,61.76,804457
2023-06-26,61.56,61.76,60.59,61.27,812357
2023-06-27,61.18,61.37,60.79,61.37,778341
2023-06-28,61.27,61.37,60.79,61.18,840323
2023-06-29,61.18,61.18,60.3,61.08,776714
2023-06-30,61.18,61.18,60.2,60.88,769374
2023-07-03,60.88,60.88,60.2,60.88,855464
2023-07-04,60.88,60.88,60.3,60.88,806532
2023-07-05,60.98,61.08,60.3,60.88,773420
2023-07-06,61.08,61.08,60.3,60.79,801724
2023-07-07,60.79,61.27,60.3,60.88,865726
2023-07-10,60.98,60.98,60.3,60.88,1093989
2023-07-11,60.69,60.88,60.4,60.88,1133630
2023-07-12,60.88,60.88,60.01,60.59,1181647
2023-07-13,60.69,60.98,60.2,60.98,976949
2023-07-14,61.08,61.08,60.2,60.88,1106174
2023-07-17,60.88,60.88,60.3,60.79,936819
2023-07-18,60.69,60.88,60.4,60.79,1050270
2023-07-19,60.79,61.76,60.59,61.76,1151363
2023-07-20,61.86,62.25,61.76,62.25,1185976
2023-07-21,63.02,63.02,62.25,62.73,920800
2023-07-24,63.51,63.61,61.76,62.73,1134476
2023-07-25,63.12,63.22,61.66,62.44,940313
2023-07-26,62.44,62.44,61.56,62.25,1052691
2023-07-27,62.25,62.25,61.56,62.25,1134872
2023-07-28,62.15,62.25,61.56,62.25,870050
2023-07-31,62.15,63.32,62.05,63.22,913320
2023-08-01,63.32,63.51,62.25,62.93,1107627
2023-08-02,63.12,63.12,62.25,62.93,936555
2023-08-03,63.02,63.02,62.34,62.63,893208
2023-08-04,62.73,62.73,61.95,62.63,858260
2023-08-07,62.83,63.22,62.54,63.22,1073583
2023-08-08,63.7,63.8,62.93,63.51,984559
2023-08-09,62.34,63.7,62.34,63.7,1090682
2023-08-10,63.9,64.0,62.63,63.32,993543
2023-08-11,63.51,63.51,62.34,62.73,965365
2023-08-14,63.41,63.41,61.56,62.44,1243530
2023-08-15,61.76,62.93,61.56,61.56,991792
2023-08-16,61.76,61.76,60.4,61.76,831564
2023-08-17,61.86,61.95,60.59,61.27,808556
2023-08-18,61.66,61.66,57.87,60.98,962308
2023-08-21,60.3,61.27,58.55,60.98,1057908
2023-08-22,60.3,63.22,60.3,61.27,1058341
2023-08-23,62.05,62.15,61.08,61.56,1119606
2023-08-24,61.86,62.44,61.27,61.76,1014102
2023-08-25,61.95,62.15,61.18,61.95,1055410
2023-08-28,62.44,63.02,61.76,62.83,1239680
2023-08-29,62.93,65.07,62.25,62.93,1108534
2023-08-30,64.0,64.0,62.63,62.93,980868
2023-08-31,63.61,65.07,62.63,65.07,1227687
2023-09-05,65.36,65.36,63.22,63.22,1035651
2023-09-06,64.0,64.09,62.83,63.22,987469
2023-09-07,63.41,63.41,62.54,63.12,986692
2023-09-08,63.51,63.51,62.73,63.22,888230
2023-09-11,63.61,64.68,63.22,63.9,1044563
2023-09-12,63.9,64.0,63.02,63.7,1032100
2023-09-13,63.61,63.7,62.73,63.22,1107700
2023-09-14,63.22,63.7,62.63,63.12,825023
2023-09-15,63.22,63.22,62.34,63.12,1310921
2023-09-18,63.51,63.51,62.83,63.12,844592
2023-09-19,63.12,63.22,62.54,63.02,1134470
2023-09-20,63.22,63.22,62.73,63.02,882132
2023-09-21,63.12,63.22,62.73,62.93,901591
2023-09-22,62.93,63.12,62.05,62.73,642122
2023-09-25,63.12,63.12,62.05,62.63,849252
2023-09-26,62.73,62.73,61.76,62.63,788354
2023-09-27,62.44,62.63,61.37,62.63,839703
2023-09-28,62.54,62.63,60.59,62.63,812917
2023-09-29,62.73,62.73,62.15,62.44,594342
2023-10-02,62.73,62.73,62.05,62.44,737679
2023-10-03,62.44,62.44,62.15,62.34,782600
2023-10-04,62.25,62.34,62.15,62.25,596900
2023-10-05,62.34,62.34,61.56,62.15,687300
2023-10-06,62.15,62.34,61.47,61.76,800578
2023-10-09,62.73,62.73,61.47,62.15,1061434
2023-10-10,62.25,62.25,61.76,61.76,928646
2023-10-11,61.95,62.05,61.66,61.76,1063226
2023-10-12,62.05,62.05,61.56,61.76,883274
2023-10-13,61.86,62.73,61.66,61.66,886710
2023-10-16,61.86,61.86,61.37,61.66,1170078
2023-10-17,62.05,62.15,61.27,61.27,1018321
2023-10-18,61.47,61.47,60.88,61.27,1016326
2023-10-19,62.25,62.73,61.27,61.76,787110
2023-10-20,63.12,63.12,61.66,62.73,688129
2023-10-23,63.12,63.12,58.45,62.73,799831
2023-10-24,63.02,63.12,61.95,62.25,748013
2023-10-25,62.63,63.12,61.56,61.76,736658
2023-10-26,62.05,62.05,60.69,61.76,644734
2023-10-27,62.25,62.25,61.27,61.56,665087
2023-10-30,62.25,62.34,61.86,62.15,696548
2023-10-31,62.44,62.44,61.56,61.76,749905
2023-11-01,62.25,62.25,61.56,61.76,750098
2023-11-02,62.54,62.63,61.56,61.76,1055572
2023-11-03,62.15,62.15,61.27,61.27,949231
2023-11-06,61.86,62.25,61.27,61.27,938886
2023-11-07,61.66,61.66,60.98,61.37,899116
2023-11-08,61.47,61.76,61.27,61.47,970945
2023-11-09,61.86,62.05,61.27,61.27,872121
2023-11-10,61.56,62.54,60.98,61.27,896054
2023-11-13,60.69,62.15,60.69,61.56,795042
2023-11-14,61.66,61.66,61.08,61.56,737724
2023-11-15,61.66,61.76,60.88,61.27,839300
2023-11-16,61.37,61.56,61.08,61.37,783720
2023-11-17,61.76,61.76,61.08,61.66,778937
2023-11-20,61.76,61.76,61.27,61.76,735818
2023-11-21,61.95,61.95,61.18,61.27,704942
2023-11-22,61.27,61.66,60.79,61.37,826175
2023-11-23,61.76,61.76,61.08,61.66,778646
2023-11-24,61.66,61.86,61.27,61.27,719601
2023-11-27,61.56,61.56,60.98,61.47,778365
2023-11-28,61.47,61.56,61.27,61.56,806809
2023-11-29,61.66,61.95,61.37,61.76,740107
2023-11-30,61.86,61.86,58.26,58.26,1177633
2023-12-01,58.55,61.27,58.26,61.27,891086
2023-12-04,61.27,61.27,59.13,60.69,1000923
2023-12-05,60.3,60.79,58.74,60.3,1030304
2023-12-06,60.11,60.3,59.43,60.11,767767
2023-12-07,60.2,60.79,59.62,60.69,772652
2023-12-08,60.69,61.47,60.49,61.47,752799
2023-12-11,61.47,61.66,61.08,61.27,967735
2023-12-12,61.27,61.56,60.59,60.98,889318
2023-12-13,61.18,61.27,60.01,60.88,749741
2023-12-14,61.18,61.27,60.4,61.08,741807
2023-12-15,61.27,61.27,60.3,60.3,1110442
2023-12-18,61.08,61.18,60.3,60.98,991833
2023-12-19,60.88,61.27,60.79,61.18,915305
2023-12-20,61.18,61.18,60.59,61.18,1014746
