time,open,high,low,close,volume
2023-03-30,23.86,24.03,22.76,22.76,3521512
2023-03-31,22.85,23.02,22.3,22.51,4063125
2023-04-03,23.02,23.1,22.55,23.1,2128409
2023-04-04,23.19,23.61,22.85,22.85,2800972
2023-04-05,22.85,23.1,22.64,22.76,2091963
2023-04-06,22.68,23.61,22.68,22.72,3712594
2023-04-07,22.76,23.02,22.51,22.93,2128538
2023-04-10,23.02,23.1,21.66,21.71,5060735
2023-04-11,21.49,21.92,21.41,21.87,2159925
2023-04-12,22.0,22.26,21.66,21.92,2151165
2023-04-13,22.09,22.09,21.58,21.58,1736916
2023-04-14,21.66,22.38,21.45,21.71,2616636
2023-04-17,21.83,22.42,21.79,22.26,1935185
2023-04-18,22.64,22.81,22.26,22.38,2629561
2023-04-19,22.42,22.51,21.62,21.75,1993586
2023-04-20,21.71,21.96,21.45,21.45,1648569
2023-04-21,21.45,21.66,20.65,21.16,3213814
2023-04-24,21.28,21.54,20.77,20.82,988910
2023-04-25,20.94,21.11,20.6,20.6,1496063
2023-04-26,20.44,21.07,20.39,21.07,1272445
2023-04-27,21.07,21.24,20.86,20.86,987746
2023-04-28,21.11,21.11,20.86,20.9,1242064
2023-05-04,20.94,21.75,20.77,21.45,1786763
2023-05-05,21.41,21.58,21.16,21.16,1060321
2023-05-08,21.41,21.49,21.24,21.24,926982
2023-05-09,21.41,21.92,21.37,21.71,1520176
2023-05-10,21.66,21.87,21.49,21.79,2152679
2023-05-11,21.92,22.17,21.66,21.66,2209025
2023-05-12,21.75,22.3,21.66,22.04,3490899
2023-05-15,22.34,22.34,21.66,21.71,1718190
2023-05-16,21.87,22.26,21.54,21.58,2099494
2023-05-17,21.58,21.79,21.03,21.03,2558705
2023-05-18,21.16,21.24,20.99,20.99,1193466
2023-05-19,21.07,21.37,20.99,21.16,836645
2023-05-22,21.32,22.34,21.24,22.0,3510515
2023-05-23,22.09,22.34,21.83,21.87,2347199
2023-05-24,22.0,22.64,21.83,22.38,3580126
2023-05-25,22.26,22.64,22.13,22.51,2868699
2023-05-26,22.55,23.02,22.34,22.34,2527679
2023-05-29,22.38,22.97,22.3,22.72,2704418
2023-05-30,22.85,23.02,22.59,23.02,3159689
2023-05-31,22.97,23.52,22.34,22.68,3331736
2023-06-01,22.76,22.76,22.34,22.51,2455784
2023-06-02,22.64,23.27,22.47,22.85,3002771
2023-06-05,23.1,23.1,22.47,22.47,2276335
2023-06-06,22.55,22.72,22.34,22.59,1947608
2023-06-07,22.85,23.14,22.64,22.93,2704793
2023-06-08,23.1,23.52,22.51,22.51,5195909
2023-06-09,22.59,22.68,22.04,22.59,2587523
2023-06-12,22.81,23.48,22.55,23.1,3195681
2023-06-13,23.36,23.36,22.68,22.68,2568983
2023-06-14,23.02,23.02,22.34,22.34,2062682
2023-06-15,22.26,22.42,22.13,22.42,1390690
2023-06-16,22.64,22.76,22.26,22.26,2058457
2023-06-19,22.26,22.76,22.26,22.34,1537307
2023-06-20,22.51,23.06,22.42,23.06,2581266
2023-06-21,23.23,24.67,23.14,24.67,10041499
2023-06-22,24.96,25.13,24.54,24.71,3147720
2023-06-23,24.88,25.77,24.54,25.34,4676754
2023-06-26,25.51,25.64,24.37,25.39,5016552
2023-06-27,25.43,25.81,25.05,25.22,2983107
2023-06-28,25.39,25.6,24.96,24.96,2106360
2023-06-29,24.84,26.4,24.58,25.22,4731298
2023-06-30,25.3,25.81,25.22,25.22,2105576
2023-07-03,25.43,26.61,25.43,26.06,4791870
2023-07-04,26.19,26.44,25.77,26.06,2696785
2023-07-05,26.32,26.57,25.6,25.6,3306760
2023-07-06,25.6,26.23,25.51,26.23,3062037
2023-07-07,26.15,26.74,26.15,26.49,2301950
2023-07-10,26.74,27.04,26.32,26.44,3048790
2023-07-11,26.49,26.66,26.15,26.15,2658287
2023-07-12,26.32,26.74,26.06,26.19,2460948
2023-07-13,26.32,26.57,26.15,26.4,1764981
2023-07-14,26.57,27.08,26.4,26.66,2915625
2023-07-17,26.66,26.87,26.32,26.4,2379840
2023-07-18,26.32,26.49,26.02,26.06,2809195
2023-07-19,26.32,26.61,26.02,26.19,2516008
2023-07-20,26.19,27.37,26.06,27.08,4866469
2023-07-21,27.33,27.33,26.91,27.25,2393546
2023-07-24,27.46,28.14,27.04,27.5,2873843
2023-07-25,27.54,27.54,26.78,26.91,3383566
2023-07-26,26.91,27.42,26.87,26.95,1551884
2023-07-27,27.08,27.33,26.4,26.66,3535482
2023-07-28,26.82,27.12,26.57,27.08,2165769
2023-07-31,27.16,27.42,26.91,26.91,1881749
2023-08-01,26.87,27.5,26.74,26.74,4348237
2023-08-02,26.82,27.16,26.74,27.16,2062042
2023-08-03,27.33,27.63,26.82,26.87,3149153
2023-08-04,26.91,27.25,26.78,26.99,2722572
2023-08-07,27.25,27.88,26.99,27.59,3301904
2023-08-08,27.8,27.84,27.08,27.12,2010458
2023-08-09,27.12,27.42,26.91,26.91,1796474
2023-08-10,26.95,27.04,25.81,25.81,4536065
2023-08-11,25.94,26.23,25.72,26.23,2415983
2023-08-14,26.49,26.78,26.27,26.44,1876606
2023-08-15,26.57,27.37,26.49,26.74,2476753
2023-08-16,26.91,26.91,26.4,26.53,1488101
2023-08-17,26.53,26.99,26.32,26.57,2435580
2023-08-18,26.4,26.57,24.75,24.75,3752254
2023-08-21,24.71,24.71,23.52,23.78,2247665
2023-08-22,23.86,24.2,23.02,23.95,1885493
2023-08-23,24.5,24.5,23.99,23.99,1234480
2023-08-24,24.12,24.71,23.99,24.71,1591280
2023-08-25,25.05,25.39,24.71,24.71,1458817
2023-08-28,25.05,25.09,24.54,24.88,1303991
2023-08-29,24.96,25.39,24.71,25.13,1295198
2023-08-30,25.13,25.22,24.88,25.13,1403437
2023-08-31,25.26,26.02,25.26,25.98,2764142
2023-09-05,26.57,26.7,26.19,26.53,2305267
2023-09-06,26.4,26.66,26.23,26.66,2721894
2023-09-07,26.99,27.25,26.49,26.57,2942178
2023-09-08,26.61,26.87,26.36,26.74,1974774
2023-09-11,26.99,27.84,26.82,27.08,6519339
2023-09-12,27.12,27.8,27.12,27.76,3335291
2023-09-13,28.01,29.19,28.01,28.73,5131436
2023-09-14,28.73,28.81,27.59,27.92,3877535
2023-09-15,27.92,28.09,27.42,27.63,2430679
2023-09-18,27.63,27.63,26.91,27.08,2013461
2023-09-19,27.42,27.42,26.36,26.87,2198210
2023-09-20,27.08,27.88,26.82,27.88,1648833
2023-09-21,27.97,28.52,27.42,27.5,2286362
2023-09-22,26.7,26.91,25.68,26.15,3088828
2023-09-25,26.15,26.15,24.33,24.33,2414887
2023-09-26,23.95,24.54,22.68,22.68,2856125
2023-09-27,22.68,23.69,22.09,23.69,2110589
2023-09-28,23.86,23.86,23.06,23.4,1400541
2023-09-29,23.69,23.78,23.14,23.23,1354187
2023-10-02,23.52,24.16,23.27,23.99,1397945
2023-10-03,23.82,23.82,22.85,22.85,2477170
2023-10-04,22.17,23.61,22.17,23.61,1147111
2023-10-05,23.69,24.03,23.44,23.48,1573179
2023-10-06,23.48,24.12,23.19,24.12,1283212
2023-10-09,24.16,24.67,23.95,24.5,1354200
2023-10-10,24.79,24.79,24.03,24.03,1920293
2023-10-11,24.2,24.62,24.07,24.54,1374573
2023-10-12,24.67,25.09,24.29,24.5,1225752
2023-10-13,24.37,24.71,23.95,24.5,1522763
2023-10-16,24.54,25.05,24.2,24.29,1651164
2023-10-17,24.54,24.54,22.59,22.59,1188679
2023-10-18,22.72,22.85,21.03,21.03,2909777
2023-10-19,21.11,21.66,20.56,21.16,1261012
2023-10-20,21.16,21.96,20.9,21.92,1041296
2023-10-23,21.92,21.96,21.41,21.54,873930
2023-10-24,21.83,21.83,21.2,21.58,684994
2023-10-25,21.66,22.04,21.66,21.71,975099
2023-10-26,21.41,21.41,20.22,20.22,1668871
2023-10-27,20.22,20.35,18.87,19.76,1320491
2023-10-30,19.72,19.72,18.49,18.49,1120021
2023-10-31,18.83,18.83,17.39,17.77,1636260
2023-11-01,17.85,18.07,17.18,18.07,1234069
2023-11-02,18.53,19.29,18.28,19.29,1354887
2023-11-03,19.46,19.84,18.79,19.46,1589186
2023-11-06,19.55,19.84,19.34,19.76,1055443
2023-11-07,19.76,20.39,19.55,19.76,1537797
2023-11-08,19.76,21.11,19.76,21.11,1741016
2023-11-09,21.28,21.87,21.11,21.24,2099695
2023-11-10,21.07,21.66,20.86,21.03,1675980
2023-11-13,21.24,21.54,20.82,21.16,1085740
2023-11-14,21.49,21.71,21.24,21.32,1372710
2023-11-15,21.87,21.87,21.37,21.41,1116246
2023-11-16,21.28,21.58,21.24,21.58,781540
2023-11-17,21.75,22.42,21.58,21.92,3648509
2023-11-20,21.24,22.26,21.24,21.92,1361163
2023-11-21,22.26,22.38,22.0,22.3,897671
2023-11-22,22.34,22.85,22.21,22.68,1959190
2023-11-23,22.72,22.72,21.11,21.11,1997610
2023-11-24,21.16,21.41,20.05,21.41,1976440
2023-11-27,21.28,21.58,20.99,21.07,445824
2023-11-28,21.16,21.32,20.52,21.07,1270929
2023-11-29,21.16,21.45,21.03,21.32,768889
2023-11-30,21.54,21.71,21.2,21.2,900289
2023-12-01,21.41,21.49,21.07,21.41,848856
2023-12-04,21.75,22.64,21.71,22.42,2082006
2023-12-05,22.55,22.64,22.34,22.51,1456427
2023-12-06,22.55,22.93,22.51,22.81,1552771
2023-12-07,22.89,23.06,21.92,22.17,1966780
2023-12-08,22.26,22.76,22.0,22.42,1304428
2023-12-11,22.42,22.42,22.04,22.26,608202
2023-12-12,22.47,22.47,22.21,22.26,479355
2023-12-13,22.34,22.76,22.13,22.26,1270363
2023-12-14,22.59,22.59,21.92,22.09,849727
2023-12-15,22.09,22.13,21.62,21.75,805733
2023-12-18,21.62,21.75,21.16,21.16,930847
2023-12-19,21.24,21.41,20.99,21.32,525618
2023-12-20,21.45,21.79,21.32,21.71,669999
2023-12-21,21.54,21.71,21.37,21.66,425969
2023-12-22,21.79,21.87,21.58,21.62,712028
2023-12-25,21.62,22.21,21.62,22.17,719040
2023-12-26,22.42,22.42,22.13,22.21,1001002
2023-12-27,22.3,22.47,22.17,22.26,1019980
2023-12-28,22.34,22.42,22.17,22.21,818115
2023-12-29,22.34,23.02,22.26,22.64,2120528
2024-01-02,22.76,22.89,22.42,22.42,1155806
2024-01-03,22.42,23.99,22.38,23.99,5608577
2024-01-04,24.12,24.16,23.86,23.86,1810860
2024-01-05,23.99,24.79,23.99,24.33,3104230
2024-01-08,24.46,25.39,24.12,24.84,3340629
2024-01-09,24.96,24.96,24.41,24.5,1622353
2024-01-10,24.5,24.75,24.29,24.29,2166881
2024-01-11,24.29,25.01,24.24,24.62,1582871
2024-01-12,24.41,24.46,23.69,23.91,2535535
2024-01-15,24.12,24.29,23.99,23.99,967515
2024-01-16,23.95,24.75,23.86,24.67,1761196
2024-01-17,24.79,25.22,24.37,24.37,1370678
2024-01-18,24.62,24.88,24.37,24.79,1670456
2024-01-19,24.84,25.3,24.62,24.62,1913566
2024-01-22,24.58,24.62,24.16,24.29,1837401
2024-01-23,24.33,24.84,24.29,24.37,855630
2024-01-24,24.29,24.37,24.12,24.12,1360336
2024-01-25,24.12,24.41,24.07,24.12,913408
2024-01-26,24.33,24.33,24.12,24.29,1031703
2024-01-29,24.29,25.01,24.29,24.54,2139413
2024-01-30,24.67,25.72,24.54,25.72,4435957
2024-01-31,25.72,25.72,24.84,24.84,3440505
2024-02-01,24.84,25.3,24.71,25.13,1541761
2024-02-02,25.13,25.3,24.71,24.79,2838571
2024-02-05,24.88,24.88,24.2,24.62,3003540
2024-02-06,24.67,24.84,24.41,24.46,1573102
2024-02-07,24.5,24.92,24.29,24.67,2393701
2024-02-15,24.96,25.56,24.75,25.39,4730253
2024-02-16,25.43,25.51,25.05,25.13,4784490
2024-02-19,26.5,26.5,25.85,26.0,2267414
2024-02-20,26.0,26.0,25.6,25.8,1531105
2024-02-21,25.7,26.15,25.6,25.95,1430985
2024-02-22,25.85,26.25,25.7,25.8,1129701
2024-02-23,25.8,25.9,25.05,25.35,1517031
2024-02-26,25.35,25.7,25.0,25.7,1283961
2024-02-27,25.85,26.4,25.8,26.1,1721619
2024-02-28,26.2,26.2,25.75,25.9,1313451
2024-02-29,25.9,26.0,25.45,25.7,1951062
2024-03-01,25.8,26.95,25.5,26.8,4198152
2024-03-04,27.0,27.0,26.65,26.7,1275189
2024-03-05,26.3,26.7,26.15,26.4,2211077
2024-03-06,26.4,26.5,25.7,25.85,1866855
2024-03-07,25.85,26.15,25.75,26.15,1710531
2024-03-08,26.0,26.3,25.55,25.55,2377178
2024-03-11,25.55,25.6,25.0,25.0,1407606
2024-03-12,25.0,25.55,24.85,25.3,1489358
2024-03-13,25.7,25.7,25.3,25.65,1708898
2024-03-14,25.8,26.2,25.55,26.2,3783544
2024-03-15,26.2,27.05,26.0,26.45,4961800
2024-03-18,26.45,26.8,25.0,25.45,3347953
2024-03-19,25.65,26.0,25.45,25.45,1799515
2024-03-20,25.5,25.65,25.25,25.65,1937820
2024-03-21,26.0,26.5,25.65,26.5,3286505
2024-03-22,27.15,27.2,26.5,26.65,4311798
2024-03-25,26.8,27.35,26.2,26.4,3241391
2024-03-26,26.4,26.95,26.1,26.95,1681663
2024-03-27,27.1,27.3,26.4,26.95,2269515
2024-03-28,27.05,27.05,26.5,26.6,1456568
2024-03-29,26.9,26.9,26.15,26.2,1404398
2024-04-01,26.2,26.75,25.9,26.2,2230163
2024-04-02,26.0,26.4,25.75,26.3,1848784
2024-04-03,26.3,26.75,26.0,26.1,2272581
2024-04-04,26.05,26.35,25.6,25.6,1447721
2024-04-05,25.4,25.6,25.3,25.3,1602003
2024-04-08,25.25,25.4,25.0,25.0,1141414
2024-04-09,25.0,25.2,24.8,25.2,1002909
2024-04-10,25.3,25.4,24.8,24.8,815989
2024-04-11,24.4,24.75,24.2,24.5,1157863
2024-04-12,24.55,24.8,24.55,24.65,738457
2024-04-15,24.6,24.75,22.95,22.95,2114466
2024-04-16,22.9,22.9,21.35,21.95,2345699
2024-04-17,22.15,22.2,21.35,21.4,959369
2024-04-19,20.5,21.3,20.1,20.15,2004963
2024-04-22,20.8,20.8,20.15,20.5,1119293
2024-04-23,20.7,20.9,19.2,19.5,1205378
2024-04-24,19.9,20.85,19.9,20.85,1619401
2024-04-25,21.0,22.0,21.0,21.5,1976686
2024-04-26,21.1,21.5,21.0,21.45,1052538
2024-05-02,21.6,21.65,21.05,21.25,1022404
2024-05-03,21.65,21.65,21.0,21.1,931254
2024-05-06,21.4,21.75,21.15,21.7,1251434
2024-05-07,21.7,22.3,21.7,21.8,1398501
2024-05-08,21.45,22.9,21.1,22.6,4451550
2024-05-09,22.8,22.85,22.05,22.3,1725373
2024-05-10,22.5,22.5,21.85,21.95,2323063
2024-05-13,22.0,22.2,21.6,21.85,1476090
2024-05-14,21.9,22.2,21.75,21.8,1314157
2024-05-15,21.8,22.4,21.8,22.3,2317000
2024-05-16,22.5,22.65,22.25,22.25,1701953
2024-05-17,22.2,22.4,21.9,22.15,2693247
2024-05-20,22.5,22.95,22.35,22.85,3443812
2024-05-21,22.85,22.9,22.35,22.6,1991888
2024-05-22,22.8,22.85,22.2,22.25,2562677
2024-05-23,22.25,22.55,22.15,22.4,2047356
2024-05-24,22.3,22.85,21.7,21.85,3477947
2024-05-27,22.0,22.35,21.85,22.1,1364849
2024-05-28,22.1,22.65,22.1,22.65,2177510
2024-05-29,22.65,23.5,22.55,22.95,4405535
2024-05-30,22.45,23.4,22.45,22.8,2838059
2024-05-31,23.2,23.2,22.55,22.55,1944041
2024-06-03,22.75,23.1,22.7,22.9,1984818
2024-06-04,23.1,23.75,22.9,23.5,5470571
2024-06-05,23.7,23.85,23.3,23.3,3181956
2024-06-06,23.5,23.7,22.85,23.0,2129925
2024-06-07,23.2,23.25,22.9,23.0,1633156
2024-06-10,23.35,23.95,23.3,23.35,4643261
2024-06-11,23.45,23.5,22.8,22.85,2353149
2024-06-12,22.85,22.9,22.5,22.8,2649911
2024-06-13,23.0,23.1,22.75,22.8,2340162
2024-06-14,22.8,23.4,22.0,22.0,3808579
2024-06-17,22.15,22.4,22.0,22.15,1837469
2024-06-18,22.5,22.5,22.0,22.0,1739212
2024-06-19,22.05,22.15,21.5,21.6,2636464
2024-06-20,21.6,21.85,20.8,21.0,2614314
2024-06-21,21.05,21.35,21.0,21.0,1228328
2024-06-24,21.25,21.3,19.95,19.95,2067187
2024-06-25,19.95,21.15,19.95,20.8,3722746
2024-06-26,20.9,21.2,20.7,21.1,1062696
2024-06-27,21.2,21.25,20.7,20.8,828095
2024-06-28,20.8,20.8,20.0,20.05,1484748
2024-07-01,20.45,20.45,20.05,20.35,637073
2024-07-02,20.45,20.8,20.45,20.65,1044557
2024-07-03,20.85,21.7,20.65,21.4,2510226
2024-07-04,21.5,21.5,21.05,21.15,1112386
2024-07-05,21.25,21.65,21.1,21.25,1725257
2024-07-08,21.45,21.45,20.9,21.0,1464868
2024-07-09,21.0,21.3,20.85,21.3,2666566
2024-07-10,21.65,21.65,21.2,21.2,2766217
2024-07-11,21.3,21.45,21.05,21.15,1081227
2024-07-12,21.3,21.3,20.45,20.6,2220579
2024-07-15,20.7,20.85,20.6,20.65,663844
2024-07-16,20.9,20.9,20.6,20.65,936352
2024-07-17,20.8,20.85,19.5,20.0,2255280
2024-07-18,20.05,20.4,19.7,20.2,1266603
2024-07-19,20.2,20.2,19.75,19.95,780988
2024-07-22,19.95,19.95,19.0,19.25,1238675
2024-07-23,19.35,19.5,18.4,18.4,1119273
2024-07-24,18.4,19.2,18.05,19.0,1099172
2024-07-25,18.95,18.95,18.65,18.8,477500
2024-07-26,18.8,19.2,18.8,18.9,606600
2024-07-29,19.1,19.2,18.8,18.95,316700
2024-07-30,19.0,19.0,18.45,18.65,701300
2024-07-31,18.6,18.8,18.3,18.4,717000
2024-08-01,18.3,18.45,17.3,17.3,1612600
2024-08-02,17.2,18.5,16.85,18.5,1089800
2024-08-05,17.9,18.2,17.25,17.25,1496800
2024-08-06,17.5,18.0,17.15,18.0,1084500
2024-08-07,18.0,18.4,17.6,18.4,947600
2024-08-08,18.3,19.4,18.05,18.45,2270700
2024-08-09,18.9,18.9,18.45,18.55,883200
2024-08-12,18.55,19.1,18.4,18.7,1050500
2024-08-13,18.75,18.75,18.35,18.5,723600
2024-08-14,18.85,18.85,18.15,18.15,795900
2024-08-15,18.2,18.6,18.05,18.4,864700
2024-08-16,18.5,19.5,18.45,19.4,2728800
2024-08-19,19.6,19.6,19.2,19.2,1279200
2024-08-20,19.4,19.6,19.2,19.4,1455800
2024-08-21,19.6,20.2,19.5,19.5,2052500
2024-08-22,19.65,19.65,19.35,19.4,1149200
2024-08-23,19.4,19.5,18.9,19.1,1705300
2024-08-26,19.4,19.4,19.0,19.0,1012700
2024-08-27,19.0,19.3,18.9,18.95,978400
2024-08-28,19.05,19.25,18.75,18.9,864300
2024-08-29,18.95,19.0,18.75,18.75,529400
2024-08-30,19.1,19.1,18.8,18.8,677200
2024-09-04,18.4,19.3,18.4,19.1,1148400
2024-09-05,19.2,19.35,18.8,19.05,907400
2024-09-06,19.05,19.05,18.75,18.85,646400
2024-09-09,18.6,19.05,18.6,18.75,558300
2024-09-10,18.85,18.95,18.35,18.4,884400
2024-09-11,18.4,18.5,17.75,18.5,1524900
2024-09-12,18.5,18.55,18.2,18.25,534400
2024-09-13,18.25,18.3,17.95,17.95,1052900
2024-09-16,18.0,18.2,17.65,18.15,918300
2024-09-17,18.0,18.45,17.85,18.45,726800
2024-09-18,18.5,18.5,18.2,18.4,832500
2024-09-19,18.35,18.55,18.2,18.4,823700
2024-09-20,18.5,18.6,18.35,18.45,1293300
