time,open,high,low,close,volume
2023-03-30,6.0,6.1,6.0,6.1,15909
2023-03-31,6.1,6.1,6.1,6.1,10000
2023-04-03,6.0,6.1,6.0,6.1,417100
2023-04-04,6.0,6.3,6.0,6.2,30217
2023-04-05,6.2,6.2,6.0,6.2,219320
2023-04-06,6.2,6.4,6.1,6.3,21404
2023-04-07,6.3,6.5,6.2,6.5,23500
2023-04-10,6.4,6.4,6.2,6.2,36800
2023-04-11,6.2,6.3,6.1,6.1,32400
2023-04-12,6.1,6.3,6.1,6.3,30216
2023-04-13,6.1,6.3,6.1,6.3,30400
2023-04-14,6.1,6.2,6.1,6.1,27536
2023-04-17,6.1,6.2,6.0,6.2,30600
2023-04-18,6.0,6.2,6.0,6.2,35400
2023-04-19,6.0,6.2,6.0,6.2,48522
2023-04-20,6.0,6.0,6.0,6.0,52721
2023-04-21,6.0,6.0,5.9,6.0,49300
2023-04-24,5.9,5.9,5.9,5.9,82100
2023-04-25,5.9,5.9,5.8,5.8,22704
2023-04-26,5.8,5.8,5.8,5.8,17000
2023-04-27,5.8,5.9,5.7,5.8,17900
2023-04-28,5.8,5.9,5.8,5.8,31000
2023-05-04,5.8,5.9,5.7,5.8,67000
2023-05-05,5.9,6.2,5.9,6.2,27400
2023-05-08,6.1,6.5,6.1,6.2,40461
2023-05-09,6.2,6.2,6.0,6.0,32400
2023-05-10,6.0,6.0,5.9,6.0,32000
2023-05-11,5.9,6.0,5.9,6.0,32139
2023-05-12,6.1,6.1,6.0,6.0,30000
2023-05-15,6.0,6.2,6.0,6.2,24600
2023-05-16,6.0,6.1,6.0,6.0,68320
2023-05-17,6.0,6.4,6.0,6.4,22500
2023-05-18,6.4,6.4,6.2,6.2,31800
2023-05-19,6.1,6.1,6.0,6.1,30600
2023-05-22,6.1,6.1,6.0,6.1,31000
2023-05-23,6.0,6.2,6.0,6.1,33701
2023-05-24,6.0,6.2,6.0,6.2,26800
2023-05-25,6.1,6.2,6.1,6.2,30700
2023-05-26,6.1,6.1,6.1,6.1,16606
2023-05-29,6.1,6.2,6.1,6.1,40620
2023-05-30,6.1,6.7,6.1,6.3,114700
2023-05-31,6.3,6.5,6.3,6.4,54200
2023-06-01,6.4,6.6,6.3,6.4,65500
2023-06-02,6.4,6.6,6.4,6.6,106100
2023-06-05,6.6,6.7,6.6,6.6,51500
2023-06-06,6.6,6.6,6.4,6.5,56615
2023-06-07,6.5,6.6,6.5,6.5,41911
2023-06-08,6.5,6.6,6.5,6.5,40700
2023-06-09,6.5,6.6,6.5,6.5,41114
2023-06-12,6.5,6.8,6.5,6.8,123000
2023-06-13,6.8,6.8,6.7,6.8,69125
2023-06-14,6.7,6.9,6.6,6.6,84200
2023-06-15,6.6,6.7,6.6,6.6,62100
