time,open,high,low,close,volume
2023-03-30,25.88,25.88,25.88,25.88,0
2023-03-31,25.88,25.88,25.88,25.88,0
2023-04-03,25.88,25.88,25.88,25.88,0
2023-04-04,23.96,23.96,23.96,23.96,400
2023-04-05,23.96,23.96,23.96,23.96,0
2023-04-06,23.96,23.96,21.66,21.85,300
2023-04-07,21.95,23.96,19.74,23.96,6200
2023-04-10,21.66,25.69,21.66,25.69,900
2023-04-11,23.19,23.19,23.19,23.19,700
2023-04-12,23.48,25.11,23.48,25.11,600
2023-04-13,25.01,25.01,22.71,22.71,500
2023-04-14,24.92,24.92,24.92,24.92,100
2023-04-17,24.92,24.92,24.92,24.92,0
2023-04-18,24.92,24.92,24.92,24.92,0
2023-04-19,24.92,24.92,24.92,24.92,0
2023-04-20,24.82,24.92,24.82,24.92,1700
2023-04-21,22.52,24.92,22.52,24.92,1500
2023-04-24,26.26,26.26,26.26,26.26,800
2023-04-25,26.26,26.26,24.92,26.26,7200
2023-04-26,24.92,26.17,24.92,26.17,702
2023-04-27,26.17,26.17,26.17,26.17,0
2023-04-28,24.92,24.92,24.92,24.92,700
2023-05-04,24.92,24.92,24.92,24.92,0
2023-05-05,24.92,24.92,24.92,24.92,1100
2023-05-08,24.92,24.92,24.92,24.92,1000
2023-05-09,24.92,27.32,24.92,27.32,602
2023-05-10,27.79,27.79,25.4,27.32,1400
2023-05-11,24.63,24.63,24.63,24.63,400
2023-05-12,24.73,24.73,24.73,24.73,100
2023-05-15,24.25,25.4,22.62,25.4,4201
2023-05-16,25.4,25.4,25.4,25.4,0
2023-05-17,25.4,25.4,25.4,25.4,0
2023-05-18,25.4,25.4,25.4,25.4,0
2023-05-19,25.21,25.21,24.92,24.92,200
2023-05-22,23.48,24.73,23.48,24.73,600
2023-05-23,24.63,24.63,24.63,24.63,100
2023-05-24,24.63,24.63,24.63,24.63,0
2023-05-25,23.48,26.74,22.52,26.74,8880
2023-05-26,24.92,25.88,24.15,25.88,21636
2023-05-29,23.58,26.84,23.58,26.84,1523
2023-05-30,24.15,25.78,24.15,25.78,1700
2023-05-31,23.67,25.59,23.58,25.59,1400
2023-06-01,23.19,24.82,23.1,24.82,9000
2023-06-02,24.82,24.82,24.82,24.82,0
2023-06-05,24.44,24.73,23.96,24.44,5900
2023-06-06,24.34,24.73,24.25,24.73,1410
2023-06-07,24.15,24.73,24.15,24.73,1200
2023-06-08,24.82,25.59,24.73,25.59,2040
2023-06-09,25.59,25.59,25.49,25.49,8107
2023-06-12,24.06,25.4,24.06,25.4,200
2023-06-13,25.3,25.3,25.3,25.3,300
2023-06-14,25.21,27.79,25.21,25.4,3401
2023-06-15,25.3,25.3,25.3,25.3,2102
2023-06-16,25.3,25.4,24.92,24.92,1000
2023-06-19,24.15,25.4,24.15,25.4,1829
2023-06-20,24.54,25.88,24.54,25.88,200
2023-06-21,25.88,25.88,24.15,25.88,1201
2023-06-22,25.88,25.88,25.88,25.88,0
2023-06-23,25.88,25.88,25.88,25.88,0
