time,open,high,low,close,volume
2023-03-30,56.32,56.32,56.32,56.32,0
2023-03-31,55.58,55.58,55.58,55.58,100
2023-04-03,55.58,55.58,55.58,55.58,0
2023-04-04,55.58,55.58,55.58,55.58,0
2023-04-05,55.58,55.58,55.58,55.58,0
2023-04-06,55.58,55.58,55.58,55.58,0
2023-04-07,55.58,55.58,55.58,55.58,0
2023-04-10,55.58,55.58,55.58,55.58,0
2023-04-11,55.58,55.58,55.58,55.58,0
2023-04-12,55.58,55.58,55.58,55.58,0
2023-04-13,55.58,55.58,55.58,55.58,0
2023-04-14,55.58,55.58,55.58,55.58,100
2023-04-17,55.58,55.58,55.58,55.58,0
2023-04-18,55.58,55.58,55.58,55.58,0
2023-04-19,55.58,55.58,55.58,55.58,0
2023-04-20,55.58,55.58,55.58,55.58,0
2023-04-21,55.58,55.58,55.58,55.58,0
2023-04-24,55.58,55.58,55.58,55.58,0
2023-04-25,55.58,55.58,55.58,55.58,0
2023-04-26,55.58,55.58,55.58,55.58,0
2023-04-27,55.58,55.58,55.58,55.58,0
2023-04-28,55.58,55.58,55.58,55.58,0
2023-05-04,55.58,55.58,55.58,55.58,0
2023-05-05,55.58,55.58,55.58,55.58,0
2023-05-08,55.58,55.58,55.58,55.58,0
2023-05-09,55.58,55.58,55.58,55.58,0
2023-05-10,55.58,55.58,55.58,55.58,0
2023-05-11,55.58,55.58,55.58,55.58,0
2023-05-12,55.58,55.58,55.58,55.58,0
2023-05-15,55.58,55.58,55.58,55.58,0
2023-05-16,55.58,55.58,55.58,55.58,0
2023-05-17,55.58,55.58,55.58,55.58,9
2023-05-18,55.58,55.58,55.58,55.58,0
2023-05-19,55.58,55.58,55.58,55.58,0
2023-05-22,55.58,55.58,55.58,55.58,0
2023-05-23,55.58,55.58,55.58,55.58,0
2023-05-24,55.58,55.58,55.58,55.58,0
2023-05-25,51.69,55.58,51.69,55.58,1372
2023-05-26,55.58,55.58,55.58,55.58,8
2023-05-29,55.58,55.58,55.58,55.58,0
2023-05-30,55.58,55.58,55.58,55.58,1
2023-05-31,55.58,55.58,55.58,55.58,0
2023-06-01,55.58,55.58,55.58,55.58,0
2023-06-02,55.58,55.58,55.58,55.58,0
2023-06-05,55.58,55.58,55.58,55.58,0
2023-06-06,55.67,55.67,51.69,53.72,1800
2023-06-07,53.72,53.72,53.72,53.72,0
2023-06-08,53.72,53.72,53.72,53.72,1
2023-06-09,53.72,53.72,53.72,53.72,0
2023-06-12,52.61,52.61,51.87,52.61,1101
2023-06-13,52.61,52.61,52.61,52.61,0
2023-06-14,52.61,52.61,52.61,52.61,0
2023-06-15,52.61,52.61,52.61,52.61,0
2023-06-16,52.61,52.61,52.61,52.61,0
2023-06-19,52.61,52.61,52.61,52.61,0
2023-06-20,52.61,52.61,52.61,52.61,0
2023-06-21,52.61,52.61,52.61,52.61,0
2023-06-22,52.61,52.61,52.61,52.61,0
2023-06-23,52.61,52.61,52.61,52.61,0
2023-06-26,52.61,52.61,52.61,52.61,0
2023-06-27,49.0,49.0,49.0,49.0,100
2023-06-28,45.57,45.57,45.57,45.57,5265
2023-06-29,45.57,45.57,45.57,45.57,4
2023-06-30,47.98,47.98,47.98,47.98,585
2023-07-03,44.65,47.8,44.65,47.8,631
2023-07-04,49.83,49.83,49.83,49.83,1212
2023-07-05,49.83,49.83,49.83,49.83,6
2023-07-06,46.5,46.5,46.5,46.5,501
2023-07-07,49.65,49.65,49.65,49.65,100
2023-07-10,49.65,49.65,49.65,49.65,10
2023-07-11,49.65,49.65,49.65,49.65,75
2023-07-12,49.65,49.65,49.65,49.65,10
2023-07-13,49.65,49.65,49.65,49.65,0
2023-07-14,49.65,49.65,49.65,49.65,0
2023-07-17,49.65,49.65,49.65,49.65,0
2023-07-18,49.65,49.65,49.65,49.65,0
2023-07-19,46.17,48.81,46.17,48.81,1220
2023-07-20,45.48,45.48,45.48,45.48,1210
2023-07-21,45.48,45.48,45.02,45.11,1517
2023-07-24,45.11,45.11,45.11,45.11,0
2023-07-25,45.11,45.11,45.11,45.11,100
2023-07-26,44.46,48.07,44.46,48.07,904
2023-07-27,45.02,49.37,45.02,48.54,1302
2023-07-28,45.29,49.65,45.16,49.65,6803
2023-07-31,49.65,49.65,49.65,49.65,0
2023-08-01,49.0,49.65,46.17,46.22,6403
2023-08-02,46.22,48.63,44.18,48.63,1912
2023-08-03,47.15,49.09,45.25,49.09,2301
2023-08-04,45.76,49.56,45.67,49.46,5800
2023-08-07,49.65,49.65,48.81,49.56,1800
2023-08-08,46.78,46.78,46.78,46.78,100
2023-08-09,46.87,49.84,46.87,49.84,200
2023-08-10,46.59,49.74,46.59,49.74,600
2023-08-11,49.74,49.74,49.74,49.74,0
2023-08-14,46.59,49.46,46.59,49.46,317
2023-08-15,47.83,50.03,47.83,50.03,2000
2023-08-16,46.68,50.7,46.68,50.7,900
2023-08-17,50.7,50.7,50.7,50.7,0
2023-08-18,47.45,50.7,47.26,50.7,500
2023-08-21,50.7,50.7,50.7,50.7,0
2023-08-22,50.7,50.7,50.7,50.7,0
2023-08-23,50.7,50.7,50.7,50.7,0
2023-08-24,50.7,50.7,50.7,50.7,5
2023-08-25,47.35,51.08,47.26,51.08,484
2023-08-28,51.08,51.08,51.08,51.08,4
2023-08-29,51.08,51.08,51.08,51.08,1
2023-08-30,51.08,51.08,51.08,51.08,0
2023-08-31,51.08,51.08,51.08,51.08,5
2023-09-05,48.12,50.99,47.83,50.99,2314
2023-09-06,50.99,50.99,50.99,50.99,601
2023-09-07,50.7,50.7,50.7,50.7,900
2023-09-08,50.7,50.7,50.7,50.7,0
2023-09-11,50.7,50.7,50.7,50.7,0
2023-09-12,50.7,50.7,50.7,50.7,0
2023-09-13,50.7,50.7,50.7,50.7,0
2023-09-14,49.74,50.7,49.74,50.7,300
2023-09-15,50.7,50.7,50.7,50.7,0
2023-09-18,47.26,47.26,47.26,47.26,300
2023-09-19,50.22,50.22,50.22,50.22,100
2023-09-20,50.22,50.22,50.22,50.22,0
2023-09-21,47.26,50.6,47.26,50.6,301
2023-09-22,50.6,50.6,50.6,50.6,0
2023-09-25,50.6,50.6,50.6,50.6,0
2023-09-26,50.6,50.6,50.6,50.6,0
2023-09-27,50.6,50.6,50.6,50.6,0
2023-09-28,47.16,47.16,47.16,47.16,400
2023-09-29,48.79,48.79,48.79,48.79,101
2023-10-02,48.79,48.79,48.79,48.79,0
2023-10-03,48.79,48.79,48.79,48.79,0
2023-10-04,48.79,48.79,48.79,48.79,0
2023-10-05,48.79,48.79,48.79,48.79,0
2023-10-06,48.79,48.79,48.79,48.79,1
2023-10-09,45.44,48.79,45.44,48.79,1700
2023-10-10,48.79,48.79,48.79,48.79,0
2023-10-11,48.79,48.79,48.79,48.79,0
2023-10-12,48.79,48.79,48.79,48.79,0
2023-10-13,48.79,48.79,48.79,48.79,0
2023-10-16,48.79,48.79,48.79,48.79,1
2023-10-17,48.79,48.79,48.79,48.79,0
2023-10-18,48.79,48.79,48.79,48.79,0
2023-10-19,45.44,48.79,45.44,48.79,800
2023-10-20,48.79,48.79,48.79,48.79,2
2023-10-23,48.79,48.79,48.79,48.79,0
2023-10-24,48.79,48.79,48.79,48.79,0
