time,open,high,low,close,volume
2023-03-30,13.6,14.5,13.4,13.8,16100
2023-03-31,14.3,14.3,14.2,14.2,1400
2023-04-03,14.2,15.0,14.0,14.7,12400
2023-04-04,14.5,15.0,14.4,14.4,15100
2023-04-05,14.0,14.9,13.5,14.0,28800
2023-04-06,14.9,15.0,14.4,14.4,17800
2023-04-07,15.0,15.0,13.6,14.0,5600
2023-04-10,14.8,15.0,13.9,14.2,14606
2023-04-11,14.2,14.2,13.6,14.2,3100
2023-04-12,13.9,14.4,13.8,13.8,3900
2023-04-13,13.6,14.0,13.5,14.0,3904
2023-04-14,13.5,13.8,12.6,12.8,10200
2023-04-17,13.0,13.4,12.6,13.4,900
2023-04-18,13.5,14.0,13.3,13.8,6600
2023-04-19,14.0,15.5,14.0,15.5,61140
2023-04-20,17.5,17.7,17.5,17.7,9553
2023-04-21,20.3,20.3,18.0,19.4,206646
2023-04-24,20.0,20.0,18.5,18.9,31804
2023-04-25,19.0,20.0,18.0,18.5,58300
2023-04-26,18.4,18.9,17.6,18.9,25200
2023-04-27,18.0,18.5,17.9,18.5,11906
2023-04-28,18.4,18.4,17.0,18.0,12500
2023-05-04,19.0,19.0,16.5,17.5,18000
2023-05-05,17.0,18.0,16.7,17.5,15409
2023-05-08,17.2,17.2,16.7,17.0,9903
2023-05-09,18.0,18.0,16.6,17.0,10100
2023-05-10,16.8,17.4,16.6,17.3,5700
2023-05-11,17.4,17.5,17.0,17.1,12100
2023-05-12,17.3,18.2,17.0,17.4,15827
2023-05-15,18.0,18.0,17.7,17.7,7000
2023-05-16,17.8,17.9,17.1,17.5,4600
2023-05-17,17.9,17.9,16.9,16.9,4000
2023-05-18,16.9,17.5,16.7,17.5,5000
2023-05-19,17.0,18.0,17.0,17.6,14100
2023-05-22,17.8,19.7,17.8,19.4,34800
2023-05-23,20.8,20.8,18.5,18.6,10406
2023-05-24,19.5,19.5,18.1,18.3,14000
2023-05-25,17.8,18.8,17.8,18.0,3900
2023-05-26,17.5,18.7,17.0,18.0,10100
2023-05-29,18.8,19.1,18.5,19.0,30000
2023-05-30,19.5,19.7,18.2,18.9,5200
2023-05-31,17.7,19.0,17.7,18.8,8207
2023-06-01,18.6,18.9,18.1,18.5,7801
2023-06-02,18.5,18.5,17.8,18.0,32500
2023-06-05,18.0,18.4,17.5,18.3,10101
