time,open,high,low,close,volume
2023-03-30,19.07,19.07,18.71,18.71,501
2023-03-31,18.74,19.03,18.74,18.94,2007
2023-04-03,19.07,19.07,18.94,18.94,3337
2023-04-04,18.94,18.98,18.94,18.94,500
2023-04-05,19.16,19.16,18.94,18.94,1505
2023-04-06,19.16,19.16,18.85,18.85,2400
2023-04-07,19.3,19.3,18.71,18.71,3102
2023-04-10,19.16,19.16,19.16,19.16,300
2023-04-11,19.14,19.52,19.14,19.48,7400
2023-04-12,19.48,19.48,19.39,19.39,5005
2023-04-13,18.96,19.39,18.96,19.39,28469
2023-04-14,19.39,19.48,19.34,19.48,577635
2023-04-17,19.39,19.39,19.21,19.21,402
2023-04-18,19.3,19.39,19.3,19.39,633
2023-04-19,19.48,19.48,19.48,19.48,100
2023-04-20,19.16,19.39,19.16,19.34,2200
2023-04-21,19.34,19.34,19.34,19.34,500
2023-04-24,19.3,19.3,19.16,19.3,4482
2023-04-25,19.3,19.3,19.3,19.3,0
2023-04-26,19.16,19.21,19.16,19.21,500
2023-04-27,19.21,19.21,19.21,19.21,100
2023-04-28,19.39,19.39,19.19,19.39,3402
2023-05-04,19.16,19.39,19.16,19.39,2800
2023-05-05,19.39,19.39,19.21,19.21,3105
2023-05-08,19.23,19.57,19.21,19.57,1850
2023-05-09,19.57,19.57,19.57,19.57,10
2023-05-10,19.57,19.57,19.25,19.25,2300
2023-05-11,19.39,19.39,19.3,19.3,2683
2023-05-12,19.3,19.3,19.3,19.3,0
2023-05-15,19.39,19.61,19.39,19.61,2400
2023-05-16,19.34,19.34,19.34,19.34,210
2023-05-17,19.39,19.39,19.39,19.39,2000
2023-05-18,19.39,19.39,19.39,19.39,0
2023-05-19,19.39,19.61,19.39,19.61,3402
2023-05-22,19.41,19.41,19.41,19.41,600
2023-05-23,19.61,19.61,19.43,19.43,2100
2023-05-24,19.61,19.89,19.61,19.89,55000
2023-05-25,19.91,19.91,19.89,19.89,42700
2023-05-26,19.89,19.93,19.89,19.93,52100
2023-05-29,19.57,19.79,19.57,19.79,4028
2023-05-30,19.79,20.07,19.79,20.02,3001
2023-05-31,20.07,20.09,19.89,19.98,5601
2023-06-01,19.86,19.93,19.86,19.93,1534
2023-06-02,19.93,19.93,19.93,19.93,26
2023-06-05,20.29,20.56,20.09,20.38,18306
2023-06-06,20.38,20.38,20.38,20.38,11825
2023-06-07,20.38,20.43,20.29,20.43,21200
2023-06-08,20.43,21.19,20.4,20.52,5009
2023-06-09,21.08,21.08,21.08,21.08,209
2023-06-12,21.08,21.08,20.88,20.88,3520
2023-06-13,20.74,20.79,20.74,20.74,10350
2023-06-14,21.1,21.49,21.1,21.49,26609
2023-06-15,22.12,22.12,21.2,21.65,3435
2023-06-16,21.65,21.65,21.18,21.51,11796
2023-06-19,21.51,21.51,21.18,21.18,4160
2023-06-20,20.8,21.18,20.52,21.18,1600
2023-06-21,20.8,20.8,20.8,20.8,109
2023-06-22,21.18,21.18,21.18,21.18,2433
2023-06-23,21.18,21.18,21.18,21.18,304
2023-06-26,21.6,21.65,21.6,21.63,526
2023-06-27,20.87,21.51,20.87,21.51,2358
2023-06-28,21.04,21.72,20.87,21.72,9246
2023-06-29,21.72,21.72,21.18,21.65,800
2023-06-30,21.18,21.18,21.18,21.18,2848
2023-07-03,21.51,21.67,21.51,21.67,55111
2023-07-04,22.22,22.22,22.22,22.22,100
2023-07-05,22.22,22.22,21.56,22.03,10113
2023-07-06,22.03,22.03,22.03,22.03,21
2023-07-07,22.0,22.0,21.27,21.96,2401
2023-07-10,22.17,22.22,21.65,21.67,13900
2023-07-11,21.56,21.67,20.71,21.53,22922
2023-07-12,21.7,21.91,21.56,21.56,5348
2023-07-13,21.6,21.89,21.6,21.6,4038
2023-07-14,21.6,21.75,21.6,21.65,14800
2023-07-17,21.65,21.65,20.76,21.65,12705
2023-07-18,21.98,21.98,21.65,21.67,9100
2023-07-19,21.7,21.7,21.65,21.67,3440
2023-07-20,21.67,22.03,21.65,22.03,1303
2023-07-21,21.7,21.7,21.7,21.7,551
