time,open,high,low,close,volume
2023-03-30,37.24,38.39,37.24,37.53,24803
2023-03-31,37.7,37.81,37.58,37.64,4400
2023-04-03,39.47,39.47,37.76,38.16,9200
2023-04-04,38.1,38.1,37.53,37.81,10800
2023-04-05,38.16,38.67,38.16,38.21,7120
2023-04-06,38.27,38.39,37.87,37.87,15007
2023-04-07,37.81,37.93,37.58,37.7,9600
2023-04-10,37.53,37.76,37.24,37.3,17000
2023-04-11,37.3,37.81,37.24,37.24,6700
2023-04-12,37.64,38.33,37.64,38.33,18400
2023-04-13,37.24,38.1,37.24,38.1,8025
2023-04-14,37.53,37.87,37.41,37.41,4500
2023-04-17,37.41,37.47,37.18,37.47,5709
2023-04-18,37.3,37.41,37.18,37.24,10800
2023-04-19,37.13,37.24,36.78,36.78,41141
2023-04-20,37.01,37.07,36.78,36.84,28402
2023-04-21,36.95,37.01,36.9,36.95,92500
2023-04-24,36.95,37.18,36.95,36.95,71613
2023-04-25,36.95,36.95,36.67,36.9,22000
2023-04-26,36.84,36.84,36.09,36.15,22040
2023-04-27,36.09,36.67,35.01,35.01,30542
2023-04-28,36.61,37.24,35.18,35.18,25781
2023-05-04,37.24,37.24,34.95,35.23,139406
2023-05-05,35.06,36.67,35.06,36.61,69580
2023-05-08,36.84,37.53,36.78,37.53,54326
2023-05-09,37.35,38.73,37.35,38.73,40507
2023-05-10,38.27,39.7,37.99,38.96,144863
2023-05-11,38.96,40.96,38.96,40.22,125649
2023-05-12,41.25,41.94,40.1,41.77,113237
2023-05-15,41.82,41.82,40.74,41.54,30810
2023-05-16,41.82,41.82,40.96,41.59,46422
2023-05-17,41.08,41.59,40.68,41.54,82225
2023-05-18,41.59,41.59,41.08,41.54,13910
2023-05-19,41.14,41.54,41.02,41.54,50203
2023-05-22,41.54,42.4,41.48,41.48,132510
2023-05-23,41.54,41.82,40.74,41.82,24695
2023-05-24,41.25,41.82,41.02,41.82,22228
2023-05-25,41.02,42.34,41.02,42.34,18651
2023-05-26,41.59,42.22,41.59,41.77,2815
2023-05-29,41.82,42.34,41.59,42.28,28440
2023-05-30,41.82,42.57,41.82,42.57,23410
2023-05-31,42.34,42.68,42.11,42.34,16072
2023-06-01,41.31,42.97,41.31,42.97,34851
2023-06-02,41.59,42.45,41.59,42.45,18836
2023-06-05,42.28,42.68,42.11,42.4,11434
2023-06-06,42.11,42.97,42.11,42.68,30113
2023-06-07,42.51,42.68,42.4,42.63,5815
2023-06-08,42.68,42.68,42.4,42.51,5908
2023-06-09,41.94,42.51,41.94,42.11,27148
2023-06-12,42.4,42.4,40.51,40.51,27833
2023-06-13,41.77,42.22,41.14,41.82,6805
2023-06-14,41.82,42.68,41.54,42.4,40535
2023-06-15,42.11,42.11,42.0,42.11,11600
2023-06-16,42.11,42.11,41.82,41.82,32867
2023-06-19,42.05,42.05,41.48,41.48,59150
2023-06-20,42.05,42.4,41.65,41.65,6703
2023-06-21,41.82,41.82,41.31,41.82,5101
2023-06-22,41.71,41.82,41.65,41.77,9610
2023-06-23,41.82,41.82,41.71,41.71,11706
2023-06-26,41.77,41.77,39.25,41.71,27579
2023-06-27,41.82,41.82,41.48,41.65,42650
2023-06-28,41.54,41.59,41.48,41.59,14588
2023-06-29,41.54,41.54,41.25,41.37,25656
2023-06-30,41.25,41.31,41.25,41.25,11030
2023-07-03,40.96,41.14,40.68,41.02,8221
2023-07-04,41.08,41.08,41.02,41.02,3703
2023-07-05,41.08,41.14,41.08,41.14,5719
2023-07-06,40.96,40.96,40.1,40.74,16430
2023-07-07,40.74,40.74,40.1,40.56,13490
2023-07-10,40.56,42.28,40.56,41.82,66377
2023-07-11,42.97,43.54,42.97,43.2,44307
2023-07-12,43.83,43.83,43.26,43.37,34741
2023-07-13,43.49,44.4,43.31,44.4,49692
2023-07-14,44.4,44.52,44.12,44.52,30817
2023-07-17,44.52,45.89,44.52,45.83,87372
2023-07-18,45.72,46.21,45.72,45.96,19607
2023-07-19,46.15,47.36,46.15,46.15,19903
2023-07-20,45.96,46.08,44.87,45.66,23097
2023-07-21,45.66,46.15,45.23,45.66,21518
2023-07-24,45.66,45.84,45.54,45.66,38536
2023-07-25,45.6,45.66,45.42,45.42,18031
2023-07-26,45.48,45.6,44.93,45.6,26503
2023-07-27,45.6,46.15,45.17,45.84,10724
2023-07-28,45.54,45.66,45.48,45.54,7009
2023-07-31,46.15,47.97,45.54,46.15,28642
2023-08-01,46.21,47.3,46.21,47.3,33014
2023-08-02,47.12,47.12,46.93,46.93,2710
2023-08-03,47.3,47.48,46.93,47.48,52800
2023-08-04,47.48,48.33,47.48,48.33,32526
2023-08-07,47.97,48.39,47.85,48.39,13400
2023-08-08,48.33,49.73,48.33,49.73,25492
2023-08-09,49.18,50.09,49.18,50.09,36201
2023-08-10,50.09,50.4,49.85,50.4,34404
2023-08-11,50.4,50.4,49.79,50.09,30811
2023-08-14,49.79,50.64,49.79,50.4,29466
2023-08-15,50.27,50.58,50.09,50.4,6905
2023-08-16,49.79,50.27,49.79,50.27,15750
2023-08-17,49.97,50.33,49.79,49.79,18860
2023-08-18,49.48,49.55,47.06,47.72,36563
2023-08-21,47.85,48.57,47.42,47.66,48642
2023-08-22,47.66,48.57,47.42,48.57,56201
2023-08-23,48.09,48.15,47.97,48.03,9908
2023-08-24,47.91,48.27,47.91,48.27,3429
2023-08-25,48.27,49.18,48.27,48.82,4302
2023-08-28,48.76,48.88,48.76,48.88,10952
2023-08-29,48.82,49.24,48.82,49.18,12350
2023-08-30,49.18,49.79,49.18,49.61,17445
