time,open,high,low,close,volume
2023-03-30,21.48,21.48,21.48,21.48,0
2023-03-31,18.28,18.28,18.28,18.28,18200
2023-04-03,18.28,18.28,18.28,18.28,0
2023-04-04,18.28,18.28,18.28,18.28,0
2023-04-05,18.28,18.28,18.28,18.28,0
2023-04-06,18.28,18.28,18.28,18.28,0
2023-04-07,17.98,17.98,17.98,17.98,100
2023-04-10,17.98,17.98,17.98,17.98,0
2023-04-11,17.98,17.98,17.98,17.98,0
2023-04-12,17.98,17.98,17.98,17.98,0
2023-04-13,17.98,17.98,17.98,17.98,0
2023-04-14,17.98,17.98,17.98,17.98,0
2023-04-17,17.98,17.98,17.98,17.98,0
2023-04-18,19.98,19.98,15.28,15.28,390
2023-04-19,18.43,18.43,18.43,18.43,0
2023-04-20,18.43,18.43,18.43,18.43,0
2023-04-21,18.43,18.43,18.43,18.43,0
2023-04-24,18.43,18.43,18.43,18.43,0
2023-04-25,18.43,18.43,18.43,18.43,0
2023-04-26,18.43,18.43,18.43,18.43,0
2023-04-27,18.43,18.43,18.43,18.43,0
2023-04-28,18.43,18.43,18.43,18.43,0
2023-05-04,18.43,18.43,18.43,18.43,0
2023-05-05,18.43,18.43,18.43,18.43,4
2023-05-08,18.43,18.43,18.43,18.43,0
2023-05-09,18.43,18.43,18.43,18.43,0
2023-05-10,18.43,18.43,18.43,18.43,0
2023-05-11,18.43,18.43,18.43,18.43,0
2023-05-12,18.43,18.43,18.43,18.43,5
2023-05-15,18.43,18.43,18.43,18.43,0
2023-05-16,18.43,18.43,18.43,18.43,0
2023-05-17,18.43,18.43,18.43,18.43,0
2023-05-18,18.43,18.43,18.43,18.43,0
2023-05-19,18.43,18.43,18.43,18.43,0
2023-05-22,18.43,18.43,18.43,18.43,0
2023-05-23,18.43,18.43,18.43,18.43,0
2023-05-24,18.43,18.43,18.43,18.43,0
2023-05-25,18.43,18.43,18.43,18.43,0
2023-05-26,18.43,18.43,18.43,18.43,0
2023-05-29,18.43,18.43,18.43,18.43,0
2023-05-30,18.43,18.43,18.43,18.43,0
2023-05-31,18.43,18.43,18.43,18.43,0
2023-06-01,18.43,18.43,18.43,18.43,0
2023-06-02,18.43,18.43,18.43,18.43,0
2023-06-05,18.43,18.43,18.43,18.43,0
2023-06-06,18.43,18.43,18.43,18.43,0
2023-06-07,18.43,18.43,18.43,18.43,0
2023-06-08,18.43,18.43,18.43,18.43,0
2023-06-09,18.43,18.43,18.43,18.43,0
2023-06-12,18.43,18.43,18.43,18.43,0
2023-06-13,18.43,18.43,18.43,18.43,0
2023-06-14,22.18,22.18,22.18,22.18,100
2023-06-15,18.85,18.85,18.85,18.85,500
2023-06-16,18.85,18.85,18.85,18.85,0
2023-06-19,18.85,18.85,18.85,18.85,0
2023-06-20,18.85,18.85,18.85,18.85,0
2023-06-21,18.85,18.85,18.85,18.85,0
2023-06-22,18.85,18.85,18.85,18.85,0
2023-06-23,18.85,18.85,18.85,18.85,0
2023-06-26,18.85,18.85,18.85,18.85,0
2023-06-27,18.85,18.85,18.85,18.85,0
2023-06-28,18.54,18.54,18.54,18.54,19800
2023-06-29,18.54,18.54,18.54,18.54,0
2023-06-30,18.54,18.54,18.54,18.54,0
