time,open,high,low,close,volume
2023-03-30,28.69,28.82,28.51,28.69,38030
2023-03-31,28.69,28.86,28.43,28.86,29800
2023-04-03,29.13,29.3,28.82,28.95,48926
2023-04-04,28.95,29.08,28.86,29.08,63608
2023-04-05,29.08,29.74,29.08,29.48,8547
2023-04-06,29.13,29.3,28.91,29.13,29292
2023-04-07,29.13,29.3,29.13,29.3,37645
2023-04-10,29.3,29.96,29.26,29.91,108733
2023-04-11,29.74,29.74,29.13,29.35,22495
2023-04-12,29.35,29.91,29.08,29.61,52019
2023-04-13,29.7,30.26,29.7,30.18,140116
2023-04-14,30.18,30.61,29.74,29.74,59814
2023-04-17,29.74,29.74,28.86,29.61,29221
2023-04-18,29.61,29.83,29.39,29.83,38306
2023-04-19,29.83,29.83,29.39,29.39,28871
2023-04-20,29.56,30.57,29.56,30.26,70856
2023-04-21,30.26,30.61,29.61,29.91,33312
2023-04-24,29.74,29.83,29.04,29.04,29676
2023-04-25,29.04,29.3,28.69,28.78,64448
2023-04-26,28.78,29.39,28.78,29.26,18711
2023-04-27,29.26,29.87,28.86,29.04,57298
2023-04-28,28.91,29.56,28.91,29.48,23023
2023-05-04,29.04,29.56,28.78,28.86,66783
2023-05-05,28.86,28.95,28.73,28.86,18488
2023-05-08,28.69,28.95,28.6,28.86,46506
2023-05-09,28.78,29.04,28.78,28.86,16560
2023-05-10,29.04,29.04,28.82,28.95,58112
2023-05-11,29.0,29.08,28.86,29.04,75965
2023-05-12,29.04,29.04,28.91,29.04,21352
2023-05-15,28.95,29.08,28.95,29.08,58724
2023-05-16,29.08,29.61,28.86,29.08,62131
2023-05-17,29.04,29.08,28.86,28.86,35918
2023-05-18,29.0,29.0,28.73,28.78,28627
2023-05-19,28.91,28.91,28.51,28.56,49603
2023-05-22,28.56,28.56,27.9,28.16,166296
2023-05-23,28.43,28.43,27.99,28.16,208450
2023-05-24,28.03,28.43,28.03,28.3,75315
2023-05-25,28.3,28.34,27.9,28.25,86145
2023-05-26,28.25,28.34,27.82,27.95,46310
2023-05-29,27.99,28.21,27.99,28.16,89055
2023-05-30,28.16,28.86,28.16,28.78,207169
2023-05-31,28.78,29.26,28.78,29.13,116814
2023-06-01,29.17,29.56,29.13,29.56,163415
2023-06-02,29.65,29.65,28.6,29.04,172677
2023-06-05,29.04,29.74,29.04,29.56,133892
2023-06-06,29.61,31.49,29.61,31.31,369920
2023-06-07,31.49,31.49,30.57,31.1,228697
2023-06-08,30.75,31.4,30.66,30.79,127046
2023-06-09,30.79,31.31,30.7,31.14,129322
2023-06-12,31.45,32.36,30.88,32.36,289810
2023-06-13,33.06,33.06,31.23,31.53,159005
2023-06-14,32.14,32.14,31.14,31.14,139906
2023-06-15,31.14,31.14,30.53,30.7,145609
2023-06-16,31.05,31.31,30.61,30.7,128221
2023-06-19,30.7,30.83,30.22,30.79,96133
2023-06-20,30.88,31.31,30.79,31.05,71650
2023-06-21,31.05,31.23,30.79,31.14,79503
2023-06-22,31.31,31.49,31.23,31.45,182662
2023-06-23,31.79,31.79,31.1,31.23,82578
2023-06-26,30.75,31.23,30.75,30.92,73469
2023-06-27,31.23,31.93,30.96,31.93,266819
2023-06-28,31.93,32.8,31.88,31.88,163758
2023-06-29,31.66,31.84,30.96,30.96,149855
2023-06-30,31.23,31.45,30.79,31.4,84960
2023-07-03,31.4,31.4,30.79,31.05,90312
2023-07-04,32.01,32.01,31.23,31.49,138729
2023-07-05,31.49,32.1,31.4,31.49,274888
2023-07-06,31.27,32.71,31.27,32.71,219738
2023-07-07,32.71,33.68,32.71,32.98,881925
2023-07-10,33.24,33.63,32.93,33.37,366716
2023-07-11,33.46,33.98,33.15,33.81,361911
2023-07-12,33.68,34.11,33.24,33.24,166844
2023-07-13,33.76,34.73,33.68,34.07,266419
2023-07-14,34.16,34.2,33.24,33.98,381859
2023-07-17,33.98,34.55,33.33,33.68,234742
2023-07-18,33.68,34.11,33.15,33.59,190751
2023-07-19,33.59,33.59,33.19,33.24,187153
2023-07-20,33.15,33.24,32.8,32.8,200833
2023-07-21,32.84,33.81,32.28,33.06,711184
2023-07-24,33.68,33.68,32.76,32.98,354731
2023-07-25,32.98,33.46,32.71,32.8,373693
2023-07-26,33.06,33.06,32.45,32.63,378168
2023-07-27,32.63,32.63,31.97,32.06,438919
2023-07-28,31.93,32.54,31.75,32.54,243165
2023-07-31,33.24,34.55,32.71,33.54,479707
2023-08-01,33.94,34.46,33.54,33.54,469559
2023-08-02,33.54,33.94,33.33,33.59,287840
2023-08-03,33.46,34.2,33.46,33.89,284797
2023-08-04,34.07,34.07,33.72,33.94,154430
2023-08-07,34.2,34.38,33.37,33.63,438332
2023-08-08,33.68,33.68,33.33,33.59,202659
2023-08-09,33.59,33.59,33.28,33.33,184549
2023-08-10,33.33,33.68,33.06,33.11,241133
2023-08-11,33.15,33.15,32.41,32.63,331292
2023-08-14,32.89,33.37,32.67,33.37,319133
2023-08-15,33.5,33.54,33.24,33.41,209765
2023-08-16,33.41,33.59,33.33,33.46,167811
2023-08-17,33.46,33.94,33.28,33.59,323925
2023-08-18,33.46,33.46,31.49,31.53,371935
2023-08-21,31.93,31.93,31.45,31.53,183228
2023-08-22,31.66,31.84,30.88,31.84,179918
2023-08-23,32.1,32.1,31.62,31.88,114337
2023-08-24,31.88,32.06,31.58,32.06,148701
2023-08-25,32.14,32.8,32.01,32.41,174013
2023-08-28,32.54,32.76,32.49,32.76,75515
2023-08-29,33.06,33.41,32.84,33.15,141803
2023-08-30,32.84,33.5,32.84,33.5,150070
2023-08-31,33.63,35.82,33.63,35.82,663973
2023-09-05,37.61,37.87,36.74,37.61,476221
2023-09-06,37.61,38.92,36.91,37.61,442306
2023-09-07,38.31,38.31,37.09,37.96,264251
2023-09-08,37.0,39.1,37.0,38.27,229303
2023-09-11,39.89,39.89,38.18,38.75,569898
2023-09-12,38.05,39.8,38.05,39.8,353142
