time,open,high,low,close,volume
2023-03-30,4.11,4.11,4.11,4.11,200
2023-03-31,4.59,4.59,4.59,4.59,100
2023-04-03,4.78,5.26,4.78,5.26,200
2023-04-04,5.07,5.07,5.07,5.07,0
2023-04-05,5.07,5.07,5.07,5.07,0
2023-04-06,4.4,4.78,4.4,4.78,1940
2023-04-07,4.88,4.88,4.02,4.02,1100
2023-04-10,4.68,4.68,4.68,4.68,800
2023-04-11,4.11,4.11,4.11,4.11,900
2023-04-12,4.49,4.49,4.49,4.49,100
2023-04-13,4.49,4.49,4.49,4.49,0
2023-04-14,4.11,4.11,4.02,4.02,2800
2023-04-17,4.4,4.4,4.4,4.4,100
2023-04-18,4.3,4.49,4.3,4.49,800
2023-04-19,4.49,4.49,4.3,4.3,200
2023-04-20,4.11,4.11,4.02,4.11,600
2023-04-21,4.4,4.4,4.4,4.4,100
2023-04-24,4.3,4.3,4.3,4.3,1002
2023-04-25,4.3,4.3,4.3,4.3,0
2023-04-26,4.3,4.3,4.3,4.3,0
2023-04-27,4.11,4.11,4.11,4.11,1000
2023-04-28,4.11,4.3,4.11,4.3,4200
2023-05-04,4.4,4.4,3.82,3.82,400
2023-05-05,4.3,4.3,3.92,3.92,798
2023-05-08,3.92,4.4,3.92,4.4,800
2023-05-09,4.4,4.4,4.02,4.02,1300
2023-05-10,3.92,3.92,3.82,3.82,1700
2023-05-11,4.21,4.21,4.21,4.21,100
2023-05-12,4.21,4.21,4.21,4.21,0
2023-05-15,4.21,4.21,4.21,4.21,400
2023-05-16,4.3,4.3,4.3,4.3,100
2023-05-17,4.4,4.4,4.4,4.4,100
2023-05-18,4.4,4.4,4.4,4.4,391
2023-05-19,4.4,4.4,4.4,4.4,0
2023-05-22,4.02,4.4,4.02,4.4,3500
2023-05-23,4.4,4.4,4.4,4.4,200
2023-05-24,4.11,4.21,4.11,4.21,1201
2023-05-25,4.4,4.4,4.11,4.11,300
2023-05-26,4.4,4.4,4.4,4.4,1000
2023-05-29,4.4,4.4,4.02,4.02,5000
2023-05-30,4.11,4.11,4.02,4.11,2906
2023-05-31,4.3,4.3,4.11,4.3,700
2023-06-01,4.3,4.4,4.3,4.4,3000
2023-06-02,4.4,4.59,4.3,4.3,2800
2023-06-05,4.59,4.78,4.3,4.3,1400
2023-06-06,4.59,4.59,4.59,4.59,100
2023-06-07,4.59,4.59,4.4,4.4,3000
2023-06-08,4.68,4.68,4.4,4.4,1600
2023-06-09,4.3,4.3,4.02,4.11,4000
2023-06-12,4.11,4.59,4.11,4.3,1200
2023-06-13,4.3,4.3,4.3,4.3,100
2023-06-14,4.49,4.88,4.4,4.88,48600
2023-06-15,4.78,5.45,4.78,5.45,35000
2023-06-16,5.45,6.12,5.16,5.74,12000
2023-06-19,5.07,6.12,4.78,5.07,22000
2023-06-20,5.74,5.74,5.64,5.64,400
2023-06-21,6.12,6.12,6.12,6.12,100
2023-06-22,5.35,5.45,5.26,5.45,18500
2023-06-23,5.93,5.93,5.93,5.93,100
2023-06-26,5.07,5.16,5.07,5.07,13400
2023-06-27,5.74,5.74,4.68,5.45,800
2023-06-28,5.35,5.35,4.49,5.07,2100
2023-06-29,5.35,5.35,4.59,5.07,1401
2023-06-30,5.07,5.07,4.49,4.97,1200
2023-07-03,4.59,5.16,4.59,5.16,505
2023-07-04,5.07,5.07,4.49,4.97,3600
2023-07-05,5.07,5.07,5.07,5.07,100
2023-07-06,5.07,5.07,5.07,5.07,100
2023-07-07,5.07,5.07,4.88,4.88,1700
2023-07-10,4.78,4.97,4.78,4.97,200
2023-07-11,4.88,4.88,4.78,4.78,11900
2023-07-12,4.88,4.88,4.88,4.88,2800
2023-07-13,4.97,4.97,4.97,4.97,100
2023-07-14,4.97,4.97,4.97,4.97,100
2023-07-17,4.4,4.49,4.4,4.49,1100
2023-07-18,4.97,4.97,4.78,4.78,900
2023-07-19,4.78,4.78,4.78,4.78,900
2023-07-20,4.78,4.97,4.78,4.78,7400
2023-07-21,4.97,4.97,4.78,4.97,2400
2023-07-24,4.88,4.88,4.88,4.88,1600
2023-07-25,4.78,4.78,4.68,4.68,500
2023-07-26,4.97,4.97,4.88,4.88,200
2023-07-27,4.68,4.78,4.4,4.78,31000
2023-07-28,4.88,4.88,4.78,4.78,200
2023-07-31,4.97,4.97,4.68,4.78,1200
2023-08-01,4.78,4.78,4.78,4.78,2000
2023-08-02,4.88,4.88,4.4,4.4,2200
2023-08-03,4.59,4.68,4.49,4.59,8000
2023-08-04,4.68,4.68,4.49,4.49,13600
2023-08-07,4.88,4.88,4.4,4.59,11300
2023-08-08,4.4,4.68,4.4,4.68,12700
2023-08-09,4.59,5.16,4.59,5.16,64700
2023-08-10,5.74,5.74,5.07,5.26,36900
2023-08-11,5.55,5.74,4.68,4.78,41400
2023-08-14,4.88,4.97,4.68,4.78,3635
2023-08-15,4.88,4.88,4.68,4.78,1900
2023-08-16,4.78,4.97,4.78,4.78,7800
2023-08-17,4.78,4.97,4.68,4.78,9300
2023-08-18,4.78,4.78,4.4,4.4,9500
2023-08-21,4.68,4.68,4.68,4.68,0
2023-08-22,4.68,4.68,4.02,4.3,20500
2023-08-23,4.11,4.4,4.11,4.4,8400
2023-08-24,4.68,4.68,4.59,4.68,12200
2023-08-25,5.16,5.16,4.3,4.59,4400
2023-08-28,4.3,4.4,4.3,4.4,1400
2023-08-29,4.4,4.49,4.4,4.49,15100
2023-08-30,4.49,4.49,4.49,4.49,1600
2023-08-31,4.3,4.49,4.3,4.49,2400
2023-09-05,4.4,4.4,4.3,4.3,7600
2023-09-06,4.3,4.4,4.02,4.3,27000
2023-09-07,4.49,4.49,4.3,4.3,1700
2023-09-08,4.59,4.59,4.3,4.49,9100
2023-09-11,4.4,4.4,4.4,4.4,1400
2023-09-12,4.21,4.3,4.11,4.3,16800
2023-09-13,4.3,4.3,4.11,4.3,41710
2023-09-14,4.21,4.3,4.21,4.3,1100
2023-09-15,4.21,4.21,4.11,4.11,6300
2023-09-18,4.3,4.3,4.21,4.21,500
2023-09-19,4.3,4.3,3.82,4.11,22400
2023-09-20,4.21,4.3,4.11,4.21,2500
2023-09-21,4.21,4.3,3.92,4.21,6900
2023-09-22,4.21,4.3,4.21,4.3,1700
2023-09-25,4.02,4.3,4.02,4.3,300
2023-09-26,4.21,4.21,4.21,4.21,600
2023-09-27,4.02,4.21,4.02,4.21,500
2023-09-28,4.11,4.11,4.02,4.02,2100
2023-09-29,4.02,4.02,4.02,4.02,300
2023-10-02,4.02,4.02,4.02,4.02,0
2023-10-03,4.02,4.02,4.02,4.02,0
2023-10-04,3.73,3.92,3.63,3.92,11800
2023-10-05,3.92,3.92,3.73,3.73,5900
2023-10-06,3.82,3.82,3.82,3.82,1600
2023-10-09,3.82,3.82,3.82,3.82,500
2023-10-10,3.82,3.92,3.82,3.92,1000
2023-10-11,3.82,3.82,3.82,3.82,700
2023-10-12,3.82,3.82,3.82,3.82,1700
2023-10-13,3.92,4.3,3.92,4.3,500
2023-10-16,3.92,3.92,3.82,3.82,6500
2023-10-17,3.82,3.82,3.82,3.82,2000
2023-10-18,3.82,3.82,3.63,3.63,8500
2023-10-19,3.73,3.73,3.63,3.73,2300
2023-10-20,3.63,3.63,3.54,3.63,1700
2023-10-23,3.73,3.73,3.73,3.73,4200
2023-10-24,3.82,3.82,3.82,3.82,2000
2023-10-25,3.82,4.02,3.82,3.92,8800
2023-10-26,3.82,3.82,3.73,3.73,13500
2023-10-27,3.92,3.92,3.92,3.92,100
2023-10-30,3.92,3.92,3.92,3.92,0
2023-10-31,3.82,3.82,3.54,3.63,5100
2023-11-01,3.73,3.73,3.73,3.73,100
2023-11-02,3.92,3.92,3.73,3.82,6500
2023-11-03,3.73,3.82,3.73,3.73,1400
2023-11-06,4.02,4.02,4.02,4.02,100
2023-11-07,4.02,4.02,4.02,4.02,500
2023-11-08,3.73,3.82,3.73,3.82,1900
2023-11-09,3.73,3.82,3.73,3.82,1100
2023-11-10,3.82,3.82,3.82,3.82,4200
2023-11-13,4.02,4.02,3.82,3.82,3700
2023-11-14,4.02,4.02,3.82,3.82,300
2023-11-15,3.92,3.92,3.92,3.92,0
2023-11-16,3.9,4.0,3.9,3.9,1300
2023-11-17,3.9,3.9,3.9,3.9,1500
