time,open,high,low,close,volume
2023-03-30,10.97,10.97,10.97,10.97,0
2023-03-31,10.97,10.97,10.97,10.97,0
2023-04-03,10.97,10.97,10.97,10.97,0
2023-04-04,10.97,10.97,10.97,10.97,0
2023-04-05,10.97,10.97,10.97,10.97,0
2023-04-06,10.97,10.97,10.97,10.97,0
2023-04-07,10.97,10.97,10.97,10.97,0
2023-04-10,10.97,10.97,10.97,10.97,0
2023-04-11,10.97,10.97,10.97,10.97,0
2023-04-12,10.97,10.97,10.97,10.97,0
2023-04-13,10.97,10.97,10.97,10.97,0
2023-04-14,10.97,10.97,10.97,10.97,0
2023-04-17,10.97,10.97,10.97,10.97,0
2023-04-18,10.97,10.97,10.97,10.97,0
2023-04-19,10.97,10.97,10.97,10.97,0
2023-04-20,10.97,10.97,10.97,10.97,0
2023-04-21,10.97,10.97,10.97,10.97,0
2023-04-24,10.97,10.97,10.97,10.97,0
2023-04-25,10.97,10.97,10.97,10.97,0
2023-04-26,10.97,10.97,10.97,10.97,0
2023-04-27,10.97,10.97,10.97,10.97,0
2023-04-28,10.97,10.97,10.97,10.97,0
2023-05-04,10.97,10.97,10.97,10.97,0
2023-05-05,10.97,10.97,10.97,10.97,0
2023-05-08,10.97,10.97,10.97,10.97,0
2023-05-09,10.97,10.97,10.97,10.97,0
2023-05-10,10.97,10.97,10.97,10.97,0
2023-05-11,10.97,10.97,10.97,10.97,0
2023-05-12,10.97,10.97,10.97,10.97,0
2023-05-15,10.97,10.97,10.97,10.97,0
2023-05-16,10.97,10.97,10.97,10.97,0
2023-05-17,10.97,10.97,10.97,10.97,0
2023-05-18,10.97,10.97,10.97,10.97,0
2023-05-19,10.97,10.97,10.97,10.97,0
2023-05-22,10.97,10.97,10.97,10.97,0
2023-05-23,10.97,10.97,10.97,10.97,0
2023-05-24,10.97,10.97,10.97,10.97,0
2023-05-25,10.97,10.97,10.97,10.97,0
2023-05-26,10.97,10.97,10.97,10.97,0
2023-05-29,10.97,10.97,10.97,10.97,0
2023-05-30,10.97,10.97,10.97,10.97,0
2023-05-31,6.65,6.65,6.65,6.65,800
2023-06-01,7.6,7.6,7.6,7.6,100
2023-06-02,8.72,8.72,6.82,6.82,2200
