time,open,high,low,close,volume
2023-03-30,16.12,16.12,16.12,16.12,0
2023-03-31,16.12,16.12,16.12,16.12,0
2023-04-03,16.12,16.12,16.12,16.12,0
2023-04-04,16.12,16.12,16.12,16.12,0
2023-04-05,15.49,16.03,15.49,16.03,201
2023-04-06,16.03,16.03,16.03,16.03,0
2023-04-07,16.03,16.03,16.03,16.03,0
2023-04-10,16.03,16.03,16.03,16.03,0
2023-04-11,16.03,16.03,16.03,16.03,0
2023-04-12,16.12,16.12,16.12,16.12,100
2023-04-13,15.67,16.12,15.58,16.12,3100
2023-04-14,16.12,16.12,16.12,16.12,0
2023-04-17,15.67,15.67,15.67,15.67,400
2023-04-18,15.67,15.67,15.67,15.67,200
2023-04-19,15.67,16.03,15.67,16.03,1900
2023-04-20,16.03,16.03,16.03,16.03,0
2023-04-21,16.03,16.03,16.03,16.03,1100
2023-04-24,17.55,17.55,16.3,16.3,300
2023-04-25,16.3,16.57,16.3,16.39,6100
2023-04-26,17.01,17.01,17.01,17.01,100
2023-04-27,17.01,17.01,17.01,17.01,0
2023-04-28,15.85,15.85,15.85,15.85,100
2023-05-04,17.01,17.01,17.01,17.01,100
2023-05-05,17.01,17.01,17.01,17.01,0
2023-05-08,17.1,17.1,16.3,16.3,600
2023-05-09,16.3,17.91,16.3,16.57,2300
2023-05-10,16.57,16.57,16.57,16.57,1200
2023-05-11,16.3,16.57,16.3,16.48,1300
2023-05-12,16.75,16.75,16.3,16.3,300
2023-05-15,17.82,17.82,16.39,16.39,2300
2023-05-16,17.37,17.37,17.37,17.37,100
2023-05-17,16.48,17.01,16.21,17.01,3100
2023-05-18,16.21,17.01,16.21,17.01,700
2023-05-19,16.3,17.01,16.21,17.01,1500
2023-05-22,16.39,16.92,16.3,16.92,2500
2023-05-23,17.01,17.01,16.92,16.92,1200
2023-05-24,17.01,17.01,17.01,17.01,200
2023-05-25,16.84,16.84,16.84,16.84,100
2023-05-26,16.84,16.84,16.84,16.84,0
2023-05-29,16.84,17.01,16.84,17.01,200
2023-05-30,17.01,17.01,17.01,17.01,0
2023-05-31,16.57,16.57,16.3,16.3,200
2023-06-01,17.01,17.01,16.3,16.92,300
2023-06-02,17.82,17.82,17.01,17.01,200
2023-06-05,16.66,17.01,16.57,17.01,2000
2023-06-06,17.01,17.19,17.01,17.19,2100
2023-06-07,17.1,18.71,17.1,18.71,200
2023-06-08,17.57,18.33,17.48,17.95,900
2023-06-09,17.19,17.85,17.19,17.85,200
2023-06-12,16.91,17.38,16.34,16.34,1100
2023-06-13,17.38,17.38,16.34,16.34,300
2023-06-14,17.29,17.29,16.34,16.34,1200
2023-06-15,16.63,16.63,16.63,16.63,100
2023-06-16,16.34,16.34,16.34,16.34,100
2023-06-19,16.34,16.34,16.34,16.34,0
2023-06-20,16.25,16.63,16.25,16.53,2300
2023-06-21,16.72,16.91,16.72,16.91,400
2023-06-22,16.91,16.91,16.91,16.91,0
2023-06-23,16.63,16.63,16.34,16.34,1101
2023-06-26,16.34,16.34,16.34,16.34,0
2023-06-27,16.91,16.91,16.91,16.91,100
2023-06-28,16.91,16.91,16.91,16.91,0
2023-06-29,16.91,16.91,16.91,16.91,0
2023-06-30,16.91,16.91,16.91,16.91,0
2023-07-03,16.91,16.91,16.91,16.91,0
2023-07-04,16.91,16.91,16.91,16.91,0
2023-07-05,16.91,16.91,16.91,16.91,0
2023-07-06,16.91,16.91,16.91,16.91,0
2023-07-07,16.91,16.91,16.91,16.91,0
2023-07-10,16.91,16.91,16.91,16.91,0
2023-07-11,16.72,16.72,16.63,16.72,700
2023-07-12,16.72,16.91,16.63,16.91,1900
2023-07-13,16.91,17.38,16.91,17.38,300
2023-07-14,17.38,17.38,17.38,17.38,0
2023-07-17,17.19,17.29,17.19,17.29,600
2023-07-18,17.19,17.67,17.19,17.67,600
2023-07-19,17.67,17.67,17.67,17.67,0
2023-07-20,17.67,17.67,17.1,17.48,2000
2023-07-21,17.1,17.48,17.1,17.48,1100
2023-07-24,17.38,17.38,17.29,17.38,1805
2023-07-25,17.38,17.38,17.38,17.38,1200
2023-07-26,17.19,17.19,17.19,17.19,1700
2023-07-27,17.38,18.23,17.38,17.57,6609
2023-07-28,17.95,18.42,17.95,18.42,13500
2023-07-31,18.23,18.42,17.85,18.42,2800
2023-08-01,18.04,18.42,17.95,18.42,966
2023-08-02,18.71,18.8,18.04,18.33,500
2023-08-03,18.8,18.8,18.8,18.8,100
2023-08-04,18.8,18.8,18.8,18.8,0
2023-08-07,18.52,18.52,17.95,17.95,2700
2023-08-08,18.42,18.42,17.85,17.85,1623
2023-08-09,17.76,17.85,17.48,17.85,1800
2023-08-10,17.67,17.95,17.67,17.95,300
2023-08-11,17.85,17.85,17.48,17.85,4100
2023-08-14,17.57,17.76,17.38,17.76,5300
2023-08-15,17.76,17.85,17.38,17.85,1800
2023-08-16,17.85,17.85,17.85,17.85,200
2023-08-17,17.85,17.85,17.85,17.85,0
2023-08-18,17.57,17.95,17.38,17.95,1400
2023-08-21,17.95,17.95,17.76,17.95,400
2023-08-22,17.85,17.95,17.48,17.95,700
2023-08-23,17.95,17.95,17.95,17.95,0
2023-08-24,17.85,17.85,17.57,17.85,400
2023-08-25,17.95,17.95,17.95,17.95,100
2023-08-28,17.85,17.85,17.85,17.85,3200
2023-08-29,18.04,18.23,17.85,18.23,400
2023-08-30,18.23,18.42,17.95,18.33,1500
2023-08-31,18.33,18.33,18.33,18.33,0
2023-09-05,18.33,18.33,18.33,18.33,0
2023-09-06,17.95,17.95,17.95,17.95,1431
2023-09-07,17.85,17.85,17.85,17.85,600
2023-09-08,18.33,18.33,18.33,18.33,100
2023-09-11,17.95,18.23,17.57,18.23,900
2023-09-12,18.23,18.23,18.23,18.23,0
2023-09-13,18.14,18.14,18.14,18.14,100
2023-09-14,18.42,18.71,18.42,18.61,10500
2023-09-15,18.42,18.42,18.42,18.42,200
2023-09-18,18.42,18.71,18.42,18.71,2258
2023-09-19,18.71,18.71,18.71,18.71,0
2023-09-20,18.14,18.8,17.48,18.8,16200
2023-09-21,18.8,18.8,18.8,18.8,0
2023-09-22,18.23,18.23,18.14,18.23,600
2023-09-25,17.95,18.33,17.95,18.33,200
2023-09-26,18.04,18.33,17.95,18.33,400
2023-09-27,17.95,18.33,17.95,18.33,2300
2023-09-28,17.95,18.23,17.76,18.23,600
2023-09-29,18.14,18.23,17.95,17.95,6000
2023-10-02,18.04,18.23,18.04,18.14,300
2023-10-03,18.14,18.14,18.14,18.14,100
2023-10-04,18.14,18.14,18.14,18.14,150
2023-10-05,18.14,18.14,18.14,18.14,900
2023-10-06,18.14,18.14,18.14,18.14,0
2023-10-09,18.23,18.71,18.23,18.71,200
2023-10-10,18.8,18.8,18.8,18.8,100
2023-10-11,18.8,18.8,18.8,18.8,200
2023-10-12,18.8,18.8,18.8,18.8,0
2023-10-13,18.8,18.8,18.8,18.8,0
2023-10-16,18.8,18.8,18.8,18.8,101
2023-10-17,18.61,18.61,18.61,18.61,531
