time,open,high,low,close,volume
2023-03-30,14.98,14.98,13.29,13.29,407
2023-03-31,13.88,13.98,13.88,13.98,800
2023-04-03,14.28,14.28,14.28,14.28,804
2023-04-04,14.48,15.08,14.28,14.28,3700
2023-04-05,14.58,14.58,14.58,14.58,0
2023-04-06,15.18,15.18,14.78,14.78,1100
2023-04-07,13.29,14.98,13.29,14.98,301
2023-04-10,14.38,14.38,12.99,12.99,600
2023-04-11,12.19,14.48,12.19,14.48,500
2023-04-12,13.78,13.78,12.59,12.59,600
2023-04-13,12.69,12.69,12.59,12.69,1100
2023-04-14,12.99,12.99,12.89,12.89,206
2023-04-17,12.99,12.99,12.99,12.99,400
2023-04-18,12.99,12.99,12.99,12.99,100
2023-04-19,13.88,13.88,13.88,13.88,100
2023-04-20,13.88,13.88,13.88,13.88,200
2023-04-21,13.88,13.88,12.19,12.19,400
2023-04-24,11.39,11.39,11.39,11.39,100
2023-04-25,12.99,13.09,12.99,13.09,800
2023-04-26,14.78,14.98,14.78,14.98,450
2023-04-27,14.88,14.88,14.88,14.88,0
2023-04-28,12.79,14.58,12.79,14.18,400
2023-05-04,13.59,13.59,12.99,12.99,300
2023-05-05,13.09,13.09,13.09,13.09,200
2023-05-08,12.39,12.39,12.29,12.29,402
2023-05-09,12.29,12.29,12.29,12.29,600
2023-05-10,13.39,13.98,12.29,12.29,1000
2023-05-11,12.99,12.99,12.99,12.99,200
2023-05-12,12.99,13.98,12.99,13.98,5000
2023-05-15,12.99,12.99,12.99,12.99,0
2023-05-16,12.99,12.99,12.99,12.99,0
2023-05-17,12.99,12.99,12.99,12.99,0
2023-05-18,13.88,13.88,13.88,13.88,100
2023-05-19,15.48,15.48,14.48,14.48,203
2023-05-22,15.08,15.08,12.89,13.09,1250
2023-05-23,13.39,14.68,13.39,14.58,500
2023-05-24,14.78,14.78,14.78,14.78,103
2023-05-25,14.38,14.48,14.18,14.18,600
2023-05-26,13.98,14.18,12.99,14.18,2600
2023-05-29,14.38,15.18,14.38,15.18,8746
2023-05-30,17.28,17.28,17.08,17.28,14233
2023-05-31,17.48,19.78,17.48,19.78,6700
2023-06-01,22.38,22.38,19.88,21.88,15424
2023-06-02,21.98,24.27,21.98,22.97,9936
2023-06-05,24.87,24.87,19.18,22.28,10706
2023-06-06,20.08,22.38,19.78,21.18,17755
2023-06-07,20.48,22.48,20.48,22.48,200
2023-06-08,22.97,22.97,18.98,18.98,6939
2023-06-09,19.48,19.48,19.48,19.48,100
2023-06-12,19.28,19.28,16.98,16.98,5000
2023-06-13,17.48,18.98,16.88,16.98,9001
2023-06-14,17.28,18.28,16.78,17.28,3100
2023-06-15,16.98,16.98,16.98,16.98,1700
2023-06-16,17.28,17.98,17.18,17.18,4900
2023-06-19,17.28,18.08,17.18,18.08,300
2023-06-20,17.48,17.48,17.28,17.48,500
2023-06-21,17.68,17.68,17.48,17.48,2900
2023-06-22,17.48,17.48,17.48,17.48,504
2023-06-23,17.98,18.08,17.98,18.08,400
2023-06-26,17.98,17.98,17.98,17.98,400
2023-06-27,18.18,18.18,17.08,17.08,3200
2023-06-28,17.88,17.88,17.38,17.38,800
2023-06-29,17.78,17.78,16.98,17.78,2312
2023-06-30,17.88,17.88,17.68,17.68,2000
2023-07-03,18.08,18.08,18.08,18.08,100
2023-07-04,18.18,18.18,17.98,17.98,1000
