time,open,high,low,close,volume
2023-03-30,38.13,38.52,37.49,37.93,2667622
2023-03-31,37.88,38.28,37.59,37.88,1816890
2023-04-03,38.32,38.52,38.03,38.32,2113683
2023-04-04,38.42,39.26,38.37,39.11,3134952
2023-04-05,39.11,39.16,38.82,39.06,1737309
2023-04-06,39.31,39.31,38.37,38.42,1972689
2023-04-07,38.18,38.37,37.83,38.32,2033345
2023-04-10,38.52,40.44,38.52,40.29,5831948
2023-04-11,40.29,40.29,39.5,39.99,2853861
2023-04-12,39.8,40.98,39.8,40.04,3972340
2023-04-13,40.29,40.58,39.95,40.34,3135863
2023-04-14,40.54,40.68,39.31,39.31,2680877
2023-04-17,39.16,39.31,38.86,39.16,1407908
2023-04-18,39.85,40.04,39.26,39.26,2756760
2023-04-19,39.36,40.58,39.31,39.8,2950858
2023-04-20,39.8,39.8,39.21,39.7,1417250
2023-04-21,39.7,39.7,38.62,38.62,2812378
2023-04-24,38.52,38.62,37.59,37.73,3212748
2023-04-25,37.93,38.13,36.85,37.05,2737524
2023-04-26,37.05,37.73,37.0,37.73,1836035
2023-04-27,37.83,37.98,37.49,37.98,1287338
2023-04-28,37.98,38.52,37.93,38.52,2518354
2023-05-04,37.44,38.23,37.24,37.24,2464073
2023-05-05,37.24,37.44,37.0,37.15,1174614
2023-05-08,37.15,37.59,37.15,37.19,1274575
2023-05-09,37.19,37.69,37.19,37.29,932276
2023-05-10,37.39,38.32,37.24,38.32,2355670
2023-05-11,38.47,38.67,37.88,38.03,1661428
2023-05-12,38.08,38.42,37.54,38.32,2034774
2023-05-15,38.47,38.72,38.18,38.23,2783699
2023-05-16,38.23,38.28,37.54,37.78,2130949
2023-05-17,37.78,37.98,37.29,37.49,1328466
2023-05-18,37.88,38.03,37.44,37.44,1748245
2023-05-19,37.44,37.64,37.15,37.64,1643998
2023-05-22,37.69,37.98,37.39,37.88,1524228
2023-05-23,37.98,38.13,37.54,37.59,1468977
2023-05-24,37.73,37.78,37.24,37.29,1247445
2023-05-25,37.29,37.73,37.15,37.34,1478099
2023-05-26,37.39,37.73,37.34,37.54,883288
2023-05-29,37.78,38.03,37.49,38.03,2264314
2023-05-30,38.18,39.11,38.18,38.72,4820420
2023-05-31,38.62,38.77,38.28,38.52,1976357
2023-06-01,38.67,38.82,38.03,38.62,2908840
2023-06-02,38.77,40.14,38.52,40.09,5710123
2023-06-05,40.29,40.88,40.09,40.49,6620203
2023-06-06,40.49,41.32,40.34,41.08,4667805
2023-06-07,41.08,41.22,40.34,41.08,4747524
2023-06-08,41.27,41.27,39.9,39.95,4516411
2023-06-09,40.29,40.68,39.8,40.68,4125445
2023-06-12,40.93,42.26,40.78,42.26,7251229
2023-06-13,42.65,42.65,41.86,42.26,3400762
2023-06-14,42.26,42.26,41.32,41.32,3322797
2023-06-15,41.32,41.67,40.73,40.98,2812441
2023-06-16,41.22,41.57,40.44,40.63,4411810
2023-06-19,40.63,40.98,40.39,40.78,2064443
2023-06-20,40.88,41.76,40.88,41.76,2477638
2023-06-21,41.76,41.96,41.47,41.96,2566898
2023-06-22,42.11,42.89,41.62,42.3,4107626
2023-06-23,42.3,42.45,41.96,42.16,2159521
2023-06-26,42.8,43.73,41.86,43.58,5460663
2023-06-27,43.58,44.12,42.99,43.43,2479494
2023-06-28,43.43,43.68,42.45,43.14,3991248
2023-06-29,42.75,43.14,41.96,41.96,3291147
2023-06-30,41.96,43.14,41.76,42.55,3506719
2023-07-03,42.7,42.89,42.06,42.26,1800545
2023-07-04,42.16,42.89,41.91,42.5,4438690
2023-07-05,42.7,43.68,42.6,42.6,7265503
2023-07-06,42.65,42.99,42.11,42.45,4542969
2023-07-07,42.3,44.71,42.3,44.71,7403196
2023-07-10,45.25,46.92,45.01,46.92,10237213
2023-07-11,46.78,47.95,46.53,47.95,8180319
2023-07-12,47.51,48.45,47.36,48.3,4794314
2023-07-13,48.35,49.04,48.3,48.5,4816337
2023-07-14,48.5,48.59,47.66,48.59,5907160
2023-07-17,48.64,48.99,47.81,47.81,2787371
2023-07-18,47.56,47.76,46.92,47.22,4615820
2023-07-19,47.56,48.1,47.12,47.66,3485687
2023-07-20,47.56,48.64,47.56,48.25,5456116
2023-07-21,48.25,51.59,48.1,51.59,11737279
2023-07-24,52.08,53.56,51.1,53.56,4075122
2023-07-25,53.56,53.56,51.98,52.67,4432365
2023-07-26,52.67,53.26,51.1,51.69,5449341
2023-07-27,51.99,54.07,51.79,53.67,5825787
2023-07-28,53.47,54.47,52.78,54.07,3873654
2023-07-31,53.57,53.77,52.18,53.28,7866990
2023-08-01,53.67,53.67,51.29,51.29,7534240
2023-08-02,51.29,52.09,51.19,51.29,5320635
2023-08-03,51.39,53.28,50.99,52.28,7999352
2023-08-04,52.58,52.78,51.89,52.58,7530800
2023-08-07,53.28,54.47,52.88,53.37,6497600
2023-08-08,53.57,53.87,52.98,53.18,5737101
2023-08-09,52.98,52.98,51.59,52.18,8968473
2023-08-10,52.58,52.58,51.29,51.59,4981838
2023-08-11,51.79,52.88,50.6,52.88,6320880
2023-08-14,53.47,53.87,52.18,53.77,9618178
2023-08-15,54.17,55.46,53.57,53.57,8383729
2023-08-16,53.57,53.87,52.58,53.37,5142872
2023-08-17,53.67,54.76,52.98,53.47,7229061
2023-08-18,53.47,53.47,49.8,49.8,14268431
2023-08-21,49.6,50.1,48.36,48.61,7068735
2023-08-22,48.71,49.8,46.98,49.6,10148835
2023-08-23,50.3,50.3,48.81,49.31,4959606
