time,open,high,low,close,volume
2024-11-12,12.26,12.26,11.79,11.89,829600
2024-11-13,11.51,12.17,11.51,11.7,393200
2024-11-14,11.42,11.79,10.38,10.85,448233
2024-11-15,10.7,11.3,10.5,10.9,256820
2024-11-18,10.5,11.0,10.5,10.8,138551
2024-11-19,10.6,10.9,10.6,10.7,128312
2024-11-20,10.7,10.8,10.5,10.8,160242
2024-11-21,10.7,11.0,10.6,10.8,100837
2024-11-22,11.0,11.0,10.5,11.0,151093
2024-11-25,10.8,10.9,10.6,10.8,165862
2024-11-26,10.7,10.7,10.4,10.6,76570
2024-11-27,10.5,10.8,10.4,10.8,434957
2024-11-28,10.8,10.8,10.4,10.6,163500
2024-11-29,10.7,10.7,10.2,10.6,208100
2024-12-02,10.5,10.5,10.0,10.5,192300
2024-12-03,10.5,11.0,10.1,10.4,157700
2024-12-04,10.4,10.4,10.0,10.4,189300
2024-12-05,10.3,10.3,9.9,10.1,175200
2024-12-06,10.0,10.1,9.8,10.1,469700
2024-12-09,10.1,10.1,9.8,10.0,203000
2024-12-10,10.1,10.1,9.8,10.0,92600
2024-12-11,10.0,10.0,9.7,9.9,92100
2024-12-12,9.9,9.9,8.5,9.8,244200
2024-12-13,9.8,9.8,9.3,9.8,96600
2024-12-16,9.7,9.7,9.3,9.6,83000
2024-12-17,9.7,10.0,9.0,9.0,263600
2024-12-18,9.6,9.7,9.2,9.6,126900
2024-12-19,9.6,9.6,8.5,9.0,100800
2024-12-20,9.0,9.4,8.3,9.1,481200
2024-12-23,9.0,9.0,8.4,8.9,236800
2024-12-24,8.8,8.8,8.3,8.7,88600
2024-12-25,8.6,8.7,8.5,8.6,114500
2024-12-26,8.6,8.6,8.5,8.5,20900
2024-12-27,8.6,8.6,8.3,8.5,133100
2024-12-30,8.5,8.5,8.0,8.4,147300
2024-12-31,8.4,8.4,7.9,8.3,101400
2025-01-02,8.1,8.1,7.7,7.9,24400
2025-01-03,7.7,7.9,7.1,7.4,203200
2025-01-06,7.3,7.3,6.8,7.2,126400
2025-01-07,7.8,7.8,7.1,7.4,31700
2025-01-08,7.6,7.7,7.0,7.6,40700
2025-01-09,7.7,7.7,7.0,7.5,48600
2025-01-10,7.4,7.4,6.9,7.2,52000
2025-01-13,7.2,7.4,6.8,7.1,96000
2025-01-14,7.1,7.1,6.8,7.0,58500
2025-01-15,6.9,7.1,6.8,7.0,48300
2025-01-16,7.1,7.1,6.7,7.0,40300
2025-01-17,6.7,6.8,6.7,6.7,22600
2025-01-20,6.8,6.8,6.4,6.7,74300
2025-01-21,6.8,6.8,6.4,6.7,38300
2025-01-22,6.6,6.6,6.1,6.5,46300
2025-01-23,6.7,6.9,6.0,6.9,305100
2025-01-24,6.8,6.8,6.0,6.0,414700
2025-02-03,6.6,6.6,6.3,6.4,1700
2025-02-04,6.5,6.7,6.5,6.7,22800
2025-02-05,6.6,6.8,6.4,6.6,15500
2025-02-06,6.5,6.8,6.5,6.7,75800
2025-02-07,6.6,6.7,6.2,6.3,178500
2025-02-10,6.4,6.8,6.4,6.7,37800
2025-02-11,6.8,6.8,6.3,6.4,818000
2025-02-12,6.4,6.6,6.4,6.4,120300
2025-02-13,6.6,7.2,6.4,7.0,477300
2025-02-14,7.2,7.7,7.2,7.7,121300
2025-02-17,8.8,8.8,8.4,8.8,580500
2025-02-18,9.9,9.9,8.4,9.0,363400
2025-02-19,9.0,9.1,7.8,8.4,146700
2025-02-20,8.4,8.4,8.0,8.0,282300
2025-02-21,8.2,8.3,8.0,8.0,351300
2025-02-24,8.1,8.1,7.3,7.6,314800
2025-02-25,7.7,8.0,7.4,7.6,154200
2025-02-26,7.6,7.6,7.1,7.4,486000
2025-02-27,7.5,7.7,7.3,7.6,86300
2025-02-28,7.8,7.8,7.4,7.5,49900
2025-03-03,7.6,7.6,7.3,7.4,98000
2025-03-04,7.4,7.5,7.2,7.2,132700
2025-03-05,7.3,7.5,7.2,7.3,76500
2025-03-06,7.2,7.3,7.1,7.3,154200
2025-03-07,7.3,7.3,7.1,7.2,150900
2025-03-10,7.2,7.5,7.1,7.5,157400
2025-03-11,7.4,7.4,7.0,7.4,109700
2025-03-12,7.4,7.5,7.1,7.3,38500
2025-03-13,7.3,7.4,7.1,7.4,72800
2025-03-14,7.2,7.4,7.2,7.4,85200
2025-03-17,7.2,7.5,7.2,7.3,90700
2025-03-18,7.2,7.5,7.2,7.4,69100
2025-03-19,7.4,7.4,7.2,7.4,57500
2025-03-20,7.5,8.3,7.5,8.2,335200
2025-03-21,8.0,8.4,7.9,7.9,74600
2025-03-24,8.1,8.1,7.5,7.6,122900
2025-03-25,7.6,7.7,7.3,7.5,75200
2025-03-26,7.4,7.5,7.3,7.5,138900
2025-03-27,7.5,7.7,7.4,7.6,21400
2025-03-28,7.4,7.6,7.3,7.5,30500
